区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和5年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和4年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和4年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和5年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和4年年間給与支払額（円）
製造業／金属製品製造業,329,42,13,314742,12943,34459,5438681,264,42.5,13.6,328237,13051,38181,5742549,64,40.1,10.7,259499,12703,19695,4118428
製造業／はん用・生産用・業務用機械器具製造業,230,46.5,14,357803,13701,18723,5519526,184,47.5,14.3,371179,13308,22340,5719941,46,42.9,12.5,304591,15275,4332,4625782
製造業／電気・電子部品・精密機械器具製造業,644,47.2,13.6,317727,11450,16256,4804872,488,46.8,14.2,331378,12792,18370,5004184,156,48.3,11.7,271295,7252,9645,4048802
製造業／輸送用機械器具製造業,254,42,11.7,325471,10918,30149,4928462,225,42.2,12,330638,11102,32832,5004501,29,40,8.9,285383,9488,9332,4294808
製造業／その他の製造業,269,46.9,17.2,379162,8894,28651,5396838,147,48.6,18.9,439076,12214,41590,6445695,121,44.8,15.1,305768,4936,12933,4143544
情報通信業計,2181,39.8,10.7,411565,10222,30149,6101131,1584,41.2,12.1,429229,10728,30248,6349479,595,36,7.1,365528,8909,29874,5412716
情報通信業／通信・放送・インターネット附随サービス業,736,39.8,6.8,432870,11790,35603,6176546,474,41,7.4,471530,13043,41671,6764710,262,37.6,5.5,361868,9524,24051,5070238
情報通信業／情報サービス業,1025,37.8,10.7,357161,9869,24684,5388168,838,39,11.8,369017,10409,26445,5637975,187,32.3,6,303587,7451,16795,4242853
情報通信業／映像・音声・文字情報制作業,420,44.7,17.8,562000,8333,34910,8715339,272,48.3,21.2,633059,7675,23740,9046761,146,37.9,11.4,471506,9674,55721,8216498
運輸業，郵便業計,1022,47.7,11,313595,8059,42818,4678419,856,49.3,11.4,322242,7314,44885,4687128,165,39.6,8.9,275503,11972,33671,4625968
運輸業，郵便業／道路旅客運送業,211,54.2,12.5,279660,2318,30615,4196263,205,54.5,12.5,284290,2126,30162,4234340,6,43.3,11.3,241849,8863,36577,2920700
運輸業，郵便業／道路貨物運送業,489,47.9,9.4,286820,5690,50217,4091832,447,48.8,9.7,290765,5564,51362,4144935,42,38.3,6.5,245024,7031,38028,3449915
運輸業，郵便業／倉庫業・運輸に付帯するサービス業,322,43.3,12.3,361369,15418,34777,5957985,204,45.3,13.9,400791,16362,36394,6347721,117,39.8,9.7,288977,13905,31958,5165941
卸売業，小売業計,1867,42.9,10.7,345108,10759,20206,5007717,1102,44,11.7,380043,11590,24322,5465746,754,41.1,9.1,292121,9702,14008,4221772
卸売業，小売業／繊維・衣服等・飲食料品卸売業,168,48.4,14.3,336958,9404,22469,4492544,118,49.3,14.4,362628,9280,28490,4895752,50,46.3,14.1,275141,9696,8258,3463305
卸売業，小売業／建築材料・鉱物・金属材料・機械器具等卸売業,585,42.7,12.1,363797,12184,21596,5424416,390,43.5,12.6,397370,12361,22224,5831683,193,40.9,11.1,296302,11952,20268,4550280
卸売業，小売業／その他の卸売業,348,41.9,6.4,355586,11643,14267,5894093,208,44.2,8.3,401452,13272,13960,6399155,138,38.5,3.6,285257,9357,14751,4622085
卸売業，小売業／織物・衣服・身の回り品小売業,187,45,13.4,319276,13462,17517,4198411,80,48.5,17.7,377914,14018,25297,4784821,107,42.4,10.3,274998,13047,11991,3693653
卸売業，小売業／飲食料品小売業,149,37.9,9.8,321457,6266,9276,4422314,75,39.5,11.9,348851,7248,10904,4733324,71,35.8,7.4,282154,5492,7191,3900915
卸売業，小売業／機械器具等小売業,190,39.4,8.2,323900,12246,25669,4746035,136,39,8.5,332068,13142,32249,5045622,52,40.4,7.4,300849,10372,8460,3969831
卸売業，小売業／その他の小売業,240,44.6,10.7,332488,6461,28288,4444267,95,46.2,11,367645,6775,52031,4544041,143,43.5,10.5,314617,6342,13827,4379599
金融業，保険業計,1216,45,11.4,580972,13234,29025,9000305,797,46.4,11.5,654238,13494,25345,9981521,414,42.5,11.4,439775,12894,36107,7089090
金融業，保険業／金融業,742,45.6,12.1,491318,14426,27403,7560061,487,47.3,11.9,556469,14830,24888,8431560,255,42.2,12.5,365909,13654,32206,5786617
金融業，保険業／証券業,474,44.1,10.3,723340,11370,31590,11648373,310,44.8,10.7,809330,11396,26063,12953875,159,42.8,9.6,557309,11675,42364,9298470
不動産業，物品賃貸業計,902,38.2,7.3,395879,11997,10420,6279004,550,39.9,8.7,446377,12283,12526,7452562,352,35.5,5.1,313178,11550,7137,4257401
学術研究，専門・技術サービス業計,741,42.5,8,511297,10191,16356,6989591,357,43.5,8.7,550556,11315,18788,7481244,383,41.7,7.3,473135,9170,14092,6494766
学術研究，専門・技術サービス業／専門サービス業,384,47.1,8.7,622750,7714,21661,8475326,163,49.8,10.1,687456,8463,30061,9366061,221,45.2,7.7,572422,7162,15503,7778661
学術研究，専門・技術サービス業／広告業,357,37.8,7.2,400474,12854,10397,5425401,194,38.5,7.6,441883,13711,9022,5947090,162,36.8,6.7,350266,11908,12067,4740436
宿泊業，飲食サービス業計,383,39.2,7.6,305574,13467,16496,3906344,207,42.5,9.6,320890,13467,21752,4219530,174,35.3,5.3,286237,13622,10031,3485422
宿泊業，飲食サービス業／宿泊業,213,38.8,6.1,314073,14729,9731,3623752,102,43.6,7.9,335630,14794,11556,3866702,110,34.3,4.6,293902,14804,7963,3368951
宿泊業，飲食サービス業／飲食店,170,39.9,9.4,293697,11885,24186,4286147,105,41.5,11.2,305855,12178,30968,4589570,64,37.1,6.5,269857,11590,13166,3707528
生活関連サービス業，娯楽業計,452,43,12.3,350303,12739,22724,5089290,254,43.8,13.6,387149,13129,27758,5664132,197,41.9,10.6,299640,12300,15914,4263409
教育，学習支援業（学校教育を除く）計,254,39.6,8.8,295568,11386,12649,3918411,96,39.9,9.5,337423,13317,15190,4504777,156,39.5,8.3,268329,10344,11088,3516331
医療，福祉計,546,44.2,6.3,333923,7888,24776,4386365,204,42.5,6.9,351805,9351,30069,4709611,341,45.2,6,323093,7036,21523,4184037
医療，福祉／医療業,270,41.8,6.5,359975,7726,27912,4657309,111,42.2,7,379406,8883,22847,4925858,158,41.6,6.2,346413,6962,31531,4465209
医療，福祉／社会保険・社会福祉・介護事業,276,46.6,6.1,308956,8047,21770,4074247,93,42.9,6.7,320260,9910,38402,4411129,183,48.4,5.8,303009,7100,12971,3894408
サービス業（他に分類されないもの）計,648,48,12.1,317590,11619,38180,4656471,548,49.1,12.6,324819,11727,43333,4828120,100,42.2,9.1,278278,11027,13404,3760739
サービス業（他に分類されないもの）／自動車整備・機械修理業,363,43.6,13.8,332267,14900,47043,5200875,313,43.9,14.5,339682,15492,52294,5374036,50,41.9,9.5,286148,11190,14174,4077251
サービス業（他に分類されないもの）／その他の事業サービス業,285,53.6,9.9,292598,7441,20600,3757137,235,56,10.2,298101,6712,23155,3844124,50,42.4,8.8,268188,10865,12529,3421619
１０ ～ ４９人,6169,44.9,11,358235,10122,24910,5196869,4041,45.8,12,382682,10425,28293,5570258,2106,43.1,9.2,309873,9648,18388,4407707
５０ ～ ９９人,4857,42.8,11.1,394798,11620,28668,5715674,3347,43.5,12.1,408180,12017,33340,5975712,1505,41.3,8.9,363224,10776,18368,5086303
１００ ～ ２９９人,5176,41.6,11.5,390835,10941,28691,6216746,3740,43.2,12.7,417889,10937,32509,6664019,1430,37.2,8.4,322776,10997,19042,4897415
