産業,年齢（歳）,高校卒／扶養家族数（人）,高校卒／集計企業数（社）,高校卒／所定時間内賃金（円）,高校卒／上昇係数,高専・短大卒／扶養家族数（人）,高専・短大卒／集計企業数（社）,高専・短大卒／所定時間内賃金（円）,高専・短大卒／上昇係数,専門学校卒／扶養家族数（人）,専門学校卒／集計企業数（社）,専門学校卒／所定時間内賃金（円）,専門学校卒／上昇係数,大学卒／扶養家族数（人）,大学卒／集計企業数（社）,大学卒／所定時間内賃金（円）,大学卒／上昇係数
不動産業，物品賃貸業,22,0,3,x,x,0,6,200250,95.2,0,5,203840,95.4,0,24,228900,100
不動産業，物品賃貸業,25,0,3,x,x,0,5,201280,95.7,0,4,x,x,0,7,243214,106.3
不動産業，物品賃貸業,30,2,3,x,x,2,5,232340,110.5,2,4,x,x,2,8,288813,126.2
不動産業，物品賃貸業,35,3,3,x,x,3,5,273140,129.9,3,4,x,x,3,7,337029,147.2
不動産業，物品賃貸業,40,3,3,x,x,3,5,303120,144.2,3,4,x,x,3,8,379513,165.8
不動産業，物品賃貸業,45,3,3,x,x,3,5,348000,165.5,3,4,x,x,3,8,466850,204
不動産業，物品賃貸業,50,3,3,x,x,3,5,379080,180.3,3,4,x,x,3,6,423900,185.2
不動産業，物品賃貸業,55,2,3,x,x,2,5,425140,202.2,2,4,x,x,2,5,469080,204.9
不動産業，物品賃貸業,60,1,3,x,x,1,5,449840,213.9,1,4,x,x,1,5,494380,216
学術研究，専門・技術サービス業,18,0,15,198407,100,-,-,-,-,-,-,-,-,-,-,-,-
学術研究，専門・技術サービス業,20,0,5,203880,102.8,0,14,210236,100,0,15,209220,100,-,-,-,-
学術研究，専門・技術サービス業,22,0,5,211600,106.6,0,5,209600,99.7,0,5,212600,101.6,0,36,220711,100
学術研究，専門・技術サービス業,25,0,5,240080,121,0,5,237080,112.8,0,5,241080,115.2,0,15,247847,112.3
学術研究，専門・技術サービス業,30,2,6,289400,145.9,2,6,285233,135.7,2,6,290233,138.7,2,15,293300,132.9
学術研究，専門・技術サービス業,35,3,5,320480,161.5,3,5,312480,148.6,3,5,321480,153.7,3,14,346650,157.1
学術研究，専門・技術サービス業,40,3,5,357600,180.2,3,5,349600,166.3,3,5,355600,170,3,12,378483,171.5
学術研究，専門・技術サービス業,45,3,4,x,x,3,4,x,x,3,4,x,x,3,10,439670,199.2
学術研究，専門・技術サービス業,50,3,5,476000,239.9,3,5,468000,222.6,3,5,474000,226.6,3,11,489118,221.6
学術研究，専門・技術サービス業,55,2,4,x,x,2,4,x,x,2,4,x,x,2,9,443600,201
学術研究，専門・技術サービス業,60,1,4,x,x,1,4,x,x,1,4,x,x,1,9,460189,208.5
宿泊業，飲食サービス業,18,0,28,202136,100,-,-,-,-,-,-,-,-,-,-,-,-
宿泊業，飲食サービス業,20,0,8,196750,97.3,0,23,209365,100,0,25,211016,100,-,-,-,-
宿泊業，飲食サービス業,22,0,8,204875,101.4,0,6,209500,100.1,0,7,211000,100,0,25,216564,100
宿泊業，飲食サービス業,25,0,9,220444,109.1,0,7,221000,105.6,0,9,225000,106.6,0,7,220286,101.7
宿泊業，飲食サービス業,30,2,9,242333,119.9,2,7,237429,113.4,2,7,237429,112.5,2,7,236714,109.3
宿泊業，飲食サービス業,35,3,9,260167,128.7,3,7,256000,122.3,3,7,256000,121.3,3,7,259571,119.9
宿泊業，飲食サービス業,40,3,8,270500,133.8,3,6,267000,127.5,3,6,267000,126.5,3,6,269500,124.4
宿泊業，飲食サービス業,45,3,7,270571,133.9,3,5,264400,126.3,3,5,264400,125.3,3,5,267400,123.5
宿泊業，飲食サービス業,50,3,7,273429,135.3,3,5,276400,132,3,5,276400,131,3,5,279400,129
宿泊業，飲食サービス業,55,2,7,271286,134.2,2,5,283400,135.4,2,5,283400,134.3,2,5,286400,132.2
宿泊業，飲食サービス業,60,1,7,271286,134.2,1,5,289400,138.2,1,5,289400,137.1,1,5,292400,135
生活関連サービス業，娯楽業,18,0,12,205833,100,-,-,-,-,-,-,-,-,-,-,-,-
生活関連サービス業，娯楽業,20,0,7,202214,98.2,0,15,217433,100,0,18,212917,100,-,-,-,-
生活関連サービス業，娯楽業,22,0,7,206157,100.2,0,8,214388,98.6,0,10,216210,101.5,0,24,224292,100
生活関連サービス業，娯楽業,25,0,6,229167,111.3,0,6,234167,107.7,0,7,238429,112,0,9,236711,105.5
生活関連サービス業，娯楽業,30,2,5,252720,122.8,2,5,262120,120.6,2,6,269267,126.5,2,7,282200,125.8
生活関連サービス業，娯楽業,35,3,6,281267,136.6,3,6,285100,131.1,3,7,294371,138.3,3,8,303775,135.4
生活関連サービス業，娯楽業,40,3,5,300400,145.9,3,5,308000,141.7,3,6,321667,151.1,3,6,329100,146.7
生活関連サービス業，娯楽業,45,3,4,x,x,3,4,x,x,3,6,346083,162.5,3,6,352567,157.2
生活関連サービス業，娯楽業,50,3,3,x,x,3,3,x,x,3,5,399240,187.5,3,5,390080,173.9
生活関連サービス業，娯楽業,55,2,3,x,x,2,3,x,x,2,4,x,x,2,4,x,x
生活関連サービス業，娯楽業,60,1,3,x,x,1,3,x,x,1,4,x,x,1,4,x,x
教育，学習支援業（学校教育を除く）／18,18,0,10,190210,100,-,-,-,-,-,-,-,-,-,-,-,-
教育，学習支援業（学校教育を除く）／20,20,0,2,x,x,0,9,196378,100,0,10,195640,100,-,-,-,-
教育，学習支援業（学校教育を除く）／22,22,0,4,x,x,0,4,x,x,0,5,213800,109.3,0,23,215391,100
教育，学習支援業（学校教育を除く）／25,25,0,3,x,x,0,3,x,x,0,4,x,x,0,8,240000,111.4
教育，学習支援業（学校教育を除く）／30,30,2,3,x,x,2,3,x,x,2,3,x,x,2,7,282929,131.4
教育，学習支援業（学校教育を除く）／35,35,3,3,x,x,3,3,x,x,3,3,x,x,3,6,303917,141.1
教育，学習支援業（学校教育を除く）／40,40,3,3,x,x,3,3,x,x,3,3,x,x,3,6,324750,150.8
教育，学習支援業（学校教育を除く）／45,45,3,3,x,x,3,3,x,x,3,3,x,x,3,6,347250,161.2
教育，学習支援業（学校教育を除く）／50,50,3,3,x,x,3,3,x,x,3,3,x,x,3,6,368083,170.9
教育，学習支援業（学校教育を除く）／55,55,2,3,x,x,2,3,x,x,2,3,x,x,2,6,386583,179.5
教育，学習支援業（学校教育を除く）／60,60,1,3,x,x,1,3,x,x,1,3,x,x,1,6,389750,180.9
医療，福祉／18,18,0,17,190065,100,-,-,-,-,-,-,-,-,-,-,-,-
医療，福祉／20,20,0,4,x,x,0,17,201718,100,0,20,210605,100,-,-,-,-
医療，福祉／22,22,0,4,x,x,0,5,215000,106.6,0,8,214575,101.9,0,22,210509,100
医療，福祉／25,25,0,4,x,x,0,5,235800,116.9,0,9,232756,110.5,0,11,229264,108.9
医療，福祉／30,30,2,5,254900,134.1,2,6,268167,132.9,2,10,260650,123.8,2,13,257123,122.1
医療，福祉／35,35,3,4,x,x,3,5,293900,145.7,3,9,288822,137.1,3,11,285455,135.6
医療，福祉／40,40,3,5,298400,157,3,6,317917,157.6,3,9,304111,144.4,3,11,305736,145.2
医療，福祉／45,45,3,4,x,x,3,5,337200,167.2,3,9,300167,142.5,3,10,321010,152.5
医療，福祉／50,50,3,5,352800,185.6,3,6,372583,184.7,3,9,346678,164.6,3,11,354427,168.4
医療，福祉／55,55,2,5,348700,183.5,2,5,382800,189.8,2,8,349313,165.9,2,10,371710,176.6
医療，福祉／60,60,1,4,x,x,1,5,397700,197.2,1,8,358738,170.3,1,10,387050,183.9
サービス業（他に分類されないもの）,18,0,38,192413,100,-,-,-,-,-,-,-,-,-,-,-,-
サービス業（他に分類されないもの）,20,0,15,200793,104.4,0,32,198638,100,0,32,199088,100,-,-,-,-
サービス業（他に分類されないもの）,22,0,16,210056,109.2,0,10,209500,105.5,0,12,207508,104.2,0,39,209444,100
サービス業（他に分類されないもの）,25,0,15,226180,117.5,0,10,225250,113.4,0,12,223542,112.3,0,17,222776,106.4
サービス業（他に分類されないもの）,30,2,15,243413,126.5,2,10,251720,126.7,2,11,251855,126.5,2,16,255363,121.9
サービス業（他に分類されないもの）,35,3,13,266792,138.7,3,11,276245,139.1,3,12,279083,140.2,3,15,289147,138.1
サービス業（他に分類されないもの）,40,3,13,288323,149.8,3,9,280633,141.3,3,10,286560,143.9,3,14,310986,148.5
サービス業（他に分類されないもの）,45,3,14,313671,163,3,9,305578,153.8,3,10,313520,157.5,3,14,346743,165.6
サービス業（他に分類されないもの）,50,3,12,339650,176.5,3,8,338000,170.2,3,9,346711,174.1,3,13,386077,184.3
サービス業（他に分類されないもの）,55,2,12,362083,188.2,2,8,361150,181.8,2,9,372678,187.2,2,13,412038,196.7
サービス業（他に分類されないもの）,60,1,12,359058,186.6,1,8,355963,179.2,1,9,365378,183.5,1,12,395108,188.6
