区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和5年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和4年年間給与支払額（円）,労組あり／集計人員（人）,労組あり／平均年齢（歳）,労組あり／平均勤続年数（年）,労組あり／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,労組あり／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,労組あり／令和5年7月1か月の平均賃金／所定時間外賃金（円）,労組あり／令和4年年間給与支払額（円）,労組なし／集計人員（人）,労組なし／平均年齢（歳）,労組なし／平均勤続年数（年）,労組なし／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,労組なし／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,労組なし／令和5年7月1か月の平均賃金／所定時間外賃金（円）,労組なし／令和4年年間給与支払額（円）
製造業／鉄鋼・非鉄金属製造業,220,42,13.4,324044,15668,20584,5048159,46,42.6,18.3,303146,21364,17493,4615326,174,41.8,12.1,329600,14163,21402,5169564
製造業／金属製品製造業,329,42,13,314742,12943,34459,5438681,30,41.7,15.5,348904,11283,-,4612720,299,42.1,12.8,311280,13110,34459,5527177
製造業／はん用・生産用・業務用機械器具製造業,230,46.5,14,357803,13701,18723,5519526,26,40.1,12.2,410640,18001,10492,7177890,204,47.4,14.2,351036,13153,19777,5337288
製造業／電気・電子部品・精密機械器具製造業,644,47.2,13.6,317727,11450,16256,4804872,243,45.6,18.4,329205,10522,15750,4783317,401,48.1,11,310668,12013,16563,4819449
製造業／輸送用機械器具製造業,254,42,11.7,325471,10918,30149,4928462,2,x,x,x,x,x,x,252,41.9,11.7,325336,10852,30388,4934133
製造業／その他の製造業,269,46.9,17.2,379162,8894,28651,5396838,122,44.4,15.2,381336,9082,1865,4750391,147,48.9,18.9,377360,8739,50700,5929475
情報通信業計,2181,39.8,10.7,411565,10222,30149,6101131,423,40.6,12.3,414288,8168,25642,7139640,1758,39.6,10.4,411089,10716,31282,5920608
情報通信業／通信・放送・インターネット附随サービス業,736,39.8,6.8,432870,11790,35603,6176546,168,38.9,6.9,438761,13089,6551,6039282,568,40,6.7,431106,11406,45482,6215973
情報通信業／情報サービス業,1025,37.8,10.7,357161,9869,24684,5388168,72,40.3,15.4,288513,9509,37575,5133289,953,37.6,10.4,362369,9896,23710,5408951
情報通信業／映像・音声・文字情報制作業,420,44.7,17.8,562000,8333,34910,8715339,183,42.2,16,496693,3122,38474,12023067,237,46.6,19.1,581021,12357,32135,7630838
運輸業，郵便業計,1022,47.7,11,313595,8059,42818,4678419,219,48.8,13.7,337668,9163,43618,5176455,803,47.5,10.2,310653,7758,42725,4534848
運輸業，郵便業／道路旅客運送業,211,54.2,12.5,279660,2318,30615,4196263,136,54.3,12.7,209716,519,84576,4580293,75,54.2,12.2,295204,5580,23420,3460656
運輸業，郵便業／道路貨物運送業,489,47.9,9.4,286820,5690,50217,4091832,-,-,-,-,-,-,-,489,47.9,9.4,286820,5690,50217,4091832
運輸業，郵便業／倉庫業・運輸に付帯するサービス業,322,43.3,12.3,361369,15418,34777,5957985,83,39.9,15.4,353084,23327,38683,6287111,239,44.5,11.3,364372,12672,33414,5843027
卸売業，小売業計,1867,42.9,10.7,345108,10759,20206,5007717,17,48.4,16.7,281278,9242,34297,3727965,1850,42.8,10.6,345669,10773,20069,5023279
卸売業，小売業／繊維・衣服等・飲食料品卸売業,168,48.4,14.3,336958,9404,22469,4492544,-,-,-,-,-,-,-,168,48.4,14.3,336958,9404,22469,4492544
卸売業，小売業／建築材料・鉱物・金属材料・機械器具等卸売業,585,42.7,12.1,363797,12184,21596,5424416,-,-,-,-,-,-,-,585,42.7,12.1,363797,12184,21596,5424416
卸売業，小売業／その他の卸売業,348,41.9,6.4,355586,11643,14267,5894093,-,-,-,-,-,-,-,348,41.9,6.4,355586,11643,14267,5894093
卸売業，小売業／織物・衣服・身の回り品小売業,187,45,13.4,319276,13462,17517,4198411,16,49.4,17.6,281278,9557,34999,3832213,171,44.5,13,322906,13828,15842,4243137
卸売業，小売業／飲食料品小売業,149,37.9,9.8,321457,6266,9276,4422314,-,-,-,-,-,-,-,149,37.9,9.8,321457,6266,9276,4422314
卸売業，小売業／機械器具等小売業,190,39.4,8.2,323900,12246,25669,4746035,1,x,x,x,x,x,x,189,39.5,8.2,323900,12288,25683,4763143
卸売業，小売業／その他の小売業,240,44.6,10.7,332488,6461,28288,4444267,-,-,-,-,-,-,-,240,44.6,10.7,332488,6461,28288,4444267
金融業，保険業計,1216,45,11.4,580972,13234,29025,9000305,-,-,-,-,-,-,-,1216,45,11.4,580972,13234,29025,9000305
金融業，保険業／金融業,742,45.6,12.1,491318,14426,27403,7560061,-,-,-,-,-,-,-,742,45.6,12.1,491318,14426,27403,7560061
金融業，保険業／証券業,474,44.1,10.3,723340,11370,31590,11648373,-,-,-,-,-,-,-,474,44.1,10.3,723340,11370,31590,11648373
不動産業，物品賃貸業計,902,38.2,7.3,395879,11997,10420,6279004,126,33,9.6,524957,18037,3802,11912116,776,39,6.9,374934,11016,11496,5417060
学術研究，専門・技術サービス業計,741,42.5,8,511297,10191,16356,6989591,-,-,-,-,-,-,-,741,42.5,8,511297,10191,16356,6989591
学術研究，専門・技術サービス業／専門サービス業,384,47.1,8.7,622750,7714,21661,8475326,-,-,-,-,-,-,-,384,47.1,8.7,622750,7714,21661,8475326
学術研究，専門・技術サービス業／広告業,357,37.8,7.2,400474,12854,10397,5425401,-,-,-,-,-,-,-,357,37.8,7.2,400474,12854,10397,5425401
宿泊業，飲食サービス業計,383,39.2,7.6,305574,13467,16496,3906344,40,49.1,17,323112,15137,6695,4804380,343,38.1,6.5,303395,13272,17724,3764362
宿泊業，飲食サービス業／宿泊業,213,38.8,6.1,314073,14729,9731,3623752,-,-,-,-,-,-,-,213,38.8,6.1,314073,14729,9731,3623752
宿泊業，飲食サービス業／飲食店,170,39.9,9.4,293697,11885,24186,4286147,40,49.1,17,323112,15137,6695,4804380,130,37,7.1,283097,10885,29652,4042273
生活関連サービス業，娯楽業計,452,43,12.3,350303,12739,22724,5089290,20,46.4,17.8,409773,21524,898,5358344,432,42.8,12,347600,12332,23710,5077624
教育，学習支援業（学校教育を除く）計,254,39.6,8.8,295568,11386,12649,3918411,3,x,x,x,x,x,x,251,39.6,8.7,295794,11516,12237,3918411
医療，福祉計,546,44.2,6.3,333923,7888,24776,4386365,-,-,-,-,-,-,-,546,44.2,6.3,333923,7888,24776,4386365
医療，福祉／医療業,270,41.8,6.5,359975,7726,27912,4657309,-,-,-,-,-,-,-,270,41.8,6.5,359975,7726,27912,4657309
医療，福祉／社会保険・社会福祉・介護事業,276,46.6,6.1,308956,8047,21770,4074247,-,-,-,-,-,-,-,276,46.6,6.1,308956,8047,21770,4074247
サービス業（他に分類されないもの）計,648,48,12.1,317590,11619,38180,4656471,59,41.2,12.3,347664,9412,77007,6339510,589,48.7,12.1,314268,11840,33476,4481298
サービス業（他に分類されないもの）／自動車整備・機械修理業,363,43.6,13.8,332267,14900,47043,5200875,53,40.3,11.6,347507,9459,85725,6521851,310,44.2,14.1,329645,15830,40430,4986786
サービス業（他に分類されないもの）／その他の事業サービス業,285,53.6,9.9,292598,7441,20600,3757137,6,49,18.3,349750,9000,0,4197000,279,53.7,9.7,291499,7407,21298,3748340
１０ ～ ４９人,6169,44.9,11,358235,10122,24910,5196869,179,45.8,15.3,331944,12530,21802,4652853,5990,44.9,10.9,359019,10051,24991,5213636
５０ ～ ９９人,4857,42.8,11.1,394798,11620,28668,5715674,542,44,17.4,348637,13117,28235,5319258,4315,42.7,10.3,400765,11432,28723,5768953
１００ ～ ２９９人,5176,41.6,11.5,390835,10941,28691,6216746,961,41.8,12.4,416056,10944,19957,6924139,4215,41.5,11.3,386521,10940,30424,6066013
