,,資料作成(表計算、文書作成等),財務会計,人事・労務,顧客・販売管理,仕入・在庫管理,物流管理,受発注,電子メール・企業内ＳＮＳ,企業情報の発信(ホームページやＳＮＳ等),金融サービス(資金決済、振込等),グループウェア,その他,無回答            ,  n
, 今回調査（全体）,91.8,74.2,50.6,48.9,26,8.2,43.5,84.2,54.5,54.5,38.5,4.5,0.6,462
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-03-07,21,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-04-09,17,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-05-18,12,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-05-26,09,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-06-19,17,道路上,30歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-07-18,18,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-07-19,23,道路上,30歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-09-24,07,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-10-19,18,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-10-28,10,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-11-16,17,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-12-07,12,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井３丁目,2018-12-15,17,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,練馬,富士見台駅前交番,131202,東京都,練馬区,貫井４丁目,2018-06-27,16,４階建て以上共同住宅,20歳代,大学生,施錠した
