産業,年齢（歳）,高校卒／扶養家族数（人）,高校卒／集計企業数（社）,高校卒／所定時間内賃金（円）,高校卒／上昇係数,高専・短大卒／扶養家族数（人）,高専・短大卒／集計企業数（社）,高専・短大卒／所定時間内賃金（円）,高専・短大卒／上昇係数,専門学校卒／扶養家族数（人）,専門学校卒／集計企業数（社）,専門学校卒／所定時間内賃金（円）,専門学校卒／上昇係数,大学卒／扶養家族数（人）,大学卒／集計企業数（社）,大学卒／所定時間内賃金（円）,大学卒／上昇係数
教育，学習支援業（学校教育を除く）／50,50,3,5,431400,217.7,3,5,427400,210.3,3,5,427400,210.8,3,7,416714,203.7
教育，学習支援業（学校教育を除く）／55,55,2,5,434100,219.1,2,5,430100,211.7,2,5,430100,212.1,2,6,434250,212.2
教育，学習支援業（学校教育を除く）／60,60,1,5,436800,220.4,1,5,432800,213,1,5,432800,213.5,1,7,436929,213.5
医療，福祉／18,18,0,24,201617,100,-,-,-,-,-,-,-,-,-,-,-,-
医療，福祉／20,20,0,7,227100,112.6,0,32,218347,100,0,34,224503,100,-,-,-,-
医療，福祉／22,22,0,7,229814,114,0,10,226250,103.6,0,15,230167,102.5,0,34,227941,100
医療，福祉／25,25,0,7,233243,115.7,0,9,231578,106.1,0,10,245420,109.3,0,13,245708,107.8
医療，福祉／30,30,2,6,257950,127.9,2,9,268733,123.1,2,9,268733,119.7,2,10,280060,122.9
医療，福祉／35,35,3,6,273617,135.7,3,8,279238,127.9,3,9,281544,125.4,3,9,283322,124.3
医療，福祉／40,40,3,7,273529,135.7,3,9,287567,131.7,3,9,286456,127.6,3,9,289667,127.1
医療，福祉／45,45,3,7,283529,140.6,3,9,301911,138.3,3,9,300800,134,3,9,304356,133.5
医療，福祉／50,50,3,7,301957,149.8,3,9,319822,146.5,3,9,318711,142,3,9,322589,141.5
医療，福祉／55,55,2,7,315957,156.7,2,9,344922,158,2,9,338256,150.7,2,9,342322,150.2
医療，福祉／60,60,1,7,329243,163.3,1,9,365022,167.2,1,9,363911,162.1,1,9,368567,161.7
サービス業（他に分類されないもの）,18,0,32,189694,100,-,-,-,-,-,-,-,-,-,-,-,-
サービス業（他に分類されないもの）,20,0,10,197950,104.4,0,25,197796,100,0,27,200622,100,-,-,-,-
サービス業（他に分類されないもの）,22,0,8,211838,111.7,0,5,205960,104.1,0,6,217967,108.6,0,27,213256,100
サービス業（他に分類されないもの）,25,0,8,246850,130.1,0,5,251960,127.4,0,6,258800,129,0,6,235017,110.2
サービス業（他に分類されないもの）,30,2,8,299213,157.7,2,5,325960,164.8,2,6,322800,160.9,2,6,279550,131.1
サービス業（他に分類されないもの）,35,3,8,340225,179.4,3,5,365960,185,3,6,364133,181.5,3,6,349967,164.1
サービス業（他に分類されないもの）,40,3,9,374878,197.6,3,5,413960,209.3,3,6,405800,202.3,3,6,394967,185.2
サービス業（他に分類されないもの）,45,3,8,419213,221,3,5,439960,222.4,3,6,437467,218.1,3,6,443550,208
サービス業（他に分類されないもの）,50,3,9,435222,229.4,3,5,459960,232.5,3,6,456633,227.6,3,6,479967,225.1
サービス業（他に分類されないもの）,55,2,8,470288,247.9,2,5,475960,240.6,2,6,474467,236.5,2,5,485960,227.9
サービス業（他に分類されないもの）,60,1,8,453875,239.3,1,5,475960,240.6,1,6,477300,237.9,1,5,473960,222.2
