学歴,年齢区分,男性／集計人員数（人）,男性／平均勤続年数（年）,男性／７月の所定時間内賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員数（人）,女性／平均勤続年数（年）,女性／７月の所定時間内賃金（円）,女性／令和3年年間給与支払額（円）
生産・作業【学歴計】,40～44歳,395,13.9,311905,4958920,61,11.9,249746,3698283
生産・作業【学歴計】,45～49歳,447,14.7,329476,5259879,89,12.2,250229,3701166
生産・作業【学歴計】,50～54歳,476,18.5,342223,5359824,64,12.9,283818,4131490
生産・作業【学歴計】,55～59歳,317,20.2,333267,5226898,58,15.8,235046,3387216
生産・作業【学歴計】,60歳以上,200,20.8,297305,4310463,26,16.5,227829,3180214
運転・運搬【学歴計】,～17歳,-,-,-,-,-,-,-,-
運転・運搬【学歴計】,18～19歳,-,-,-,-,-,-,-,-
運転・運搬【学歴計】,20～21歳,6,0.7,288325,4438000,-,-,-,-
運転・運搬【学歴計】,22～24歳,16,1.5,255744,3506080,-,-,-,-
運転・運搬【学歴計】,25～29歳,31,2.3,295631,3637522,-,-,-,-
運転・運搬【学歴計】,30～34歳,29,4.6,385262,4659304,-,-,-,-
運転・運搬【学歴計】,35～39歳,54,6,346930,4554338,-,-,-,-
運転・運搬【学歴計】,40～44歳,68,9.2,324130,4923100,1,x,x,x
運転・運搬【学歴計】,45～49歳,190,8.4,316036,4565320,4,x,x,x
運転・運搬【学歴計】,50～54歳,224,9,297288,4071592,8,6.8,389438,4323513
運転・運搬【学歴計】,55～59歳,208,11.9,296842,4119866,9,7.9,294336,3192078
運転・運搬【学歴計】,60歳以上,360,11.2,267202,3255106,-,-,-,-
