区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和4年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和3年年間給与支払額（円）,男性／集計人員（人）,男性／平均年齢（歳）,男性／平均勤続年数（年）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,男性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,男性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,男性／令和3年年間給与支払額（円）,女性／集計人員（人）,女性／平均年齢（歳）,女性／平均勤続年数（年）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,女性／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,女性／令和4年7月1か月の平均賃金／所定時間外賃金（円）,女性／令和3年年間給与支払額（円）
教育，学習支援業（学校教育を除く）計,311,43.2,9.5,305788,9849,55891,5012566,162,45.4,10.4,330711,12255,65958,5407562,149,40.8,8.5,278507,7233,45021,4500246
医療，福祉計,485,44.2,6.5,309048,8402,29562,4440243,205,40.8,6,320756,10935,29123,4695172,280,46.7,6.9,300415,6547,29916,4258298
医療，福祉／医療業,320,40.6,5.5,309202,10522,31170,4484731,171,39.9,5.7,319616,12342,29819,4683030,149,41.5,5.4,297087,8434,32811,4263552
医療，福祉／社会保険・社会福祉・介護事業,165,51,8.5,308752,4289,25812,4358682,34,45.3,7.4,326489,3859,24892,4750191,131,52.5,8.8,304148,4400,26057,4252510
サービス業（他に分類されないもの）計,1184,44.4,12.8,331850,12312,38876,5353782,935,44.2,13.3,345342,12482,45995,5609810,249,45.4,10.9,281241,11673,12418,4327308
サービス業（他に分類されないもの）／自動車整備・機械修理業,800,42.7,13.7,344994,11788,48082,5764971,676,42.6,13.9,355690,12005,55170,5959502,124,43.6,12.6,286770,10605,10182,4610637
サービス業（他に分類されないもの）／その他の事業サービス業,384,48,10.6,304499,13403,19709,4495189,259,48.4,11.4,318372,13726,22138,4697129,125,47.1,8.8,275755,12733,14672,4056742
１０ ～ ４９人,9417,44.2,11.1,340695,11156,30494,5006535,6288,45.2,12.2,364351,11455,35633,5398378,3099,42.1,9,292999,10591,20163,4155200
５０ ～ ９９人,7104,42.6,11,379263,11626,31321,5890931,4934,43.8,11.5,401881,11947,33894,6278902,2168,40.1,9.7,328657,10899,25497,4961288
１００ ～ ２９９人,9120,41.7,11.3,376038,11315,35295,5933338,6320,43.3,12.1,396338,11256,38122,6209744,2563,38,9.2,324930,10821,28616,5163468
