区分,合計／集計人員（人）,合計／平均年齢（歳）,合計／平均勤続年数（年）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,合計／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,合計／令和4年7月1か月の平均賃金／所定時間外賃金（円）,合計／令和3年年間給与支払額（円）,労組あり／集計人員（人）,労組あり／平均年齢（歳）,労組あり／平均勤続年数（年）,労組あり／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,労組あり／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,労組あり／令和4年7月1か月の平均賃金／所定時間外賃金（円）,労組あり／令和3年年間給与支払額（円）,労組なし／集計人員（人）,労組なし／平均年齢（歳）,労組なし／平均勤続年数（年）,労組なし／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,労組なし／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,労組なし／令和4年7月1か月の平均賃金／所定時間外賃金（円）,労組なし／令和3年年間給与支払額（円）
情報通信業計,2486,38,9.7,359643,10275,39097,5606478,344,41.8,11.2,415898,12885,38893,6988988,2142,37.4,9.4,350583,9856,39130,5387372
情報通信業／通信・放送・インターネット附随サービス業,447,37.4,5.5,394683,5276,58577,5348110,-,-,-,-,-,-,-,447,37.4,5.5,394683,5276,58577,5348110
情報通信業／情報サービス業,1131,36.2,10.1,318206,10477,37796,5083425,-,-,-,-,-,-,-,1131,36.2,10.1,318206,10477,37796,5083425
情報通信業／映像・音声・文字情報制作業,908,40.4,11.1,394238,12486,31107,6371117,344,41.8,11.2,415898,12885,38893,6988988,564,39.6,11.1,381027,12243,26359,6010591
運輸業，郵便業計,2047,51.2,9.9,305075,7379,48154,4163239,837,50.9,10.8,329166,5254,45583,4255335,1210,51.4,9.3,289978,8849,49710,4100630
運輸業，郵便業／道路旅客運送業,1103,57.4,9.2,301136,2549,38124,3557196,618,54.6,9,322987,1151,37035,3698861,485,61,9.4,276617,4331,39275,3375102
運輸業，郵便業／道路貨物運送業,298,50,10.6,295409,7887,85712,4607720,1,x,x,x,x,x,x,297,50,10.6,295391,7887,86000,4607024
運輸業，郵便業／倉庫業・運輸に付帯するサービス業,646,41.1,10.9,315680,15392,46326,4982826,218,40.4,15.8,344402,16875,65907,5867411,428,41.4,8.4,301051,14637,36352,4542801
卸売業，小売業計,2968,42.8,11.2,337156,12319,22349,5117364,36,45.4,19.4,304774,13752,4797,4216553,2932,42.8,11.1,337556,12301,22570,5129901
卸売業，小売業／繊維・衣服等・飲食料品卸売業,534,41.7,11.9,338407,10745,25338,5396246,36,45.4,19.4,304774,13752,4797,4216553,498,41.4,11.4,340858,10527,26924,5492432
卸売業，小売業／建築材料・鉱物・金属材料・機械器具等卸売業,487,41.8,12.5,386750,14166,17630,6180885,-,-,-,-,-,-,-,487,41.8,12.5,386750,14166,17630,6180885
卸売業，小売業／その他の卸売業,845,43.6,11.2,331887,13860,22422,5021170,-,-,-,-,-,-,-,845,43.6,11.2,331887,13860,22422,5021170
卸売業，小売業／織物・衣服・身の回り品小売業,297,43.4,11.8,297964,13867,10787,3816528,-,-,-,-,-,-,-,297,43.4,11.8,297964,13867,10787,3816528
卸売業，小売業／飲食料品小売業,127,40.8,10,310889,3989,23695,4382033,-,-,-,-,-,-,-,127,40.8,10,310889,3989,23695,4382033
卸売業，小売業／機械器具等小売業,422,42.3,9.2,350763,12677,33375,5468337,-,-,-,-,-,-,-,422,42.3,9.2,350763,12677,33375,5468337
卸売業，小売業／その他の小売業,256,45.7,10.7,293255,8744,19026,4099378,-,-,-,-,-,-,-,256,45.7,10.7,293255,8744,19026,4099378
金融業，保険業計,2402,43,11.2,507549,12958,31903,8163759,460,41.6,11.1,528395,12576,40614,8447093,1942,43.3,11.2,502575,13048,29779,8102738
金融業，保険業／金融業,1567,42.5,11.6,452703,13425,33951,7521246,25,35.3,4.8,333052,18346,58878,4429570,1542,42.6,11.7,454650,13346,33533,7565508
金融業，保険業／証券業,835,43.9,10.3,611074,12080,28173,9520600,435,41.9,11.5,539621,12244,39564,8676665,400,46,9,690365,11901,15692,10440777
不動産業，物品賃貸業計,801,38.3,7.7,347505,12042,22918,5177256,17,56.1,8.7,360222,30345,2039,4249760,784,37.9,7.7,347228,11645,23370,5198793
学術研究，専門・技術サービス業計,1338,41.1,8.4,432183,9974,18291,6048660,12,42.9,14.7,339222,10056,-,4751727,1326,41.1,8.3,432887,9973,18291,6061713
学術研究，専門・技術サービス業／専門サービス業,635,45,8.2,537842,9037,20659,7441461,12,42.9,14.7,339222,10056,-,4751727,623,45.1,8,541056,9018,20659,7497925
学術研究，専門・技術サービス業／広告業,703,37.5,8.6,337796,10820,16101,4739085,-,-,-,-,-,-,-,703,37.5,8.6,337796,10820,16101,4739085
宿泊業，飲食サービス業計,572,40.4,8.1,306417,11057,30617,3847299,87,31.5,4.5,254106,6367,64775,3707910,485,42,8.7,315918,11899,23984,3872041
宿泊業，飲食サービス業／宿泊業,328,40.1,7.2,303244,13163,15904,3642258,34,28.6,1.9,279211,8682,38133,3468983,294,41.4,7.9,306071,13682,13063,3659731
宿泊業，飲食サービス業／飲食店,244,40.8,9.3,310635,8226,49400,4104337,53,33.3,6.2,238001,4882,81866,3829915,191,42.9,10.2,330896,9154,39946,4183953
生活関連サービス業，娯楽業計,501,41.5,9.4,323404,12598,23457,4530082,-,-,-,-,-,-,-,501,41.5,9.4,323404,12598,23457,4530082
教育，学習支援業（学校教育を除く）計,311,43.2,9.5,305788,9849,55891,5012566,52,46.7,12.6,307885,13923,96950,5939029,259,42.5,8.9,305365,9031,46805,4770880
医療，福祉計,485,44.2,6.5,309048,8402,29562,4440243,-,-,-,-,-,-,-,485,44.2,6.5,309048,8402,29562,4440243
医療，福祉／医療業,320,40.6,5.5,309202,10522,31170,4484731,-,-,-,-,-,-,-,320,40.6,5.5,309202,10522,31170,4484731
医療，福祉／社会保険・社会福祉・介護事業,165,51,8.5,308752,4289,25812,4358682,-,-,-,-,-,-,-,165,51,8.5,308752,4289,25812,4358682
サービス業（他に分類されないもの）計,1184,44.4,12.8,331850,12312,38876,5353782,82,44.4,16.2,363232,13025,21725,6198905,1102,44.4,12.6,329512,12258,40174,5287547
サービス業（他に分類されないもの）／自動車整備・機械修理業,800,42.7,13.7,344994,11788,48082,5764971,55,42.3,13.6,354401,11882,32390,5963553,745,42.8,13.7,344299,11781,49261,5748910
サービス業（他に分類されないもの）／その他の事業サービス業,384,48,10.6,304499,13403,19709,4495189,27,48.7,21.4,381222,15354,0,6738254,357,47.9,9.6,298697,13255,21225,4331062
１０ ～ ４９人,9417,44.2,11.1,340695,11156,30494,5006535,458,46.4,13.8,297173,11505,51634,4693273,8959,44.1,11,342918,11138,29393,5023085
５０ ～ ９９人,7104,42.6,11,379263,11626,31321,5890931,759,44.6,15.4,369307,11366,21340,5418327,6345,42.4,10.4,380356,11657,32531,5951163
１００ ～ ２９９人,9120,41.7,11.3,376038,11315,35295,5933338,2266,43.5,11.8,399913,11451,41243,6190785,6854,41.1,11.1,368207,11270,33398,5846835
