区分,10～49人／集計人員（人）,10～49人／平均年齢（歳）,10～49人／平均勤続年数（年）,10～49人／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,10～49人／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,10～49人／令和5年7月1か月の平均賃金／所定時間外賃金（円）,10～49人／令和4年年間給与支払額（円）,50～99人／集計人員（人）,50～99人／平均年齢（歳）,50～99人／平均勤続年数（年）,50～99人／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,50～99人／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,50～99人／令和5年7月1か月の平均賃金／所定時間外賃金（円）,50～99人／令和4年年間給与支払額（円）,100～299人／集計人員（人）,100～299人／平均年齢（歳）,100～299人／平均勤続年数（年）,100～299人／令和5年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,100～299人／令和5年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,100～299人／令和5年7月1か月の平均賃金／所定時間外賃金（円）,100～299人／令和4年年間給与支払額（円）
製造業／電気・電子部品・精密機械器具製造業,176,48.6,14,330461,11704,8819,4911962,257,46.8,16.8,328902,12549,18006,4879825,211,46.5,9.4,293531,9901,20328,4596435
製造業／輸送用機械器具製造業,52,44.5,8.4,301429,8716,14167,4366432,57,43.5,10,326475,15124,31229,4974196,145,40.5,13.5,333698,10054,35455,5102082
製造業／その他の製造業,148,48.9,18.9,377360,8680,50700,5929475,71,45.8,17.1,403529,14091,0,4709461,50,42.4,12.5,349823,2151,4514,4805237
情報通信業計,488,39.3,9.1,396388,11799,36946,5484513,670,37.3,7.9,381911,9570,30067,5684000,1023,41.7,13.4,442514,9896,27451,6729407
情報通信業／通信・放送・インターネット附随サービス業,364,39.3,7.6,413118,11683,45080,5785347,204,41.4,5.2,462586,10912,46054,7116888,168,38.9,6.9,438761,13089,6551,6039282
情報通信業／情報サービス業,114,38.2,13,333946,11631,19495,4590846,464,35.4,9.1,346443,9022,23037,5152783,447,40.1,11.8,374000,10300,27717,5822977
情報通信業／映像・音声・文字情報制作業,10,52.4,19.2,508395,17916,0,6520000,2,x,x,x,x,x,x,408,44.5,17.7,563662,8139,35766,8770917
運輸業，郵便業計,290,48.3,11.2,356487,6882,32745,4898966,284,47.5,11.4,310121,9766,31899,4465934,448,47.6,10.6,283480,7739,61488,4681710
運輸業，郵便業／道路旅客運送業,34,57.2,10.6,195000,0,2059,3231647,48,54.1,14.7,276569,8627,52755,3601557,129,53.5,12.2,442000,581,0,4653349
運輸業，郵便業／道路貨物運送業,89,50,10.2,334605,2933,29163,3767878,138,48.3,10.3,290996,3598,27146,3877429,262,46.9,8.7,268754,7729,69521,4333850
運輸業，郵便業／倉庫業・運輸に付帯するサービス業,167,45.5,11.8,372625,10388,40951,5920258,98,43.1,11.4,353931,19008,28377,5790892,57,37.1,15.6,342828,23984,27799,6374992
卸売業，小売業計,1270,44,11.7,343027,10654,20260,4902535,351,39.9,11,348485,12367,24152,5239482,246,41.2,5.2,349873,9007,14333,5241470
卸売業，小売業／繊維・衣服等・飲食料品卸売業,127,48.1,13.4,344142,7814,29722,4841410,41,49.4,16.9,314882,14328,0,3692707,-,-,-,-,-,-,-
卸売業，小売業／建築材料・鉱物・金属材料・機械器具等卸売業,370,43.3,11.2,365208,13310,18688,5539395,104,40.3,16.7,380842,16907,29767,5409361,111,43.2,10.7,343216,4005,22740,5124386
卸売業，小売業／その他の卸売業,147,43.4,11.5,327798,12621,23125,4994204,66,43.1,9.2,415438,6444,10288,7679673,135,39.6,0.6,355347,13120,7420,6685500
卸売業，小売業／織物・衣服・身の回り品小売業,187,45,13.4,319276,13462,17517,4198411,-,-,-,-,-,-,-,-,-,-,-,-,-,-
卸売業，小売業／飲食料品小売業,132,39.6,10.5,332607,6595,8184,4585792,17,26.9,4.6,254561,3704,16537,3346083,-,-,-,-,-,-,-
卸売業，小売業／機械器具等小売業,108,42.5,9.4,349460,10297,11479,4927496,82,35.4,6.6,295847,14812,44011,4529289,-,-,-,-,-,-,-
卸売業，小売業／その他の小売業,199,45.7,11.8,332114,6323,30260,4394678,41,38.6,5.1,333807,7128,19708,4639867,-,-,-,-,-,-,-
金融業，保険業計,118,48.9,13.4,539829,12355,27303,8463602,475,45.2,6.7,631778,12531,33640,9903499,623,44.1,14.7,549790,13937,25806,8500966
金融業，保険業／金融業,46,50.3,16,606514,11210,0,8550570,355,46,8,473601,14809,42571,7751754,341,44.5,15.9,494119,14460,15309,7242855
金融業，保険業／証券業,72,48,11.8,497224,13086,44746,8402988,120,42.4,2.8,1097082,5794,7220,19586355,282,43.7,13.2,619075,13304,38727,10237367
不動産業，物品賃貸業計,18,57.3,3.5,320789,7980,286,5097770,102,45.2,13.5,426954,16038,9702,5272605,782,36.8,6.6,393490,11562,10734,6461700
学術研究，専門・技術サービス業計,367,44.3,8.7,479532,11663,29254,7119243,374,40.8,7.3,543243,8746,4151,6874868,-,-,-,-,-,-,-
学術研究，専門・技術サービス業／専門サービス業,220,48.2,9,549361,11560,37178,8166786,164,45.6,8.4,728756,2556,940,8890493,-,-,-,-,-,-,-
学術研究，専門・技術サービス業／広告業,147,38.6,8.3,380050,11817,16207,5360525,210,37.2,6.4,414811,13581,6682,5461852,-,-,-,-,-,-,-
宿泊業，飲食サービス業計,219,42,7.1,292002,11876,22957,3772649,53,48.4,14.8,314640,14639,20346,4759798,111,29.6,5.1,325657,16047,3306,3648517
宿泊業，飲食サービス業／宿泊業,99,48.5,7.3,301150,13193,19112,3550052,3,x,x,x,x,x,x,111,29.6,5.1,325657,16047,3306,3648517
宿泊業，飲食サービス業／飲食店,120,36.5,6.9,283304,10789,25466,3989464,50,47.7,15.3,315332,14517,21166,4762077,-,-,-,-,-,-,-
生活関連サービス業，娯楽業計,302,43,12.1,358509,12091,19346,5487356,150,42.8,12.6,332896,14044,29256,4343659,-,-,-,-,-,-,-
教育，学習支援業（学校教育を除く）計,182,39.8,8.5,302088,12464,12555,4110186,72,39.1,9.3,272606,8660,12892,3301991,-,-,-,-,-,-,-
医療，福祉計,471,44.3,6.5,335137,7207,23569,4415735,75,43.9,5,326171,12164,32084,4076436,-,-,-,-,-,-,-
医療，福祉／医療業,268,41.6,6.5,359975,7783,27912,4657309,2,x,x,x,x,x,x,-,-,-,-,-,-,-
医療，福祉／社会保険・社会福祉・介護事業,203,47.8,6.6,302744,6447,17808,4073746,73,43,4.9,326171,12498,32084,4076436,-,-,-,-,-,-,-
サービス業（他に分類されないもの）計,468,50.5,10.8,315900,9680,24475,4350470,180,41.5,15.4,321281,16661,66047,5312951,-,-,-,-,-,-,-
サービス業（他に分類されないもの）／自動車整備・機械修理業,191,45.8,12.4,339517,12835,32291,5070819,172,41.2,15.3,324301,17192,63425,5338068,-,-,-,-,-,-,-
サービス業（他に分類されないもの）／その他の事業サービス業,277,53.7,9.8,294019,7504,15945,3714651,8,48.8,15.6,256370,5245,122426,4798050,-,-,-,-,-,-,-
