企業規模,４系列職種,年齢（歳）,高校卒／扶養家族数（人）,高校卒／集計企業数（社）,高校卒／所定時間内賃金（円）,高校卒／上昇係数,高専・短大卒／扶養家族数（人）,高専・短大卒／集計企業数（社）,高専・短大卒／所定時間内賃金（円）,高専・短大卒／上昇係数,専門学校卒／扶養家族数（人）,専門学校卒／集計企業数（社）,専門学校卒／所定時間内賃金（円）,専門学校卒／上昇係数,大学卒／扶養家族数（人）,大学卒／集計企業数（社）,大学卒／所定時間内賃金（円）,大学卒／上昇係数
１０～４９人,事務系,18,0,118,194416,100,-,-,-,-,-,-,-,-,-,-,-,-
１０～４９人,事務系,20,0,40,196795,101.2,0,110,204845,100,0,111,205464,100,-,-,-,-
１０～４９人,事務系,22,0,36,207183,106.6,0,34,208326,101.7,0,32,214013,104.2,0,129,218150,100
１０～４９人,事務系,25,0,36,223506,115,0,32,223781,109.2,0,29,225645,109.8,0,42,240648,110.3
１０～４９人,事務系,30,2,38,260318,133.9,2,33,253570,123.8,2,30,255630,124.4,2,43,267686,122.7
１０～４９人,事務系,35,3,36,288775,148.5,3,32,287319,140.3,3,28,291129,141.7,3,37,305389,140
１０～４９人,事務系,40,3,36,316617,162.9,3,32,317753,155.1,3,28,320918,156.2,3,39,345962,158.6
１０～４９人,事務系,45,3,37,337697,173.7,3,33,339355,165.7,3,30,345653,168.2,3,39,371513,170.3
１０～４９人,事務系,50,3,36,360831,185.6,3,32,365294,178.3,3,29,371434,180.8,3,39,405959,186.1
１０～４９人,事務系,55,2,36,374853,192.8,2,32,379913,185.5,2,28,386436,188.1,2,38,423653,194.2
１０～４９人,事務系,60,1,36,374850,192.8,1,32,380750,185.9,1,28,389643,189.6,1,36,436458,200.1
１０～４９人,技術系,18,0,67,200236,100,-,-,-,-,-,-,-,-,-,-,-,-
１０～４９人,技術系,20,0,24,202733,101.2,0,69,211807,100,0,70,211761,100,-,-,-,-
１０～４９人,技術系,22,0,23,212274,106,0,20,214035,101.1,0,21,218533,103.2,0,77,223823,100
１０～４９人,技術系,25,0,23,227513,113.6,0,19,229321,108.3,0,20,232280,109.7,0,27,240585,107.5
１０～４９人,技術系,30,2,23,256091,127.9,2,19,255100,120.4,2,21,267400,126.3,2,28,267604,119.6
１０～４９人,技術系,35,3,25,292988,146.3,3,20,282170,133.2,3,18,284328,134.3,3,26,295708,132.1
１０～４９人,技術系,40,3,23,295804,147.7,3,19,303879,143.5,3,19,321326,151.7,3,26,326558,145.9
１０～４９人,技術系,45,3,23,329313,164.5,3,19,323563,152.8,3,20,332610,157.1,3,24,342017,152.8
１０～４９人,技術系,50,3,23,359352,179.5,3,19,348779,164.7,3,19,360600,170.3,3,27,387459,173.1
１０～４９人,技術系,55,2,22,361414,180.5,2,18,368983,174.2,2,18,393789,186,2,24,408704,182.6
１０～４９人,技術系,60,1,21,367348,183.5,1,18,374628,176.9,1,17,385400,182,1,22,403636,180.3
１０～４９人,生産系,18,0,67,196258,100,-,-,-,-,-,-,-,-,-,-,-,-
１０～４９人,生産系,20,0,25,201284,102.6,0,58,207331,100,0,58,208359,100,-,-,-,-
１０～４９人,生産系,22,0,22,213173,108.6,0,20,210975,101.8,0,18,215194,103.3,0,57,217560,100
１０～４９人,生産系,25,0,23,225743,115,0,18,222389,107.3,0,16,226125,108.5,0,18,238639,109.7
１０～４９人,生産系,30,2,24,262971,134,2,19,249400,120.3,2,17,252859,121.4,2,18,264672,121.7
１０～４９人,生産系,35,3,24,287383,146.4,3,18,278800,134.5,3,15,286227,137.4,3,16,296806,136.4
１０～４９人,生産系,40,3,22,308995,157.4,3,18,300600,145,3,15,310053,148.8,3,16,327050,150.3
１０～４９人,生産系,45,3,23,326535,166.4,3,19,317542,153.2,3,17,331841,159.3,3,17,346488,159.3
１０～４９人,生産系,50,3,22,351691,179.2,3,18,344606,166.2,3,15,357593,171.6,3,16,376650,173.1
１０～４９人,生産系,55,2,22,366923,187,2,18,355778,171.6,2,15,372600,178.8,2,16,384719,176.8
１０～４９人,生産系,60,1,22,362027,184.5,1,18,354406,170.9,1,15,367820,176.5,1,15,384587,176.8
５０～９９人,合計,18,0,105,197373,100,-,-,-,-,-,-,-,-,-,-,-,-
５０～９９人,合計,20,0,41,207883,105.3,0,104,208137,100,0,105,209084,100,-,-,-,-
５０～９９人,合計,22,0,39,221159,112.1,0,36,224331,107.8,0,37,223916,107.1,0,135,221830,100
５０～９９人,合計,25,0,39,238103,120.6,0,33,242221,116.4,0,34,243559,116.5,0,51,246145,111
５０～９９人,合計,30,2,34,274985,139.3,2,29,279990,134.5,2,30,279937,133.9,2,45,289702,130.6
５０～９９人,合計,35,3,36,301169,152.6,3,30,311940,149.9,3,30,314090,150.2,3,44,328123,147.9
５０～９９人,合計,40,3,34,329782,167.1,3,28,347964,167.2,3,29,352193,168.4,3,44,374252,168.7
５０～９９人,合計,45,3,32,356350,180.5,3,26,369323,177.4,3,27,377567,180.6,3,38,409811,184.7
５０～９９人,合計,50,3,31,377994,191.5,3,26,389638,187.2,3,27,396815,189.8,3,37,419689,189.2
５０～９９人,合計,55,2,31,393113,199.2,2,26,395415,190,2,27,411581,196.8,2,38,449779,202.8
５０～９９人,合計,60,1,30,387727,196.4,1,25,395912,190.2,1,26,403565,193,1,34,433209,195.3
５０～９９人,営業販売系,18,0,37,193343,100,-,-,-,-,-,-,-,-,-,-,-,-
５０～９９人,営業販売系,20,0,14,197264,102,0,37,203927,100,0,38,203476,100,-,-,-,-
５０～９９人,営業販売系,22,0,13,210431,108.8,0,14,212264,104.1,0,14,212693,104.5,0,50,219172,100
５０～９９人,営業販売系,25,0,13,231885,119.9,0,13,235677,115.6,0,13,239600,117.8,0,18,236500,107.9
５０～９９人,営業販売系,30,2,12,291625,150.8,2,12,291142,142.8,2,12,295308,145.1,2,18,287006,131
５０～９９人,営業販売系,35,3,12,329150,170.2,3,12,333883,163.7,3,11,340964,167.6,3,16,337106,153.8
５０～９９人,営業販売系,40,3,12,373150,193,3,12,385425,189,3,11,395373,194.3,3,16,400944,182.9
５０～９９人,営業販売系,45,3,11,409100,211.6,3,11,409673,200.9,3,10,420840,206.8,3,15,469020,214
５０～９９人,営業販売系,50,3,10,439670,227.4,3,11,431255,211.5,3,10,443080,217.8,3,14,478986,218.5
５０～９９人,営業販売系,55,2,10,461130,238.5,2,11,452582,221.9,2,10,464540,228.3,2,15,517493,236.1
５０～９９人,営業販売系,60,1,10,438390,226.7,1,10,442340,216.9,1,9,450600,221.5,1,13,494877,225.8
５０～９９人,事務系,18,0,42,190783,100,-,-,-,-,-,-,-,-,-,-,-,-
５０～９９人,事務系,20,0,17,196153,102.8,0,42,200843,100,0,42,202800,100,-,-,-,-
５０～９９人,事務系,22,0,17,205482,107.7,0,15,207420,103.3,0,14,208379,102.8,0,57,219911,100
５０～９９人,事務系,25,0,17,222341,116.5,0,15,225347,112.2,0,14,227229,112,0,21,233786,106.3
５０～９９人,事務系,30,2,16,273050,143.1,2,14,270829,134.8,2,13,273969,135.1,2,21,276652,125.8
５０～９９人,事務系,35,3,16,302713,158.7,3,14,306214,152.5,3,13,310077,152.9,3,19,317505,144.4
５０～９９人,事務系,40,3,16,340169,178.3,3,14,357457,178,3,13,363723,179.4,3,19,377705,171.8
５０～９９人,事務系,45,3,15,365747,191.7,3,13,374362,186.4,3,12,380725,187.7,3,18,431844,196.4
５０～９９人,事務系,50,3,14,387343,203,3,13,389608,194,3,12,395992,195.3,3,17,436435,198.5
５０～９９人,事務系,55,2,14,410371,215.1,2,13,402162,200.2,2,12,407925,201.1,2,18,467094,212.4
５０～９９人,事務系,60,1,13,400985,210.2,1,12,387092,192.7,1,11,388827,191.7,1,15,440413,200.3
５０～９９人,技術系,18,0,29,191810,100,-,-,-,-,-,-,-,-,-,-,-,-
５０～９９人,技術系,20,0,13,194608,101.5,0,29,202200,100,0,30,202827,100,-,-,-,-
５０～９９人,技術系,22,0,12,207858,108.4,0,11,204000,100.9,0,12,204083,100.6,0,36,218536,100
５０～９９人,技術系,25,0,12,227617,118.7,0,10,222440,110,0,11,224282,110.6,0,16,228231,104.4
５０～９９人,技術系,30,2,10,283960,148,2,9,281733,139.3,2,10,279200,137.7,2,15,282907,129.5
５０～９９人,技術系,35,3,11,315836,164.7,3,9,325978,161.2,3,10,324340,159.9,3,14,330386,151.2
５０～９９人,技術系,40,3,10,356320,185.8,3,9,389967,192.9,3,10,383230,188.9,3,14,404343,185
５０～９９人,技術系,45,3,8,402200,209.7,3,7,433243,214.3,3,8,432200,213.1,3,11,479864,219.6
５０～９９人,技術系,50,3,7,434114,226.3,3,7,456214,225.6,3,8,456238,224.9,3,10,481070,220.1
５０～９９人,技術系,55,2,7,444914,232,2,7,443529,219.4,2,8,466825,230.2,2,11,505227,231.2
５０～９９人,技術系,60,1,7,434514,226.5,1,6,454050,224.6,1,7,442171,218,1,9,470344,215.2
５０～９９人,生産系,18,0,29,186193,100,-,-,-,-,-,-,-,-,-,-,-,-
５０～９９人,生産系,20,0,12,193125,103.7,0,25,199592,100,0,25,199392,100,-,-,-,-
５０～９９人,生産系,22,0,12,202225,108.6,0,8,211963,106.2,0,7,210814,105.7,0,28,210829,100
５０～９９人,生産系,25,0,11,214627,115.3,0,8,226250,113.4,0,7,226429,113.6,0,10,227640,108
５０～９９人,生産系,30,2,11,246364,132.3,2,8,259375,130,2,7,257143,129,2,9,258767,122.7
５０～９９人,生産系,35,3,11,268673,144.3,3,8,293575,147.1,3,7,286500,143.7,3,9,292522,138.7
５０～９９人,生産系,40,3,11,294618,158.2,3,7,333914,167.3,3,7,333914,167.5,3,8,334425,158.6
５０～９９人,生産系,45,3,10,312620,167.9,3,6,335967,168.3,3,6,335967,168.5,3,7,342257,162.3
５０～９９人,生産系,50,3,9,325267,174.7,3,6,353133,176.9,3,6,353133,177.1,3,7,359829,170.7
５０～９９人,生産系,55,2,9,346844,186.3,2,6,379833,190.3,2,6,381500,191.3,2,7,387000,183.6
５０～９９人,生産系,60,1,9,324278,174.2,1,5,339000,169.8,1,5,339000,170,1,6,353333,167.6
１００～２９９人,合計,18,0,69,192991,100,-,-,-,-,-,-,-,-,-,-,-,-
１００～２９９人,合計,20,0,29,200962,104.1,0,64,204734,100,0,63,206587,100,-,-,-,-
１００～２９９人,合計,22,0,27,215089,111.5,0,25,214436,104.7,0,25,216684,104.9,0,84,225969,100
１００～２９９人,合計,25,0,26,232669,120.6,0,24,232079,113.4,0,23,234026,113.3,0,38,243229,107.6
１００～２９９人,合計,30,2,27,264537,137.1,2,24,264492,129.2,2,22,267000,129.2,2,33,284221,125.8
１００～２９９人,合計,35,3,25,310176,160.7,3,23,307004,150,3,21,309529,149.8,3,31,345542,152.9
１００～２９９人,合計,40,3,24,335904,174.1,3,21,330362,161.4,3,20,333380,161.4,3,29,393403,174.1
１００～２９９人,合計,45,3,23,364957,189.1,3,21,364043,177.8,3,20,367445,177.9,3,27,426933,188.9
１００～２９９人,合計,50,3,24,390729,202.5,3,22,392514,191.7,3,21,396490,191.9,3,27,471711,208.8
１００～２９９人,合計,55,2,22,425555,220.5,2,21,416552,203.5,2,20,421530,204,2,26,501138,221.8
１００～２９９人,合計,60,1,23,425591,220.5,1,21,426000,208.1,1,21,426476,206.4,1,27,502970,222.6
１００～２９９人,営業販売系,18,0,32,185634,100,-,-,-,-,-,-,-,-,-,-,-,-
１００～２９９人,営業販売系,20,0,12,191250,103,0,29,198414,100,0,27,200926,100,-,-,-,-
１００～２９９人,営業販売系,22,0,10,201980,108.8,0,11,204982,103.3,0,10,208700,103.9,0,39,223390,100
１００～２９９人,営業販売系,25,0,10,216900,116.8,0,10,219000,110.4,0,8,222775,110.9,0,15,238333,106.7
１００～２９９人,営業販売系,30,2,11,246664,132.9,2,11,247482,124.7,2,9,249833,124.3,2,14,278114,124.5
１００～２９９人,営業販売系,35,3,9,286811,154.5,3,9,288922,145.6,3,7,291329,145,3,12,351550,157.4
１００～２９９人,営業販売系,40,3,7,290129,156.3,3,7,292843,147.6,3,6,296650,147.6,3,11,391591,175.3
１００～２９９人,営業販売系,45,3,7,312257,168.2,3,7,315686,159.1,3,6,318967,158.7,3,10,436910,195.6
１００～２９９人,営業販売系,50,3,8,338263,182.2,3,8,345638,174.2,3,7,350871,174.6,3,10,488300,218.6
１００～２９９人,営業販売系,55,2,7,343586,185.1,2,7,347729,175.3,2,6,352850,175.6,2,9,531956,238.1
１００～２９９人,営業販売系,60,1,7,345729,186.2,1,7,349871,176.3,1,7,351300,174.8,1,10,522980,234.1
１００～２９９人,事務系,18,0,41,187461,100,-,-,-,-,-,-,-,-,-,-,-,-
１００～２９９人,事務系,20,0,12,196625,104.9,0,35,199520,100,0,35,200406,100,-,-,-,-
１００～２９９人,事務系,22,0,11,210527,112.3,0,11,210845,105.7,0,11,211955,105.8,0,47,219791,100
１００～２９９人,事務系,25,0,11,227836,121.5,0,11,226518,113.5,0,11,226973,113.3,0,19,245042,111.5
１００～２９９人,事務系,30,2,11,257318,137.3,2,11,258227,129.4,2,11,258682,129.1,2,19,281795,128.2
１００～２９９人,事務系,35,3,10,305330,162.9,3,10,301230,151,3,10,301730,150.6,3,18,351728,160
１００～２９９人,事務系,40,3,11,341218,182,3,10,332240,166.5,3,10,333740,166.5,3,17,396500,180.4
１００～２９９人,事務系,45,3,10,373680,199.3,3,10,373080,187,3,10,374080,186.7,3,16,438225,199.4
１００～２９９人,事務系,50,3,11,405282,216.2,3,11,407918,204.4,3,11,408827,204,3,16,486563,221.4
１００～２９９人,事務系,55,2,10,428460,228.6,2,10,424360,212.7,2,10,425360,212.2,2,15,515073,234.3
１００～２９９人,事務系,60,1,10,435410,232.3,1,10,437310,219.2,1,10,438310,218.7,1,15,501987,228.4
１００～２９９人,技術系,18,0,28,187825,100,-,-,-,-,-,-,-,-,-,-,-,-
１００～２９９人,技術系,20,0,12,196350,104.5,0,24,201813,100,0,25,202620,100,-,-,-,-
１００～２９９人,技術系,22,0,12,207917,110.7,0,11,209073,103.6,0,11,210182,103.7,0,31,220081,100
１００～２９９人,技術系,25,0,12,225867,120.3,0,11,226109,112,0,12,226058,111.6,0,16,241763,109.9
１００～２９９人,技術系,30,2,12,260083,138.5,2,11,263773,130.7,2,11,264227,130.4,2,15,282213,128.2
１００～２９９人,技術系,35,3,12,318633,169.6,3,11,310300,153.8,3,11,310755,153.4,3,15,334140,151.8
１００～２９９人,技術系,40,3,12,358292,190.8,3,11,346673,171.8,3,11,348036,171.8,3,15,395287,179.6
１００～２９９人,技術系,45,3,12,394492,210,3,11,392255,194.4,3,11,393164,194,3,15,423207,192.3
１００～２９９人,技術系,50,3,12,432108,230.1,3,11,432555,214.3,3,11,433464,213.9,3,14,487864,221.7
１００～２９９人,技術系,55,2,12,465017,247.6,2,11,461509,228.7,2,11,462418,228.2,2,14,520029,236.3
１００～２９９人,技術系,60,1,12,467392,248.8,1,11,468282,232,1,11,469191,231.6,1,14,507793,230.7
１００～２９９人,生産系,18,0,22,189173,100,-,-,-,-,-,-,-,-,-,-,-,-
１００～２９９人,生産系,20,0,6,203283,107.5,0,20,199825,100,0,20,200325,100,-,-,-,-
１００～２９９人,生産系,22,0,6,214733,113.5,0,5,215940,108.1,0,5,215940,107.8,0,22,216814,100
１００～２９９人,生産系,25,0,6,229233,121.2,0,5,225380,112.8,0,5,225380,112.5,0,7,241129,111.2
１００～２９９人,生産系,30,2,6,251567,133,2,4,x,x,2,4,x,x,2,6,272900,125.9
１００～２９９人,生産系,35,3,6,269317,142.4,3,5,257380,128.8,3,5,257380,128.5,3,6,306150,141.2
１００～２９９人,生産系,40,3,6,283400,149.8,3,5,263280,131.8,3,5,265280,132.4,3,6,335733,154.8
１００～２９９人,生産系,45,3,6,292900,154.8,3,5,274280,137.3,3,5,274280,136.9,3,6,355733,164.1
１００～２９９人,生産系,50,3,6,302900,160.1,3,5,281280,140.8,3,5,281280,140.4,3,6,373233,172.1
１００～２９９人,生産系,55,2,5,326880,172.8,2,5,291480,145.9,2,5,291480,145.5,2,6,391233,180.4
１００～２９９人,生産系,60,1,6,317733,168,1,5,291080,145.7,1,5,291080,145.3,1,6,396233,182.8
