区分,10～49人／集計人員（人）,10～49人／平均年齢（歳）,10～49人／平均勤続年数（年）,10～49人／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,10～49人／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,10～49人／令和4年7月1か月の平均賃金／所定時間外賃金（円）,10～49人／令和3年年間給与支払額（円）,50～99人／集計人員（人）,50～99人／平均年齢（歳）,50～99人／平均勤続年数（年）,50～99人／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,50～99人／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,50～99人／令和4年7月1か月の平均賃金／所定時間外賃金（円）,50～99人／令和3年年間給与支払額（円）,100～299人／集計人員（人）,100～299人／平均年齢（歳）,100～299人／平均勤続年数（年）,100～299人／令和4年7月1か月の平均賃金／所定時間内賃金／所定時間内(通勤手当含む)（円）,100～299人／令和4年7月1か月の平均賃金／所定時間内賃金／うち通勤手当（円）,100～299人／令和4年7月1か月の平均賃金／所定時間外賃金（円）,100～299人／令和3年年間給与支払額（円）
運輸業，郵便業計,632,50.9,10.1,286303,9324,71236,4350371,458,47.9,8.9,298205,8421,14169,3861348,957,53,10.3,320569,5596,49302,4171230
運輸業，郵便業／道路旅客運送業,231,57.3,11,256430,4484,62876,3589866,182,61.8,8,285362,1804,3978,2756122,690,56.3,8.9,319119,2098,38973,3737707
運輸業，郵便業／道路貨物運送業,198,51.7,10.3,293881,10056,103108,4688734,33,43.5,14.7,386671,3274,9091,5450094,67,48.4,9.4,254978,3752,72040,3943748
運輸業，郵便業／倉庫業・運輸に付帯するサービス業,203,42.7,8.9,312904,14119,49662,4854796,243,38,8.7,291899,14075,22491,4424112,200,43.1,15.6,347393,18284,71898,5764925
卸売業，小売業計,1985,43.7,11.2,336343,11775,21847,4980459,958,40.8,11.2,336763,13413,23831,5390995,25,49.4,12.4,416306,13554,3689,5703428
卸売業，小売業／繊維・衣服等・飲食料品卸売業,399,41.6,12.1,335494,10787,24836,5167208,135,41.8,11.3,346931,10619,26702,6065435,-,-,-,-,-,-,-
卸売業，小売業／建築材料・鉱物・金属材料・機械器具等卸売業,294,41.4,11.9,379063,11973,20758,6193799,168,41.4,13.4,395911,18095,14435,6238307,25,49.4,12.4,416306,13554,3689,5703428
卸売業，小売業／その他の卸売業,481,44.1,10.3,324702,14155,13792,4630341,364,42.9,12.2,341362,13471,33826,5534537,-,-,-,-,-,-,-
卸売業，小売業／織物・衣服・身の回り品小売業,208,45.1,11.2,292746,13349,11039,3562862,89,39.4,13.1,310320,15076,10205,4374593,-,-,-,-,-,-,-
卸売業，小売業／飲食料品小売業,107,43.1,10.7,331620,4404,14237,4624251,20,28.2,6.6,199981,1770,73349,3279945,-,-,-,-,-,-,-
卸売業，小売業／機械器具等小売業,311,44.1,10.5,361474,11677,42988,5671338,111,37.4,5.6,320299,15477,6441,4683200,-,-,-,-,-,-,-
卸売業，小売業／その他の小売業,185,48.7,11.7,309348,10059,18710,4244377,71,38.1,8,251777,5317,19684,3553102,-,-,-,-,-,-,-
金融業，保険業計,305,45.6,12.4,391798,16915,18554,5485528,794,45.6,9.6,595171,12027,28815,9502889,1303,40.7,11.8,481669,12598,36755,8017096
金融業，保険業／金融業,203,45.3,12.5,362109,16952,27359,5378098,550,45.3,9.4,451127,13222,39755,7526162,814,39.8,12.9,476536,12683,32044,8071358
金融業，保険業／証券業,102,46,12.1,450885,16842,499,5692635,244,46.4,10.1,930866,9334,6488,14938888,489,42.2,10,490150,12456,44597,7916362
不動産業，物品賃貸業計,198,42.2,10.2,393402,12093,17900,5862857,370,41.5,8.7,377395,13312,16069,5233184,233,29.9,3.9,261234,9982,38057,4293750
学術研究，専門・技術サービス業計,688,43.5,9.5,435255,11641,26315,5889496,412,42.9,9.2,509396,8129,11917,7166272,238,31.3,3.9,290975,8347,8285,4004392
学術研究，専門・技術サービス業／専門サービス業,351,45,7.1,509694,9640,27774,6757499,284,45,9.5,572826,8292,12442,8181311,-,-,-,-,-,-,-
学術研究，専門・技術サービス業／広告業,337,41.8,12.1,358387,13725,24698,5103487,128,38.2,8.4,370641,7767,10754,4750857,238,31.3,3.9,290975,8347,8285,4004392
宿泊業，飲食サービス業計,454,42.6,8.8,297590,10312,35407,3805414,16,46.4,15.4,385659,7934,59446,4846025,102,29.8,3.7,332757,14864,7222,3856715
宿泊業，飲食サービス業／宿泊業,223,44.4,8.6,288404,12476,20377,3565269,3,x,x,x,x,x,x,102,29.8,3.7,332757,14864,7222,3856715
宿泊業，飲食サービス業／飲食店,231,40.7,9,306297,8223,48812,4049235,13,42.2,13.5,387396,8273,59446,4935108,-,-,-,-,-,-,-
生活関連サービス業，娯楽業計,285,39.6,9.6,327246,10474,17463,4441582,216,44,9.1,318352,15400,29728,4637858,-,-,-,-,-,-,-
教育，学習支援業（学校教育を除く）計,175,44.4,10.1,297318,11000,42842,4677106,136,41.7,8.8,316625,8368,73539,5523050,-,-,-,-,-,-,-
医療，福祉計,393,45.8,6.5,315117,7269,28566,4470332,92,37.4,6.8,283254,13242,33361,4321637,-,-,-,-,-,-,-
医療，福祉／医療業,228,41.9,5,319765,9425,30246,4558943,92,37.4,6.8,283254,13242,33361,4321637,-,-,-,-,-,-,-
医療，福祉／社会保険・社会福祉・介護事業,165,51,8.5,308752,4289,25812,4358682,-,-,-,-,-,-,-,-,-,-,-,-,-,-
サービス業（他に分類されないもの）計,541,46.2,11.2,316244,12403,47088,5104648,484,42.1,13.5,360028,14163,27466,5673754,159,45.5,15.4,299074,6365,46649,5203866
サービス業（他に分類されないもの）／自動車整備・機械修理業,255,43.6,11.4,327536,14068,79295,5796615,413,42,14.2,367701,13096,27660,5814956,132,43.4,16.3,307543,3290,54754,5559459
サービス業（他に分類されないもの）／その他の事業サービス業,286,48.6,11,306215,10918,19251,4528009,71,42.5,9.4,315397,20370,26338,4792382,27,55.4,10.8,257667,21401,7023,3453250
