区分,同一役職の支給額は同じ／集計企業数（社）,同一役職の支給額は同じ／役付者平均／平均年齢（歳）,同一役職の支給額は同じ／役付者平均／金額（円）,同一役職の支給額は同じ／部長／平均年齢（歳）,同一役職の支給額は同じ／部長／金額（円）,同一役職の支給額は同じ／課長／平均年齢（歳）,同一役職の支給額は同じ／課長／金額（円）,同一役職の支給額は同じ／係長／平均年齢（歳）,同一役職の支給額は同じ／係長／金額（円）,同一役職でも支給額が異なる／集計企業数（社）,同一役職でも支給額が異なる／役付者平均／平均年齢（歳）,同一役職でも支給額が異なる／役付者平均／金額（円）,同一役職でも支給額が異なる／部長／平均年齢（歳）,同一役職でも支給額が異なる／部長／金額（円）,同一役職でも支給額が異なる／課長／平均年齢（歳）,同一役職でも支給額が異なる／課長／金額（円）,同一役職でも支給額が異なる／係長／平均年齢（歳）,同一役職でも支給額が異なる／係長／金額（円）
生活関連サービス業，娯楽業／平均,9,49.3,75745,49,158666,50.3,64069,48,27741,11,43.2,69911.1,45.7,110300,43.2,51093,37.5,25850
生活関連サービス業，娯楽業／最低,,,,,62500,,30000,,10000,,,,,31300,,20000,,6300
教育，学習支援業(学校教育を除く）／最高,,,,,80000,,55000,,20000,,,,,236100,,83300,,20000
教育，学習支援業(学校教育を除く）／平均,11,46.7,21367,54.1,31785,44.6,26294,41.6,8611,5,42.4,53159.6,45.7,112018,44.3,41000,37.5,13000
教育，学習支援業(学校教育を除く）／最低,,,,,15000,,7500,,4000,,,,,10000,,15600,,6000
医療，福祉／最高,,,,,120000,,50000,,50000,,,,,210000,,210000,,30000
医療，福祉／平均,22,45.8,45328,51,62780,46.7,39090,40.1,30370,17,44.4,55362.5,47.5,90555,42,81325,43.1,20400
医療，福祉／最低,,,,,15000,,5000,,10000,,,,,20000,,12000,,1000
サービス業（他に分類されないもの）／最高,,,,,165000,,80000,,20800,,,,,175000,,94000,,30000
サービス業（他に分類されないもの）／平均,22,44.9,44031,50.9,87916,44.9,49583,41.3,12196,10,46.7,50162.5,50.5,82364,46,47666,42.7,11507
サービス業（他に分類されないもの）／最低,,,,,10000,,20000,,5000,,,,,20000,,10000,,6200
10～49人／最高,,,,,400000,,389700,,85000,,,,,450000,,210000,,105000
10～49人／平均,215,47.6,47850,51.1,73442,47.5,46620,44.3,25442,143,47.2,56313.6,50.3,90851,47.3,52142,43.7,27827
10～49人／最低,,,,,10000,,5000,,5000,,,,,20000,,10000,,3000
50～99人／最高,,,,,200000,,120000,,100000,,,,,244400,,125000,,47000
50～99人／平均,88,46.5,48949,51.1,80724,46.6,50252,43.2,25437,47,46.4,59865.6,50.7,107997,46.4,54669,42.5,15911
50～99人／最低,,,,,10000,,7500,,4000,,,,,10000,,14000,,1000
100～299人／最高,,,,,270000,,220000,,120000,,,,,247500,,100000,,80000
100～299人／平均,49,47.2,71559,51.9,111674,47.9,86985,43.4,28345,28,45.3,70882.7,51.5,126224,46.2,70006,41,23143
100～299人／最低,,,,,30000,,20000,,5000,,,,,10000,,12600,,6300
