区分,集計企業数（社）,同一役職の支給額は同じ／役付者平均／平均年齢（歳）,同一役職の支給額は同じ／役付者平均／金額（円）,同一役職の支給額は同じ／部長／平均年齢（歳）,同一役職の支給額は同じ／部長／金額（円）,同一役職の支給額は同じ／課長／平均年齢（歳）,同一役職の支給額は同じ／課長／金額（円）,同一役職の支給額は同じ／係長／平均年齢（歳）,同一役職の支給額は同じ／係長／金額（円）,同一役職でも支給額が異なる／集計企業数（社）,同一役職でも支給額が異なる／役付者平均／平均年齢（歳）,同一役職でも支給額が異なる／役付者平均／金額（円）,同一役職でも支給額が異なる／部長／平均年齢（歳）,同一役職でも支給額が異なる／部長／金額（円）,同一役職でも支給額が異なる／課長／平均年齢（歳）,同一役職でも支給額が異なる／課長／金額（円）,同一役職でも支給額が異なる／係長／平均年齢（歳）,同一役職でも支給額が異なる／係長／金額（円）
医療，福祉／平均,18,48.9,40300,46.9,74250,50.7,28500,48.9,16666,11,49,51198.1,42.5,98353,56.1,33629,47.2,27900
医療，福祉／最低,,,,,30000,,5000,,10000,,,,,40000,,22500,,10000
サービス業（他に分類されないもの）／最高,,,,,195000,,125700,,60000,,,,,141800,,106600,,30000
サービス業（他に分類されないもの）／平均,35,47.6,58690,51.2,88898,47.4,69088,45.2,31533,14,49.4,50469.5,52.7,79937,50.4,52020,45.8,23694
サービス業（他に分類されないもの）／最低,,,,,15000,,17500,,5000,,,,,20000,,10000,,9300
10～49人／最高,,,,,460000,,370000,,153000,,,,,450000,,370000,,280000
10～49人／平均,295,47.3,49393,50.9,80516,47.2,50507,44.3,22659,141,47.5,59665.3,50.1,99616,48.3,54520,44.4,31402
10～49人／最低,,,,,6000,,1700,,3000,,,,,20000,,8200,,5000
50～99人／最高,,,,,300000,,236000,,180000,,,,,294000,,180000,,160000
50～99人／平均,113,46.7,48367,51.4,75040,47.5,47290,42.3,29536,54,47.9,71143.9,51.2,104427,48.7,69057,43.8,39768
50～99人／最低,,,,,7000,,3400,,3000,,,,,15000,,7000,,5000
100～299人／最高,,,,,315000,,240000,,190000,,,,,234300,,225000,,173800
100～299人／平均,68,47.7,67163,51.3,108766,47.8,79187,45.5,25662,44,46.1,47522.5,51.1,78796,46.9,46373,41.5,23109
100～299人／最低,,,,,15000,,15000,,5000,,,,,3800,,2700,,5000
