産業分類階層,産業コード,産業中分類,経営組織階層,経営組織コード,経営組織,資本金階層,資本金規模コード,資本金額,事業所数,従業者数（送出者を除く）(人),現金給与総額(万円),原材料使用額等(万円),製造品出荷額等／総額(万円),製造品出荷額等／製造品出荷額(万円),製造品出荷額等／加工賃収入額(万円),製造品出荷額等／修理料収入額(万円),製造品出荷額等／くず・廃物出荷額(万円),製造品出荷額等／その他の収入額(万円),付加価値額(29人以下は粗付加価値額)(万円),粗付加価値額(万円),生産額(30人以上)(万円),在庫額（30人以上）／製造品／年初(万円),在庫額（30人以上）／製造品／年末(万円),在庫額（30人以上）／半製品及び仕掛品／年初(万円),在庫額（30人以上）／半製品及び仕掛品／年末(万円),在庫額（30人以上）／原材料及び燃料／年初(万円),在庫額（30人以上）／原材料及び燃料／年末(万円),有形固定資産額（30人以上）／年初現在高(万円),有形固定資産額（30人以上）／取得額(万円),有形固定資産額（30人以上）／除却額(万円),有形固定資産額（30人以上）／減価償却額(万円)
1,20,なめし革・同製品・毛皮製造業,1,3,個人,1,10,－,13,71,10763,17944,35518,17523,17995,-,-,-,16199,16199,-,-,-,-,-,-,-,-,-,-,-
1,21,窯業・土石製品製造業,0,0,総数,0,00,総数,181,3643,2006113,9683048,15957274,14478797,278848,2240,99,1197290,5642595,5876908,4444425,324042,338549,126641,78365,94856,79891,3492165,127725,59397,200544
1,21,窯業・土石製品製造業,1,1,会社,0,00,総数,175,3611,2000407,9680807,15944325,14471342,274095,2240,99,1196549,5632726,5867039,4444425,324042,338549,126641,78365,94856,79891,3492165,127725,59397,200544
1,21,窯業・土石製品製造業,1,1,会社,1,03,300万円～499万円,26,224,94600,95974,272781,178336,77337,100,-,17008,162958,162958,-,-,-,-,-,-,-,-,-,-,-
1,21,窯業・土石製品製造業,1,1,会社,1,04,500万円～999万円,5,52,26581,143321,227922,226178,-,-,-,1744,78043,78043,-,-,-,-,-,-,-,-,-,-,-
1,21,窯業・土石製品製造業,1,1,会社,1,05,1000万円～4999万円,102,1754,854744,4141092,6811819,6328028,164236,2140,99,317316,2436975,2466539,812116,13525,12204,3102,3437,5951,6330,560458,26001,28286,28578
1,21,窯業・土石製品製造業,1,1,会社,1,06,5000万円～9999万円,20,473,254499,1664960,2771415,2597170,32522,-,-,141723,945942,1021697,900981,73477,61910,12951,7742,5435,5338,712696,9333,1201,58979
1,21,窯業・土石製品製造業,1,1,会社,1,07,1億円～10億円未満,16,621,347627,2301283,3761540,3558301,-,-,-,203239,1307428,1350563,1494965,212611,231369,1123,1184,15977,16812,884801,35083,2611,61954
1,21,窯業・土石製品製造業,1,1,会社,1,08,10億円～100億円未満,6,487,422356,1334177,2098848,1583329,-,-,-,515519,701380,787239,1236363,24429,33066,109465,66002,67493,51411,1334210,57308,27299,51033
1,21,窯業・土石製品製造業,1,3,個人,1,10,－,6,32,5706,2241,12949,7455,4753,-,-,741,9869,9869,-,-,-,-,-,-,-,-,-,-,-
1,22,鉄鋼業,0,0,総数,0,00,総数,102,2681,1504220,12339204,16461995,15408297,772180,-,6713,274805,3549588,3953636,12142066,453748,464018,667582,625302,308294,301064,4112442,826139,57477,372038
1,22,鉄鋼業,1,1,会社,0,00,総数,101,2676,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,22,鉄鋼業,1,1,会社,1,03,300万円～499万円,15,100,41328,85924,169227,121002,43221,-,-,5004,76775,76775,-,-,-,-,-,-,-,-,-,-,-
1,22,鉄鋼業,1,1,会社,1,04,500万円～999万円,9,57,16160,29111,65358,41803,23552,-,-,3,33409,33409,-,-,-,-,-,-,-,-,-,-,-
1,22,鉄鋼業,1,1,会社,1,05,1000万円～4999万円,56,831,409233,2166651,3041516,2541138,336835,-,-,163543,798782,809458,558025,18463,14066,13706,11888,15036,10252,185588,236,515,4461
1,22,鉄鋼業,1,1,会社,1,06,5000万円～9999万円,6,249,126155,1669906,2358261,2353322,4939,-,-,-,519295,642320,2091769,54980,53286,24576,28305,25096,18600,703969,102695,4791,125060
1,22,鉄鋼業,1,1,会社,1,07,1億円～10億円未満,12,869,549527,4839850,6289317,5849003,327346,-,6713,106255,1319361,1371132,5008515,140784,141550,156696,178059,177688,173927,968539,518438,5296,73900
1,22,鉄鋼業,1,1,会社,1,08,10億円～100億円未満,2,516,x,x,x,x,x,-,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x
1,22,鉄鋼業,1,1,会社,1,09,100億円以上,1,54,x,x,x,x,x,-,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x
1,22,鉄鋼業,1,3,個人,1,10,－,1,5,x,x,x,x,-,-,-,-,x,x,-,-,-,-,-,-,-,-,-,-,-
1,23,非鉄金属製造業,0,0,総数,0,00,総数,118,2461,1100793,12221146,14635261,13690055,487959,x,x,456116,2447281,2259965,9964963,358500,436605,238094,431998,117585,103414,1389268,162543,16068,84693
1,23,非鉄金属製造業,1,1,会社,0,00,総数,113,2437,1096827,12217535,14621219,x,479682,x,1131,456116,2437668,2250352,9964963,358500,436605,238094,431998,117585,103414,1389268,162543,16068,84693
1,23,非鉄金属製造業,1,1,会社,1,01,200万円未満,1,23,x,x,x,x,x,-,-,-,x,x,-,-,-,-,-,-,-,-,-,-,-
1,23,非鉄金属製造業,1,1,会社,1,03,300万円～499万円,28,222,77775,153028,310881,239123,63199,-,-,8559,140382,145868,100518,469,457,1374,1036,333,179,13042,4985,122,5136
1,23,非鉄金属製造業,1,1,会社,1,04,500万円～999万円,9,69,22497,30165,63520,35475,28045,-,-,-,30744,30744,-,-,-,-,-,-,-,-,-,-,-
1,23,非鉄金属製造業,1,1,会社,1,05,1000万円～4999万円,60,1071,474688,2209313,3257222,2770008,312739,-,1131,173344,988622,974370,1777201,26598,25002,128014,179879,63172,50972,419409,62307,913,36017
1,23,非鉄金属製造業,1,1,会社,1,06,5000万円～9999万円,9,786,387938,6770242,7627076,7535618,33112,-,-,58346,992130,811680,7675708,300527,387581,48531,162556,20425,28960,518526,73555,12977,20629
1,23,非鉄金属製造業,1,1,会社,1,07,1億円～10億円未満,5,253,x,x,x,x,x,-,-,215867,x,x,411536,30906,23565,60175,88527,33655,23303,438291,21696,2056,22911
1,23,非鉄金属製造業,1,1,会社,1,08,10億円～100億円未満,1,13,x,x,x,x,-,x,-,-,x,x,-,-,-,-,-,-,-,-,-,-,-
1,23,非鉄金属製造業,1,3,個人,1,10,－,5,24,3966,3611,14042,x,8277,-,x,-,9613,9613,-,-,-,-,-,-,-,-,-,-,-
1,24,金属製品製造業,0,0,総数,0,00,総数,1392,17552,7383224,12201471,27244632,18222329,8072985,30731,12978,905609,13521571,13912908,8715709,338381,353840,298936,316365,326034,309579,4031857,435418,78627,424225
1,24,金属製品製造業,1,1,会社,0,00,総数,1352,17363,7343260,12155954,27126588,18144989,8032347,30698,12945,905609,13454729,13846066,8715709,338381,353840,298936,316365,326034,309579,4031857,435418,78627,424225
1,24,金属製品製造業,1,1,会社,1,01,200万円未満,10,75,31301,28574,97802,45499,52273,-,30,-,63805,63805,-,-,-,-,-,-,-,-,-,-,-
1,24,金属製品製造業,1,1,会社,1,02,200万円～299万円,2,12,x,x,x,x,x,-,-,-,x,x,-,-,-,-,-,-,-,-,-,-,-
1,24,金属製品製造業,1,1,会社,1,03,300万円～499万円,349,2635,979189,1010500,2954378,1829488,1101103,3935,1517,18335,1791086,1791738,55036,83,78,111,106,135,98,9076,-,-,642
1,24,金属製品製造業,1,1,会社,1,04,500万円～999万円,168,1374,533048,672959,1709081,1015334,624543,2501,30,66673,955502,955502,77294,-,-,-,-,-,-,18801,5653,-,-
1,24,金属製品製造業,1,1,会社,1,05,1000万円～4999万円,775,11196,4741329,8433346,18185172,12191728,5266416,22767,8910,695351,8868167,9017960,5252008,190564,208304,149324,152483,141720,134114,2108350,248281,44657,170692
1,24,金属製品製造業,1,1,会社,1,06,5000万円～9999万円,36,1160,556400,1105363,2473198,1592323,778976,1495,2400,98004,1204267,1269727,1856342,50483,50625,68358,69992,101965,92804,942899,78643,32692,67236
1,24,金属製品製造業,1,1,会社,1,07,1億円～10億円未満,10,578,272153,548029,1040009,803798,208907,-,58,27246,442889,456773,x,x,x,x,x,x,x,x,x,x,x
1,24,金属製品製造業,1,1,会社,1,08,10億円～100億円未満,1,311,x,x,x,x,x,-,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x
1,24,金属製品製造業,1,1,会社,1,09,100億円以上,1,22,x,x,x,x,-,-,-,-,x,x,-,-,-,-,-,-,-,-,-,-,-
1,24,金属製品製造業,1,3,個人,1,10,－,40,189,39964,45517,118044,77340,40638,33,33,-,66842,66842,-,-,-,-,-,-,-,-,-,-,-
1,25,はん用機械器具製造業,0,0,総数,0,00,総数,336,7392,3758829,9710048,18120550,15538570,915884,1041243,1978,622875,7551978,7933225,11932348,272944,253772,1337489,1281699,1310216,1244464,3673932,515194,17732,306285
1,25,はん用機械器具製造業,1,1,会社,0,00,総数,331,7368,3754723,9704987,18107028,15531143,909845,1041197,1968,622875,7544179,7925426,11932348,272944,253772,1337489,1281699,1310216,1244464,3673932,515194,17732,306285
1,25,はん用機械器具製造業,1,1,会社,1,01,200万円未満,2,11,x,x,x,x,x,-,x,-,x,x,-,-,-,-,-,-,-,-,-,-,-
1,25,はん用機械器具製造業,1,1,会社,1,02,200万円～299万円,1,6,x,x,x,x,-,-,x,-,x,x,-,-,-,-,-,-,-,-,-,-,-
1,25,はん用機械器具製造業,1,1,会社,1,03,300万円～499万円,54,358,131140,155707,420791,276375,132942,10956,7,511,244319,244319,-,-,-,-,-,-,-,-,-,-,-
1,25,はん用機械器具製造業,1,1,会社,1,04,500万円～999万円,28,237,95701,113083,326315,207684,103949,9531,-,5151,194301,196628,66906,-,-,1521,1334,32,70,54460,37121,-,2140
1,25,はん用機械器具製造業,1,1,会社,1,05,1000万円～4999万円,214,3626,1675862,3430115,7083464,6016427,x,259441,x,258619,3342230,3397671,3165837,72065,78295,86837,96942,708053,732419,723981,153935,2763,71776
1,25,はん用機械器具製造業,1,1,会社,1,06,5000万円～9999万円,21,1030,628664,1788287,3431679,2814142,119597,153967,-,343973,1489053,1529122,2603062,74581,78012,113484,111210,210246,201053,659520,56070,10234,41226
1,25,はん用機械器具製造業,1,1,会社,1,07,1億円～10億円未満,3,376,182827,272484,494890,482284,-,-,-,12606,199431,208943,x,x,x,x,x,x,x,x,x,x,x
1,25,はん用機械器具製造業,1,1,会社,1,08,10億円～100億円未満,6,886,456177,1799452,3116209,2506892,-,607302,-,2015,1142508,1231988,2444201,57053,29613,404221,388304,354548,274775,406239,44249,2620,46123
1,25,はん用機械器具製造業,1,1,会社,1,09,100億円以上,2,838,x,x,x,x,-,-,x,-,x,x,x,x,x,x,x,x,x,x,x,x,x
1,25,はん用機械器具製造業,1,3,個人,1,10,－,5,24,4106,5061,13522,7427,6039,46,10,-,7799,7799,-,-,-,-,-,-,-,-,-,-,-
1,26,生産用機械器具製造業,0,0,総数,0,00,総数,943,16754,8237593,20360667,39130753,33796669,2015591,713603,451,2604439,17447046,17930958,20482605,686520,652068,3312181,3572096,1520695,1624499,9904489,1003793,140508,709375
1,26,生産用機械器具製造業,1,1,会社,0,00,総数,931,16698,8224250,20352803,39098589,33777357,2002742,713603,448,2604439,17424649,17908561,20482605,686520,652068,3312181,3572096,1520695,1624499,9904489,1003793,140508,709375
1,26,生産用機械器具製造業,1,1,会社,1,01,200万円未満,4,27,12154,7684,26616,26082,434,100,-,-,17725,17725,-,-,-,-,-,-,-,-,-,-,-
1,26,生産用機械器具製造業,1,1,会社,1,02,200万円～299万円,2,15,x,x,x,x,x,-,-,-,x,x,-,-,-,-,-,-,-,-,-,-,-
1,26,生産用機械器具製造業,1,1,会社,1,03,300万円～499万円,183,1351,523702,625509,1586825,1292000,276214,13843,39,4729,888663,888567,55021,-,-,363,1032,427,601,36502,30160,-,573
1,26,生産用機械器具製造業,1,1,会社,1,04,500万円～999万円,74,597,248187,329460,794812,654829,121345,3546,70,15022,429206,429370,51276,-,-,722,847,2191,1638,9753,-,-,289
1,26,生産用機械器具製造業,1,1,会社,1,05,1000万円～4999万円,591,9720,4771068,9652777,19628695,16989092,1389461,266078,339,983725,9105092,9271906,6951538,250409,247232,483313,506322,411620,271581,3353020,551980,25421,186646
1,26,生産用機械器具製造業,1,1,会社,1,06,5000万円～9999万円,54,1684,840164,2539107,4158343,3840411,131439,95587,-,90906,1625561,1510690,2530539,100372,104054,537048,697828,68234,82642,943486,93062,3130,49591
1,26,生産用機械器具製造業,1,1,会社,1,07,1億円～10億円未満,16,1456,907021,2785498,5047528,3795222,59008,113231,-,1080067,1868801,2206418,3516304,202275,158516,608106,445903,357875,331344,2206315,119057,84276,131655
1,26,生産用機械器具製造業,1,1,会社,1,08,10億円～100億円未満,4,583,314254,850034,1655337,1423742,-,221218,-,10377,716357,775114,1546952,58202,56577,350983,475818,92538,97083,1620669,114847,27214,181967
1,26,生産用機械器具製造業,1,1,会社,1,09,100億円以上,3,1265,x,x,x,x,x,-,-,419613,x,x,5830975,75262,85689,1331646,1444346,587810,839610,1734744,94687,467,158654
1,26,生産用機械器具製造業,1,3,個人,1,10,－,12,56,13343,7864,32164,19312,12849,-,3,-,22397,22397,-,-,-,-,-,-,-,-,-,-,-
1,27,業務用機械器具製造業,0,0,総数,0,00,総数,488,13083,6812325,15905315,30401621,27106320,494125,535387,24,2265765,13801519,13850796,21399039,1600989,1813475,1786045,1890499,1699030,1877902,5515453,526775,55421,366217
1,27,業務用機械器具製造業,1,1,会社,0,00,総数,478,13033,6797494,15895526,30361794,27079859,480759,535387,24,2265765,13773331,13822608,21399039,1600989,1813475,1786045,1890499,1699030,1877902,5515453,526775,55421,366217
1,27,業務用機械器具製造業,1,1,会社,1,01,200万円未満,4,34,13583,8826,27978,24512,130,259,-,3077,17651,17651,-,-,-,-,-,-,-,-,-,-,-
1,27,業務用機械器具製造業,1,1,会社,1,03,300万円～499万円,78,708,278637,279623,777724,655984,106171,3425,-,12144,453001,460996,78209,1726,1320,445,332,341,475,33957,55460,-,7476
1,27,業務用機械器具製造業,1,1,会社,1,04,500万円～999万円,38,429,168894,149414,473191,412185,57165,1541,-,2300,297041,299111,71781,2698,1721,1342,1121,2183,2101,992,7713,-,872
1,27,業務用機械器具製造業,1,1,会社,1,05,1000万円～4999万円,296,6601,3056588,6285887,12518761,10273441,290897,283257,24,1671142,5869582,5819707,6143154,504020,625720,421733,455102,580229,683423,2356286,209785,25680,105194
1,27,業務用機械器具製造業,1,1,会社,1,06,5000万円～9999万円,42,1621,865056,2178813,4185365,3536124,21688,155576,-,471977,1869951,1886402,2935504,206945,203084,352440,375372,327314,392810,582969,50548,3519,35522
1,27,業務用機械器具製造業,1,1,会社,1,07,1億円～10億円未満,12,1303,646139,1388266,3010418,2877077,4708,68426,-,60207,1511386,1523071,2755039,209077,236050,378849,381577,290395,261703,607060,51082,10549,41386
1,27,業務用機械器具製造業,1,1,会社,1,08,10億円～100億円未満,5,1179,910180,2291244,3795077,3727256,-,22903,-,44918,1481401,1453110,3822277,152563,197092,492591,543083,259409,255106,1399561,45209,6774,66730
1,27,業務用機械器具製造業,1,1,会社,1,09,100億円以上,3,1158,858417,3313453,5573280,5573280,-,-,-,-,2273318,2362560,5593075,523960,548488,138645,133912,239159,282284,534628,106978,8899,109037
1,27,業務用機械器具製造業,1,3,個人,1,10,－,10,50,14831,9789,39827,26461,13366,-,-,-,28188,28188,-,-,-,-,-,-,-,-,-,-,-
1,28,電子部品・デバイス・電子回路製造業,0,0,総数,0,00,総数,246,9760,5131532,19335557,32547606,30769380,x,x,x,704610,10668801,13185449,28716215,935513,694851,1074268,1145806,867530,903779,8959067,2266696,72846,2347524
1,28,電子部品・デバイス・電子回路製造業,1,1,会社,0,00,総数,240,9721,5123954,19328557,32526107,30758025,1058959,3213,1300,704610,10655437,13172085,28716215,935513,694851,1074268,1145806,867530,903779,8959067,2266696,72846,2347524
1,28,電子部品・デバイス・電子回路製造業,1,1,会社,1,01,200万円未満,2,11,x,x,x,x,-,-,-,-,x,x,-,-,-,-,-,-,-,-,-,-,-
1,28,電子部品・デバイス・電子回路製造業,1,1,会社,1,03,300万円～499万円,35,377,98823,89223,250598,150018,100454,-,-,126,148723,148767,34307,-,-,-,-,-,-,13826,-,-,44
1,28,電子部品・デバイス・電子回路製造業,1,1,会社,1,04,500万円～999万円,11,85,29136,17810,72683,44040,28369,-,-,274,50575,50575,-,-,-,-,-,-,-,-,-,-,-
1,28,電子部品・デバイス・電子回路製造業,1,1,会社,1,05,1000万円～4999万円,162,3482,1317134,2524899,5104694,3936681,780806,3213,1300,382694,2326540,2409061,2352592,94573,88101,77661,76432,215910,194622,1141099,190033,10272,74820
1,28,電子部品・デバイス・電子回路製造業,1,1,会社,1,06,5000万円～9999万円,21,1107,501482,1334062,2662948,2360415,149330,-,-,153203,1170878,1236662,2256377,128854,122099,84962,74845,173308,157552,679568,52924,1345,48912
1,28,電子部品・デバイス・電子回路製造業,1,1,会社,1,07,1億円～10億円未満,6,1336,829320,2899720,4297491,4129178,-,-,-,168313,702303,1374788,3966008,254729,67044,397479,457225,270965,343059,2164544,215953,4300,544546
1,28,電子部品・デバイス・電子回路製造業,1,1,会社,1,09,100億円以上,3,3323,x,x,x,x,-,-,-,-,x,x,20106931,457357,417607,514166,537304,207347,208546,4960030,1807786,56929,1679202
1,28,電子部品・デバイス・電子回路製造業,1,3,個人,1,10,－,6,39,7578,7000,21499,11355,x,x,x,-,13364,13364,-,-,-,-,-,-,-,-,-,-,-
1,29,電気機械器具製造業,0,0,総数,0,00,総数,570,23903,13652482,43195542,77400301,67803318,1674000,687923,1487,7233573,32979803,32894392,63114555,3086069,3875121,12729292,13201900,3918397,4464970,11816721,1767309,601979,1176249
1,29,電気機械器具製造業,1,1,会社,0,00,総数,564,23864,13644817,43190367,77383788,67801843,1658962,687923,1487,7233573,32969353,32883942,63114555,3086069,3875121,12729292,13201900,3918397,4464970,11816721,1767309,601979,1176249
1,29,電気機械器具製造業,1,1,会社,1,01,200万円未満,4,48,x,x,x,x,x,22,-,1838,x,x,-,-,-,-,-,-,-,-,-,-,-
1,29,電気機械器具製造業,1,1,会社,1,02,200万円～299万円,1,4,x,x,x,x,x,-,-,-,x,x,-,-,-,-,-,-,-,-,-,-,-
1,29,電気機械器具製造業,1,1,会社,1,03,300万円～499万円,68,532,201318,226379,660566,448538,137759,1989,137,72143,404644,404644,-,-,-,-,-,-,-,-,-,-,-
1,29,電気機械器具製造業,1,1,会社,1,04,500万円～999万円,29,239,87636,202990,356782,237471,33044,5071,1200,79996,143229,141766,87050,1315,1347,7576,9232,1228,1291,2816,-,-,225
1,29,電気機械器具製造業,1,1,会社,1,05,1000万円～4999万円,389,7626,3254774,6054144,12496700,10787615,1044778,179399,150,484758,5866481,5976285,5782163,163172,180699,307058,267894,433995,464956,1803647,85884,5263,88167
1,29,電気機械器具製造業,1,1,会社,1,06,5000万円～9999万円,39,2244,1184977,2817923,5370775,4701268,412900,82251,-,174356,2382666,2403271,4419924,90749,99093,373097,413890,189465,197265,1036159,147522,10137,69742
1,29,電気機械器具製造業,1,1,会社,1,07,1億円～10億円未満,20,2627,1759652,4616114,8311858,7906304,9204,303074,-,93276,3738776,3640537,8147933,154743,172197,2218161,2434905,493662,617211,1438646,201508,34207,135959
1,29,電気機械器具製造業,1,1,会社,1,08,10億円～100億円未満,7,2864,2202841,6347178,18567970,12124893,-,116117,-,6326960,12160165,11510622,12913196,398773,1193963,299836,324283,448453,506111,2805582,198599,212060,170094
1,29,電気機械器具製造業,1,1,会社,1,09,100億円以上,7,7680,4941586,22914209,31585898,31585652,-,-,-,246,8253291,8786716,31764289,2277317,2227822,9523564,9751696,2351594,2678136,4729871,1133796,340312,712062
1,29,電気機械器具製造業,1,3,個人,1,10,－,6,39,7665,5175,16513,1475,15038,-,-,-,10450,10450,-,-,-,-,-,-,-,-,-,-,-
1,30,情報通信機械器具製造業,0,0,総数,0,00,総数,113,8092,5485421,26411864,47766683,41023823,388630,50765,-,6303465,18029786,19946662,38532514,792900,644446,8504304,7728601,1083371,1176684,5219068,1607210,20722,992719
1,30,情報通信機械器具製造業,1,1,会社,0,00,総数,112,8088,x,x,x,x,x,x,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,30,情報通信機械器具製造業,1,1,会社,1,01,200万円未満,1,7,x,x,x,x,x,-,-,-,x,x,-,-,-,-,-,-,-,-,-,-,-
1,30,情報通信機械器具製造業,1,1,会社,1,03,300万円～499万円,10,88,26292,15940,65745,41785,10535,-,-,13425,45987,45987,-,-,-,-,-,-,-,-,-,-,-
1,30,情報通信機械器具製造業,1,1,会社,1,04,500万円～999万円,8,122,60197,84514,186876,155666,29542,120,-,1548,93582,94792,128577,762,2041,5638,3890,4547,5602,40601,1358,-,741
1,30,情報通信機械器具製造業,1,1,会社,1,05,1000万円～4999万円,64,1590,718802,1367447,3014443,2675591,240043,43372,-,55437,1541215,1536573,1703425,86629,94269,26487,42967,177676,207436,590246,15476,275,19478
1,30,情報通信機械器具製造業,1,1,会社,1,06,5000万円～9999万円,15,664,343644,667367,1372298,1224684,100130,6424,-,41060,637788,660201,947920,20012,22486,60659,61835,60928,61331,343592,22901,760,26063
1,30,情報通信機械器具製造業,1,1,会社,1,07,1億円～10億円未満,9,1645,881169,1622197,3684267,3652433,6819,849,-,24166,1857542,1935093,3404635,12523,14117,497747,468157,230013,254846,357253,79983,6172,49555
1,30,情報通信機械器具製造業,1,1,会社,1,08,10億円～100億円未満,2,1322,x,x,x,x,-,x,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x
1,30,情報通信機械器具製造業,1,1,会社,1,09,100億円以上,3,2650,2138639,16550556,31584079,25416250,-,-,-,6167829,12404602,14017554,x,x,x,x,x,x,x,x,x,x,x
1,30,情報通信機械器具製造業,1,3,個人,1,10,－,1,4,x,x,x,-,x,x,-,-,x,x,-,-,-,-,-,-,-,-,-,-,-
1,31,輸送用機械器具製造業,0,0,総数,0,00,総数,267,20539,12793122,74219164,120874578,117746218,1751027,47643,2054,1327636,43426931,43485360,118582595,4878055,5832956,16603209,17870853,3957187,3893470,16037314,3260651,203758,2280974
1,31,輸送用機械器具製造業,1,1,会社,0,00,総数,264,20526,12791078,74217480,120869605,117743128,1749144,47643,2054,1327636,43423900,43482329,118582595,4878055,5832956,16603209,17870853,3957187,3893470,16037314,3260651,203758,2280974
1,31,輸送用機械器具製造業,1,1,会社,1,01,200万円未満,2,17,x,x,x,-,x,-,-,-,x,x,-,-,-,-,-,-,-,-,-,-,-
1,31,輸送用機械器具製造業,1,1,会社,1,03,300万円～499万円,48,432,158430,135648,386574,273549,111566,377,20,1062,228509,233041,84253,624,584,346,287,177,85,23829,14853,291,4433
1,31,輸送用機械器具製造業,1,1,会社,1,04,500万円～999万円,16,139,52574,66486,151503,90137,60771,-,-,595,78355,78355,-,-,-,-,-,-,-,-,-,-,-
1,31,輸送用機械器具製造業,1,1,会社,1,05,1000万円～4999万円,166,4331,1995821,3904180,7794316,6521180,1148300,46373,688,77775,3457485,3615894,5258798,128082,143897,251900,251724,105136,109362,1830450,322833,53834,174048
1,31,輸送用機械器具製造業,1,1,会社,1,06,5000万円～9999万円,13,699,316603,1138184,1819323,1444374,334713,-,-,40236,545883,647590,1609132,35133,34999,156875,135561,46862,52223,728539,73506,16979,80259
1,31,輸送用機械器具製造業,1,1,会社,1,07,1億円～10億円未満,11,1195,604509,1787406,2839305,2694452,81638,893,1346,60976,836156,987985,2677363,20485,22660,144370,65998,120142,116512,735318,247931,2938,75632
1,31,輸送用機械器具製造業,1,1,会社,1,08,10億円～100億円未満,4,1009,x,x,x,4496168,x,-,-,1146992,x,x,4445609,7178,6617,397516,347518,194244,229360,4763299,274732,15800,315502
1,31,輸送用機械器具製造業,1,1,会社,1,09,100億円以上,4,12704,9026858,63609504,102223268,102223268,-,-,-,-,36592063,35867954,104507440,4686553,5624199,15652202,17069765,3490626,3385928,7955879,2326796,113916,1631100
1,31,輸送用機械器具製造業,1,3,個人,1,10,－,3,13,2044,1684,4973,3090,1883,-,-,-,3031,3031,-,-,-,-,-,-,-,-,-,-,-
1,32,その他の製造業,0,0,総数,0,00,総数,534,9587,4386459,13415710,23165571,18940981,997741,63021,622,3163206,9162306,9150198,12636880,627755,717739,489699,679699,546211,663431,3546836,394829,24121,267876
1,32,その他の製造業,1,1,会社,0,00,総数,514,9485,4366094,13378678,23092171,18880832,986622,61346,622,3162749,9128787,9116679,12636880,627755,717739,489699,679699,546211,663431,3546836,394829,24121,267876
1,32,その他の製造業,1,1,会社,1,01,200万円未満,2,11,x,x,x,x,x,-,-,x,x,x,-,-,-,-,-,-,-,-,-,-,-
1,32,その他の製造業,1,1,会社,1,02,200万円～299万円,4,27,15114,16843,53802,37324,4000,-,-,12478,34064,34064,-,-,-,-,-,-,-,-,-,-,-
1,32,その他の製造業,1,1,会社,1,03,300万円～499万円,122,860,292937,481103,1035765,762952,181465,2649,247,88452,511423,511423,-,-,-,-,-,-,-,-,-,-,-
1,32,その他の製造業,1,1,会社,1,04,500万円～999万円,47,357,137012,333325,585103,494356,67320,5284,-,18143,232672,232672,-,-,-,-,-,-,-,-,-,-,-
1,32,その他の製造業,1,1,会社,1,05,1000万円～4999万円,295,4903,2187051,4888815,9344654,7869935,635744,16910,209,821856,4156894,4139538,3417073,138856,160355,114408,170763,159609,183277,1404456,50231,2013,60498
1,32,その他の製造業,1,1,会社,1,06,5000万円～9999万円,33,1222,568909,3203372,4819245,4291504,92669,460,166,434446,1512942,1499765,3715169,29600,30774,32035,75848,32954,35706,645215,38512,1646,31810
1,32,その他の製造業,1,1,会社,1,07,1億円～10億円未満,10,947,532556,1637529,2648958,2484452,2613,36043,-,125850,919619,963506,x,x,x,x,x,x,x,x,x,x,x
1,32,その他の製造業,1,1,会社,1,08,10億円～100億円未満,1,1158,x,x,x,x,x,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x
1,32,その他の製造業,1,3,個人,1,10,－,20,102,20365,37032,73400,60149,11119,1675,-,457,33519,33519,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020東京の工業　2020年工業統計調査報告（2019年実績）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第9表　産業中分類，経営組織及び資本金階層別統計表（従業者４人以上の事業所）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
経営組織階層（0：総数　1：経営組織）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資本金階層（0：総数　1：資本金階層）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
