2021/1/1,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.33,2,0.17,2,,NNE,3,SW,5.2,14,,
2,0.24,1.5,0.14,2,,NW,7,SSE,6.3,35,,
3,0.44,2,0.23,2,,WNW,15,SSW,8.1,74,,
4,0.25,1.5,0.15,2,,W,18,SW,6.4,122,,
5,0.63,2.5,0.3,2.3,SW,WNW,14,S,8.8,169,,
6,0.64,2.5,0.35,2.8,ESE,W,12,S,6.4,192,,
7,0.56,2.5,0.3,2.9,N,W,11,SSW,6.7,199,,
8,0.77,2.5,0.38,2.7,SSE,WSW,8,S,10.1,183,,
9,0.66,2.5,0.4,2.7,NNE,E,2,S,9.7,162,,
10,0.99,2.5,0.51,2.9,ESE,E,6,S,10.8,129,,
11,1.15,3,0.61,2.8,SSE,ESE,4,S,13.4,97,,
12,1.11,2.5,0.56,2.9,SE,WNW,3,S,11.3,70,,
13,1.19,3.5,0.53,3,SSE,NW,6,S,11.5,61,,
14,1.4,3,0.64,3.2,SSE,W,8,S,13.9,71,,
15,1.24,3,0.78,3.6,SE,WSW,5,S,14.4,104,,
16,1.5,3.5,0.81,3.6,SE,NNW,9,S,13,145,,
17,1.52,3,0.73,3.3,ESE,WNW,14,SW,7.6,180,,
18,0.66,4,0.38,3.8,SSE,WNW,13,NNW,8.1,198,,
19,0.62,3,0.37,2.9,NE,WNW,10,NNW,11.6,192,,
20,0.75,2.5,0.39,2.7,WNW,NW,8,NNW,11.6,169,,
21,0.72,2,0.4,2.6,NW,WNW,4,NNW,11.5,147,,
22,0.8,2.5,0.55,3,NW,WSW,8,NNW,14.2,116,,
23,1.01,3.5,0.56,3.2,WNW,WNW,6,NNW,14.9,87,,
24,0.66,3,0.41,2.7,NW,NNE,3,NNW,12.9,53,,
最大,1.52,4,0.81,3.8,最多,平均,18,最多,14.9,平均,平均,
平均,0.83,2.7,0.44,2.8,SSE,WNW,6.4,S,10.4,124,,
2021/3/3,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.71,2.5,0.42,2.7,NNW,WNW,3,NNW,13.8,26,,
2,0.99,2.5,0.44,2.9,WNW,NW,6,NNW,12.7,17,,
3,0.71,2.5,0.44,3,WNW,WNW,14,NNW,11.1,41,,
4,0.5,3,0.25,2.8,ENE,W,22,NW,11.5,79,,
5,0.38,2.5,0.24,2.9,,W,22,NNW,9.4,125,,
6,0.44,1.5,0.22,2.7,,W,26,NNW,10.1,156,,
7,0.53,2.5,0.29,2.6,SW,W,19,NNW,10.2,166,,
8,0.37,4,0.24,2.7,,W,7,NNW,11,159,,
9,0.58,2.5,0.21,2.5,,W,4,N,8.4,139,,
10,0.51,3,0.24,2.5,,WNW,2,N,9.2,111,,
11,0.5,2.5,0.24,2.5,,ESE,7,N,8.5,78,,
12,0.33,3,0.2,2.8,,NNW,4,N,7.5,47,,
13,0.47,2,0.21,2.6,,S,3,N,5.2,20,,
14,0.45,3,0.24,3,,E,1,NE,6.6,15,,
15,0.52,3,0.26,3,WSW,NW,12,NNE,5.8,32,,
16,0.42,2,0.22,2.5,,NW,9,ENE,5.1,65,,
17,0.54,3,0.26,2.7,SW,NNW,8,ESE,5.5,108,,
18,0.49,5.5,0.28,2.5,ENE,NW,9,ENE,7,140,,
19,0.83,2.5,0.47,2.8,ENE,E,1,ENE,7.8,154,,
20,0.98,3,0.5,3,ENE,NNW,1,ENE,8.4,151,,
21,1.21,3,0.57,3,E,WSW,2,E,7.7,140,,
22,1.02,2.5,0.52,3,E,ESE,2,E,6.4,121,,
23,0.91,2.5,0.51,2.9,NE,E,11,E,5.9,98,,
24,0.83,2.5,0.41,2.8,S,ESE,11,ENE,4.5,71,,
最大,1.21,5.5,0.57,3,最多,平均,26,最多,13.8,平均,平均,
平均,0.63,2.8,0.33,2.8,ENE,WNW,5.1,NNW,8.3,94,,
2021/3/4,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.53,3,0.3,2.6,SE,E,6,NE,3.5,50,,
2,0.41,2.5,0.22,2.4,,SE,2,NNE,2.7,37,,
3,0.27,2,0.15,2.4,,SW,10,N,2.5,43,,
4,0.26,3,0.15,2.9,,,0,NNE,2.9,70,,
5,0.36,2.5,0.15,3.1,,NNE,4,NNE,3,108,,
6,0.54,3,0.19,3.1,,N,9,NNE,2.9,143,,
7,0.36,3,0.22,3.2,,NNW,5,NNE,2.5,163,,
8,0.42,2.5,0.2,2.7,,NW,2,N,3,164,,
9,0.45,3,0.19,2.8,,ENE,4,N,3,150,,
10,0.36,2.5,0.21,2.7,,NE,6,NNE,2.5,121,,
11,0.5,5,0.24,3.6,,E,4,NNE,2.3,90,,
12,0.37,2.5,0.18,2.7,,SE,9,ENE,1.7,61,,
13,0.43,3,0.22,2.8,,E,9,NE,1.4,37,,
14,0.33,2.5,0.22,2.6,,SE,6,E,1.3,22,,
15,0.42,2.5,0.18,2.9,,NE,6,ENE,1.2,20,,
16,0.55,3.5,0.24,2.7,,E,5,ENE,1.4,39,,
17,0.47,2,0.26,3,E,WNW,1,E,1.8,72,,
18,0.57,3,0.24,2.9,,NNW,6,SE,4.7,105,,
19,0.46,2.5,0.25,2.3,SW,WNW,5,SSE,4,130,,
20,0.33,2,0.2,2.6,,NNW,5,SSE,2,142,,
21,0.24,3,0.15,2.7,,N,7,ESE,2.1,142,,
22,0.55,4.5,0.21,2.9,,ENE,4,ESE,0.5,132,,
23,0.36,3,0.19,2.6,,NNE,4,ENE,1.2,118,,
24,0.21,2,0.11,2.3,,ENE,5,NE,1.8,104,,
最大,0.57,5,0.3,3.6,最多,平均,10,最多,4.7,平均,平均,
平均,0.41,2.8,0.2,2.8,,NE,2.4,NNE,2.3,94,,
2021/3/5,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.18,2.5,0.1,3,,E,3,E,2.2,86,,
2,0.2,4,0.1,2.7,,SSW,1,NNE,2.4,74,,
3,0.17,2.5,0.09,2.4,,NNE,1,NNE,1,72,,
4,0.16,1,0.08,2.5,,WSW,4,E,0.9,83,,
5,0.3,2.5,0.16,2.8,,WNW,9,NNE,1.8,110,,
6,0.43,2.5,0.2,2.6,,WNW,7,NNW,2,139,,
7,0.46,2.5,0.23,3,,W,8,NNW,2.5,164,,
8,0.28,3.5,0.16,2.9,,SW,11,N,2.4,170,,
9,0.28,3,0.16,3,,WNW,5,N,2.8,163,,
10,0.54,2,0.22,2.9,,NE,4,N,1.1,143,,
11,0.29,1.5,0.17,2.9,,NE,8,NE,1.2,119,,
12,0.5,3,0.21,2.7,,ENE,3,NNW,1.2,94,,
13,0.37,2,0.17,2.6,,ESE,3,ESE,0.5,71,,
14,0.33,3,0.17,2.7,,ENE,4,ESE,1.2,50,,
15,0.32,2,0.17,2.7,,E,4,ESE,1.9,36,,
16,0.29,2.5,0.17,2.5,,E,3,E,1,38,,
17,0.61,5,0.27,3.4,SE,W,1,NW,1.3,56,,
18,0.33,2.5,0.15,2.8,,NNW,3,NNW,2.9,80,,
19,0.37,3.5,0.17,3,,NNW,7,N,0.9,103,,
20,0.25,2.5,0.13,2.7,,NW,9,N,2.2,120,,
21,0.21,2,0.12,2.6,,NNW,5,N,1.5,129,,
22,0.22,2.5,0.13,2.7,,WNW,8,NNE,1.7,129,,
23,0.19,4.5,0.11,2.7,,NNW,2,NNE,1.4,126,,
24,0.18,2,0.1,2.4,,NW,3,N,1.5,122,,
最大,0.61,5,0.27,3.4,最多,平均,11,最多,2.9,平均,平均,
平均,0.31,2.7,0.16,2.8,,NW,2.2,N,1.6,103,,
2021/3/6,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.15,2.5,0.09,2.5,,W,3,NNE,1.8,113,,
2,0.15,4.5,0.08,2.6,,WNW,2,N,2.1,104,,
3,0.29,2.5,0.1,2.5,,WNW,4,NNE,1.7,100,,
4,0.21,2,0.09,2.7,,WSW,3,NE,1.9,101,,
5,0.34,2.5,0.18,3.2,,NW,6,NNE,1.7,113,,
6,0.32,3,0.17,2.8,,W,5,NNE,2.1,131,,
7,0.31,2,0.18,2.5,,NNW,6,NNE,2.2,151,,
8,0.39,2.5,0.2,2.7,,SW,4,N,3.4,163,,
9,0.25,2.5,0.16,2.9,,WNW,2,N,2.4,162,,
10,0.34,2.5,0.19,3,,ENE,2,N,3.3,149,,
11,0.33,3,0.15,2.7,,ESE,2,NNE,3.1,133,,
12,0.35,3,0.19,2.9,,NE,1,ENE,2.5,110,,
13,0.34,3.5,0.19,3.1,,ENE,6,ESE,3.2,88,,
14,0.43,3,0.26,3.2,ESE,NE,6,SE,3.9,72,,
15,0.53,3,0.24,2.8,,,0,ESE,3.2,56,,
16,0.32,2.5,0.17,2.6,,SSE,2,NNE,4.4,42,,
17,0.67,2.5,0.22,2.9,,W,3,NE,3.9,42,,
18,0.41,5,0.19,2.6,,WSW,5,NNE,5.9,54,,
19,0.54,2.5,0.3,2.7,ESE,WNW,3,NE,7.5,66,,
20,0.6,3,0.37,3,ESE,E,2,NE,6.4,82,,
21,0.87,3,0.39,2.9,ENE,ESE,7,NE,8.4,97,,
22,0.67,4.5,0.39,3.1,SE,ESE,10,NE,6.6,104,,
23,0.87,3,0.44,3,ESE,ESE,5,NE,5.9,109,,
24,0.52,2.5,0.29,2.7,SW,ENE,4,NNE,5.3,115,,
最大,0.87,5,0.44,3.2,最多,平均,10,最多,8.4,平均,平均,
平均,0.43,2.9,0.22,2.8,ESE,NNE,0.4,NNE,3.9,102,,
2021/3/7,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.53,2.5,0.28,2.5,N,SSW,5,NE,5.5,115,,
2,0.76,2.5,0.46,3,E,WNW,6,ENE,8.7,114,,
3,0.91,3,0.49,3.1,ENE,WSW,6,ENE,9.4,111,,
4,0.97,3.5,0.52,3.4,E,S,4,NE,9.5,104,,
5,0.93,3,0.5,3.3,ESE,ENE,6,NE,7.2,103,,
6,0.86,2.5,0.51,3.3,ENE,ESE,13,NE,8.1,112,,
7,1.19,3.5,0.56,3.3,ESE,ESE,9,ENE,9.7,125,,
8,0.83,3,0.5,3.2,ENE,ENE,8,NE,8.2,133,,
9,0.86,3,0.47,3.1,SSE,ENE,9,NE,8.4,135,,
10,0.66,3,0.38,3,ENE,NE,12,NE,6,132,,
11,0.91,2.5,0.42,3,NE,ENE,15,ENE,6.1,126,,
12,0.73,3,0.37,2.9,N,ENE,11,ENE,5.5,115,,
13,0.66,2.5,0.39,2.7,S,ENE,11,E,4.6,101,,
14,0.65,2.5,0.37,2.7,SE,E,12,E,4.2,85,,
15,0.5,3,0.27,2.9,ESE,E,11,ENE,5.4,67,,
16,0.6,2.5,0.3,2.6,S,E,10,E,3.9,52,,
17,0.44,2.5,0.23,2.7,,E,9,ENE,4.1,41,,
18,0.46,2.5,0.2,2.4,,NE,7,ENE,4.4,39,,
19,0.32,2.5,0.18,2.4,,NNE,3,NE,4.4,41,,
20,0.26,2,0.15,2.5,,WNW,2,NNE,4.1,51,,
21,0.25,2.5,0.15,2.6,,NW,2,NNE,3.2,64,,
22,0.2,2,0.12,2.4,,S,3,N,2.5,77,,
23,0.3,3.5,0.15,2.8,,NNE,7,NNE,2.8,91,,
24,0.21,2.5,0.11,2.5,,NW,2,N,2.5,108,,
最大,1.19,3.5,0.56,3.4,最多,平均,15,最多,9.7,平均,平均,
平均,0.62,2.7,0.34,2.8,ENE,ENE,5.1,ENE,5.8,93,,
2021/3/8,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.28,4,0.12,2.8,,SSW,3,N,4.4,122,,
2,0.16,2.5,0.08,2.7,,NW,5,N,4.9,131,,
3,0.14,3,0.09,2.3,,N,3,NNW,4.1,132,,
4,0.14,3,0.08,2.5,,NW,4,NNW,2.9,129,,
5,0.39,4,0.14,3,,SSE,1,NNW,2.9,125,,
6,0.25,3,0.14,2.9,,W,2,N,2.7,122,,
7,0.29,3.5,0.17,3.3,,,0,NNW,3.5,123,,
8,0.32,3,0.17,3,,NNW,4,N,3.1,129,,
9,0.27,6,0.16,3.2,,N,5,NNW,3.8,131,,
10,0.44,2.5,0.2,2.9,,NW,3,N,3,,,
11,0.33,3.2,0.18,3.1,,NNE,7,N,3.4,,,
12,0.33,2.7,0.16,3.1,,NNE,3,N,3.7,125,,
13,0.47,3,0.25,3.6,SE,ENE,4,N,4.6,120,,
14,0.33,3.5,0.2,3.2,,NE,8,NNE,4.1,113,,
15,1.17,3,0.26,2.9,WSW,ESE,6,NNE,6,101,,
16,0.41,2.5,0.22,2.6,,ENE,9,NNE,5.6,82,,
17,0.76,3.5,0.37,3.1,S,ESE,12,NNE,5.5,62,,
18,0.42,2.5,0.26,2.7,SSE,E,13,NNE,4.2,48,,
19,0.37,3,0.2,2.6,,E,8,NNE,5.2,37,,
20,0.34,2.5,0.19,2.7,,ESE,8,NNE,5,33,,
21,0.28,2,0.16,2.6,,ESE,5,NNE,5.3,40,,
22,0.54,2.5,0.23,3,,NNE,4,NNE,5.7,52,,
23,0.36,3.5,0.21,2.7,,NW,4,NNE,5.6,67,,
24,0.35,2.5,0.18,2.5,,N,17,NNE,5.6,88,,
最大,1.17,6,0.37,3.6,最多,平均,17,最多,6,平均,平均,
平均,0.38,3.1,0.18,2.9,,NE,3.3,NNE,4.4,96,,
2021/3/9,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.35,2.5,0.18,2.5,,NNW,14,NNE,5,110,,
2,0.33,2.5,0.19,2.8,,NW,12,NNE,4.5,129,,
3,0.37,2.5,0.19,2.3,,WNW,12,NNE,4.6,140,,
4,0.33,2,0.21,2.3,,WNW,5,NNE,5.1,143,,
5,0.49,2.5,0.25,2.5,SE,W,5,NNE,5.7,138,,
6,0.29,3,0.17,2.7,,W,5,NNE,5,128,,
7,0.49,2.5,0.2,2.8,,W,5,N,4,120,,
8,0.37,2.5,0.21,2.7,,WNW,6,N,4.4,114,,
9,0.3,3,0.19,2.9,,W,6,N,4.1,112,,
10,0.41,2.5,0.2,3.2,,W,4,N,3.6,115,,
11,0.33,3,0.19,3.2,,NW,7,N,3.6,119,,
12,0.54,4,0.24,3.3,,N,5,NNE,2.9,127,,
13,0.34,2.5,0.18,2.8,,NW,6,NNE,2.1,132,,
14,0.41,3,0.19,2.9,,NW,5,NE,2.1,135,,
15,0.5,3,0.16,2.7,,NW,2,E,1.4,128,,
16,0.34,2.5,0.21,2.8,,NW,2,NNE,0.3,116,,
17,0.58,3,0.24,3,,NE,2,ENE,2.4,96,,
18,0.25,3,0.16,3,,NE,5,ENE,2.6,73,,
19,0.25,4,0.14,3.1,,ENE,3,ESE,3.3,51,,
20,0.34,2.5,0.17,2.7,,ENE,4,SE,3.5,35,,
21,0.31,3,0.18,3.2,,ENE,4,SE,3.4,32,,
22,0.39,2.5,0.12,2.8,,NE,6,SSE,3.3,38,,
23,0.29,2,0.15,2.8,,NW,1,SSE,4.3,57,,
24,0.15,4,0.09,2.6,,N,7,SSE,3.6,81,,
最大,0.58,4,0.25,3.3,最多,平均,14,最多,5.7,平均,平均,
平均,0.36,2.8,0.18,2.8,,NW,4,NNE,3.5,103,,
2021/3/10,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.25,2,0.12,2.7,,SSE,1,S,1.6,110,,
2,0.21,3.5,0.09,2.5,,W,5,W,1.7,136,,
3,0.16,2,0.1,2.7,,SW,4,NNE,2.1,156,,
4,0.16,2,0.08,2.5,,SSW,4,NE,0.5,164,,
5,0.26,3,0.15,3.1,,SSW,3,N,1.8,160,,
6,0.34,3,0.16,2.6,,NE,1,N,1.2,148,,
7,0.44,3,0.2,3,,N,3,NW,1.9,131,,
8,0.36,2,0.19,2.6,,NE,1,NNW,1.9,118,,
9,0.23,3,0.15,2.8,,NE,2,N,6.7,108,,
10,0.45,3,0.27,2.6,SSW,N,4,NW,7.5,106,,
11,0.34,3,0.21,2.6,,NNW,5,NNW,7.3,111,,
12,0.33,3.5,0.18,2.5,,WNW,7,NNW,6.2,121,,
13,0.44,3,0.2,2.8,,NW,9,N,5.8,136,,
14,0.37,3,0.22,3.1,,NW,9,NNW,7.4,150,,
15,0.53,3,0.22,3,,NNE,5,N,6.1,152,,
16,0.38,3,0.21,2.6,,NW,2,N,6.7,141,,
17,0.46,4,0.23,2.5,,NNW,5,NNW,8.2,121,,
18,0.59,3.5,0.24,2.7,,ENE,3,NNW,7.6,93,,
19,0.33,2.5,0.19,2.4,,NE,9,NNW,7.4,61,,
20,0.29,1.5,0.19,2.4,,NE,6,N,7.2,33,,
21,0.28,3,0.17,2.9,,NNE,1,N,5.2,15,,
22,0.26,6,0.16,2.3,,NE,8,NNE,4.8,9,,
23,0.33,2.5,0.16,2.6,,NW,6,NNE,6.4,22,,
24,0.41,2,0.22,2.3,,NW,7,ENE,4.9,45,,
最大,0.59,6,0.27,3.1,最多,平均,9,最多,8.2,平均,平均,
平均,0.34,2.9,0.18,2.7,,NNW,2.6,N,4.9,106,,
2021/3/11,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.43,2.5,0.25,2.5,N,WNW,3,NE,4.5,75,,
2,0.38,2.5,0.22,2.6,,W,6,NE,2.2,108,,
3,0.32,2.5,0.16,2.5,,W,5,N,1.1,136,,
4,0.2,2,0.12,2.6,,WNW,5,N,1.8,153,,
5,0.44,5,0.16,2.9,,N,6,NNW,1.7,157,,
6,0.33,2.5,0.17,2.9,,NNE,3,NNE,1.2,145,,
7,0.29,3,0.16,2.7,,ESE,5,NNE,2.4,126,,
8,0.3,2.5,0.16,2.7,,SE,3,NNE,2.1,105,,
9,0.42,3.5,0.2,3.1,,SE,3,NE,2.5,87,,
10,0.44,4.5,0.23,3.5,,ESE,4,ENE,2.5,76,,
11,0.45,3,0.23,3,,ENE,7,ESE,1.8,80,,
12,0.37,3.5,0.21,2.7,,W,3,E,0.9,94,,
13,0.38,2.5,0.2,3.3,,N,3,ESE,2.1,115,,
14,0.39,2.5,0.21,3,,N,2,SE,3.8,140,,
15,0.62,2.5,0.2,2.7,,NW,8,SSE,5.4,155,,
16,0.51,2.5,0.28,2.1,ENE,NNW,6,S,8.7,156,,
17,1,2.5,0.34,2.4,SW,E,3,S,8.1,146,,
18,0.52,3.5,0.29,2.5,E,,0,S,7.3,123,,
19,0.54,2,0.25,2.6,ESE,ENE,3,S,6.2,90,,
20,0.36,2,0.21,2.3,,ESE,6,SE,4.6,53,,
21,0.42,3,0.22,2.6,,SE,9,SE,3.8,26,,
22,0.36,1.5,0.19,2.4,,SSW,5,SE,3.4,11,,
23,0.42,2,0.21,2.7,,W,5,SE,2.7,11,,
24,0.4,2,0.2,2.3,,NW,4,SSE,2.5,33,,
最大,1,5,0.34,3.5,最多,平均,9,最多,8.7,平均,平均,
平均,0.43,2.7,0.21,2.7,,N,0.7,SE,3.5,100,,
2021/3/12,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.29,2.5,0.18,2.2,,NNW,11,WNW,1.5,65,,
2,0.2,2.5,0.11,2.5,,WNW,7,W,1.7,101,,
3,0.16,2.5,0.09,2.5,,WNW,6,NNW,1.8,134,,
4,0.15,2,0.09,2.5,,WNW,9,NNW,1.9,156,,
5,0.31,3,0.16,3.3,,NW,6,NNE,1.8,166,,
6,0.59,3,0.17,2.8,,WNW,8,NNE,2.7,160,,
7,0.41,3,0.21,2.9,,WNW,2,N,1.4,143,,
8,0.31,2.5,0.17,2.7,,ESE,3,NW,2.1,117,,
9,0.33,2.5,0.18,3.1,,ESE,8,N,1.3,93,,
10,0.4,2.5,0.2,3,,E,7,N,1.7,73,,
11,0.54,2.5,0.22,2.9,,ENE,5,NE,1.6,67,,
12,0.54,2.5,0.21,2.9,,ENE,4,ENE,1.9,77,,
13,0.37,3.5,0.2,2.9,,SSW,4,ESE,2.8,105,,
14,0.37,2.5,0.2,2.9,,S,2,SE,3.7,136,,
15,0.42,2.5,0.21,2.7,,W,7,SSE,3.7,159,,
16,0.34,2.5,0.18,2.7,,WNW,6,SSE,4.1,169,,
17,0.63,3.5,0.32,3.3,SE,ENE,4,SSE,3.2,167,,
18,0.38,4,0.18,2.9,,NE,3,SE,3,147,,
19,0.24,3,0.14,2.7,,SE,5,S,2.3,118,,
20,0.24,3,0.13,2.9,,E,8,SSE,3.8,82,,
21,0.3,3,0.17,2.5,,SSE,9,S,4.9,48,,
22,0.26,3.5,0.15,2.3,,SE,6,S,4.5,18,,
23,0.37,2,0.19,2.5,,SW,4,SE,4.7,6,,
24,0.36,2,0.19,2,,WSW,4,SE,4.6,16,,
最大,0.63,4,0.32,3.3,最多,平均,11,最多,4.9,平均,平均,
平均,0.35,2.8,0.18,2.7,,WNW,0.4,SSE,2.8,105,,
2021/3/13,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.37,2.5,0.17,2.2,,W,11,NNE,2.5,46,,
2,0.25,2,0.16,2.2,,WNW,12,NE,2.6,88,,
3,0.42,1.5,0.19,2.2,,W,12,ENE,5.2,130,,
4,0.44,2.5,0.25,2.6,W,NW,13,NNE,4.4,160,,
5,0.54,2.5,0.31,2.7,ESE,WNW,8,NNE,5.9,174,,
6,0.71,2.5,0.33,2.8,E,N,3,NE,7.2,174,,
7,0.83,3,0.44,2.9,SE,ESE,12,NE,7.6,156,,
8,0.62,2.5,0.31,2.6,SW,ESE,17,NE,5.2,133,,
9,0.4,3.5,0.22,2.6,,ENE,16,NNE,5.7,107,,
10,0.32,2,0.17,2.3,,ESE,11,NE,4,82,,
11,0.33,1.5,0.19,2.1,,SE,10,NE,5.7,63,,
12,0.75,3,0.38,2.4,ESE,E,9,E,6.9,68,,
13,1.06,3,0.61,3.1,E,NE,7,NE,9.6,91,,
14,1.3,3.5,0.69,3.5,E,NE,8,NE,11.9,131,,
15,1.11,4,0.56,3.4,E,NNE,13,NE,12,171,,
16,1.04,2.5,0.49,2.8,NNE,SE,4,WNW,12.9,191,,
17,0.66,2.5,0.31,2.2,E,ENE,1,WNW,11.6,201,,
18,0.44,1.5,0.25,2.3,SW,WNW,8,NW,10.5,176,,
19,0.4,2,0.22,2.4,,WNW,8,NW,9.4,150,,
20,0.37,2,0.19,2.5,,NW,6,WNW,8.5,118,,
21,0.26,4,0.14,2.9,,E,4,NW,5.9,85,,
22,0.29,3.5,0.13,3.3,,WNW,3,WSW,5.9,60,,
23,0.58,4,0.21,3.2,,W,4,WSW,2.9,39,,
24,0.24,2,0.14,2.9,,NNE,3,W,1.8,35,,
最大,1.3,4,0.69,3.5,最多,平均,17,最多,12.9,平均,平均,
平均,0.57,2.6,0.29,2.7,E,NNE,1.9,NE,6.9,118,,
2021/3/14,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.21,2.5,0.1,2.8,,NNW,2,WSW,2.5,52,,
2,0.58,3,0.14,2.5,,NW,4,WNW,2.6,88,,
3,0.16,2,0.09,2.7,,W,6,NNW,3.5,128,,
4,0.19,2,0.11,2.6,,W,13,NW,7.2,165,,
5,0.68,2,0.29,2.4,E,WNW,14,NW,12.7,184,,
6,0.92,2.5,0.33,2.3,WSW,W,19,NW,11.6,188,,
7,0.53,2.5,0.28,2.2,SSE,W,14,NW,10.7,174,,
8,0.45,2.5,0.25,2.2,ENE,WNW,7,WNW,10,149,,
9,0.59,2,0.31,2.3,NE,W,11,WNW,13.2,113,,
10,0.66,2,0.33,2.2,NNE,W,14,NW,12.6,81,,
11,0.58,2,0.33,2.3,W,WNW,9,WNW,12,60,,
12,0.44,1.5,0.22,2,,WNW,18,NW,9.1,55,,
13,0.45,2,0.23,2.6,,WNW,17,NW,9.3,69,,
14,0.42,3.5,0.21,2.5,,NW,10,NNW,8.3,100,,
15,0.49,2.5,0.27,2.5,SSE,NW,9,NNW,9.6,136,,
16,0.52,2.5,0.32,2.5,ESE,WSW,13,NNW,9.2,169,,
17,0.46,2.5,0.25,2.6,WSW,WNW,8,NNW,8.5,186,,
18,0.61,3.5,0.29,2.5,ESE,E,11,NW,5.4,186,,
19,0.33,3.5,0.2,2.9,,NE,11,NW,6.5,169,,
20,0.43,2.5,0.2,2.4,,WSW,5,NW,9.4,135,,
21,0.4,1.5,0.19,2.3,,SE,8,NW,9.3,97,,
22,0.35,2,0.19,2.2,,SSW,3,NNW,10.1,62,,
23,0.49,2.5,0.24,2.4,,NW,7,NNW,8.5,38,,
24,0.37,1.5,0.21,2.6,,WNW,4,NNW,8.3,27,,
最大,0.92,3.5,0.33,2.9,最多,平均,19,最多,13.2,平均,平均,
平均,0.47,2.4,0.23,2.4,WSW,WNW,7,NW,8.8,117,,
2021/3/15,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.46,2.5,0.28,2.4,NNW,N,4,NNW,9.5,38,,
2,0.46,2,0.25,2.4,NW,W,3,NNW,8,68,,
3,0.34,2.5,0.19,2.9,,NW,13,NNW,7.2,108,,
4,0.41,2.5,0.21,2.4,,WNW,9,NW,6.9,143,,
5,0.45,2.5,0.2,2.8,,W,11,NNW,7.6,167,,
6,0.38,3,0.19,2.7,,W,7,NNW,7.2,178,,
7,0.43,2.5,0.24,2.8,,SSW,6,NNW,4.9,173,,
8,0.33,2.5,0.19,2.6,,ESE,9,NNW,7.3,152,,
9,0.3,2,0.19,2.7,,ESE,6,NNW,8.9,121,,
10,0.44,2.5,0.22,2.9,,ESE,9,NNW,7.9,87,,
11,0.33,2.5,0.17,2.7,,ESE,8,N,4.5,57,,
12,0.38,3,0.18,2.6,,ESE,5,NNW,3.6,41,,
13,0.45,4,0.23,3,,NNW,2,N,4.8,46,,
14,0.42,3.5,0.22,2.8,,SW,2,N,6.1,72,,
15,0.34,3,0.19,2.9,,W,6,N,4.8,111,,
16,0.77,4,0.29,3.2,W,W,15,SW,3.6,149,,
17,0.74,3,0.32,2.7,E,WNW,15,SSW,6,175,,
18,0.51,3,0.25,2.7,SSW,W,18,SW,5.6,184,,
19,0.29,2.5,0.15,2.8,,WSW,19,W,3.3,174,,
