2018/1/1,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
13,0.38,2.5,0.19,2.4,,WNW,12,NNW,5.8,112,,
14,0.23,2.5,0.14,2.9,,W,12,NNE,4.1,140,,
15,0.39,4,0.2,3,,WSW,13,NNW,5.5,169,,
16,0.28,3,0.16,2.8,,SW,7,N,3.8,186,,
17,0.49,3,0.27,3.3,WNW,WNW,6,N,2.9,183,,
18,0.37,5.5,0.18,3.3,,SE,7,N,0.8,161,,
19,0.26,2.5,0.14,2.7,,ESE,15,ESE,2.5,127,,
20,0.32,2,0.16,2.3,,ESE,12,SE,5,83,,
21,0.37,2,0.22,2.1,,SE,8,SSE,5.3,38,,
22,0.37,2.5,0.21,2.2,,S,2,S,5.1,1,,
23,0.33,3.5,0.17,2.5,,E,2,W,3.3,-19,,
24,0.19,2.5,0.1,2.1,,WNW,9,NW,4,-21,,
最大,0.65,5.5,0.33,3.3,最多,平均,19,最多,10.1,平均,平均,
平均,0.38,2.6,0.21,2.5,,W,5.6,NNW,6.3,107,,
2018/1/3,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.29,2,0.14,2,,WNW,14,NNW,8.1,2,,
2,0.36,2,0.2,2.2,,WNW,15,NW,6.6,44,,
3,0.49,2.5,0.29,2.5,NNW,WNW,20,NNW,11.3,91,,
4,0.31,3,0.2,2.5,,WNW,25,NNW,9.2,137,,
5,0.37,2.5,0.16,2.9,,W,17,NNW,7.5,171,,
6,0.24,3,0.14,2.8,,W,10,N,5.8,183,,
7,0.32,3,0.17,2.7,,WSW,4,N,3.1,180,,
8,0.33,2,0.2,2.5,,ENE,2,N,7.3,162,,
9,0.37,3,0.19,2.3,,ESE,7,NNW,8.6,135,,
10,0.55,2.5,0.27,2.3,S,E,3,NNW,10.5,104,,
11,0.74,3,0.39,2.5,WNW,NNW,3,NW,12.7,81,,
12,0.67,2.5,0.34,2.6,SSW,,0,WNW,11.2,77,,
13,0.61,2.5,0.34,2.6,ENE,NW,8,NW,12.3,88,,
14,0.72,2.5,0.39,2.6,NNW,WNW,8,WNW,11.5,119,,
15,0.64,2,0.31,2.7,ENE,WNW,10,NW,11.8,151,,
16,0.68,2.5,0.36,2.6,NNW,WSW,14,NW,10.6,172,,
17,0.6,3,0.3,2.6,ENE,W,12,NW,11.2,182,,
18,0.44,2,0.26,2.5,SSW,WNW,5,NNW,8.6,176,,
19,0.39,2.5,0.22,2.8,,NNW,5,NW,8.4,150,,
20,0.36,1.5,0.23,2.4,,ESE,4,NW,8.6,108,,
21,0.24,3,0.14,2.7,,SE,8,NNW,6,67,,
22,0.4,1.5,0.22,2.2,,SE,7,NW,9.7,23,,
23,0.5,2,0.26,2.2,ESE,SSE,8,WNW,8.5,-14,,
24,0.28,1.5,0.16,2.1,,SW,20,NW,7.4,-35,,
最大,0.74,3,0.39,2.9,最多,平均,25,最多,12.7,平均,平均,
平均,0.45,2.4,0.25,2.5,NNW,W,6,NW,9,106,,
2018/1/4,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.24,2,0.15,2.1,,W,2,NW,6,-26,,
2,0.3,1.5,0.18,2,,NW,5,NW,7.1,7,,
3,0.26,2,0.13,2.7,,W,16,N,4.2,54,,
4,0.2,2.5,0.12,2.5,,WNW,24,NNW,4.5,103,,
5,0.25,2,0.15,2.7,,W,26,NNW,2.4,143,,
6,0.36,2.5,0.18,2.7,,W,20,NNW,4.8,168,,
7,0.32,3,0.17,2.7,,W,19,NNW,4.7,176,,
8,0.3,1.5,0.18,2.4,,WSW,9,NNW,6.2,167,,
9,0.36,2,0.19,2.4,,SSE,4,NNW,7.9,146,,
10,0.31,1.5,0.16,2.2,,ENE,10,NNW,6.9,120,,
11,0.28,4,0.16,3,,ESE,13,N,7.1,100,,
12,0.32,3,0.15,2.6,,ESE,10,NNW,4.6,84,,
13,0.27,2,0.16,2.7,,SW,1,N,6.8,81,,
14,0.29,3.5,0.15,2.5,,N,3,N,7.5,97,,
15,0.28,2,0.17,2.6,,WNW,6,NNW,6.9,127,,
16,0.44,4,0.22,2.9,,WSW,9,NNW,5.9,162,,
17,0.38,2,0.2,2.8,,W,3,NNW,5.4,188,,
18,0.4,2.5,0.2,2.5,,SW,3,N,5.7,192,,
19,0.28,2.5,0.17,2.8,,SE,8,NNW,6,172,,
20,0.28,3.5,0.15,2.7,,ESE,12,NNW,6.3,137,,
21,0.24,1.5,0.12,2.4,,E,12,N,6.7,100,,
22,0.18,2,0.1,2.4,,ESE,13,N,5.7,59,,
23,0.27,3,0.14,2.8,,ESE,11,N,5.9,23,,
24,0.26,2.5,0.12,2.4,,ESE,7,N,5.1,-6,,
最大,0.44,4,0.22,3,最多,平均,26,最多,7.9,平均,平均,
平均,0.29,2.4,0.16,2.6,,WSW,2.3,NNW,5.8,107,,
2018/1/5,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.27,2.5,0.13,2.5,,ESE,4,N,4.6,-17,,
2,0.22,1.5,0.11,2.2,,NNW,6,NNW,6.7,-7,,
3,0.26,2.5,0.13,2.3,,NW,15,N,6.3,28,,
4,0.22,2,0.12,2.3,,WNW,13,N,4.7,73,,
5,0.33,2.5,0.15,2.8,,WNW,12,N,3.9,121,,
6,0.44,4.5,0.22,3,,W,9,N,2.4,157,,
7,0.33,3,0.2,2.8,,WSW,5,NNE,3.5,175,,
8,0.34,2,0.2,2.8,,W,4,N,2.8,175,,
9,0.32,5,0.19,2.9,,SSE,7,NNW,3.7,162,,
10,0.29,3,0.16,3,,ESE,9,N,3.8,141,,
11,0.28,2,0.15,2.6,,E,11,NNW,3.9,117,,
12,0.23,2,0.14,2.9,,ESE,9,N,4,97,,
13,0.24,3,0.15,2.9,,ESE,10,NNE,2.6,85,,
14,0.43,3.5,0.21,3.1,,N,2,NNE,3.3,90,,
15,0.33,2,0.16,2.5,,SSE,1,NNE,3,111,,
16,0.43,3.5,0.22,2.9,,NW,3,N,1.7,144,,
17,0.37,3,0.21,2.9,,WSW,1,NE,2.2,170,,
18,0.29,3,0.16,2.7,,SSW,5,ENE,2.8,184,,
19,0.26,3,0.15,2.9,,S,5,NNE,2.9,178,,
20,0.24,2.5,0.13,2.6,,ESE,9,N,2.5,161,,
21,0.21,2,0.12,2.3,,E,16,NNE,2.7,133,,
22,0.26,2.5,0.13,2.4,,ESE,12,NNE,3,102,,
23,0.3,3.5,0.17,2.9,,ESE,12,NNE,2.4,71,,
24,0.18,2.5,0.1,2.4,,ESE,14,N,2.1,37,,
最大,0.44,5,0.22,3.1,最多,平均,16,最多,6.7,平均,平均,
平均,0.29,2.8,0.16,2.7,,SE,2.1,N,3.4,112,,
2018/1/6,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.14,2,0.08,2.3,,SE,12,N,2.4,9,,
2,0.21,2.5,0.1,2.6,,E,4,N,3.1,4,,
3,0.27,3,0.12,3,,WNW,4,N,2.8,24,,
4,0.15,2.5,0.09,2.8,,WNW,5,NNW,2.9,60,,
5,0.34,3,0.12,2.8,,WNW,6,NNE,1.5,105,,
6,0.42,2.5,0.18,2.9,,NW,9,N,1.4,142,,
7,0.22,2,0.13,2.3,,W,6,N,2,166,,
8,0.34,2.5,0.21,2.7,,NW,3,WSW,2,175,,
9,0.46,3,0.2,3.1,,WSW,2,N,0.4,173,,
10,0.24,2.5,0.14,2.8,,E,8,WSW,2.6,158,,
11,0.31,2.5,0.19,3.3,,ESE,10,SE,1.3,139,,
12,0.39,3.5,0.21,2.9,,SE,8,ESE,1,117,,
13,0.33,3.5,0.18,3.2,,SE,5,SE,3.4,98,,
14,0.58,2.5,0.21,2.7,,ENE,8,SE,3.5,88,,
15,0.43,2,0.23,2.3,,ESE,3,SSE,6.3,97,,
16,0.55,4.5,0.28,2.8,S,NNW,2,S,6,124,,
17,0.36,4,0.2,2.5,,WNW,10,S,5.1,154,,
18,0.29,3,0.16,2.5,,NW,4,S,3.6,172,,
19,0.31,2,0.16,2.4,,WNW,3,WSW,1.7,175,,
20,0.22,2.5,0.13,2.7,,W,5,NNW,2.3,164,,
21,0.22,5.5,0.12,2.4,,NW,4,NNW,7.6,145,,
22,0.31,1.5,0.17,2.1,,W,4,NNW,9.4,123,,
23,0.37,4.5,0.17,2.5,,NNW,4,NNW,7.9,99,,
24,0.15,3.5,0.1,2.4,,WNW,5,NNW,4.8,67,,
最大,0.58,5.5,0.28,3.3,最多,平均,12,最多,9.4,平均,平均,
平均,0.32,2.9,0.16,2.7,,NW,0.9,N,3.5,116,,
2018/1/7,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.32,2,0.15,2.1,,NNW,6,NNW,6.9,32,,
2,0.34,1.5,0.18,2.1,,NNW,5,N,7.3,17,,
3,0.5,2,0.24,2.3,,NW,12,NNW,8.8,24,,
4,0.46,2,0.22,2.5,,NW,16,N,10.4,45,,
5,0.42,2.5,0.21,2.7,,W,16,N,5.9,80,,
6,0.34,2.5,0.18,2.9,,WNW,14,NNW,6.7,112,,
7,0.47,2,0.28,2.6,SSE,WNW,10,NW,9,136,,
8,0.4,2.5,0.23,2.5,,WNW,12,NW,7.8,156,,
9,0.41,2.5,0.24,2.2,,WNW,11,NW,9.2,163,,
10,0.54,2,0.27,2.4,SE,WSW,5,NNW,12.3,155,,
11,0.32,2.5,0.18,2.7,,N,3,NNW,6.8,139,,
12,0.27,3.5,0.17,3.1,,SW,2,NNW,5.8,115,,
13,0.31,3,0.19,3.2,,ESE,3,NW,2.7,93,,
14,0.37,2.5,0.22,3.1,,E,8,NE,2.3,80,,
15,0.35,2.5,0.18,2.9,,ESE,3,ESE,2.6,81,,
16,0.38,2,0.23,2.7,,SSW,2,ESE,3.7,91,,
17,0.37,2,0.2,2.5,,NNE,6,ESE,4.1,110,,
18,0.46,2,0.23,2.8,,NNW,7,ESE,2.6,132,,
19,0.42,2.5,0.21,2.8,,NE,2,ESE,5.8,145,,
20,0.42,2.5,0.24,2.1,,N,2,SE,4.3,141,,
21,0.55,2,0.21,2.4,,ENE,7,SE,3.9,136,,
22,0.29,2,0.17,2.1,,N,3,E,1.5,127,,
23,0.37,2,0.23,3.1,,E,10,NNE,2.3,108,,
24,0.21,2,0.12,2.3,,ESE,10,NNW,2,84,,
最大,0.55,3.5,0.28,3.2,最多,平均,16,最多,12.3,平均,平均,
平均,0.39,2.3,0.21,2.6,,NW,3.2,NNW,5.6,104,,
2018/1/8,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.15,2.5,0.09,2.3,,ESE,11,NNW,2.4,64,,
2,0.13,1.5,0.08,2.3,,ESE,6,N,1.9,42,,
3,0.15,1,0.09,2.1,,N,5,NNW,4.1,32,,
4,0.13,3.5,0.08,2.4,,N,3,NNW,3.1,42,,
5,0.25,2.5,0.13,3,,W,6,N,2.6,70,,
6,0.28,2,0.14,2.5,,WNW,6,N,1.3,98,,
7,0.4,3,0.17,3,,WNW,8,N,2.9,125,,
8,0.32,3,0.17,2.6,,WNW,8,NNW,2,146,,
9,0.24,3,0.15,3,,N,2,N,2.7,154,,
10,0.36,2,0.18,2.8,,ESE,5,NNW,1.3,156,,
11,0.35,2,0.16,2.5,,SE,8,SSE,0.4,149,,
12,0.25,2.5,0.14,2.5,,SE,9,ESE,1.1,131,,
13,0.23,2,0.13,2.5,,ESE,6,ESE,2.2,112,,
14,0.51,4,0.21,3.2,,SSE,4,S,3.9,96,,
15,0.42,2,0.21,2.3,,SSW,4,WSW,7,84,,
16,0.41,2,0.22,2.5,,WSW,4,WSW,7.5,87,,
17,0.39,3,0.18,2.5,,WNW,7,WSW,5.1,96,,
18,0.51,2.5,0.17,2.9,,W,10,SW,2.9,112,,
19,0.47,3.5,0.18,2.9,,WNW,5,S,1.5,125,,
20,0.21,3,0.11,2.8,,N,3,NNE,2.5,135,,
21,0.23,3.5,0.13,2.9,,S,3,N,4.1,138,,
22,0.27,3,0.13,2.7,,SW,3,NNW,4.8,138,,
23,0.18,3,0.1,2.9,,ENE,3,NNW,3.9,132,,
24,0.28,3,0.13,2.5,,,0,NNW,3.2,118,,
最大,0.51,4,0.22,3.2,最多,平均,11,最多,7.5,平均,平均,
平均,0.3,2.6,0.15,2.7,,SW,0.7,NNW,3.1,108,,
2018/1/9,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.17,2,0.08,2.4,,NNE,2,NNW,1.8,102,,
2,0.16,2.5,0.1,2.7,,NW,3,E,0.7,89,,
3,0.17,3,0.09,2.6,,NNW,2,ESE,1,82,,
4,0.28,3,0.13,3.3,,W,4,N,1.8,79,,
5,0.43,2.5,0.14,3,,W,4,WNW,0.7,92,,
6,0.42,2.5,0.15,2.6,,NNE,3,N,0.9,108,,
7,0.34,2.5,0.21,2.8,,N,4,WNW,0.6,136,,
8,0.36,3,0.17,3,,E,2,SE,1.5,156,,
9,0.29,3.5,0.15,3.2,,SE,5,NNE,3.1,175,,
10,0.87,2.5,0.49,2.6,S,NW,1,SSW,11.2,184,,
11,0.98,3.5,0.55,2.8,ENE,SSW,8,SW,10,184,,
12,0.5,3.5,0.28,3.2,ESE,NNE,5,NE,3.3,168,,
13,1.07,3,0.67,2.8,SSE,WNW,2,SSW,14.9,150,,
14,1.38,3,0.85,2.8,S,NW,2,SW,17.6,131,,
15,1.45,2.5,0.82,2.9,ESE,ENE,2,SW,16,118,,
16,1.34,2.5,0.75,2.9,S,NW,7,SW,16.8,115,,
17,1.05,2,0.64,3,ESE,NW,11,WSW,14.3,111,,
18,0.88,3,0.45,3,SE,WNW,5,WSW,9.5,103,,
19,0.8,3.5,0.47,2.7,ESE,W,23,WSW,10.6,101,,
20,0.45,4.5,0.28,3.1,ENE,W,19,WSW,6.2,107,,
21,0.38,3.5,0.23,3.2,,WNW,18,SW,5.1,114,,
22,0.35,3,0.2,3.4,,NW,11,WSW,4.1,124,,
23,0.41,4.5,0.2,3.6,,NNW,9,SW,3.7,131,,
24,0.33,2.5,0.18,2.4,,NNE,4,SW,6.1,125,,
最大,1.45,4.5,0.85,3.6,最多,平均,23,最多,17.6,平均,平均,
平均,0.62,3,0.35,2.9,ESE,WNW,4.5,SW,6.7,124,,
2018/1/10,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.29,4,0.18,2.7,,WNW,3,WSW,5.4,111,,
2,0.24,1.5,0.14,2.3,,NW,6,SW,5.9,98,,
3,0.2,6.5,0.11,2.7,,W,7,SW,4.4,94,,
4,0.34,4,0.13,2.5,,NW,6,WSW,5.1,86,,
5,0.45,2,0.15,2.5,,W,4,WSW,5.5,85,,
6,0.43,2,0.22,2.3,,W,6,WSW,7.2,93,,
7,0.58,2,0.3,2.3,E,W,12,WSW,8.8,106,,
8,0.6,1.5,0.33,2.2,SW,WNW,5,WSW,8.8,123,,
9,0.68,2,0.35,2.3,ESE,W,7,SW,9,143,,
10,0.53,4.5,0.34,3,ENE,WNW,8,SW,7.6,155,,
11,1.21,2.5,0.52,2.5,S,SW,1,SW,11.7,161,,
12,1.05,2,0.63,2.6,SSE,W,9,SW,12.6,158,,
13,1.21,3,0.71,2.7,N,NNW,3,SW,15.5,145,,
14,1.22,2.5,0.75,2.9,ENE,SE,3,SW,16.5,131,,
15,1.28,3,0.72,2.7,SE,ESE,6,SW,14.6,119,,
16,1.08,2.5,0.63,2.7,ESE,SE,4,SW,12.9,105,,
17,0.94,2.5,0.56,2.7,ESE,ESE,10,SW,12.5,88,,
18,0.89,2,0.52,2.7,ESE,SE,2,SW,11.8,77,,
19,0.69,2,0.46,2.6,ESE,W,2,SW,11.7,76,,
20,0.74,2.5,0.43,2.6,NE,W,7,SW,11.3,80,,
21,0.82,2,0.44,2.4,SSE,NNE,4,SW,10.8,94,,
22,0.76,2.5,0.38,2.4,ESE,WNW,7,WSW,9.7,110,,
23,0.69,2,0.39,2.3,NW,NW,3,SW,11.1,118,,
24,0.79,2.5,0.37,2.4,E,NW,10,SW,9.9,125,,
最大,1.28,6.5,0.75,3,最多,平均,12,最多,16.5,平均,平均,
平均,0.74,2.6,0.41,2.5,ESE,WNW,3.2,SW,10,112,,
2018/1/11,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.58,2,0.35,2.4,SSE,WNW,7,WSW,8.9,125,,
2,0.38,2.5,0.23,3.3,,W,7,NW,5,122,,
3,0.41,4,0.24,3.8,,NW,4,NNW,2.4,114,,
4,0.35,4,0.23,3.8,,ENE,7,NNW,1.8,109,,
5,0.36,2,0.2,3.3,,N,7,N,3.5,100,,
6,0.38,3,0.21,3.2,,NE,2,NNW,1.8,94,,
7,0.49,2.5,0.22,2.9,,N,3,N,1.7,98,,
8,0.47,4.5,0.19,3.5,,NNW,5,NNE,2.4,113,,
9,0.32,2,0.18,2.9,,NNE,1,NE,3.3,128,,
10,0.36,2.5,0.22,2.9,,NE,5,SW,2.9,144,,
11,0.41,2.5,0.23,2.5,,NE,5,WSW,5.9,154,,
12,0.4,3.5,0.24,3.1,,E,5,WSW,4,153,,
13,0.49,3,0.29,3,ENE,SE,3,SSW,3.5,147,,
14,0.64,2.5,0.31,2.9,E,SSW,4,SW,5.5,136,,
15,0.87,3,0.44,2.5,ESE,WNW,1,S,11.9,125,,
16,0.92,2.5,0.54,2.7,ESE,SW,3,SW,10.7,110,,
17,0.77,2.5,0.41,2.5,ESE,SSW,2,SW,8.8,91,,
18,0.43,3,0.28,3.5,ESE,ESE,2,NNW,1.9,69,,
19,0.49,3.5,0.27,3.7,E,N,1,NNW,1.9,55,,
20,0.54,3.5,0.27,3.6,E,NW,10,NW,3.9,49,,
21,0.37,3.5,0.25,3.3,SSE,WNW,10,WSW,5.3,55,,
22,0.36,3.5,0.18,2.9,,W,9,WSW,2.9,72,,
23,0.36,3.5,0.19,3,,W,11,WSW,4.4,92,,
24,0.26,3,0.17,2.5,,W,12,WSW,5,105,,
最大,0.92,4.5,0.54,3.8,最多,平均,12,最多,11.9,平均,平均,
平均,0.48,3,0.26,3.1,ESE,NW,2.4,WSW,4.6,107,,
2018/1/12,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.42,4,0.15,2.7,,W,6,W,3.6,113,,
2,0.23,3,0.12,3.1,,W,4,NNW,1.8,117,,
3,0.19,3.5,0.11,3,,WSW,6,N,2.7,120,,
4,0.36,3,0.16,3.1,,WSW,5,NNW,2.6,117,,
5,0.36,2.5,0.18,2.8,,NW,3,NNW,2.4,108,,
6,0.3,2.5,0.15,2.7,,,0,NW,3,95,,
7,0.54,2,0.23,2.8,,W,2,N,2.4,86,,
8,0.33,2,0.18,2.8,,WNW,4,N,2.4,88,,
9,0.29,3.5,0.16,3,,SW,2,N,3.9,98,,
10,0.48,3,0.21,3.2,,ESE,7,N,3.8,114,,
11,0.29,3,0.17,2.9,,W,2,N,2.1,128,,
12,0.39,2.5,0.21,2.9,,ESE,3,ENE,1.7,134,,
13,0.48,3.5,0.22,2.9,,ESE,3,E,2.2,132,,
14,0.43,3,0.24,2.8,,E,6,SE,2,130,,
15,0.34,2.5,0.19,2.7,,SE,10,WNW,0.5,123,,
16,0.37,3.5,0.2,2.9,,SE,5,N,1.2,108,,
17,0.5,3.5,0.21,2.9,,E,6,NNE,1.2,91,,
18,0.36,5.5,0.18,3.1,,SE,4,NNW,0.4,67,,
19,0.31,2,0.17,2.8,,SE,4,N,1,40,,
20,0.26,2.5,0.13,2.7,,ENE,2,NNE,4.6,26,,
21,0.25,3,0.13,2.5,,WSW,3,N,3.2,23,,
22,0.33,3,0.14,3,,NW,1,NNE,2.7,39,,
23,0.29,2.5,0.17,2.6,,NNE,6,NNE,3.5,60,,
24,0.32,2.5,0.16,2.4,,NNW,10,N,4,80,,
最大,0.54,5.5,0.24,3.2,最多,平均,10,最多,4.6,平均,平均,
平均,0.35,3,0.17,2.8,,SE,0.3,N,2.5,93,,
2018/1/13,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.28,2,0.14,2.4,,NNW,2,N,3.7,99,,
2,0.21,2.5,0.12,2.5,,NNW,6,NNW,2.7,114,,
3,0.17,3,0.1,2.6,,WNW,6,NNW,3.1,122,,
4,0.21,2,0.12,2.7,,NW,1,N,6.6,129,,
5,0.27,3,0.13,2.9,,NE,3,NNW,5.1,125,,
6,0.36,2.5,0.17,2.7,,SSW,2,NNW,4.9,113,,
7,0.45,4,0.24,3.1,,NE,2,NNW,4.8,99,,
8,0.32,4,0.18,2.8,,WSW,4,NNW,4.5,89,,
9,0.3,2,0.15,3,,SW,5,NNW,4.7,89,,
10,0.32,3,0.16,2.9,,W,9,NNW,4.1,101,,
11,0.39,2.5,0.2,2.9,,WNW,12,NNW,1.3,118,,
12,0.28,3.5,0.14,2.8,,WSW,2,ENE,1.9,133,,
13,0.45,6,0.22,3.4,,WNW,7,ESE,2.2,142,,
14,0.35,2.5,0.19,2.7,,NW,7,ESE,2.8,142,,
15,0.51,3,0.23,2.8,,WNW,3,SE,3.3,137,,
16,0.44,3.5,0.23,2.9,,WNW,4,SSE,3.7,128,,
17,0.4,3,0.21,2.9,,,0,S,3.4,114,,
18,0.42,3,0.22,2.8,,ENE,3,SE,3.8,89,,
19,0.32,2.5,0.18,2.5,,E,2,SSE,3.5,58,,
20,0.24,2,0.15,2.5,,E,8,ESE,2.5,30,,
21,0.21,2.5,0.13,2.6,,W,2,N,3,15,,
22,0.25,3,0.12,2.9,,WSW,4,NNW,4.2,20,,
23,0.49,2.5,0.27,2.4,NW,NE,3,NW,9.2,37,,
24,0.32,1.5,0.18,2.1,,W,10,NNW,8.5,58,,
最大,0.51,6,0.27,3.4,最多,平均,12,最多,9.2,平均,平均,
平均,0.33,2.9,0.17,2.7,,WNW,2.6,NNW,4.1,96,,
2018/1/14,,,,,,,,,,,,
時刻,最高波波高(m),最高波周期(s),有義波波高(m),有義波周期(s),波向,流向,流速(cm/s),風向,風速(m/s),潮位(cm),推算潮位(cm),偏差(cm)
1,0.31,1.5,0.15,2.2,,NW,9,NNW,7.7,76,,
2,0.34,5,0.16,2.8,,WNW,14,NNW,4,99,,
3,0.52,3,0.23,2.5,,W,10,NNW,7.8,120,,
4,0.4,2,0.23,2.3,,W,14,NNW,9.4,136,,
5,0.45,3,0.27,2.5,SW,W,9,NW,10.5,137,,
6,0.46,3.5,0.25,2.3,SSW,WSW,12,NNW,8.6,120,,
7,0.51,2.5,0.21,2.7,,WSW,5,NW,6.3,98,,
8,0.51,2.5,0.24,2.8,,WSW,12,N,5.6,83,,
9,0.53,4.5,0.27,2.7,E,W,15,NNW,9.4,77,,
10,0.4,2.5,0.26,2.8,SE,WNW,10,NNW,6.4,80,,
11,0.43,1.5,0.23,2.4,,NW,9,NNW,7,92,,
12,0.39,2.5,0.21,2.5,,NW,14,N,6.5,105,,
13,0.34,3.5,0.18,2.9,,NW,8,N,6,119,,
14,0.29,2,0.16,2.6,,NW,9,N,3.2,132,,
15,0.33,3,0.18,2.6,,WNW,5,NE,2.9,139,,
16,0.47,2.5,0.25,2.9,SSE,NW,2,ESE,3.7,138,,
17,0.48,3,0.22,2.7,,S,5,ESE,4.1,123,,
18,0.39,2.5,0.21,2.2,,SSE,5,ESE,4.5,95,,
