年度,道府県分基準財政需要額（A)（億円）,道府県分基準財政需要額（A)増減率（％）,道府県分基準財政収入額（B)（億円）,道府県分基準財政収入額（B)増減率（％）,道府県分交付基準額（A)-（B)（億円）,大都市分基準財政需要額（C)（億円）,大都市分基準財政需要額（C)増減率（％）,大都市分基準財政収入額（D)（億円）,大都市分基準財政収入額（D)増減率（％）,大都市分交付基準額（C)-（D)（億円）,合計基準財政需要額（E)（億円）,合計基準財政需要額（E)増減率（％）,合計基準財政収入額（F)（億円）,合計基準財政収入額（F)増減率（％）,合計交付基準額（E)-（F)（億円）,財政力指数道府県分（B)/(A),財政力指数大都市分（D)/(C),財政力指数合計（F)/(E),地方交付税率（％）所得税,地方交付税率（％）法人税,地方交付税率（％）酒税,地方交付税率（％）消費税,地方交付税率（％）たばこ税,地方交付税率（％）地方法人税,年度
58,9531,0.9,11061,△2.8,△1530,8793,0.3,9868,3.9,△1075,18324,0.6,20929,0.2,△2605,1.161,1.122,1.142,32,32,32,-,-,-,58
59,9650,1.2,11697,5.7,△2047,9117,3.7,10629,7.7,△1512,18767,2.4,22326,6.7,△3559,1.212,1.166,1.19,32,32,32,-,-,-,59
60,10860,12.5,13602,16.3,△2742,10266,12.6,12086,13.7,△1820,21126,12.6,25688,15.1,△4562,1.252,1.177,1.216,32,32,32,-,-,-,60
61,11393,4.9,14765,8.6,△3372,10840,5.6,13081,8.2,△2241,22233,5.2,27846,8.4,△5613,1.296,1.207,1.252,32,32,32,-,-,-,61
62,11711,2.8,16332,10.6,△4621,11098,2.4,14099,7.8,△3001,22809,2.6,30431,9.3,△7622,1.395,1.27,1.334,32,32,32,-,-,-,62
63,12677,8.2,19626,20.2,△6949,12808,15.4,16009,13.5,△3201,25485,11.7,35635,17.1,△10150,1.548,1.25,1.398,32,32,32,-,-,-,63
元,14617,15.3,23944,22,△9327,13455,5.1,18460,15.3,△5005,28071,10.1,42404,19,△14332,1.638,1.372,1.511,32,32,32,24,25,-,元
2,14817,1.4,24867,3.9,△10050,13812,2.7,19381,5,△5569,28629,2,44248,4.3,△15619,1.678,1.403,1.546,32,32,32,24,25,-,2
3,14641,△1.2,23458,△5.7,△8817,14047,1.7,19702,1.7,△5655,28688,0.2,43160,△2.5,△14472,1.602,1.403,1.504,32,32,32,24,25,-,3
4,15533,6.1,21983,△6.3,△6449,15173,8,20074,1.9,△4901,30706,7,42056,△2.6,△11350,1.415,1.323,1.37,32,32,32,24,25,-,4
5,15934,2.6,19413,△11.7,△3479,15070,△0.7,19229,△4.2,△4159,31003,1,38642,△8.1,△7639,1.218,1.276,1.246,32,32,32,24,25,-,5
6,16135,1.3,17881,△7.9,△1746,15248,1.2,18969,△1.4,△3721,31383,1.2,36850,△4.6,△5467,1.108,1.244,1.174,32,32,32,24,25,-,6
7,16166,0.2,17042,△4.7,△876,15385,0.9,19525,2.9,△4140,31550,0.5,36567,△0.8,△5016,1.054,1.269,1.159,32,32,32,24,25,-,7
8,16354,1.2,17071,0.2,△717,15527,0.9,19622,0.5,△4096,31880,1,36693,0.3,△4813,1.044,1.264,1.151,32,32,32,24,25,-,8
9,16898,3.3,18932,10.9,△2034,16102,3.7,20321,3.6,△4219,33000,3.5,39253,7,△6252,1.12,1.262,1.189,32,32,32,24,25,-,9
10,17388,2.9,19502,3,△2114,16591,3,20836,2.5,△4245,33979,3,40338,2.8,△6359,1.122,1.256,1.187,32,32,32,29.5,25,-,10
11,17484,0.6,17713,△9.2,△228,16467,△0.7,20059,△3.7,△3591,33952,△0.1,37771,△6.4,△3820,1.013,1.218,1.113,32,32.5,32,29.5,25,-,11
12,17832,2,17892,1,△60,16546,0.5,19636,△2.1,△3090,34378,1.3,37527,△0.6,△3149,1.003,1.187,1.092,32,35.8,32,29.5,25,-,12
13,17204,△3.5,18130,1.3,△927,15908,△3.9,19923,1.5,△4016,33111,△3.7,38054,1.4,△4942,1.054,1.252,1.149,32,35.8,32,29.5,25,-,13
14,16427,△4.5,17147,△5.4,△720,15364,△3.4,19969,0.2,△4606,31791,△4,37117,△2.5,△5326,1.044,1.3,1.168,32,35.8,32,29.5,25,-,14
15,14809,△9.8,15305,△10.7,△496,13691,△10.9,19431,△2.7,△5740,28500,△10.4,34735,△6.4,△6236,1.033,1.419,1.219,32,35.8,32,29.5,25,-,15
16,14719,△0.6,16214,5.9,△1495,13615,△0.6,19997,2.9,△6381,28334,△0.6,36210,4.2,△7876,1.102,1.469,1.278,32,35.8,32,29.5,25,-,16
17,15771,7.1,18723,15.5,△2953,13934,2.3,21128,5.7,△7195,29704,4.8,39852,10.1,△10147,1.187,1.516,1.342,32,35.8,32,29.5,25,-,17
18,16971,7.6,23036,23,△6065,14040,0.8,22267,5.4,△8227,31011,4.4,45302,13.7,△14292,1.357,1.586,1.461,32,35.8,32,29.5,25,-,18
19,17147,1,24240,5.2,△7093,14012,△0.2,23135,3.9,△9123,31160,0.5,47375,4.6,△16215,1.414,1.651,1.52,32,34,32,29.5,25,-,19
20,17391,1.4,25163,3.8,△7773,14295,2,23230,0.4,△8935,31686,1.7,48394,2.2,△16708,1.447,1.625,1.527,32,34,32,29.5,25,-,20
21,16400,△5.7,19048,△24.3,△2649,13124,△8.2,21362,△8,△8238,29523,△6.8,40410,△16.5,△10887,1.162,1.628,1.369,32,34,32,29.5,25,-,21
22,17623,7.5,15449,△18.9,2174,12989,△1,18938,△11.3,△5948,30613,3.7,34387,△14.9,△3774,0.877,1.458,1.123,32,34,32,29.5,25,-,22
23,18707,6.2,15803,2.3,2904,14507,11.7,19449,2.7,△4942,33214,8.5,35251,2.5,△2038,0.844,1.341,1.061,32,34,32,29.5,25,-,23
24,19489,4.2,17005,7.6,2483,14951,3.1,19966,2.7,△5015,34440,3.7,36971,4.9,△2531,0.872,1.335,1.073,32,34,32,29.5,25,-,24
25,19765,1.4,17688,4,2076,15595,4.3,20981,5.1,△5386,35360,2.7,38669,4.6,△3309,0.895,1.345,1.093,32,34,32,29.5,25,-,25
26,19817,0.3,19991,13,△174,15386,△1.3,22276,6.2,△6890,35203,△0.4,42266,9.3,△7064,1.009,1.448,1.201,32,34,32,22.3,25,100,26
27,19924,0.5,22038,10.2,△2114,15821,2.8,23115,3.8,△7293,35745,1.5,45152,6.8,△9407,1.106,1.461,1.263,33.1,33.1,50,22.3,-,100,27
28,19800,△0.6,23545,6.8,△3745,15917,0.6,23609,2.1,△7691,35717,△0.1,47154,4.4,△11436,1.189,1.483,1.32,33.1,33.1,50,22.3,-,100,28
