利率別／借入先別,長期債財政融資証書（円）,長期債簡保証書（円）,長期債郵貯証書（円）,長期債国庫証書（円）,長期債地方機構証書（円）,長期債中小機構証書（円）,長期債公募債券（円）,長期債銀行証書・債券（円）,長期債外債債券（円）,長期債計（円）,合計（円）
0.870,-,-,-,-,-,-,100000000000,-,-,100000000000,100000000000
0.890,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
0.900,7429061934,-,-,-,101976197,-,-,-,-,7531038131,7531038131
0.940,-,-,-,-,-,-,60000000000,-,-,60000000000,60000000000
0.960,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
0.970,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
0.990,-,-,-,-,-,-,100000000000,-,-,100000000000,100000000000
1.000,7631350201,-,-,-,-,-,-,-,-,7631350201,7631350201
1.020,-,-,-,-,-,-,90000000000,-,-,90000000000,90000000000
1.040,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
1.050,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
1.060,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
1.080,-,-,-,-,-,-,110000000000,-,-,110000000000,110000000000
1.100,113904374,4022846898,-,-,-,-,-,-,-,4136751272,4136751272
1.110,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
1.120,-,-,-,-,-,-,60000000000,-,-,60000000000,60000000000
1.130,-,-,-,-,-,-,60000000000,-,-,60000000000,60000000000
1.190,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
1.200,50505885473,10979406949,-,-,7778975464,-,50000000000,-,-,119264267886,119264267886
1.238,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
1.240,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
1.260,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
1.290,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
1.293,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
1.300,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
1.320,-,-,-,-,-,-,60000000000,-,-,60000000000,60000000000
1.330,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
1.350,-,-,-,-,-,129152000,100000000000,-,-,100129152000,100129152000
1.370,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
1.380,-,-,-,-,-,-,250000000000,-,-,250000000000,250000000000
1.390,-,-,-,-,-,-,60000000000,-,-,60000000000,60000000000
1.400,45132701358,-,1036505753,-,-,233888000,110000000000,-,-,156403095111,156403095111
1.420,-,-,-,-,-,-,70000000000,-,-,70000000000,70000000000
1.430,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
1.460,-,-,-,-,-,-,70000000000,-,-,70000000000,70000000000
1.500,38206535060,-,265719348,-,-,-,-,-,-,38472254408,38472254408
1.508,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
1.510,-,-,-,-,-,-,80000000000,-,-,80000000000,80000000000
1.530,-,-,-,-,-,-,-,17500000000,-,17500000000,17500000000
1.540,-,-,-,-,-,-,120000000000,-,-,120000000000,120000000000
1.550,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
1.570,-,-,-,-,-,-,80000000000,-,-,80000000000,80000000000
1.580,-,-,-,-,-,-,100000000000,-,-,100000000000,100000000000
1.590,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
1.600,42205454619,24038945194,-,-,-,99505000,30000000000,-,-,96343904813,96343904813
1.609,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
1.620,-,-,-,-,-,-,60000000000,-,-,60000000000,60000000000
1.630,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
1.650,-,-,-,-,14606276,-,-,-,-,14606276,14606276
1.670,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
1.680,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
1.690,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
1.700,49824760377,1222013831,-,-,10335441728,-,50000000000,-,-,111382215936,111382215936
1.730,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
1.740,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
1.770,-,-,-,-,-,-,80000000000,-,-,80000000000,80000000000
1.780,-,-,-,-,-,-,-,65000000,-,65000000,65000000
1.790,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
1.800,4249679322,444661668,-,-,-,-,25000000000,-,-,29694340990,29694340990
1.810,-,-,-,-,-,-,90000000000,-,-,90000000000,90000000000
1.820,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
1.827,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
1.830,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
1.840,-,-,-,-,-,-,80000000000,-,-,80000000000,80000000000
1.850,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
1.860,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
1.900,40860053759,-,-,-,24857052474,-,50000000000,-,-,115717106233,115717106233
1.920,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
1.930,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
1.950,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
1.970,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
1.980,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
1.990,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
2.000,88538926999,62269827749,-,-,19532997965,-,70000000000,-,-,240341752713,240341752713
2.010,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
2.040,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
2.050,-,-,-,-,1304022222,-,50000000000,-,-,51304022222,51304022222
2.090,-,-,-,-,-,-,60000000000,-,-,60000000000,60000000000
2.100,140901426375,32080372634,-,-,48236560803,-,-,-,-,221218359812,221218359812
2.110,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
2.120,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
2.130,-,-,-,-,-,-,40000000000,-,-,40000000000,40000000000
2.150,-,-,-,-,9659494782,-,20000000000,-,-,29659494782,29659494782
2.160,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
2.190,-,-,-,-,-,-,50000000000,-,-,50000000000,50000000000
2.200,12577482979,7114026203,-,-,3976769537,-,-,-,-,23668278719,23668278719
2.210,-,-,-,-,-,-,10000000000,-,-,10000000000,10000000000
2.220,-,-,-,-,-,-,70000000000,-,-,70000000000,70000000000
2.230,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
2.260,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
2.300,4630300252,-,-,-,-,-,10000000000,-,-,14630300252,14630300252
2.310,-,-,-,-,-,-,60000000000,-,-,60000000000,60000000000
2.320,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
2.330,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
2.360,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
2.370,-,-,-,-,-,-,30000000000,-,-,30000000000,30000000000
2.400,-,-,-,-,-,14135000,-,-,-,14135000,14135000
2.440,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
2.510,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
2.550,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
2.580,-,-,-,-,-,-,10000000000,-,-,10000000000,10000000000
2.600,6372636124,-,-,-,-,-,-,-,-,6372636124,6372636124
2.670,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
2.700,106213421,18384062374,-,-,-,-,-,-,-,18490275795,18490275795
2.740,-,-,-,-,-,-,20000000000,-,-,20000000000,20000000000
2.800,48441577505,3722335199,-,-,-,-,-,-,-,52163912704,52163912704
2.850,-,-,-,-,2247442417,-,-,-,-,2247442417,2247442417
2.900,-,-,-,-,3250016004,-,-,-,-,3250016004,3250016004
3.100,-,-,-,-,-,1714038000,-,-,-,1714038000,1714038000
3.150,25471410269,-,-,-,-,-,-,-,-,25471410269,25471410269
3.250,-,-,-,-,4986554744,-,-,-,-,4986554744,4986554744
3.400,94788958,12248668178,-,-,-,-,-,-,-,12343457136,12343457136
3.650,8513567671,4341465345,-,-,-,-,-,-,-,12855033016,12855033016
3.750,-,-,-,-,3779963724,-,-,-,-,3779963724,3779963724
3.850,9086299012,16075622037,-,-,-,-,-,-,-,25161921049,25161921049
4.000,-,-,-,-,-,434983813,-,-,-,434983813,434983813
4.300,12427167251,15927939079,-,-,-,-,-,-,-,28355106330,28355106330
4.400,39368737184,14123617458,-,-,-,-,-,-,-,53492354642,53492354642
4.500,-,-,-,-,2552336900,-,-,-,-,2552336900,2552336900
4.600,8008550214,-,-,-,-,-,-,-,-,8008550214,8008550214
4.650,14406860954,2422856459,-,-,-,-,-,-,-,16829717413,16829717413
4.750,560168625,-,-,-,4901599707,-,-,-,-,5461768332,5461768332
4.800,11737583667,1461754684,-,-,-,-,-,-,-,13199338351,13199338351
4.850,13791113079,2127679604,-,-,-,-,-,-,-,15918792683,15918792683
4.950,-,-,-,-,935042747,-,-,-,-,935042747,935042747
5.000,525011939,-,-,-,-,-,-,-,-,525011939,525011939
5.050,2431946253,-,-,-,-,-,-,-,-,2431946253,2431946253
5.100,2549844523,-,-,-,-,-,-,-,-,2549844523,2549844523
5.200,2444670760,1594525190,-,-,44260868,-,-,-,-,4083456818,4083456818
5.400,1041281425,-,-,-,-,-,-,-,-,1041281425,1041281425
5.500,21230463368,14174689622,-,-,1444941559,-,-,-,-,36850094549,36850094549
5.600,-,-,-,-,3307106732,-,-,-,-,3307106732,3307106732
5.650,-,-,-,-,342869560,-,-,-,-,342869560,342869560
6.000,1696629653,-,-,-,-,-,-,-,-,1696629653,1696629653
6.050,44157699,-,-,-,-,-,-,-,-,44157699,44157699
6.200,14665213498,143075051,-,-,-,-,-,-,-,14808288549,14808288549
6.500,-,-,-,-,83913040,-,-,-,-,83913040,83913040
6.600,17377891835,11084177354,-,-,-,-,-,-,-,28462069189,28462069189
6.700,2929433351,8457418719,-,-,2978391853,-,-,-,-,14365243923,14365243923
6.800,-,-,-,-,119608692,-,-,-,-,119608692,119608692
無利子,-,-,-,33120792818,-,5734805000,-,-,-,38855597818,38855597818
証書（銀行）,-,-,-,-,-,-,-,369188000000,-,369188000000,369188000000
外債,-,-,-,-,-,-,-,-,640963600000,640963600000,640963600000
合計,834393559032,268487985523,1393225442,33120792818,161117412041,8360506813,6720709000000,394333000000,640963600000,9062879081669,9062879081669
平均利率（％）,2.537,3.062,1.367,0.000,2.384,0.927,1.263,1.314,0.857,1.422,1.422
