区分,29年度発売額（千円),29年度発売額（回）,28年度発売額（千円),28年度発売額（回）,増（△）減発売額（千円),29年度収益額（千円),28年度収益額（千円),増（△）減収益額（千円),備考
発売益金全国自治宝くじ特別くじドリーム(2),3312000,1,3456000,1,△144000,1391000,1451000,△60000,"（福祉保健局）認証保育所事業3,873,000/周産期医療施設等整備323,000/子育て推進交付金19,229,000/待機児童解消区市町村支援事業11,286,000/軽費老人ホーム運営費補助600,000/ケアハウス運営費補助2,655,000/老人福祉等施設整備助成101,000/児童福祉施設整備助成2,000/障害者（児）福祉施設整備助成64,000/乳児医療費助成事業補助3,941,000/義務教育就学児医療費助成事業補助3,572,000/（建設局）中小河川整備548,000/公園整備3,276,000/（教育庁）都立学校校舎改築等1,246,000/（ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局）ラグビーワールドカップ2019の開催準備373,352/（生活文化局）文化プログラム事業（伝統文化体験）68,000"
発売益金全国自治宝くじ年末くじ年末ジャンボ,26180000,1,28424000,1,△2244000,10995000,12534000,△1539000,"（福祉保健局）認証保育所事業3,873,000/周産期医療施設等整備323,000/子育て推進交付金19,229,000/待機児童解消区市町村支援事業11,286,000/軽費老人ホーム運営費補助600,000/ケアハウス運営費補助2,655,000/老人福祉等施設整備助成101,000/児童福祉施設整備助成2,000/障害者（児）福祉施設整備助成64,000/乳児医療費助成事業補助3,941,000/義務教育就学児医療費助成事業補助3,572,000/（建設局）中小河川整備548,000/公園整備3,276,000/（教育庁）都立学校校舎改築等1,246,000/（ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局）ラグビーワールドカップ2019の開催準備373,352/（生活文化局）文化プログラム事業（伝統文化体験）68,000"
発売益金全国自治宝くじ年末くじ年末(2),5985000,1,8151000,1,△2166000,2513000,3423000,△910000,"（福祉保健局）認証保育所事業3,873,000/周産期医療施設等整備323,000/子育て推進交付金19,229,000/待機児童解消区市町村支援事業11,286,000/軽費老人ホーム運営費補助600,000/ケアハウス運営費補助2,655,000/老人福祉等施設整備助成101,000/児童福祉施設整備助成2,000/障害者（児）福祉施設整備助成64,000/乳児医療費助成事業補助3,941,000/義務教育就学児医療費助成事業補助3,572,000/（建設局）中小河川整備548,000/公園整備3,276,000/（教育庁）都立学校校舎改築等1,246,000/（ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局）ラグビーワールドカップ2019の開催準備373,352/（生活文化局）文化プログラム事業（伝統文化体験）68,000"
発売益金全国自治宝くじ年末くじ年末(3),3990000,1,-,,3990000,1675000,-,1675000,"（福祉保健局）認証保育所事業3,873,000/周産期医療施設等整備323,000/子育て推進交付金19,229,000/待機児童解消区市町村支援事業11,286,000/軽費老人ホーム運営費補助600,000/ケアハウス運営費補助2,655,000/老人福祉等施設整備助成101,000/児童福祉施設整備助成2,000/障害者（児）福祉施設整備助成64,000/乳児医療費助成事業補助3,941,000/義務教育就学児医療費助成事業補助3,572,000/（建設局）中小河川整備548,000/公園整備3,276,000/（教育庁）都立学校校舎改築等1,246,000/（ｵﾘﾝﾋﾟｯｸ･ﾊﾟﾗﾘﾝﾋﾟｯｸ準備局）ラグビーワールドカップ2019の開催準備373,352/（生活文化局）文化プログラム事業（伝統文化体験）68,000"
発売益金全国自治宝くじ市町村くじサマージャンボ,6960000,1,7326000,1,△366000,2923000,3076000,△153000,"（総務局）市町村振興宝くじ交付金4,687,000"
発売益金全国自治宝くじ市町村くじサマー(2),2700000,1,2880000,1,△180000,1134000,1209000,△75000,"（総務局）市町村振興宝くじ交付金4,687,000"
発売益金全国自治宝くじ市町村くじサマー(3),1500000,1,-,,1500000,630000,-,630000,"（総務局）市町村振興宝くじ交付金4,687,000"
発売益金全国自治宝くじ新市町村くじハロウィン(1)（仮）（旧・オータムジャンボ）,3696000,1,4212000,1,△516000,1552000,1769000,△217000,"（総務局）市町村振興宝くじ交付金1,975,000"
発売益金全国自治宝くじ新市町村くじハロウィン(2)（仮）,1008000,1,-,,36739,423000,-,423000,"（総務局）市町村振興宝くじ交付金1,975,000"
発売益金全国自治宝くじグリーンくじ（バレンタインジャンボ（仮））（旧・グリーンジャンボ）,1740000,2,1790000,1,△50000,730000,751000,△21000,"（環境局）自然公園整備26,000（産業労働局）苗木の生産供給319,000（建設局）道路維持（街路樹等）385,000"
発売益金全国自治宝くじ国際交流推進くじ（年末ジャンボ）,1870000,,1870000,,0,785000,785000,0,"（政策企画局）自治体国際化協会分担金307,000（生活文化局）国際交流事業38,000太田記念館管理運営13,000アジア舞台芸術祭29,000（政策企画局）多都市間実務的協力事業41,000（環境局）1,000（産業労働局）東京国際映画祭121,000ショートショートフィルムフェスティバル91,000中小企業海外経済活動支援66,000（教育庁）都立学校外国青年招致事業71,000国際バカロレアの取組7,000"
発売益金全国自治宝くじ地域情報化くじ（バレンタインジャンボ（仮））（旧・グリーンジャンボ）,261000,,268500,,△7500,109000,112000,△3000,"（総務局）公的個人認証事業109,000"
発売益金全国自治宝くじ芸術文化くじ（バレンタインジャンボ（仮））（旧・グリーンジャンボ）,36527,,2058500,,△57500,840000,864000,△24000,"（生活文化局）地域創造分担金120,830/新進芸術活動支援22,000/（教育庁）文化財の保護615,170/埋蔵文化財の保護82,000"
発売益金全国自治宝くじ国土保全くじ（バレンタインジャンボ（仮））（旧・グリーンジャンボ）,-,,1611000,,△1611000,-,676000,△676000,
発売益金全国自治宝くじ計,131396180,805,136685512,747,△5289332,55159352,57893676,△2734324,
発売益金合計,143596180,840,148885512,782,△5289332,60283352,63017676,△2734324,
時効益金,－,,－,,－,[376218]/2863000,[410029]/2745000,118000,"（建設局）公園整備2,486,782/（総務局)市町村振興宝くじ交付金376,218"
運用利益金,－,,－,,－,743,7604,△6861,（建設局）公園整備37/（財務局）全国自治宝くじ事務協議会分担金等706
総計,143596180,,148885512,,△5289332,63147095,65770280,△2623185,
