銘柄（回号）,発行日（年月日）,発行額（百万円）,発行価格（円）,利率（％）,償還期間自（年月日）,償還期間至（年月日）,元利金支払期日上期（月日）,元利金支払期日下期（月日）,会計別充当状況一般普通（百万円）,会計別充当状況と場（百万円）,会計別充当状況都営住宅（百万円）,会計別充当状況用地（百万円）,会計別充当状況病院（百万円）,会計別充当状況市場（百万円）,会計別充当状況臨海地域（百万円）,会計別充当状況交通（百万円）,会計別充当状況高速（百万円）,会計別充当状況水道（百万円）,会計別充当状況下水（百万円）,(単位：百万円)
公募10-655,20.03.26,30000,99.95,1.420,20.08.25,30.03.20,08.25,02.25,187,-,-,-,3679,-,-,2090,3724,4000,16320,
公募10-656,20.04.25,30000,99.93,1.510,20.08.25,30.03.20,08.25,02.25,12668,-,8881,-,-,-,-,-,-,-,8451,
公募20-14,20.05.22,20000,100.00,2.310,20.08.25,10.03.17,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-657,20.05.27,40000,99.99,1.810,20.08.25,30.03.20,08.25,02.25,11136,-,14251,14613,-,-,-,-,-,-,-,
公募10-658,20.06.26,30000,99.95,1.950,21.02.25,30.06.20,08.25,02.25,17199,-,3898,-,-,-,-,-,2691,-,6212,
公募10-659,20.07.25,30000,99.91,1.620,21.02.25,30.06.20,08.25,02.25,27288,-,1276,-,-,-,-,-,-,-,1436,
公募10-660,20.08.19,30000,100.00,1.580,21.02.25,30.06.20,08.25,02.25,12181,-,3735,-,-,-,-,-,-,-,14084,
公募10-661,20.09.25,30000,99.91,1.600,21.02.25,30.09.20,08.25,02.25,15323,-,3839,-,-,-,-,1600,6139,-,3099,
公募20-15,20.11.21,30000,99.87,2.320,21.02.25,10.09.20,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募30-7,20.11.21,20000,100.00,2.510,21.02.25,20.09.17,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-662,20.11.26,30000,99.96,1.670,21.02.25,30.09.20,08.25,02.25,11791,-,945,-,-,-,-,-,-,2000,15264,
公募10-663,20.12.24,40000,99.95,1.550,21.08.25,30.12.20,08.25,02.25,36105,-,-,-,-,-,-,-,-,-,3895,
公募20-16,21.01.26,40000,100.00,2.010,21.08.25,10.12.20,08.25,02.25,40000,-,-,-,-,-,-,-,-,-,-,
公募10-664,21.01.26,50000,99.97,1.400,21.08.25,30.12.20,08.25,02.25,21082,-,11599,-,-,3063,-,-,-,-,14256,
公募30-8,21.02.16,30000,99.82,2.230,21.08.25,20.09.17,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-665,21.02.24,50000,99.94,1.430,21.08.25,30.12.20,08.25,02.25,29760,-,2030,-,-,-,-,-,-,2000,16210,
公募20-17,21.03.13,30000,99.98,2.090,21.08.25,10.12.20,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-666,21.03.23,50000,99.91,1.460,21.08.25,31.03.20,08.25,02.25,8695,-,-,-,23921,-,-,3780,8304,2000,3300,
公募10-667,21.04.24,50000,99.99,1.570,21.08.25,31.03.20,08.25,02.25,33920,-,7685,-,-,-,-,-,-,-,8395,
公募20-18,21.05.22,30000,99.98,2.220,21.08.25,11.03.19,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-668,21.05.26,50000,99.92,1.540,21.08.25,31.03.20,08.25,02.25,25437,-,14927,4226,-,-,-,-,-,-,5410,
公募10-669,21.06.12,20000,99.93,1.630,22.02.25,01.06.20,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-670,21.06.25,40000,99.95,1.580,22.02.25,01.06.20,08.25,02.25,31690,-,2900,-,-,-,-,-,-,-,5410,
公募20-19,21.07.14,40000,99.85,2.130,22.02.25,11.06.20,08.25,02.25,40000,-,-,-,-,-,-,-,-,-,-,
公募10-671,21.07.27,40000,99.92,1.420,22.02.25,01.06.20,08.25,02.25,33005,-,3640,-,-,-,-,-,-,-,3355,
公募10-672,21.08.18,50000,99.92,1.510,22.02.25,01.06.20,08.25,02.25,36494,-,2910,-,-,-,-,-,-,-,10596,
公募30-9,21.09.24,30000,99.89,2.370,22.02.25,21.03.18,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募20-20,21.10.19,30000,99.88,2.090,22.02.25,11.09.20,08.25,02.25,25000,-,-,-,-,-,-,-,5000,-,-,
公募10-674,21.10.26,50000,99.97,1.380,22.02.25,01.09.20,08.25,02.25,41611,-,-,-,-,-,-,-,3306,-,5083,
公募10-675,21.11.09,20000,99.96,1.460,22.02.25,01.09.20,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-676,21.11.27,40000,99.91,1.370,22.02.25,01.09.20,08.25,02.25,18848,-,-,-,-,-,-,-,5131,2000,14021,
公募30-10,21.12.02,20000,99.84,2.310,22.08.25,21.09.20,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-677,21.12.22,40000,99.99,1.330,22.08.25,01.12.20,08.25,02.25,22363,-,10440,-,-,-,-,-,-,-,7197,
公募10-673,21.09.25,50000,99.91,1.380,22.02.25,01.09.20,08.25,02.25,45112,-,2370,-,-,-,-,1500,1018,-,-,
公募10-678,22.01.26,60000,99.92,1.380,22.08.25,01.12.20,08.25,02.25,40234,-,13446,-,-,-,-,-,-,-,6320,
公募20-21,22.01.26,20000,99.95,2.190,22.08.25,11.12.20,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-679,22.02.26,50000,99.92,1.380,22.08.25,01.12.20,08.25,02.25,31729,-,-,-,4030,-,-,-,3535,2000,8706,
公募10-680,22.03.26,60000,99.92,1.390,22.08.25,02.03.19,08.25,02.25,27861,-,-,-,11580,-,-,4800,9835,2000,3924,
公募10-681,22.04.26,60000,99.98,1.400,22.08.25,02.03.19,08.25,02.25,47905,-,3253,-,-,-,-,-,-,-,8842,
公募10-682,22.05.25,60000,99.95,1.320,22.08.25,02.03.19,08.25,02.25,39112,-,13937,4899,-,-,-,-,-,-,2052,
公募10-683,22.06.11,20000,99.94,1.300,23.02.25,02.06.19,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-684,22.06.24,40000,99.97,1.260,23.02.25,02.06.19,08.25,02.25,32007,-,700,-,-,-,-,-,-,2100,5193,
公募07-1,22.06.29,20000,99.95,0.700,23.02.25,29.06.20,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募20-22,22.07.16,20000,99.93,1.920,23.02.25,12.06.20,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-685,22.07.27,60000,99.96,1.130,23.02.25,02.06.19,08.25,02.25,36607,-,147,-,-,-,20000,-,-,-,3246,
公募10-686,22.08.17,60000,99.94,1.080,23.02.25,02.06.19,08.25,02.25,34415,-,-,-,-,-,20000,-,-,-,5585,
公募30-11,22.09.22,30000,99.84,2.190,23.02.25,22.09.20,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-687,22.09.28,60000,99.95,1.120,23.02.25,02.09.18,08.25,02.25,27950,-,383,-,-,-,20000,1500,5855,-,4312,
公募10-688,22.10.26,60000,99.94,0.940,23.02.25,02.09.18,08.25,02.25,34185,-,7908,-,-,-,10000,-,4369,-,3538,
公募07-2,22.11.24,30000,99.98,0.620,23.02.25,29.09.20,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-689,22.11.29,50000,99.92,1.080,23.02.25,02.09.18,08.25,02.25,25300,-,3480,-,-,-,10000,-,-,2000,9220,
公募10-690,22.12.21,50000,99.98,1.290,23.08.25,02.12.18,08.25,02.25,26836,-,8223,-,-,-,9780,-,-,-,5161,
公募10-691,23.01.25,50000,100.00,1.240,23.08.25,02.12.18,08.25,02.25,29358,-,81,-,-,-,-,-,17763,-,2798,
公募10-692,23.02.25,60000,99.97,1.350,23.08.25,02.12.18,08.25,02.25,13155,-,-,-,9520,-,-,-,14136,2000,21189,
公募20-23,23.03.15,30000,99.88,2.120,23.08.25,12.12.20,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-693,23.03.30,40000,99.92,1.380,23.08.25,03.03.19,08.25,02.25,10839,-,4899,-,7218,-,-,3200,802,2000,11042,
公募10-694,23.04.26,40000,99.99,1.350,23.08.25,03.03.19,08.25,02.25,29037,-,4994,-,-,-,-,-,-,-,5969,
公募10-695,23.05.27,50000,99.94,1.200,23.08.25,03.03.19,08.25,02.25,25157,-,18958,3833,-,-,-,-,-,-,2052,
公募10-696,23.06.24,40000,99.99,1.190,24.02.25,03.06.18,08.25,02.25,39505,-,495,-,-,-,-,-,-,-,-,
公募20-24,23.06.28,40000,99.86,1.980,24.02.25,13.06.20,08.25,02.25,40000,-,-,-,-,-,-,-,-,-,-,
公募10-697,23.07.27,50000,99.95,1.110,24.02.25,03.06.18,08.25,02.25,46293,-,1655,-,-,-,-,-,-,-,2052,
公募10-698,23.08.19,40000,99.93,1.050,24.02.25,03.06.18,08.25,02.25,35150,-,-,-,-,-,-,-,-,-,4850,
公募30-12,23.09.21,20000,99.80,2.120,24.02.25,23.09.20,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-699,23.09.28,40000,99.96,1.020,24.02.25,03.09.17,08.25,02.25,23596,-,3706,-,-,-,-,1500,5742,-,5456,
公募07-3,23.10.19,20000,100.00,0.580,24.02.25,30.09.20,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-700,23.10.25,50000,99.91,1.020,24.02.25,03.09.17,08.25,02.25,39692,-,7167,-,-,-,-,-,-,-,3141,
公募10-701,23.11.25,40000,99.94,0.990,24.02.25,03.09.17,08.25,02.25,29831,-,-,-,-,-,-,-,-,3583,6586,
公募10-702,23.12.20,40000,99.92,1.040,24.08.25,03.12.20,08.25,02.25,34328,-,-,-,-,-,-,-,-,517,5155,
公募20-25,24.01.24,25000,100.00,1.800,24.08.25,13.12.19,08.25,02.25,25000,-,-,-,-,-,-,-,-,-,-,
公募10-704,24.02.24,40000,99.98,0.970,24.08.25,03.12.20,08.25,02.25,11896,-,-,-,10644,-,-,-,-,2000,15460,
公募05-29,24.03.13,20000,99.98,0.350,24.08.25,29.03.17,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-705,24.03.27,50000,99.93,1.060,24.08.25,04.03.18,08.25,02.25,21516,-,945,-,862,-,-,2500,5686,2000,16491,
公募10-706,24.04.24,50000,99.93,0.960,24.08.25,04.03.18,08.25,02.25,42123,-,3327,-,-,-,-,-,-,-,4550,
公募07-4,24.05.22,30000,99.96,0.510,24.08.25,31.03.20,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-703,24.01.30,60000,99.94,0.990,24.08.25,03.12.20,08.25,02.25,41505,-,-,-,-,-,-,-,-,-,18495,
公募10-707,24.05.25,60000,99.99,0.870,24.08.25,04.03.18,08.25,02.25,28730,-,26436,4834,-,-,-,-,-,-,-,
公募10-708,24.06.26,40000,99.99,0.890,25.02.25,04.06.20,08.25,02.25,37424,-,524,-,-,-,-,-,-,-,2052,
公募20-26,24.06.26,30000,99.96,1.740,25.02.25,14.06.18,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募06-1,24.07.17,20000,99.97,0.320,25.02.25,30.06.20,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-709,24.07.25,60000,99.99,0.780,25.02.25,04.06.20,08.25,02.25,59179,-,-,-,-,-,-,-,-,-,821,
公募30-13,24.07.31,30000,99.88,1.930,25.02.25,24.03.19,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-710,24.08.21,40000,99.95,0.810,25.02.25,04.06.20,08.25,02.25,31160,-,1042,-,-,-,-,-,-,-,7798,
公募10-711,24.09.26,40000,100.00,0.820,25.02.25,04.09.20,08.25,02.25,27135,-,887,-,-,-,-,1500,5628,-,4850,
公募05-30,24.10.15,20000,99.99,0.220,25.02.25,29.09.20,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-712,24.10.23,60000,99.94,0.770,25.02.25,04.09.20,08.25,02.25,56979,-,969,-,-,-,-,-,-,-,2052,
公募10-713,24.11.27,30000,99.94,0.770,25.02.25,04.09.20,08.25,02.25,18428,-,719,-,-,-,-,-,-,3055,7798,
公募10-714,24.12.26,30000,99.96,0.740,25.08.25,04.12.20,08.25,02.25,19712,-,2583,-,-,-,-,-,-,1045,6660,
公募10-715,25.01.28,50000,99.99,0.760,25.08.25,04.12.20,08.25,02.25,23444,-,10373,-,-,2764,-,-,-,-,13419,
公募10-716,25.02.26,30000,99.99,0.770,25.08.25,04.12.20,08.25,02.25,5158,-,14124,-,2048,-,-,-,-,1000,7670,
公募20-27,25.03.18,20000,99.94,1.680,25.08.25,14.12.20,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-717,25.03.27,30000,99.96,0.630,25.08.25,05.03.20,08.25,02.25,2895,-,10000,-,71,4020,-,1652,569,2000,8793,
公募10-718,25.04.26,40000,99.95,0.600,25.08.25,05.03.20,08.25,02.25,25672,-,9478,-,-,-,-,-,-,-,4850,
公募20-28,25.05.21,30000,99.84,1.590,25.08.25,15.03.18,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-719,25.05.27,70000,100.00,0.860,25.08.25,05.03.20,08.25,02.25,52134,-,14267,1547,-,-,-,-,-,-,2052,
公募10-720,25.06.25,40000,99.98,0.870,26.02.25,05.06.20,08.25,02.25,36956,-,3044,-,-,-,-,-,-,-,-,
公募30-14,25.07.12,50000,99.82,2.050,26.02.25,25.06.19,08.25,02.25,50000,-,-,-,-,-,-,-,-,-,-,
公募10-721,25.07.24,60000,99.96,0.840,26.02.25,05.06.20,08.25,02.25,60000,-,-,-,-,-,-,-,-,-,-,
公募10-722,25.08.20,40000,99.99,0.800,26.02.25,05.06.20,08.25,02.25,28377,-,3825,-,-,-,-,-,-,-,7798,
公募07-5,25.09.13,20000,99.93,0.520,26.02.25,02.09.18,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-723,25.09.26,40000,99.93,0.760,26.02.25,05.09.20,08.25,02.25,30935,-,336,-,-,-,-,1500,-,-,7229,
公募10-724,25.10.23,60000,99.97,0.700,26.02.25,05.09.20,08.25,02.25,56058,-,3942,-,-,-,-,-,-,-,-,
公募東京再生都債18,25.12.04,20000,100.00,0.180,26.06.04,28.12.02,06.04,12.04,20000,-,-,-,-,-,-,-,-,-,-,
公募10-725,25.11.26,40000,99.96,0.660,26.02.25,05.09.20,08.25,02.25,15020,-,14335,-,-,-,-,-,-,1000,9645,
公募20-29,25.12.20,30000,100.00,1.570,26.08.25,15.09.20,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-726,25.12.25,40000,99.98,0.730,26.08.25,05.12.20,08.25,02.25,2633,-,18335,9545,-,-,-,-,-,557,8930,
公募10-727,26.01.28,40000,99.98,0.720,26.08.25,05.12.20,08.25,02.25,-,-,17973,-,-,3775,-,-,-,2126,16126,
公募10-728,26.02.25,30000,99.91,0.650,26.08.25,05.12.20,08.25,02.25,2079,-,5362,-,750,9257,-,1552,-,1000,10000,
公募03-6,26.03.04,30000,99.99,0.120,26.08.25,29.03.17,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-729,26.03.26,50000,99.97,0.690,26.08.25,06.03.19,08.25,02.25,9844,-,-,-,1225,26816,-,100,4702,500,6813,
公募10-730,26.04.25,30000,100.00,0.664,26.08.25,06.03.19,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-731,26.05.27,50000,100.00,0.635,26.08.25,06.03.19,08.25,02.25,39774,-,8657,1569,-,-,-,-,-,-,-,
公募10-732,26.06.24,30000,100.00,0.645,27.02.25,06.06.20,08.25,02.25,27155,-,1076,-,-,-,-,-,-,-,1769,
公募20-30,26.06.30,30000,100.00,1.508,27.02.25,16.06.20,08.25,02.25,26948,-,-,-,-,-,-,3052,-,-,-,
公募30-15,26.07.11,30000,100.00,1.827,27.02.25,26.06.20,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-733,26.07.23,50000,100.00,0.581,27.02.25,06.06.20,08.25,02.25,50000,-,-,-,-,-,-,-,-,-,-,
公募10-734,26.08.19,30000,100.00,0.551,27.02.25,06.06.20,08.25,02.25,21251,-,-,-,-,-,-,-,-,-,8749,
公募10-735,26.09.25,30000,100.00,0.588,27.02.25,06.09.20,08.25,02.25,233,-,3160,-,-,-,20100,-,-,-,6507,
公募07-6,26.09.30,20000,100.00,0.316,27.02.25,03.09.17,08.25,02.25,20000,-,-,-,-,-,-,-,-,-,-,
公募10-736,26.10.28,50000,100.00,0.505,27.02.25,06.09.20,08.25,02.25,5210,-,-,-,-,-,34790,-,-,-,10000,
公募10-737,26.11.26,30000,100.00,0.520,27.02.25,06.09.20,08.25,02.25,8823,-,5878,-,-,10299,-,-,-,-,5000,
公募第1回グローバル債,26.12.17,15000,100.00,0.120,27.06.17,29.12.15,06.17,12.17,15000,-,-,-,-,-,-,-,-,-,-,
公募20-31,26.12.22,30000,100.00,1.238,27.08.25,16.09.20,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-738,26.12.24,40000,100.00,0.426,27.08.25,06.12.20,08.25,02.25,11907,-,10389,-,-,-,-,-,-,1055,16649,
公募10-739,27.01.26,30000,100.00,0.290,27.08.25,06.12.20,08.25,02.25,-,-,3093,-,-,1702,24705,-,-,500,-,
公募10-740,27.02.24,30000,100.00,0.463,27.08.25,06.12.20,08.25,02.25,193,-,-,-,943,6135,7890,-,5000,300,9539,
公募07-7,27.02.24,10000,100.00,0.249,27.08.25,04.03.18,08.25,02.25,10000,-,-,-,-,-,-,-,-,-,-,
公募10-741,27.03.24,50000,100.00,0.435,27.08.25,07.03.19,08.25,02.25,1323,-,-,-,-,17874,10000,140,-,442,20221,
公募10-742,27.04.24,40000,100.00,0.386,27.08.25,07.03.19,08.25,02.25,40000,-,-,-,-,-,-,-,-,-,-,
公募10-743,27.05.26,50000,100.00,0.509,27.08.25,07.03.19,08.25,02.25,21934,-,25518,2548,-,-,-,-,-,-,-,
公募10-744,27.06.23,40000,100.00,0.577,28.02.25,07.06.20,08.25,02.25,32735,-,1747,-,-,-,-,-,-,-,5518,
公募20-32,27.06.26,40000,100.00,1.293,28.02.25,17.06.20,08.25,02.25,36948,-,-,-,-,-,-,3052,-,-,-,
公募30-16,27.07.17,40000,100.00,1.609,28.02.25,27.06.20,08.25,02.25,40000,-,-,-,-,-,-,-,-,-,-,
公募10-745,27.07.27,40000,100.00,0.533,28.02.25,07.06.20,08.25,02.25,24731,-,-,-,-,10000,-,-,-,-,5269,
公募07-8,27.08.13,30000,100.00,0.238,28.02.25,04.09.20,08.25,02.25,30000,-,-,-,-,-,-,-,-,-,-,
公募10-746,27.08.18,40000,100.00,0.499,28.02.25,07.06.20,08.25,02.25,4124,-,8916,-,-,18000,-,-,3960,-,5000,
公募10-747,27.09.25,50000,100.00,0.475,28.02.25,07.09.19,08.25,02.25,28965,-,2286,-,-,15000,-,-,-,-,3749,
公募10-748,27.10.27,50000,100.00,0.456,28.02.25,07.09.19,08.25,02.25,22181,-,10572,-,-,15000,-,-,-,-,2247,
公募第2回グローバル債,27.12.07,10000,100.00,0.120,28.06.07,30.12.07,06.07,12.07,10000,-,-,-,-,-,-,-,-,-,-,
公募10-749,27.11.25,40000,100.00,0.436,28.02.25,07.09.19,08.25,02.25,17500,-,-,-,-,10000,-,-,-,-,12500,
公募10-750,27.12.22,40000,100.00,0.444,28.08.25,07.12.19,08.25,02.25,17991,-,4204,-,-,10000,-,1372,-,-,6433,
公募10-751,28.01.26,30000,100.00,0.370,28.08.25,07.12.19,08.25,02.25,1257,-,10000,1077,-,16566,-,-,-,1100,-,
公募10-752,28.02.22,30000,100.00,0.126,28.08.25,07.12.19,08.25,02.25,17424,-,5000,-,936,2000,-,-,1040,600,3000,
公募10-753,28.03.18,30000,100.00,0.065,28.08.25,08.03.19,08.25,02.25,23480,-,-,-,-,1500,-,780,-,1272,2968,
公募10-754,28.04.26,10709,100.00,0.060,28.04.26,28.04.26,08.25,02.25,-,345,9862,502,-,-,-,-,-,-,-,
公募合計,,6720709,,,,,,,4553894,345,509183,62947,78866,205558,187265,39850,196974,79159,806668,
銀行784,19.05.24,65,100.00,1.780,19.08.25,29.03.17,08.25,02.25,-,-,-,65,-,-,-,-,-,-,-,
銀行793,21.05.27,17500,100.00,1.530,21.08.25,01.05.27,08.25,02.25,17500,-,-,-,-,-,-,-,-,-,-,
銀行807,24.03.21,4067,100.00,0.330,24.08.25,29.03.17,08.25,02.25,-,-,-,-,4067,-,-,-,-,-,-,
銀行812,25.03.19,934,100.00,0.130,25.08.25,30.03.20,08.25,02.25,-,-,-,-,934,-,-,-,-,-,-,
銀行815,26.03.18,866,100.00,0.180,26.08.25,31.03.20,08.25,02.25,-,-,-,-,866,-,-,-,-,-,-,
銀行816,27.03.19,885,100.00,0.100,27.08.25,02.03.19,08.25,02.25,-,-,-,-,885,-,-,-,-,-,-,
銀行821,28.03.15,828,100.00,0.010,28.08.25,03.03.19,08.25,02.25,-,-,-,-,828,-,-,-,-,-,-,
銀行合計,,25145,,,,,,,17500,-,-,65,7580,-,-,-,-,-,-,
外債,,,,,,,,,,,,,,,,,,,,
外債第2回ユーロユーロ,16.11.08,21707,99.94,5.070,17.11.08,16.11.08,-,11.08,16707,-,-,-,-,-,-,-,5000,-,-,
外債第3回ユーロユーロ,17.06.02,39955,100.00,4.260,18.06.02,14.06.02,06.02,-,39955,-,-,-,-,-,-,-,-,-,-,
外債第4回ユーロユーロ,17.11.29,20768,99.93,4.270,18.11.29,17.11.29,-,11.29,20768,-,-,-,-,-,-,-,-,-,-,
