 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
30,非鉄金属,"25,437","100,280","9,384","33,112","9,376","33,099","13,368","54,549","13,364","51,497",260,"2,419","2,425","10,200"
31,金属製品,"160,329","625,339","28,123","105,561","28,117","105,555","126,968","495,967","124,433","491,482","3,591","14,469","1,647","9,342"
32,鉄道車両,325,"1,162",56,269,56,269,269,893,269,893,-,-,-,-
33,完成自動車,"1,235,447","4,811,373","8,777","33,708","8,769","33,591","2,569","8,213","2,378","7,574","668,000","2,681,097","556,101","2,088,355"
34,その他輸送用車両,"8,037","35,434",294,844,294,844,"6,698","29,029","6,698","27,532",922,"3,540",123,"2,021"
35,二輪自動車,"6,561","19,805","2,260","3,325","2,260","3,323","4,280","16,359","4,280","16,359",11,53,10,68
36,自動車部品,"231,551","823,971","162,044","516,603","162,044","516,603","64,572","285,929","64,536","285,855","2,046","8,357","2,889","13,082"
37,その他輸送機械,"57,007","221,009","6,304","16,840","6,304","16,840","32,503","130,648","32,503","130,648","6,820","28,801","11,380","44,720"
38,産業機械,"307,407","1,164,495","163,856","599,358","163,805","598,319","130,412","494,156","130,248","493,561","10,550","50,491","2,589","20,490"
39,電気機械,"326,251","1,299,249","65,410","233,405","65,376","233,304","258,123","1,051,365","257,978","1,051,014","2,213","10,972",505,"3,507"
40,測量・光学・医療用機械,"53,886","213,724","21,400","77,634","21,400","74,862","27,141","120,537","26,648","109,549","4,922","13,258",423,"2,295"
41,事務用機器,"19,241","74,656","2,232","8,956","2,232","8,956","14,085","55,515","14,085","55,515","2,829","9,813",95,372
42,その他機械,"5,141","22,845","1,134","4,043","1,134","4,043","1,875","7,880","1,875","7,880","1,350","6,387",782,"4,535"
化学工業品,,"1,141,376","4,707,388","217,036","801,319","217,018","801,279","292,590","1,197,264","286,829","1,189,856","34,055","163,541","597,695","2,545,264"
43,陶磁器,"13,385","48,149","1,208","3,377","1,208","3,374","12,177","44,693","12,177","44,693",-,79,-,-
44,セメント,"191,264","881,417",75,235,75,235,"1,719","6,100","1,719","6,100","1,738","11,495","187,732","863,587"
45,ガラス類,"28,296","99,064","9,980","30,241","9,980","30,239","17,221","63,944","17,221","63,944","1,085","4,633",10,246
46,窯業品,"30,116","130,345","9,869","40,465","9,851","40,435","16,695","71,804","16,695","71,793","1,822","8,347","1,730","9,729"
47,重油,"34,356","166,294",-,-,-,-,-,-,-,-,"16,443","79,570","17,913","86,724"
48,揮発油,89,"2,148",-,-,-,-,-,-,-,-,89,273,-,"1,875"
49,その他の石油,"377,490","1,548,890","1,946","9,015","1,946","9,015","1,467","6,313","1,467","6,313","1,783","7,409","372,294","1,526,153"
50,LNG/液化天然ガス,240,975,-,-,-,-,240,975,240,975,-,-,-,-
51,LPG/液化石油ガス,727,"2,585",-,-,-,-,-,-,-,-,727,"2,570",-,15
52,その他石油製品,"2,889","13,903",279,"2,396",279,"2,396","1,093","5,413","1,093","5,413",407,"1,214","1,110","4,880"
53,コークス,"7,644","21,876",-,-,-,-,"6,441","10,282",684,"2,954",-,"4,261","1,203","7,333"
54,石炭製品,677,"2,748",662,"2,091",662,"2,091",15,637,15,637,-,-,-,20
55,化学薬品,"81,089","331,816","26,912","101,073","26,912","101,073","44,320","194,025","44,320","194,025","3,670","14,378","6,187","22,340"
56,化学肥料,"5,561","24,174",150,577,150,577,"4,286","20,732","4,286","20,732",585,"1,415",540,"1,450"
57,その他化学工業品,"367,553","1,433,004","165,955","611,849","165,955","611,844","186,916","772,346","186,912","772,277","5,706","27,897","8,976","20,912"
軽工業品,,"713,805","2,640,760","57,082","193,919","57,082","193,888","409,742","1,515,565","409,669","1,514,645","74,922","275,569","172,059","655,707"
58,紙・パルプ,"231,469","886,313","18,486","67,063","18,486","67,032","59,932","239,070","59,932","238,227","23,725","88,206","129,326","491,974"
59,糸及び紡績半製品,"5,250","19,406",442,"1,579",442,"1,579","4,793","17,678","4,793","17,678",15,89,-,60
60,その他繊維工業品,"28,788","116,735","4,924","16,644","4,924","16,644","23,839","99,697","23,839","99,697",25,205,-,189
61,砂糖,"10,105","43,866",64,182,64,182,"3,470","15,967","3,470","15,967","1,058","4,997","5,513","22,720"
62,製造食品,"266,061","996,370","25,971","88,503","25,971","88,503","212,642","804,269","212,569","804,192","16,168","64,013","11,280","39,585"
63,飲料,"103,317","354,134","6,510","17,751","6,510","17,751","61,392","204,398","61,392","204,398","23,105","87,746","12,310","44,239"
64,水,"29,621","80,845",609,"1,635",609,"1,635","21,926","59,337","21,926","59,337","5,166","13,983","1,920","5,890"
65,たばこ,"9,540","36,408",67,88,67,88,"8,478","30,815","8,478","30,815",570,"2,705",425,"2,800"
66,その他食料工業品,"29,654","106,683",9,474,9,474,"13,270","44,334","13,270","44,334","5,090","13,625","11,285","48,250"
雑工業品,,"978,747","3,828,331","115,792","381,466","115,792","381,463","821,868","3,292,032","821,842","3,291,881","31,898","123,773","9,189","31,060"
67,がん具,"52,605","188,577","2,655","9,042","2,655","9,042","49,935","179,500","49,935","179,499",10,30,5,5
68,衣服・身廻品・はきもの,"378,616","1,510,815","14,699","50,118","14,699","50,118","361,988","1,452,690","361,988","1,452,689","1,689","6,773",240,"1,234"
69,文房具・運動娯楽用品・楽器,"68,427","260,186","11,084","41,446","11,084","41,446","57,303","215,395","57,294","215,299",-,"3,045",40,300
70,家具装備品,"182,868","743,215","8,339","30,992","8,339","30,992","172,149","700,676","172,149","700,676","1,485","8,086",895,"3,461"
71,その他日用品,"73,041","248,255","17,160","42,591","17,160","42,591","33,875","123,110","33,874","123,109","19,584","72,637","2,422","9,917"
72,ゴム製品,"69,007","257,929","33,292","111,978","33,292","111,978","32,949","137,194","32,949","137,194",944,"4,397","1,822","4,360"
73,木製品,"93,172","398,601","1,608","3,976","1,608","3,973","88,764","385,330","88,764","385,307","2,660","8,744",140,551
74,その他製造工業品,"61,011","220,753","26,955","91,323","26,955","91,323","24,905","98,137","24,889","98,108","5,526","20,061","3,625","11,232"
特殊品,,"1,069,309","3,971,070","247,582","904,829","202,098","741,708","198,280","720,429","191,414","708,473","386,795","1,501,159","236,652","844,653"
75,金属くず,"64,355","226,793","55,204","194,497","9,893","32,887","5,530","21,155","5,530","21,155","1,871","5,775","1,750","5,366"
76,再利用資材,"177,398","672,247","154,249","571,414","154,249","571,414","5,249","12,981","5,249","12,981","15,669","79,817","2,231","8,035"
77,動植物性製造飼肥料,"100,524","376,044","1,206","4,435","1,206","4,385","96,589","349,126","96,589","349,126","2,364","20,123",365,"2,360"
78,廃棄物,"1,395","5,549",-,-,-,-,-,-,-,-,285,"1,355","1,110","4,194"
79,廃土砂,"89,518","363,358",-,-,-,-,-,-,-,-,"88,113","361,949","1,405","1,409"
80,輸送用容器,"126,612","475,160","18,021","66,776","17,848","65,315","82,411","309,087","75,786","297,373","6,509","29,882","19,671","69,415"
81,取合せ品,"509,507","1,851,919","18,902","67,707","18,902","67,707","8,501","28,080","8,260","27,838","271,984","1,002,258","210,120","753,874"
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
