令和元年7月21日  執行,,,,,,,,,,,,,,,,,,,,,,,,,,,
参議院（比例代表選出）議員選挙　名簿登載者の得票総数　開票区別一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本共産党,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和元年 7月22日 13時 25分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,
開  票  区  名,計,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
　　渋谷区,903.012,707.000,31.000,26.000,21.000,21.000,10.000,6.000,5.000,2.000,4.000,5.000,2.000,0.000,1.000,5.000,6.000,2.000,0.000,3.000,2.000,3.000,3.000,0.000,0.000,11.003,27.009
　　中野区,1302.700,1002.000,67.000,39.000,28.000,28.000,15.000,15.000,1.000,7.000,2.166,6.500,7.000,0.000,1.000,9.007,6.000,0.000,0.000,3.000,2.000,6.000,0.000,7.000,1.000,11.006,39.021
　　杉並区,2214.062,1623.000,104.150,80.000,49.320,52.000,50.000,30.000,4.000,15.000,6.142,17.404,4.000,0.000,4.000,11.005,3.000,0.000,1.000,9.000,4.000,21.000,8.000,12.000,2.000,19.007,85.034
　　豊島区,1209.846,931.000,64.561,24.000,25.264,18.000,15.000,5.000,7.000,6.000,6.000,7.000,2.000,0.000,2.000,11.000,5.000,1.000,2.000,4.000,1.000,8.000,4.000,4.000,2.000,13.005,42.016
　　北区,2445.984,1873.000,128.343,57.475,82.000,22.000,20.000,21.000,10.000,12.000,6.000,23.000,3.000,0.000,0.000,18.016,7.000,7.000,3.000,11.000,3.000,10.000,11.000,11.000,7.000,27.040,73.110
　　荒川区,804.437,668.000,28.000,17.000,21.424,4.000,9.000,2.000,1.000,3.000,1.000,2.000,1.000,0.000,1.000,4.007,2.000,2.000,0.000,4.000,0.000,5.000,1.000,5.000,2.000,1.000,20.006
　　板橋区,2449.470,1826.000,150.416,49.000,75.381,31.000,31.000,27.000,7.000,17.000,3.090,14.424,3.000,1.000,4.000,23.013,6.000,0.000,1.000,2.000,3.000,31.000,5.000,12.000,5.000,24.227,97.919
　　練馬区,3265.900,2230.000,206.648,108.000,108.952,45.000,40.000,34.000,11.000,26.000,6.000,16.000,6.000,0.000,4.000,28.049,13.000,6.000,1.000,11.000,4.000,109.000,12.000,19.000,6.000,37.043,178.208
　　足立区,3164.871,2289.000,242.152,98.000,119.384,16.000,32.000,30.000,11.000,25.000,8.000,25.000,9.000,2.000,7.000,21.027,9.000,2.000,2.000,3.000,0.000,31.000,5.000,7.000,5.000,45.083,121.225
　　葛飾区,1734.593,1318.000,104.615,26.000,60.038,11.000,23.522,13.000,2.000,13.351,9.794,8.705,4.000,0.000,1.000,10.289,3.000,3.000,1.000,7.000,0.000,10.000,6.000,13.000,5.000,15.051,66.228
　　江戸川区,2886.743,1873.000,268.680,93.000,159.497,30.000,25.000,30.000,12.000,18.000,4.114,34.971,10.000,4.000,4.000,23.012,4.000,1.000,3.000,15.000,3.000,30.000,14.000,22.000,8.000,26.062,171.407
　☆市部計,18435.776,13700.000,1091.207,477.000,561.938,212.000,219.000,143.156,58.000,104.000,152.149,123.982,64.000,7.000,25.000,140.102,48.000,17.000,16.000,62.000,8.000,140.000,46.000,67.000,43.000,162.605,747.637
　　八王子市,2375.698,1657.000,182.495,66.000,76.226,16.000,42.000,23.000,9.000,21.000,18.346,19.365,5.000,0.000,7.000,25.017,6.000,4.000,3.000,6.000,2.000,19.000,9.000,8.000,14.000,20.036,117.213
　　立川市,841.301,641.000,51.200,19.000,25.000,12.000,6.000,7.000,3.000,4.000,3.000,2.000,4.000,0.000,0.000,6.008,2.000,0.000,1.000,1.000,1.000,7.000,2.000,3.000,2.000,11.026,28.067
　　武蔵野市,669.343,499.000,34.000,18.000,18.000,8.000,11.000,6.000,2.000,10.000,1.058,4.235,3.000,1.000,1.000,7.011,3.000,0.000,0.000,3.000,0.000,3.000,1.000,2.000,0.000,5.005,29.034
　　三鷹市,874.432,621.000,36.514,34.000,23.134,20.000,11.000,5.000,4.000,6.000,32.727,2.045,1.000,0.000,0.000,6.000,2.000,0.000,0.000,5.000,0.000,3.000,3.000,3.000,0.000,7.001,49.011
　　青梅市,587.904,403.000,56.181,9.000,49.529,3.000,9.000,2.000,1.000,1.000,3.000,0.000,4.000,1.000,0.000,5.017,1.000,0.000,0.000,2.000,0.000,1.000,1.000,3.000,1.000,5.027,27.150
　　府中市,757.952,583.000,25.000,24.000,18.209,11.000,8.000,5.000,0.000,8.000,6.352,5.294,2.000,0.000,1.000,5.000,2.000,1.000,0.000,6.000,0.000,6.000,2.000,1.000,1.000,7.018,30.079
　　昭島市,481.447,361.000,26.268,13.000,14.134,6.000,4.000,2.000,3.000,1.000,1.000,4.000,4.000,0.000,0.000,3.000,2.000,0.000,0.000,1.000,0.000,2.000,1.000,1.000,1.000,4.005,27.040
　　調布市,766.189,552.000,54.000,25.000,29.167,10.000,8.000,5.000,2.000,1.000,19.000,5.000,2.000,0.000,1.000,6.009,3.000,2.000,1.000,0.000,0.000,2.000,1.000,2.000,3.000,6.189,26.824
　　町田市,2231.205,1571.000,152.027,69.000,86.414,22.000,28.000,29.156,12.000,9.000,16.235,18.264,6.000,0.000,5.000,23.000,6.000,2.000,1.000,13.000,2.000,16.000,4.000,13.000,3.000,25.225,98.884
　　小金井市,427.088,364.000,12.000,9.000,4.080,6.000,4.000,2.000,2.000,1.000,3.000,5.000,1.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,10.008
　　小平市,831.695,670.000,34.000,15.000,14.000,7.000,10.000,6.000,0.000,4.000,3.250,5.416,3.000,0.000,0.000,5.006,2.000,2.000,3.000,1.000,0.000,8.000,2.000,2.000,0.000,9.006,26.017
　　日野市,833.418,640.000,56.408,21.000,18.000,15.000,9.000,6.000,1.000,7.000,2.000,6.000,4.000,0.000,0.000,3.010,0.000,0.000,0.000,1.000,0.000,4.000,2.000,3.000,0.000,5.000,30.000
　　東村山市,902.751,665.000,49.371,24.000,35.309,9.000,6.000,3.000,1.000,3.000,0.000,9.000,5.000,0.000,1.000,9.000,1.000,2.000,2.000,7.000,1.000,5.000,3.000,4.000,4.000,13.017,41.054
　　国分寺市,550.013,434.000,19.000,19.000,14.000,15.000,4.000,1.000,3.000,2.000,2.000,2.000,1.000,0.000,0.000,3.007,3.000,0.000,1.000,2.000,0.000,6.000,0.000,3.000,1.000,3.001,12.005
　　国立市,337.063,285.000,10.000,5.000,2.058,6.000,4.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,3.000,0.000,0.000,1.000,0.000,3.000,1.000,1.000,1.000,2.001,9.004
　　福生市,185.506,125.000,17.395,3.000,7.111,1.000,0.000,1.000,0.000,0.000,1.000,2.000,3.000,0.000,1.000,3.000,2.000,1.000,0.000,1.000,0.000,2.000,1.000,1.000,0.000,2.000,11.000
　　狛江市,426.171,299.000,28.000,6.000,11.171,1.000,8.000,6.000,1.000,5.000,18.000,5.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,2.000,0.000,4.000,4.000,2.000,0.000,6.000,18.000
　　東大和市,408.023,293.000,34.000,15.000,9.000,4.000,3.000,2.000,3.000,2.000,2.000,7.000,2.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,2.000,0.000,4.003,21.020
　　清瀬市,473.754,382.000,25.500,8.000,13.254,5.000,5.000,2.000,0.000,2.000,1.000,2.000,3.000,1.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,6.000,0.000,3.000,0.000,1.000,11.000
　　東久留米市,998.304,724.000,55.597,30.000,28.571,5.000,17.000,5.000,3.000,6.000,4.000,3.000,5.000,1.000,3.000,6.000,2.000,1.000,0.000,3.000,1.000,24.000,4.000,6.000,2.000,5.011,54.125
　　武蔵村山市,342.029,256.000,30.000,5.000,9.000,1.000,2.000,2.000,2.000,3.000,0.000,2.000,0.000,1.000,1.000,3.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,2.000,3.004,17.025
　　多摩市,600.021,478.000,26.472,12.000,12.000,4.000,5.000,7.000,2.000,5.000,2.181,4.363,0.000,1.000,1.000,8.000,3.000,0.000,1.000,2.000,0.000,6.000,2.000,2.000,2.000,4.001,10.004
　　稲城市,321.000,251.000,20.000,6.000,4.000,4.000,4.000,5.000,1.000,1.000,7.000,4.000,0.000,0.000,1.000,3.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,6.000
　　羽村市,150.014,118.000,9.000,3.000,6.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,1.007,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,2.003,3.004
　　あきる野市,260.881,210.000,10.272,5.000,14.571,2.000,1.000,3.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,3.014,5.024
　　西東京市,802.574,618.000,36.507,14.000,20.000,18.000,9.000,7.000,3.000,2.000,2.000,6.000,4.000,0.000,1.000,4.010,2.000,0.000,2.000,3.000,0.000,6.000,1.000,1.000,5.000,8.012,30.045
　☆西多摩郡計,143.788,109.000,11.071,1.000,10.706,1.000,1.000,1.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.011,3.000
　　瑞穂町,63.476,42.000,7.000,1.000,5.476,0.000,1.000,1.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000
　　日の出町,56.241,47.000,3.000,0.000,3.230,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.011,0.000
　　檜原村,5.071,4.000,1.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　奥多摩町,19.000,16.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　☆島部計,131.017,102.000,4.000,4.000,3.000,0.000,2.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.017,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,2.000,8.000
　　大島支庁小計,90.017,73.000,1.000,2.000,2.000,0.000,2.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.017,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,5.000
　　　大島町,79.017,63.000,1.000,2.000,1.000,0.000,2.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.017,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,5.000
　　　利島村,7.000,6.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　　新島村,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　　神津島村,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　三宅支庁小計,20.000,18.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
　　　三宅村,18.000,16.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
　　　御蔵島村,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　八丈支庁小計,10.000,6.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
　　　八丈町,10.000,6.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
　　　青ヶ島村,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　小笠原支庁小計,11.000,5.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000
　　　小笠原村,11.000,5.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000
