開票区名,計,（１）市田忠義,（２）田村智子,（３）大門みきし,（４）春名なおあき,（５）いせだ良子,（６）いわぶち友,（７）おくだ智子,（８）椎葉かずゆき,（９）たけだ良介,（１０）石山ひろゆき,（１１）和泉信丈,（１２）伊藤たつや,（１３）いわぶち彩子,（１４）植本かんじ,（１５）遠藤ひでかず,（１６）岡田正和,（１７）かまい敏行,（１８）かみむら泰稔,（１９）亀田りょうすけ,（２０）唐沢ちあき,（２１）熊谷智,（２２）小池一徳,（２３）小路貴之,（２４）坂口多美子,（２５）佐藤こうへい,（２６）高木みつひろ,（２７）高橋わたる,（２８）にしざわ博,（２９）原口敏彦,（３０）藤本ゆり,（３１）ふるたみちよ,（３２）まえさと保,（３３）益田牧子,（３４）松田一志,（３５）松本隆,（３６）松山きょうこ,（３７）みかじり亮子,（３８）宮内げん,（３９）山下かい,（４０）山田かずお,（４１）吉田恭子,（４２）よしまた洋
品川区,1206.213,183.000,626.000,59.000,5.000,33.000,37.698,18.000,10.000,12.000,27.000,1.000,13.107,16.301,0.000,2.000,9.000,2.000,1.000,2.000,5.000,2.000,24.000,0.000,4.000,12.000,3.000,3.000,4.000,2.000,4.000,15.000,4.000,2.000,2.000,6.000,6.000,0.000,2.000,2.000,6.005,13.102,28.000
目黒区,660.003,105.000,332.000,35.000,3.000,20.000,21.481,14.000,4.000,10.000,7.000,0.000,7.000,7.518,3.000,0.000,4.000,0.000,1.000,2.000,3.000,1.000,19.000,0.000,3.000,7.000,0.000,2.000,4.000,2.000,5.000,8.000,1.000,1.000,0.000,3.000,1.333,2.000,1.000,6.000,3.005,2.666,9.000
大田区,2655.720,420.000,1202.000,148.000,15.000,87.000,112.451,52.000,15.000,27.000,42.134,8.000,22.232,53.548,2.000,8.000,17.000,8.014,8.000,5.000,8.000,6.000,78.000,4.000,16.000,36.250,13.000,6.000,20.000,7.000,16.000,43.000,4.000,8.000,12.000,13.000,9.000,6.000,9.000,12.000,11.009,21.082,45.000
世田谷区,3293.611,796.000,1247.000,124.000,31.000,108.000,97.971,117.000,20.000,41.000,31.000,6.000,34.078,50.028,6.000,6.000,39.000,12.000,2.000,15.000,24.000,10.000,73.000,3.000,27.000,29.312,11.000,6.103,10.000,10.000,30.000,52.000,11.000,8.000,12.000,21.000,17.000,13.000,11.000,10.000,17.026,41.093,64.000
渋谷区,637.017,125.000,299.000,24.000,6.000,21.000,15.750,15.000,4.000,9.000,3.000,1.000,3.013,11.250,0.000,3.000,4.000,0.000,0.000,0.000,3.000,1.000,9.000,1.000,3.000,2.000,3.000,1.000,3.000,3.000,1.000,13.000,5.000,0.000,7.000,4.000,5.000,4.000,1.000,1.000,3.004,5.000,15.000
中野区,1107.478,192.000,571.000,43.000,10.000,24.000,23.000,42.000,10.000,7.000,13.000,1.000,7.000,6.000,9.000,0.000,13.000,3.000,0.000,4.000,4.000,3.000,23.000,1.000,6.000,5.476,3.000,3.000,6.000,5.000,5.000,13.000,1.000,1.000,2.000,8.000,3.000,2.000,3.000,4.000,4.002,11.000,13.000
杉並区,1724.774,330.000,818.000,79.000,14.000,44.000,53.550,37.000,15.000,16.000,16.000,4.000,17.000,30.450,0.000,0.000,9.000,3.000,3.000,3.000,8.000,8.000,27.000,1.000,9.000,14.700,5.000,3.000,6.000,19.000,8.000,19.000,6.000,6.000,2.000,16.000,4.000,6.000,5.000,8.000,8.005,16.069,28.000
豊島区,1006.056,172.000,509.000,38.000,10.000,33.000,2.090,23.000,5.000,10.000,10.000,1.000,8.000,43.909,0.000,5.000,3.000,1.000,1.000,6.000,2.000,5.000,24.000,1.000,3.000,6.000,3.000,1.055,7.000,4.000,2.000,23.000,0.000,5.000,1.000,3.000,3.000,0.000,3.000,4.000,5.002,7.000,13.000
北区,1668.762,284.000,812.000,78.000,9.000,39.000,36.794,55.000,5.000,7.000,27.000,2.000,8.064,42.205,1.000,3.000,7.000,3.000,0.000,9.000,7.000,5.000,52.000,1.000,16.000,17.680,14.000,3.000,7.011,6.000,14.000,22.000,2.000,5.000,1.000,8.000,4.000,1.000,2.000,11.000,3.008,20.000,19.000
荒川区,664.802,69.000,420.000,28.000,3.000,15.000,10.416,15.000,3.000,3.000,6.000,1.000,4.060,14.583,0.000,0.000,4.000,1.000,0.000,0.000,1.000,2.000,13.000,1.000,1.000,5.555,2.000,2.000,2.000,0.000,0.000,4.000,2.000,0.000,1.000,2.000,2.000,0.000,1.000,4.000,5.015,9.173,8.000
板橋区,2347.341,345.000,1174.000,78.000,15.000,54.000,71.711,94.000,12.000,22.000,23.071,3.000,10.046,41.288,7.000,6.000,13.000,6.014,7.000,8.000,4.000,14.000,81.000,0.000,14.000,16.615,5.000,8.444,7.000,4.000,14.000,38.000,2.000,7.000,7.000,16.000,11.000,3.000,10.000,15.000,15.007,32.145,33.000
練馬区,2730.277,505.000,1205.000,143.000,23.000,83.000,108.853,89.000,13.000,26.000,40.090,10.000,26.080,48.146,5.000,2.000,13.000,2.000,4.000,6.000,23.000,6.000,57.000,5.000,13.000,13.812,2.000,9.000,11.000,11.000,15.000,59.000,5.000,9.000,9.000,16.007,7.000,8.000,5.000,6.000,16.016,30.273,42.000
足立区,2823.361,287.000,1732.000,101.000,10.000,72.000,102.488,47.000,3.000,18.000,32.000,3.000,25.115,34.511,0.000,2.000,21.000,1.000,1.000,10.000,7.000,11.000,44.000,0.000,14.000,17.944,8.000,6.255,22.000,5.000,12.000,44.000,3.000,7.000,0.000,12.008,3.000,2.000,10.000,12.000,10.040,29.000,42.000
葛飾区,1890.485,244.000,1139.000,46.000,6.000,45.000,42.857,45.000,16.000,13.000,17.000,8.000,19.234,17.142,3.000,2.000,8.000,9.000,3.000,2.000,1.000,5.000,39.000,1.000,3.000,19.928,9.000,4.111,9.000,4.000,10.000,22.000,1.000,5.000,5.000,6.000,4.000,5.000,4.000,5.000,10.079,17.134,16.000
江戸川区,2660.621,463.000,1087.000,120.000,18.000,94.000,113.586,76.000,10.000,26.000,40.000,10.000,26.390,69.413,1.000,6.000,27.000,3.000,5.000,8.000,11.000,4.000,56.000,2.000,36.000,21.702,14.000,13.000,15.110,9.000,29.000,55.000,5.000,9.000,14.000,13.000,12.000,6.000,14.000,8.000,11.059,41.361,58.000
☆市部計,15374.782,2483.000,8285.960,454.000,80.000,336.000,491.400,334.038,74.000,122.000,153.168,20.000,242.479,286.590,11.000,27.000,95.000,22.000,19.000,33.000,46.000,29.000,281.000,15.000,74.000,116.211,41.000,25.927,58.000,39.000,87.000,225.000,30.000,39.000,26.000,59.000,47.222,26.000,31.000,62.000,69.191,136.596,242.000
八王子市,1811.650,304.000,871.000,63.000,7.000,64.000,60.882,47.000,8.000,26.000,24.097,5.000,34.277,36.117,1.000,3.000,19.000,1.000,2.000,5.000,6.000,6.000,39.000,1.000,8.000,20.000,7.000,2.080,8.000,4.000,9.000,30.000,2.000,4.000,6.000,11.000,8.000,4.000,5.000,4.000,6.016,12.181,28.000
立川市,718.016,112.000,359.000,19.000,2.000,11.000,26.742,19.000,2.000,6.000,11.000,2.000,8.000,12.257,0.000,1.000,5.000,1.000,2.000,2.000,2.000,2.000,19.000,2.000,3.000,6.000,2.000,0.000,7.000,2.000,2.000,21.000,2.000,1.000,1.000,2.000,5.000,1.000,3.000,5.000,6.017,10.000,13.000
武蔵野市,522.999,131.000,227.000,15.000,6.000,8.000,18.720,15.000,6.000,1.000,7.000,2.000,4.000,7.280,0.000,3.000,3.000,1.000,0.000,2.000,2.000,1.000,12.000,0.000,3.000,2.000,3.000,0.000,3.000,1.000,6.000,8.000,2.000,0.000,0.000,3.000,2.222,2.000,2.000,0.000,0.000,7.777,6.000
三鷹市,678.507,120.000,324.000,23.000,7.000,18.000,15.120,17.000,2.000,10.000,4.000,2.000,30.000,11.880,2.000,2.000,5.000,0.000,1.000,0.000,3.000,2.000,13.000,3.000,4.000,3.500,1.000,0.000,2.000,1.000,5.000,12.000,3.000,0.000,1.000,1.000,0.000,2.000,3.000,3.000,5.007,9.000,8.000
青梅市,627.371,92.000,329.000,26.000,2.000,16.000,20.606,12.000,2.000,3.000,7.000,1.000,6.000,13.393,0.000,1.000,5.000,1.000,0.000,0.000,2.000,1.000,17.000,1.000,4.000,7.000,2.000,2.333,4.000,2.000,2.000,10.000,2.000,3.000,0.000,2.000,1.000,0.000,0.000,2.000,5.039,4.000,17.000
府中市,627.518,118.000,331.000,17.000,4.000,12.000,16.615,10.000,2.000,4.000,3.000,0.000,12.111,10.384,1.000,0.000,0.000,1.000,2.000,2.000,2.000,1.000,8.000,5.000,4.000,2.333,3.000,0.000,1.000,1.000,5.000,7.000,3.000,1.000,0.000,2.000,3.000,0.000,0.000,5.000,4.005,8.070,16.000
昭島市,409.005,67.000,208.000,18.000,1.000,7.000,12.000,10.000,0.000,7.000,3.000,0.000,5.000,8.000,0.000,1.000,4.000,0.000,0.000,2.000,2.000,0.000,8.000,0.000,1.000,2.000,2.000,3.000,1.000,1.000,3.000,6.000,2.000,3.000,1.000,0.000,2.000,0.000,1.000,2.000,1.005,4.000,11.000
調布市,690.189,124.000,352.000,21.000,8.000,14.000,17.103,13.000,6.000,3.000,5.000,0.000,29.127,13.896,0.000,2.000,2.000,2.000,0.000,0.000,1.000,0.000,10.000,0.000,3.000,3.000,3.000,1.000,2.000,2.000,4.000,15.000,1.000,1.000,0.000,4.000,1.000,3.000,1.000,2.000,3.001,5.062,13.000
町田市,1845.013,328.000,819.000,53.000,4.000,38.000,114.871,46.000,12.000,14.000,23.000,3.000,32.243,85.128,1.000,3.000,13.000,2.000,0.000,7.000,6.000,6.000,32.000,2.000,13.000,20.628,7.000,3.139,6.000,10.000,10.000,21.000,3.000,5.000,7.000,6.000,2.000,3.000,3.000,9.000,11.004,17.000,44.000
小金井市,411.439,75.000,249.000,11.000,4.000,6.000,7.000,4.000,3.000,3.000,4.000,0.000,9.439,2.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,7.000,0.000,2.000,0.000,0.000,0.000,1.000,0.000,1.000,6.000,0.000,0.000,1.000,1.000,2.000,1.000,1.000,2.000,0.000,4.000,3.000
小平市,654.041,109.000,355.000,23.000,4.000,13.000,17.000,17.000,1.000,8.000,4.040,0.000,0.000,10.000,0.000,1.000,5.000,1.000,1.000,2.000,3.000,1.000,14.000,0.000,4.000,6.000,1.000,1.000,5.000,4.000,1.000,7.000,2.000,5.000,0.000,5.000,2.000,1.000,1.000,4.000,1.001,7.000,8.000
日野市,789.107,106.000,464.000,19.000,4.000,18.000,22.000,19.000,2.000,4.000,8.000,0.000,12.000,10.000,0.000,1.000,10.000,3.000,2.000,1.000,2.000,2.000,11.000,0.000,4.000,7.000,0.000,0.000,2.000,2.000,6.000,7.000,1.000,0.000,2.000,5.000,3.000,0.000,0.000,6.000,8.040,6.067,10.000
東村山市,739.250,121.000,399.000,25.000,0.000,22.000,16.000,24.000,6.000,4.000,4.000,0.000,5.000,13.000,3.000,2.000,5.000,1.000,1.000,3.000,3.000,3.000,21.000,0.000,5.000,8.000,1.000,1.250,2.000,2.000,4.000,11.000,0.000,4.000,0.000,3.000,2.000,2.000,2.000,0.000,1.000,4.000,6.000
国分寺市,452.060,60.000,272.000,12.000,7.000,9.000,13.866,7.000,2.000,3.000,4.000,0.000,1.000,2.133,2.000,1.000,2.000,0.000,0.000,0.000,2.000,1.000,5.000,0.000,0.000,3.000,1.000,1.000,2.000,1.000,4.000,12.000,1.000,3.000,0.000,3.000,1.000,1.000,0.000,2.000,1.001,5.060,5.000
国立市,343.019,37.000,242.991,5.000,3.000,6.000,5.000,2.008,1.000,2.000,2.000,0.000,3.000,5.000,0.000,3.000,2.000,0.000,1.000,0.000,3.000,0.000,7.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,2.000,0.000,1.000,1.000,0.000,5.020,0.000,0.000
福生市,202.074,31.000,98.000,3.000,2.000,8.000,11.000,8.000,1.000,2.000,1.000,0.000,0.000,3.000,0.000,0.000,2.000,2.000,0.000,0.000,0.000,0.000,4.000,0.000,1.000,2.000,2.000,1.000,1.000,0.000,4.000,2.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,3.000,1.003,1.071,5.000
狛江市,384.003,70.000,203.000,8.000,2.000,13.000,10.000,4.000,1.000,2.000,9.000,0.000,20.000,3.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,6.000,0.000,4.000,3.000,1.000,1.000,1.000,0.000,3.000,5.000,0.000,1.000,0.000,0.000,0.000,1.000,1.000,2.000,2.003,3.000,3.000
東大和市,288.999,25.000,191.969,10.000,1.000,6.000,7.000,6.030,4.000,0.000,3.000,0.000,3.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,6.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,5.000,3.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,2.000,2.000,2.000,3.000
清瀬市,428.031,46.000,316.000,11.000,0.000,7.000,1.250,5.000,1.000,0.000,1.031,0.000,1.000,3.750,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,4.000,1.000,0.000,1.000,0.000,2.000,2.000,0.000,2.000,11.000,2.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,1.000,1.000,3.000
東久留米市,625.227,96.000,383.000,14.000,1.000,13.000,8.000,13.000,0.000,5.000,4.000,3.000,2.125,7.000,0.000,1.000,3.000,1.000,2.000,1.000,1.000,1.000,12.000,0.000,2.000,7.000,1.000,2.000,1.000,2.000,3.000,7.000,1.000,2.000,0.000,2.000,3.000,1.000,0.000,3.000,1.008,8.094,8.000
武蔵村山市,291.432,38.000,149.000,5.000,2.000,8.000,13.000,10.000,0.000,3.000,3.000,0.000,1.076,1.000,0.000,1.000,2.000,0.000,3.000,1.000,1.000,0.000,6.000,0.000,1.000,1.000,2.000,2.125,0.000,0.000,1.000,7.000,1.000,1.000,2.000,1.000,4.000,1.000,2.000,4.000,2.017,6.214,6.000
多摩市,571.082,88.000,353.000,15.000,4.000,2.000,31.628,4.000,4.000,4.000,4.000,0.000,9.081,9.371,0.000,0.000,1.000,2.000,1.000,1.000,1.000,0.000,3.000,0.000,1.000,2.000,0.000,1.000,3.000,0.000,2.000,3.000,0.000,1.000,1.000,1.000,2.000,1.000,2.000,1.000,1.002,6.000,6.000
稲城市,242.999,32.000,145.000,12.000,2.000,2.000,5.714,6.000,2.000,0.000,4.000,1.000,8.000,2.285,1.000,0.000,3.000,0.000,0.000,0.000,2.000,1.000,3.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,4.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000
羽村市,138.999,12.000,85.000,7.000,0.000,2.000,5.833,1.000,0.000,0.000,2.000,0.000,3.000,1.166,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,3.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,2.000,0.000,1.000,0.000,2.000,0.000,1.000,1.000,1.000,1.000,1.000,3.000
あきる野市,266.000,21.000,195.000,4.000,1.000,2.000,5.000,5.000,1.000,5.000,2.000,0.000,1.000,0.000,0.000,0.000,2.000,1.000,1.000,1.000,0.000,0.000,3.000,0.000,1.000,1.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,6.000
西東京市,616.752,120.000,365.000,15.000,2.000,11.000,9.450,10.000,5.000,3.000,7.000,1.000,3.000,11.550,0.000,0.000,1.000,1.000,0.000,1.000,0.000,0.000,8.000,0.000,3.000,6.750,0.000,1.000,1.000,3.000,4.000,5.000,0.000,2.000,1.000,1.000,1.000,0.000,1.000,0.000,1.002,4.000,8.000
☆西多摩郡計,153.166,17.000,89.000,4.000,0.000,5.000,7.000,3.000,0.000,1.000,2.166,0.000,0.000,3.000,0.000,2.000,1.000,0.000,0.000,1.000,0.000,0.000,2.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,1.000,4.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,2.000,0.000,0.000,4.000
瑞穂町,54.000,6.000,25.000,2.000,0.000,2.000,6.000,0.000,0.000,1.000,1.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,2.000
日の出町,71.166,8.000,43.000,2.000,0.000,3.000,0.000,3.000,0.000,0.000,1.166,0.000,0.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,2.000
檜原村,11.000,2.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
奥多摩町,17.000,1.000,14.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
☆島部計,115.000,7.000,80.000,4.000,1.000,1.000,0.000,4.000,0.000,0.000,2.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,3.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,4.000
大島支庁小計,78.000,4.000,59.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.000
大島町,66.000,4.000,49.000,1.000,0.000,1.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,2.000
利島村,6.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
新島村,6.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
神津島村,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
三宅支庁小計,12.000,1.000,8.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000
三宅村,12.000,1.000,8.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000
御蔵島村,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
八丈支庁小計,18.000,1.000,11.000,2.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
八丈町,17.000,1.000,11.000,2.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
青ヶ島村,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
小笠原支庁小計,7.000,1.000,2.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
小笠原村,7.000,1.000,2.000,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
