開票区名,得票総数,按分の際切捨てた票数,いずれの候補者にも属さない票数,有効投票数,無効投票数,投票総数,持ち帰りと思われる票数,不受理と決定した票数,投票者数,無効投票率
小笠原村,1186.000,0.000,0,1186,69,1255,0,0,1255,5.50
☆４区,217271.000,0.000,0,217271,8939,226210,13,0,226223,3.95
大田４区,217271.000,0.000,0,217271,8939,226210,13,0,226223,3.95
☆５区,257699.000,0.000,0,257699,8491,266190,5,0,266195,3.19
目黒区,119858.000,0.000,0,119858,3737,123595,2,0,123597,3.02
世田谷５区,137841.000,0.000,0,137841,4754,142595,3,0,142598,3.33
☆６区,251382.000,0.000,0,251382,9762,261144,4,1,261149,3.74
世田谷６区,251382.000,0.000,0,251382,9762,261144,4,1,261149,3.74
☆７区,234096.000,0.000,0,234096,6087,240183,6,0,240189,2.53
渋谷区,94154.000,0.000,0,94154,2650,96804,4,0,96808,2.74
中野区,139942.000,0.000,0,139942,3437,143379,2,0,143381,2.40
☆８区,244310.000,0.000,0,244310,9584,253894,0,0,253894,3.77
杉並区,244310.000,0.000,0,244310,9584,253894,0,0,253894,3.77
☆９区,240038.000,0.000,0,240038,7657,247695,3,0,247698,3.09
練馬９区,240038.000,0.000,0,240038,7657,247695,3,0,247698,3.09
☆１０区,184537.000,0.000,0,184537,5854,190391,9,0,190400,3.07
豊島区,114800.000,0.000,0,114800,3797,118597,4,0,118601,3.20
練馬１０区,69737.000,0.000,0,69737,2057,71794,5,0,71799,2.87
☆１１区,231157.999,0.001,0,231158,7920,239078,9,0,239087,3.31
板橋区,231157.999,0.001,0,231158,7920,239078,9,0,239087,3.31
☆１２区,212520.000,0.000,0,212520,10610,223130,5,0,223135,4.76
北区,154210.000,0.000,0,154210,8119,162329,2,0,162331,5.00
足立１２区,58310.000,0.000,0,58310,2491,60801,3,0,60804,4.10
☆１３区,203497.000,0.000,0,203497,7319,210816,28,0,210844,3.47
足立１３区,203497.000,0.000,0,203497,7319,210816,28,0,210844,3.47
☆１４区,188012.000,0.000,0,188012,12686,200698,4,0,200702,6.32
墨田区,105833.000,0.000,0,105833,7254,113087,0,0,113087,6.41
荒川区,82179.000,0.000,0,82179,5432,87611,4,0,87615,6.20
☆１５区,214364.000,0.000,0,214364,7233,221597,6,0,221603,3.26
江東区,214364.000,0.000,0,214364,7233,221597,6,0,221603,3.26
☆１６区,213031.000,0.000,0,213031,10294,223325,15,0,223340,4.61
江戸川１６区,213031.000,0.000,0,213031,10294,223325,15,0,223340,4.61
☆１７区,211231.000,0.000,0,211231,16491,227722,4,0,227726,7.24
葛飾区,173690.000,0.000,0,173690,14046,187736,4,0,187740,7.48
江戸川１７区,37541.000,0.000,0,37541,2445,39986,0,0,39986,6.11
☆１８区,231719.000,0.000,0,231719,9641,241360,2,0,241362,3.99
武蔵野市,68379.000,0.000,0,68379,2573,70952,0,0,70952,3.63
府中市,109831.000,0.000,0,109831,4802,114633,2,0,114635,4.19
小金井市,53509.000,0.000,0,53509,2266,55775,0,0,55775,4.06
☆１９区,262728.000,0.000,0,262728,7528,270256,2,0,270258,2.79
小平市,82943.000,0.000,0,82943,2428,85371,2,0,85373,2.84
国分寺市,56608.000,0.000,0,56608,1588,58196,0,0,58196,2.73
国立市,35080.000,0.000,0,35080,1049,36129,0,0,36129,2.90
西東京市,88097.000,0.000,0,88097,2463,90560,0,0,90560,2.72
☆２０区,211537.000,0.000,0,211537,9018,220555,8,1,220564,4.09
東村山市,65660.000,0.000,0,65660,2859,68519,6,0,68525,4.17
東大和市,36267.000,0.000,0,36267,1608,37875,0,0,37875,4.25
清瀬市,32850.000,0.000,0,32850,1200,34050,1,0,34051,3.52
東久留米市,50506.000,0.000,0,50506,1823,52329,1,0,52330,3.48
武蔵村山市,26254.000,0.000,0,26254,1528,27782,0,1,27783,5.50
☆２１区,201933.000,0.000,0,201933,6244,208177,2,0,208179,3.00
立川市,75097.000,0.000,0,75097,2359,77456,1,0,77457,3.05
昭島市,47423.000,0.000,0,47423,1430,48853,0,0,48853,2.93
日野市,79413.000,0.000,0,79413,2455,81868,1,0,81869,3.00
☆２２区,254039.000,0.000,0,254039,7794,261833,8,0,261841,2.98
三鷹市,81821.000,0.000,0,81821,2625,84446,3,0,84449,3.11
調布市,98809.000,0.000,0,98809,2823,101632,5,0,101637,2.78
狛江市,36267.000,0.000,0,36267,1118,37385,0,0,37385,2.99
稲城市,37142.000,0.000,0,37142,1228,38370,0,0,38370,3.20
☆２３区,254417.000,0.000,0,254417,6959,261376,6,0,261382,2.66
町田市,186164.000,0.000,0,186164,5353,191517,3,0,191520,2.80
多摩市,68253.000,0.000,0,68253,1606,69859,3,0,69862,2.30
☆２４区,243803.000,0.000,0,243803,8815,252618,1,0,252619,3.49
八王子市,243803.000,0.000,0,243803,8815,252618,1,0,252619,3.49
☆２５区,162418.992,0.008,0,162419,5136,167555,0,0,167555,3.07
☆市部計,137914.996,0.004,0,137915,4329,142244,0,0,142244,3.04
青梅市,57834.999,0.001,0,57835,1676,59511,0,0,59511,2.82
福生市,23527.999,0.001,0,23528,860,24388,0,0,24388,3.53
羽村市,22473.999,0.001,0,22474,764,23238,0,0,23238,3.29
あきる野市,34077.999,0.001,0,34078,1029,35107,0,0,35107,2.93
☆郡部計,24503.996,0.004,0,24504,807,25311,0,0,25311,3.19
瑞穂町,12662.999,0.001,0,12663,417,13080,0,0,13080,3.19
日の出町,7630.999,0.001,0,7631,275,7906,0,0,7906,3.48
檜原村,1327.999,0.001,0,1328,37,1365,0,0,1365,2.71
奥多摩町,2881.999,0.001,0,2882,78,2960,0,0,2960,2.64
☆大田区,302793.000,0.000,0,302793,11764,314557,23,0,314580,3.74
☆世田谷区,389223.000,0.000,0,389223,14516,403739,7,1,403747,3.60
☆練馬区,309775.000,0.000,0,309775,9714,319489,8,0,319497,3.04
☆足立区,261807.000,0.000,0,261807,9810,271617,31,0,271648,3.61
☆江戸川区,250572.000,0.000,0,250572,12739,263311,15,0,263326,4.84
