令和3年10月31日  執行,,,,,,,,,,
衆議院（小選挙区選出）議員選挙　開票結果内訳,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,
令和3年 11月1日 9時 56分 確定,,,,,,,,,,
開  票  区  名,得  票  総  数,按 分 の 際 切捨 て た 票 数,いずれの候補者にも属さない票数,有 効 投 票 数,無 効 投 票 数,投  票  総  数,持 ち 帰 り と思われる票数,不 受 理 と 決定 し た 票 数,投  票  者  数,無 効 投 票 率
　　　　大島支庁,6304.000,0.000,0 ,6304 ,286 ,6590 ,1 ,0 ,6591 ,4.34
　　　　　大島町,3683.000,0.000,0 ,3683 ,221 ,3904 ,0 ,0 ,3904 ,5.66
　　　　　利島村,213.000,0.000,0 ,213 ,8 ,221 ,1 ,0 ,222 ,3.62
　　　　　新島村,1388.000,0.000,0 ,1388 ,41 ,1429 ,0 ,0 ,1429 ,2.87
　　　　　神津島村,1020.000,0.000,0 ,1020 ,16 ,1036 ,0 ,0 ,1036 ,1.54
　　　　三宅支庁,1471.000,0.000,0 ,1471 ,56 ,1527 ,0 ,0 ,1527 ,3.67
　　　　　三宅村,1281.000,0.000,0 ,1281 ,43 ,1324 ,0 ,0 ,1324 ,3.25
　　　　　御蔵島村,190.000,0.000,0 ,190 ,13 ,203 ,0 ,0 ,203 ,6.40
　　　　八丈支庁,3749.000,0.000,0 ,3749 ,130 ,3879 ,0 ,0 ,3879 ,3.35
　　　　　八丈町,3631.000,0.000,0 ,3631 ,122 ,3753 ,0 ,0 ,3753 ,3.25
　　　　　青ヶ島村,118.000,0.000,0 ,118 ,8 ,126 ,0 ,0 ,126 ,6.35
　　　　小笠原支庁,1182.000,0.000,0 ,1182 ,56 ,1238 ,0 ,0 ,1238 ,4.52
　　　　　小笠原村,1182.000,0.000,0 ,1182 ,56 ,1238 ,0 ,0 ,1238 ,4.52
　　☆４区,249885.000,0.000,0 ,249885 ,8130 ,258015 ,15 ,0 ,258030 ,3.15
　　　大田区４区,249885.000,0.000,0 ,249885 ,8130 ,258015 ,15 ,0 ,258030 ,3.15
　　☆５区,271451.000,0.000,0 ,271451 ,7484 ,278935 ,11 ,0 ,278946 ,2.68
　　　目黒区５区,91871.000,0.000,0 ,91871 ,2398 ,94269 ,3 ,0 ,94272 ,2.54
　　　世田谷区５区,179580.000,0.000,0 ,179580 ,5086 ,184666 ,8 ,0 ,184674 ,2.75
　　☆６区,274845.000,0.000,0 ,274845 ,7227 ,282072 ,[sanitize]1 ,0 ,282071 ,2.56
　　　世田谷区６区,274845.000,0.000,0 ,274845 ,7227 ,282072 ,[sanitize]1 ,0 ,282071 ,2.56
　　☆７区,252896.000,0.000,0 ,252896 ,6613 ,259509 ,8 ,0 ,259517 ,2.55
　　　品川区７区,18473.000,0.000,0 ,18473 ,523 ,18996 ,1 ,0 ,18997 ,2.75
　　　目黒区７区,43403.000,0.000,0 ,43403 ,1137 ,44540 ,0 ,0 ,44540 ,2.55
　　　渋谷区,106016.000,0.000,0 ,106016 ,2767 ,108783 ,1 ,0 ,108784 ,2.54
　　　中野区７区,78968.000,0.000,0 ,78968 ,2007 ,80975 ,5 ,0 ,80980 ,2.48
　　　杉並区７区,6036.000,0.000,0 ,6036 ,179 ,6215 ,1 ,0 ,6216 ,2.88
　　☆８区,283485.000,0.000,0 ,283485 ,7143 ,290628 ,6 ,0 ,290634 ,2.46
　　　杉並区８区,283485.000,0.000,0 ,283485 ,7143 ,290628 ,6 ,0 ,290634 ,2.46
　　☆９区,267706.000,0.000,0 ,267706 ,8579 ,276285 ,5 ,0 ,276290 ,3.11
　　　練馬区９区,267706.000,0.000,0 ,267706 ,8579 ,276285 ,5 ,0 ,276290 ,3.11
　　☆１０区,262852.996,0.004,0 ,262853 ,7808 ,270661 ,21 ,2 ,270684 ,2.88
　　　新宿区１０区,20536.999,0.001,0 ,20537 ,622 ,21159 ,14 ,2 ,21175 ,2.94
　　　中野区１０区,77756.999,0.001,0 ,77757 ,2213 ,79970 ,1 ,0 ,79971 ,2.77
　　　豊島区１０区,85912.999,0.001,0 ,85913 ,2739 ,88652 ,1 ,0 ,88653 ,3.09
　　　練馬区１０区,78645.999,0.001,0 ,78646 ,2234 ,80880 ,5 ,0 ,80885 ,2.76
　　☆１１区,245043.000,0.000,0 ,245043 ,9265 ,254308 ,7 ,0 ,254315 ,3.64
　　　板橋区１１区,245043.000,0.000,0 ,245043 ,9265 ,254308 ,7 ,0 ,254315 ,3.64
　　☆１２区,253291.000,0.000,0 ,253291 ,12519 ,265810 ,11 ,0 ,265821 ,4.71
　　　豊島区１２区,40102.000,0.000,0 ,40102 ,2197 ,42299 ,2 ,0 ,42301 ,5.19
　　　北区,164253.000,0.000,0 ,164253 ,8078 ,172331 ,8 ,0 ,172339 ,4.69
　　　板橋区１２区,5659.000,0.000,0 ,5659 ,272 ,5931 ,1 ,0 ,5932 ,4.59
　　　足立区１２区,43277.000,0.000,0 ,43277 ,1972 ,45249 ,0 ,0 ,45249 ,4.36
　　☆１３区,234562.000,0.000,0 ,234562 ,9783 ,244345 ,8 ,0 ,244353 ,4.00
　　　足立区１３区,234562.000,0.000,0 ,234562 ,9783 ,244345 ,8 ,0 ,244353 ,4.00
　　☆１４区,251111.000,0.000,0 ,251111 ,9497 ,260608 ,0 ,3 ,260611 ,3.64
　　　台東区１４区,32268.000,0.000,0 ,32268 ,1480 ,33748 ,0 ,0 ,33748 ,4.39
　　　墨田区,126358.000,0.000,0 ,126358 ,4493 ,130851 ,0 ,0 ,130851 ,3.43
　　　荒川区,92485.000,0.000,0 ,92485 ,3524 ,96009 ,0 ,3 ,96012 ,3.67
　　☆１５区,238320.000,0.000,0 ,238320 ,10771 ,249091 ,12 ,0 ,249103 ,4.32
　　　江東区,238320.000,0.000,0 ,238320 ,10771 ,249091 ,12 ,0 ,249103 ,4.32
　　☆１６区,229528.000,0.000,0 ,229528 ,10373 ,239901 ,6 ,1 ,239908 ,4.32
　　　江戸川区１６区,229528.000,0.000,0 ,229528 ,10373 ,239901 ,6 ,1 ,239908 ,4.32
　　☆１７区,238056.000,0.000,0 ,238056 ,14453 ,252509 ,3 ,0 ,252512 ,5.72
　　　葛飾区,191276.000,0.000,0 ,191276 ,11965 ,203241 ,3 ,0 ,203244 ,5.89
　　　江戸川区１７区,46780.000,0.000,0 ,46780 ,2488 ,49268 ,0 ,0 ,49268 ,5.05
　　☆１８区,259123.000,0.000,0 ,259123 ,7199 ,266322 ,4 ,0 ,266326 ,2.70
　　　武蔵野市,74875.000,0.000,0 ,74875 ,1929 ,76804 ,2 ,0 ,76806 ,2.51
　　　府中市,122571.000,0.000,0 ,122571 ,3635 ,126206 ,2 ,0 ,126208 ,2.88
　　　小金井市,61677.000,0.000,0 ,61677 ,1635 ,63312 ,0 ,0 ,63312 ,2.58
　　☆１９区,258580.000,0.000,0 ,258580 ,4904 ,263484 ,2 ,0 ,263486 ,1.86
　　　小平市,94294.000,0.000,0 ,94294 ,1730 ,96024 ,1 ,0 ,96025 ,1.80
　　　国分寺市,65200.000,0.000,0 ,65200 ,1341 ,66541 ,0 ,0 ,66541 ,2.02
　　　西東京市,99086.000,0.000,0 ,99086 ,1833 ,100919 ,1 ,0 ,100920 ,1.82
　　☆２０区,231226.000,0.000,0 ,231226 ,6205 ,237431 ,3 ,7 ,237441 ,2.61
　　　東村山市,71967.000,0.000,0 ,71967 ,1881 ,73848 ,1 ,0 ,73849 ,2.55
　　　東大和市,39335.000,0.000,0 ,39335 ,1180 ,40515 ,1 ,1 ,40517 ,2.91
　　　清瀬市,35986.000,0.000,0 ,35986 ,832 ,36818 ,0 ,0 ,36818 ,2.26
　　　東久留米市,54886.000,0.000,0 ,54886 ,1470 ,56356 ,1 ,6 ,56363 ,2.61
　　　武蔵村山市,29052.000,0.000,0 ,29052 ,842 ,29894 ,0 ,0 ,29894 ,2.82
　　☆２１区,247050.000,0.000,0 ,247050 ,6014 ,253064 ,6 ,0 ,253070 ,2.38
　　　八王子市２１区,4994.000,0.000,0 ,4994 ,159 ,5153 ,0 ,0 ,5153 ,3.09
　　　立川市,83716.000,0.000,0 ,83716 ,1992 ,85708 ,1 ,0 ,85709 ,2.32
　　　日野市,89006.000,0.000,0 ,89006 ,2157 ,91163 ,4 ,0 ,91167 ,2.37
　　　国立市,38430.000,0.000,0 ,38430 ,950 ,39380 ,0 ,0 ,39380 ,2.41
　　　多摩市２１区,15390.000,0.000,0 ,15390 ,412 ,15802 ,1 ,0 ,15803 ,2.61
　　　稲城市２１区,15514.000,0.000,0 ,15514 ,344 ,15858 ,0 ,0 ,15858 ,2.17
　　☆２２区,280260.000,0.000,0 ,280260 ,7010 ,287270 ,4 ,0 ,287274 ,2.44
　　　三鷹市,93964.000,0.000,0 ,93964 ,2308 ,96272 ,3 ,0 ,96275 ,2.40
　　　調布市,116055.000,0.000,0 ,116055 ,2792 ,118847 ,0 ,0 ,118847 ,2.35
　　　狛江市,41978.000,0.000,0 ,41978 ,1093 ,43071 ,0 ,0 ,43071 ,2.54
　　　稲城市２２区,28263.000,0.000,0 ,28263 ,817 ,29080 ,1 ,0 ,29081 ,2.81
　　☆２３区,259938.000,0.000,0 ,259938 ,7971 ,267909 ,9 ,0 ,267918 ,2.98
　　　町田市,202436.000,0.000,0 ,202436 ,6340 ,208776 ,8 ,0 ,208784 ,3.04
　　　多摩市２３区,57502.000,0.000,0 ,57502 ,1631 ,59133 ,1 ,0 ,59134 ,2.76
　　☆２４区,254762.000,0.000,0 ,254762 ,8121 ,262883 ,0 ,0 ,262883 ,3.09
　　　八王子市２４区,254762.000,0.000,0 ,254762 ,8121 ,262883 ,0 ,0 ,262883 ,3.09
　　☆２５区,221421.000,0.000,0 ,221421 ,5456 ,226877 ,2 ,1 ,226880 ,2.40
　　　☆市部計,196424.000,0.000,0 ,196424 ,4897 ,201321 ,2 ,1 ,201324 ,2.43
　　　　青梅市,60738.000,0.000,0 ,60738 ,1375 ,62113 ,0 ,0 ,62113 ,2.21
　　　　昭島市,50496.000,0.000,0 ,50496 ,1351 ,51847 ,0 ,0 ,51847 ,2.61
　　　　福生市,24401.000,0.000,0 ,24401 ,681 ,25082 ,2 ,0 ,25084 ,2.72
　　　　羽村市,24529.000,0.000,0 ,24529 ,637 ,25166 ,0 ,1 ,25167 ,2.53
　　　　あきる野市,36260.000,0.000,0 ,36260 ,853 ,37113 ,0 ,0 ,37113 ,2.30
　　　☆郡部計,24997.000,0.000,0 ,24997 ,559 ,25556 ,0 ,0 ,25556 ,2.19
　　　　瑞穂町,13338.000,0.000,0 ,13338 ,320 ,13658 ,0 ,0 ,13658 ,2.34
　　　　日の出町,7686.000,0.000,0 ,7686 ,157 ,7843 ,0 ,0 ,7843 ,2.00
　　　　檜原村,1246.000,0.000,0 ,1246 ,25 ,1271 ,0 ,0 ,1271 ,1.97
　　　　奥多摩町,2727.000,0.000,0 ,2727 ,57 ,2784 ,0 ,0 ,2784 ,2.05
　☆港区計,108248.000,0.000,0 ,108248 ,2522 ,110770 ,1 ,0 ,110771 ,2.28
　☆新宿区計,150171.999,0.001,0 ,150172 ,4073 ,154245 ,15 ,4 ,154264 ,2.64
　☆台東区計,94267.000,0.000,0 ,94267 ,3147 ,97414 ,6 ,0 ,97420 ,3.23
　☆品川区計,192673.000,0.000,0 ,192673 ,6166 ,198839 ,3 ,0 ,198842 ,3.10
　☆目黒区計,135274.000,0.000,0 ,135274 ,3535 ,138809 ,3 ,0 ,138812 ,2.55
　☆大田区計,335341.000,0.000,0 ,335341 ,10965 ,346306 ,82 ,0 ,346388 ,3.17
　☆世田谷区計,454425.000,0.000,0 ,454425 ,12313 ,466738 ,7 ,0 ,466745 ,2.64
　☆中野区計,156724.999,0.001,0 ,156725 ,4220 ,160945 ,6 ,0 ,160951 ,2.62
　☆豊島区計,126014.999,0.001,0 ,126015 ,4936 ,130951 ,3 ,0 ,130954 ,3.77
　☆杉並区計,289521.000,0.000,0 ,289521 ,7322 ,296843 ,7 ,0 ,296850 ,2.47
　☆板橋区計,250702.000,0.000,0 ,250702 ,9537 ,260239 ,8 ,0 ,260247 ,3.66
　☆練馬区計,346351.999,0.001,0 ,346352 ,10813 ,357165 ,10 ,0 ,357175 ,3.03
　☆足立区計,277839.000,0.000,0 ,277839 ,11755 ,289594 ,8 ,0 ,289602 ,4.06
　☆江戸川区計,276308.000,0.000,0 ,276308 ,12861 ,289169 ,6 ,1 ,289176 ,4.45
　☆八王子市計,259756.000,0.000,0 ,259756 ,8280 ,268036 ,0 ,0 ,268036 ,3.09
　☆多摩市計,72892.000,0.000,0 ,72892 ,2043 ,74935 ,2 ,0 ,74937 ,2.73
　☆稲城市計,43777.000,0.000,0 ,43777 ,1161 ,44938 ,1 ,0 ,44939 ,2.58
