開票区名,全党派計得票総数,全党派計政党等の得票総数,全党派計名簿登載者の得票総数,（１）社会民主党得票総数,（１）社会民主党政党等の得票総数,（１）社会民主党名簿登載者の得票総数,（２）国民怒りの声得票総数,（２）国民怒りの声政党等の得票総数,（２）国民怒りの声名簿登載者の得票総数,（３）おおさか維新の会得票総数,（３）おおさか維新の会政党等の得票総数,（３）おおさか維新の会名簿登載者の得票総数,（４）公明党得票総数,（４）公明党政党等の得票総数,（４）公明党名簿登載者の得票総数,（５）日本共産党得票総数,（５）日本共産党政党等の得票総数,（５）日本共産党名簿登載者の得票総数,（６）幸福実現党得票総数,（６）幸福実現党政党等の得票総数,（６）幸福実現党名簿登載者の得票総数,（７）自由民主党得票総数,（７）自由民主党政党等の得票総数,（７）自由民主党名簿登載者の得票総数,（８）新党改革得票総数,（８）新党改革政党等の得票総数,（８）新党改革名簿登載者の得票総数,（９）日本のこころを大切にする党得票総数,（９）日本のこころを大切にする党政党等の得票総数,（９）日本のこころを大切にする党名簿登載者の得票総数,（１０）生活の党と山本太郎となかまたち得票総数,（１０）生活の党と山本太郎となかまたち政党等の得票総数,（１０）生活の党と山本太郎となかまたち名簿登載者の得票総数,（１１）民進党得票総数,（１１）民進党政党等の得票総数,（１１）民進党名簿登載者の得票総数,（１２）支持政党なし得票総数,（１２）支持政党なし政党等の得票総数,（１２）支持政党なし名簿登載者の得票総数
中野区,151382.992,119615.000,31767.992,4389.000,2984.000,1405.000,2616.495,1882.000,734.495,10765.164,9564.000,1201.164,14904.514,7709.000,7195.514,22864.478,21757.000,1107.478,485.000,400.000,85.000,50050.556,39208.000,10842.556,3167.422,1005.000,2162.422,2658.700,2196.000,462.700,5489.000,4852.000,637.000,31455.663,25635.000,5820.663,2537.000,2423.000,114.000
杉並区,275304.985,207541.000,67763.985,9794.869,6594.000,3200.869,6736.737,4310.000,2426.737,19888.690,17653.000,2235.690,19705.798,10040.000,9665.798,40188.774,38464.000,1724.774,803.000,674.000,129.000,96023.791,64210.000,31813.791,5838.785,1904.000,3934.785,4729.000,3859.000,870.000,11153.000,9927.000,1226.000,56072.541,45712.000,10360.541,4370.000,4194.000,176.000
豊島区,125091.986,96872.000,28219.986,3735.000,2633.000,1102.000,2390.360,1710.000,680.360,9351.053,8214.000,1137.053,12780.658,6301.000,6479.658,18400.056,17394.000,1006.056,505.000,377.000,128.000,43750.452,33254.000,10496.452,2586.954,743.000,1843.954,2297.462,1902.000,395.462,4159.000,3518.000,641.000,23105.991,18897.000,4208.991,2030.000,1929.000,101.000
北区,164761.980,123018.000,41743.980,4995.129,3350.000,1645.129,2271.226,1693.000,578.226,10946.653,9396.000,1550.653,23700.019,11267.000,12433.019,27921.762,26253.000,1668.762,587.999,464.000,123.999,52570.869,40439.000,12131.869,3036.746,920.000,2116.746,2511.000,2068.000,443.000,6917.000,3727.000,3190.000,27061.577,21362.000,5699.577,2242.000,2079.000,163.000
荒川区,92258.982,72876.000,19382.982,2081.795,1539.000,542.795,1098.432,822.000,276.432,6966.412,6151.000,815.412,12616.380,6472.000,6144.380,14635.802,13971.000,664.802,377.000,311.000,66.000,32236.528,25944.000,6292.528,1622.190,569.000,1053.190,1472.558,1226.000,246.558,2587.000,2209.000,378.000,15172.885,12318.000,2854.885,1392.000,1344.000,48.000
板橋区,252343.979,191506.000,60837.979,7124.859,5109.000,2015.859,3526.680,2615.000,911.680,18195.502,15869.000,2326.502,32697.174,15681.000,17016.174,39497.341,37150.000,2347.341,897.000,722.000,175.000,84650.692,64634.000,20016.692,4651.730,1494.000,3157.730,3919.000,3202.000,717.000,7280.000,6155.000,1125.000,46059.001,35227.000,10832.001,3845.000,3648.000,197.000
練馬区,339004.977,257422.000,81582.977,10364.492,7285.000,3079.492,6581.722,4825.000,1756.722,24341.860,21438.000,2903.860,37497.054,16536.000,20961.054,48020.277,45290.000,2730.277,1281.000,991.000,290.000,115013.400,86534.000,28479.400,6644.562,2082.000,4562.562,5504.416,4567.000,937.416,10411.000,9042.000,1369.000,68227.194,54058.000,14169.194,5118.000,4774.000,344.000
足立区,282444.973,212681.000,69763.973,5734.099,4238.000,1496.099,3012.387,2246.000,766.387,18633.242,16450.000,2183.242,48404.388,21890.000,26514.388,42358.361,39535.000,2823.361,1059.999,847.000,212.999,96586.429,75996.000,20590.429,4320.960,1487.000,2833.960,4071.000,3412.000,659.000,8384.000,6305.000,2079.000,46183.294,36759.000,9424.294,3696.814,3516.000,180.814
葛飾区,197835.981,149742.000,48093.981,4360.858,3223.000,1137.858,2429.857,1814.000,615.857,13850.283,12012.000,1838.283,29380.724,14145.000,15235.724,28945.485,27055.000,1890.485,729.000,569.000,160.000,70821.671,54232.000,16589.671,3345.871,1172.000,2173.871,3049.467,2611.000,438.467,5020.000,4246.000,774.000,33152.765,26058.000,7094.765,2750.000,2605.000,145.000
江戸川区,282234.974,201572.000,80662.974,5783.650,4217.000,1566.650,3632.656,2619.000,1013.656,21693.916,18364.000,3329.916,45416.393,18137.000,27279.393,35506.621,32846.000,2660.621,1371.999,994.000,377.999,100812.540,72830.000,27982.540,4814.243,1641.000,3173.243,4401.959,3692.000,709.959,7314.000,6102.000,1212.000,47140.997,36121.000,11019.997,4346.000,4009.000,337.000
☆市部計,1951190.754,1513976.000,437214.754,60837.614,44934.000,15903.614,29668.514,21791.000,7877.514,131822.769,117095.000,14727.769,231311.39,115025.000,116286.39,281813.782,266439.000,15374.782,6923.000,5474.000,1449.000,633583.219,493264.000,140319.219,30844.58,11045.000,19799.580,29995.508,25492.000,4503.508,53938.000,47342.000,6596.000,432765.378,339847.000,92918.378,27687.000,26228.000,1459.000
八王子市,255309.977,190156.000,65153.977,7550.802,5578.000,1972.802,3440.035,2542.000,898.035,16041.484,14012.000,2029.484,41646.975,18831.000,22815.975,35049.650,33238.000,1811.650,916.000,740.000,176.000,79424.130,61008.000,18416.130,3646.179,1308.000,2338.179,3579.932,3056.000,523.932,6130.000,5378.000,752.000,54648.790,41422.000,13226.790,3236.000,3043.000,193.000
立川市,81511.986,63076.000,18435.986,2102.000,1582.000,520.000,1009.735,745.000,264.735,4924.748,4356.000,568.748,10943.674,6049.000,4894.674,12021.016,11303.000,718.016,266.000,215.000,51.000,27055.434,20872.000,6183.434,1232.300,416.000,816.300,1142.439,973.000,169.439,2186.000,1925.000,261.000,17490.640,13583.000,3907.640,1138.000,1057.000,81.000
武蔵野市,74077.993,57385.000,16692.993,2621.000,1802.000,819.000,1621.000,1168.000,453.000,5178.674,4490.000,688.674,4566.316,2163.000,2403.316,9765.999,9243.000,522.999,221.000,162.000,59.000,24711.736,18764.000,5947.736,1486.281,500.000,986.281,1302.000,1077.000,225.000,2565.000,2200.000,365.000,18942.987,14768.000,4174.987,1096.000,1048.000,48.000
三鷹市,90343.992,71258.000,19085.992,3079.000,2179.000,900.000,1715.188,1264.000,451.188,6532.139,5804.000,728.139,7814.529,3857.000,3957.529,13263.507,12585.000,678.507,268.000,215.000,53.000,29353.449,22360.000,6993.449,1669.348,588.000,1081.348,1445.438,1213.000,232.438,3206.000,2808.000,398.000,20601.394,17079.000,3522.394,1396.000,1306.000,90.000
青梅市,61104.989,44867.000,16237.989,1535.000,1175.000,360.000,722.495,508.000,214.495,3445.990,3019.000,426.990,8304.631,4208.000,4096.631,8164.371,7537.000,627.371,265.000,199.000,66.000,21573.190,15735.000,5838.190,887.299,335.000,552.299,944.000,809.000,135.000,1442.000,1232.000,210.000,13082.013,9428.000,3654.013,739.000,682.000,57.000
府中市,117788.986,93764.000,24024.986,3645.948,2800.000,845.948,1731.137,1296.000,435.137,8455.406,7734.000,721.406,12523.92,6187.000,6336.920,15718.518,15091.000,627.518,438.000,357.000,81.000,39736.642,32415.000,7321.642,1841.562,658.000,1183.562,1835.000,1568.000,267.000,3125.000,2753.000,372.000,26656.853,20903.000,5753.853,2081.000,2002.000,79.000
昭島市,51367.992,39690.000,11677.992,1517.000,1147.000,370.000,564.726,422.000,142.726,2973.438,2634.000,339.438,7704.633,4505.000,3199.633,6872.005,6463.000,409.005,215.000,167.000,48.000,16998.644,13327.000,3671.644,711.315,239.000,472.315,723.000,626.000,97.000,1153.000,1006.000,147.000,11214.231,8470.000,2744.231,721.000,684.000,37.000
調布市,109174.988,87741.000,21433.988,3815.919,2904.000,911.919,1825.623,1341.000,484.623,8389.657,7574.000,815.657,9956.782,4942.000,5014.782,15588.189,14898.000,690.189,348.000,308.000,40.000,36494.585,29356.000,7138.585,2071.880,681.000,1390.880,1851.000,1553.000,298.000,3369.000,3029.000,340.000,23716.353,19488.000,4228.353,1748.000,1667.000,81.000
町田市,202061.98,155502.000,46559.980,6053.152,4426.000,1627.152,3462.920,2470.000,992.920,15765.023,13633.000,2132.023,22064.202,11523.000,10541.202,27388.013,25543.000,1845.013,670.000,470.000,200.000,67811.240,51113.000,16698.240,2998.932,1107.000,1891.932,3300.818,2782.000,518.818,5784.000,4971.000,813.000,43994.680,34904.000,9090.680,2769.000,2560.000,209.000
小金井市,58188.994,46146.000,12042.994,2190.292,1543.000,647.292,1034.000,761.000,273.000,4012.000,3573.000,439.000,4301.067,2235.000,2066.067,8151.439,7740.000,411.439,206.000,166.000,40.000,19116.906,15200.000,3916.906,1194.336,389.000,805.336,887.463,738.000,149.463,1830.000,1635.000,195.000,14366.491,11314.000,3052.491,899.000,852.000,47.000
小平市,91050.988,70176.000,20874.988,2907.094,2190.000,717.094,1439.945,1067.000,372.945,5861.900,5228.000,633.900,11892.691,5577.000,6315.691,13103.041,12449.000,654.041,350.000,257.000,93.000,28208.224,21982.000,6226.224,1451.096,507.000,944.096,1383.000,1180.000,203.000,2576.000,2280.000,296.000,20750.997,16382.000,4368.997,1127.000,1077.000,50.000
日野市,87868.991,68346.000,19522.991,2943.842,2138.000,805.842,1244.367,873.000,371.367,5854.280,5161.000,693.280,8601.188,4611.000,3990.188,13245.107,12456.000,789.107,424.000,328.000,96.000,28862.295,22398.000,6464.295,1438.477,531.000,907.477,1298.000,1072.000,226.000,2202.000,1915.000,287.000,20659.435,15828.000,4831.435,1096.000,1035.000,61.000
東村山市,72118.993,55883.000,16235.993,1993.000,1454.000,539.000,1045.531,775.000,270.531,4572.815,4068.000,504.815,9805.921,4635.000,5170.921,11813.250,11074.000,739.250,271.000,222.000,49.000,22492.009,17589.000,4903.009,1071.013,400.000,671.013,1098.000,937.000,161.000,1921.000,1678.000,243.000,14894.454,11979.000,2915.454,1141.000,1072.000,69.000
国分寺市,61364.993,47770.000,13594.993,2224.878,1575.000,649.878,1134.060,845.000,289.060,4080.344,3691.000,389.344,5471.000,2658.000,2813.000,9019.060,8567.000,452.060,172.000,138.000,34.000,20169.615,15595.000,4574.615,1101.077,359.000,742.077,933.000,789.000,144.000,1812.000,1618.000,194.000,14412.959,11132.000,3280.959,835.000,803.000,32.000
国立市,38335.995,29967.000,8368.995,1661.000,1159.000,502.000,674.000,489.000,185.000,2639.289,2345.000,294.289,3473.205,1807.000,1666.205,6080.019,5737.000,343.019,99.000,81.000,18.000,12073.033,9306.000,2767.033,618.449,216.000,402.449,616.000,518.000,98.000,1347.000,1201.000,146.000,8451.000,6524.000,1927.000,604.000,584.000,20.000
福生市,25032.993,18379.000,6653.993,617.785,461.000,156.785,289.784,222.000,67.784,1569.470,1384.000,185.470,4019.375,1788.000,2231.375,3144.074,2942.000,202.074,96.000,69.000,27.000,8630.410,6537.000,2093.410,372.796,138.000,234.796,389.000,333.000,56.000,764.000,646.000,118.000,4775.299,3513.000,1262.299,365.000,346.000,19.000
狛江市,38693.989,30056.000,8637.989,1405.000,990.000,415.000,653.590,453.000,200.590,2699.351,2392.000,307.351,3603.832,1592.000,2011.832,6356.003,5972.000,384.003,126.000,97.000,29.000,12484.095,9715.000,2769.095,657.057,253.000,404.057,621.482,531.000,90.482,1318.000,1148.000,170.000,8202.579,6370.000,1832.579,567.000,543.000,24.000
東大和市,40466.994,31437.000,9029.994,1030.000,807.000,223.000,488.368,363.000,125.368,2429.232,2181.000,248.232,6682.612,3159.000,3523.612,6248.999,5960.000,288.999,131.000,114.000,17.000,12257.128,9876.000,2381.128,543.088,201.000,342.088,602.000,523.000,79.000,966.000,838.000,128.000,8513.567,6866.000,1647.567,575.000,549.000,26.000
清瀬市,35986.996,28867.000,7119.996,1028.000,778.000,250.000,526.302,401.000,125.302,2132.061,1947.000,185.061,4508.000,2284.000,2224.000,6866.031,6438.000,428.031,170.000,127.000,43.000,11000.999,8776.000,2224.999,505.906,185.000,320.906,485.000,429.000,56.000,836.000,733.000,103.000,7444.697,6304.000,1140.697,484.000,465.000,19.000
東久留米市,56068.987,43334.000,12734.987,1964.206,1400.000,564.206,840.051,622.000,218.051,3511.676,3117.000,394.676,7217.156,3593.000,3624.156,9655.227,9030.000,625.227,222.000,174.000,48.000,17329.538,12973.000,4356.538,826.576,304.000,522.576,834.387,688.000,146.387,1426.000,1235.000,191.000,11609.17,9617.000,1992.170,633.000,581.000,52.000
武蔵村山市,29383.988,21983.000,7400.988,580.642,436.000,144.642,250.780,187.000,63.780,1505.246,1334.000,171.246,6135.029,3048.000,3087.029,4515.432,4224.000,291.432,101.000,77.000,24.000,9117.183,7022.000,2095.183,294.347,142.000,152.347,425.000,377.000,48.000,588.000,507.000,81.000,5489.329,4275.000,1214.329,382.000,354.000,28.000
多摩市,73924.991,60301.000,13623.991,2728.054,2103.000,625.054,1178.546,902.000,276.546,5550.590,4973.000,577.590,7494.256,3898.000,3596.256,11913.082,11342.000,571.082,222.000,181.000,41.000,22628.482,18547.000,4081.482,1135.571,417.000,718.571,1266.000,1088.000,178.000,2025.000,1826.000,199.000,16686.41,13956.000,2730.410,1097.000,1068.000,29.000
稲城市,41638.996,33657.000,7981.996,1160.000,876.000,284.000,628.000,478.000,150.000,3302.000,3017.000,285.000,4279.288,2233.000,2046.288,5717.999,5475.000,242.999,131.000,104.000,27.000,14125.710,11457.000,2668.710,651.000,259.000,392.000,638.549,553.000,85.549,1146.000,1015.000,131.000,9137.450,7492.000,1645.450,722.000,698.000,24.000
羽村市,25256.995,19844.000,5412.995,623.000,505.000,118.000,279.000,212.000,67.000,1535.139,1391.000,144.139,3459.031,1871.000,1588.031,3472.999,3334.000,138.999,84.000,73.000,11.000,8407.826,6811.000,1596.826,337.000,128.000,209.000,417.000,363.000,54.000,586.000,525.000,61.000,5709.000,4291.000,1418.000,347.000,340.000,7.000
あきる野市,36202.996,28229.000,7973.996,913.000,746.000,167.000,351.312,271.000,80.312,1994.434,1834.000,160.434,4879.666,2559.000,2320.666,4989.000,4723.000,266.000,140.000,116.000,24.000,12267.232,10097.000,2170.232,405.665,189.000,216.665,488.000,440.000,48.000,809.000,729.000,80.000,8539.687,6116.000,2423.687,426.000,409.000,17.000
西東京市,96860.992,76162.000,20698.992,2948.000,2180.000,768.000,1518.019,1114.000,404.019,6866.383,6203.000,663.383,9962.411,5212.000,4750.411,13691.752,13075.000,616.752,371.000,317.000,54.000,31253.484,24433.000,6820.484,1696.03,595.000,1101.030,1490.000,1276.000,214.000,2826.000,2511.000,315.000,22774.913,17843.000,4931.913,1463.000,1403.000,60.000
☆西多摩郡計,25727.989,19719.000,6008.989,511.000,412.000,99.000,227.163,159.000,68.163,1338.121,1199.000,139.121,4081.046,2300.000,1781.046,3010.166,2857.000,153.166,108.000,91.000,17.000,9609.554,7834.000,1775.554,255.144,109.000,146.144,242.000,213.000,29.000,533.000,465.000,68.000,5526.795,3801.000,1725.795,286.000,279.000,7.000
瑞穂町,13562.994,10623.000,2939.994,270.000,212.000,58.000,125.418,94.000,31.418,784.121,698.000,86.121,2361.046,1379.000,982.046,1560.000,1506.000,54.000,58.000,47.000,11.000,5008.127,4078.000,930.127,139.701,62.000,77.701,129.000,118.000,11.000,268.000,240.000,28.000,2696.581,2030.000,666.581,163.000,159.000,4.000
日の出町,8067.997,6178.000,1889.997,170.000,140.000,30.000,79.745,52.000,27.745,411.000,371.000,40.000,1129.000,554.000,575.000,1034.166,963.000,71.166,31.000,25.000,6.000,3037.428,2477.000,560.428,79.443,39.000,40.443,95.000,80.000,15.000,184.000,154.000,30.000,1733.215,1240.000,493.215,84.000,83.000,1.000
檜原村,1386.999,708.000,678.999,24.000,19.000,5.000,6.000,5.000,1.000,39.000,33.000,6.000,208.000,112.000,96.000,80.000,69.000,11.000,2.000,2.000,0.000,411.000,306.000,105.000,9.000,2.000,7.000,6.000,4.000,2.000,19.000,17.000,2.000,576.999,133.000,443.999,6.000,6.000,0.000
奥多摩町,2709.999,2210.000,499.999,47.000,41.000,6.000,16.000,8.000,8.000,104.000,97.000,7.000,383.000,255.000,128.000,336.000,319.000,17.000,17.000,17.000,0.000,1152.999,973.000,179.999,27.000,6.000,21.000,12.000,11.000,1.000,62.000,54.000,8.000,520.000,398.000,122.000,33.000,31.000,2.000
☆島部計,13128.997,10798.000,2330.997,276.000,220.000,56.000,119.000,91.000,28.000,542.000,492.000,50.000,2142.284,1582.000,560.284,1564.000,1449.000,115.000,59.000,45.000,14.000,5403.713,4481.000,922.713,127.000,82.000,45.000,154.000,138.000,16.000,434.000,398.000,36.000,2158.000,1674.000,484.000,150.000,146.000,4.000
大島支庁小計,6475.000,5449.000,1026.000,119.000,96.000,23.000,46.000,34.000,12.000,240.000,215.000,25.000,961.000,748.000,213.000,863.000,785.000,78.000,23.000,18.000,5.000,2917.000,2475.000,442.000,61.000,36.000,25.000,72.000,64.000,8.000,140.000,124.000,16.000,966.000,787.000,179.000,67.000,67.000,0.000
大島町,3907.000,3217.000,690.000,85.000,64.000,21.000,32.000,22.000,10.000,145.000,123.000,22.000,643.000,466.000,177.000,690.000,624.000,66.000,14.000,9.000,5.000,1550.000,1320.000,230.000,40.000,19.000,21.000,46.000,40.000,6.000,90.000,76.000,14.000,535.000,417.000,118.000,37.000,37.000,0.000
利島村,202.000,123.000,79.000,3.000,3.000,0.000,2.000,2.000,0.000,5.000,5.000,0.000,24.000,13.000,11.000,16.000,10.000,6.000,0.000,0.000,0.000,129.000,69.000,60.000,2.000,2.000,0.000,1.000,1.000,0.000,5.000,3.000,2.000,14.000,14.000,0.000,1.000,1.000,0.000
新島村,1426.000,1240.000,186.000,19.000,17.000,2.000,6.000,5.000,1.000,55.000,52.000,3.000,120.000,98.000,22.000,115.000,109.000,6.000,6.000,6.000,0.000,756.000,657.000,99.000,12.000,9.000,3.000,15.000,13.000,2.000,28.000,28.000,0.000,283.000,235.000,48.000,11.000,11.000,0.000
神津島村,940.000,869.000,71.000,12.000,12.000,0.000,6.000,5.000,1.000,35.000,35.000,0.000,174.000,171.000,3.000,42.000,42.000,0.000,3.000,3.000,0.000,482.000,429.000,53.000,7.000,6.000,1.000,10.000,10.000,0.000,17.000,17.000,0.000,134.000,121.000,13.000,18.000,18.000,0.000
三宅支庁小計,1434.000,1200.000,234.000,33.000,26.000,7.000,13.000,11.000,2.000,49.000,45.000,4.000,187.000,153.000,34.000,183.000,171.000,12.000,2.000,2.000,0.000,617.000,509.000,108.000,16.000,9.000,7.000,17.000,16.000,1.000,42.000,39.000,3.000,259.000,203.000,56.000,16.000,16.000,0.000
三宅村,1247.000,1047.000,200.000,26.000,22.000,4.000,12.000,10.000,2.000,42.000,39.000,3.000,176.000,144.000,32.000,155.000,143.000,12.000,1.000,1.000,0.000,540.000,453.000,87.000,12.000,6.000,6.000,15.000,15.000,0.000,35.000,32.000,3.000,219.000,168.000,51.000,14.000,14.000,0.000
御蔵島村,187.000,153.000,34.000,7.000,4.000,3.000,1.000,1.000,0.000,7.000,6.000,1.000,11.000,9.000,2.000,28.000,28.000,0.000,1.000,1.000,0.000,77.000,56.000,21.000,4.000,3.000,1.000,2.000,1.000,1.000,7.000,7.000,0.000,40.000,35.000,5.000,2.000,2.000,0.000
八丈支庁小計,4036.997,3164.000,872.997,95.000,76.000,19.000,42.000,32.000,10.000,160.000,150.000,10.000,882.284,610.000,272.284,364.000,346.000,18.000,20.000,15.000,5.000,1455.713,1154.000,301.713,39.000,30.000,9.000,45.000,39.000,6.000,137.000,130.000,7.000,757.000,543.000,214.000,40.000,39.000,1.000
八丈町,3943.997,3088.000,855.997,93.000,74.000,19.000,41.000,31.000,10.000,150.000,142.000,8.000,871.284,600.000,271.284,357.000,340.000,17.000,19.000,14.000,5.000,1412.713,1123.000,289.713,38.000,29.000,9.000,43.000,37.000,6.000,135.000,128.000,7.000,744.000,531.000,213.000,40.000,39.000,1.000
