届出番号,政党等の名称,整理番号,名簿登録者名,得票数
7,自由民主党,7,伊藤　ようすけ,6624.656
7,自由民主党,8,今井　絵理子,51474.586
7,自由民主党,9,うと　たかし,12923.456
7,自由民主党,10,大江　やすひろ,2841.000
7,自由民主党,11,小川　かつみ,9645.051
7,自由民主党,12,片山　さつき,83411.862
7,自由民主党,13,進藤　かねひこ,3057.000
7,自由民主党,14,自見　はなこ,21449.000
7,自由民主党,15,そのだ　修光,1891.000
7,自由民主党,16,たかがい　恵美子,6471.000
7,自由民主党,17,とくしげ　雅之,15659.000
7,自由民主党,18,藤井　もとゆき,11605.000
7,自由民主党,19,藤木　しんや,6506.000
7,自由民主党,20,堀内　恒夫,19347.000
7,自由民主党,21,増山　としかず,4196.817
7,自由民主党,22,水おち　敏栄,3757.000
7,自由民主党,23,宮島　よしふみ,10707.000
7,自由民主党,24,山谷　えり子,40221.337
7,自由民主党,25,山田　宏,41555.244
7,自由民主党,,合計,504551.112
8,新党改革,1,あらい　広幸,5981.779
8,新党改革,2,平山　まこと,332.016
8,新党改革,3,朝倉　秀雄,110.552
8,新党改革,4,伊藤　じゅんこ,399.380
8,新党改革,5,おおさか　佳巨,222.000
8,新党改革,6,たなか　だいすけ,332.176
8,新党改革,7,福田　こうぞう,137.041
8,新党改革,8,藤岡　かよこ,173.000
8,新党改革,9,山田　太郎,62360.977
8,新党改革,,合計,70048.921
9,日本のこころを大切にする党,1,中山　なりあき,8273.000
9,日本のこころを大切にする党,2,西村　真悟,4331.085
9,日本のこころを大切にする党,3,ボギーてどこん,1774.000
9,日本のこころを大切にする党,4,やすえ　くにお,1430.000
9,日本のこころを大切にする党,5,矢作　直樹,1411.000
9,日本のこころを大切にする党,,合計,17219.085
10,生活の党と山本太郎となかまたち,1,青木　愛,23017.000
10,生活の党と山本太郎となかまたち,2,北出　みか,1263.000
10,生活の党と山本太郎となかまたち,3,すえつぐ　精一,903.000
10,生活の党と山本太郎となかまたち,4,姫井　由美子,2501.000
10,生活の党と山本太郎となかまたち,5,日吉　雄太,1489.000
10,生活の党と山本太郎となかまたち,,合計,29173.000
11,民進党,1,有田　芳生,38368.000
11,民進党,2,石橋　みちひろ,14065.000
11,民進党,3,えさき　たかし,6016.573
11,民進党,4,大河原　まさこ,36135.000
11,民進党,5,小野　次郎,6844.000
11,民進党,6,かまたに　一也,753.000
11,民進党,7,かわい　たかのり,13023.000
11,民進党,8,小林　正夫,17713.539
11,民進党,9,しばた　巧,2916.000
11,民進党,10,たしろ　かおる,11404.000
11,民進党,11,田中　なおき,6436.790
11,民進党,12,とどろき　利治,3319.000
11,民進党,13,なたにや　正義,2129.389
11,民進党,14,なんば　奨二,10106.000
11,民進党,15,西村　まさみ,5359.897
11,民進党,16,白　しんくん,34222.000
11,民進党,17,はまぐち　誠,7584.983
11,民進党,18,藤川　しんいち,3474.131
11,民進党,19,ふじすえ　健三,3671.000
11,民進党,20,前田　たけし,1828.000
11,民進党,21,もりや　たかし,12038.870
11,民進党,22,矢田　わか子,14481.000
11,民進党,,合計,251889.172
12,支持政党なし,1,佐野　秀光,2944.000
12,支持政党なし,2,本藤　昭子,2081.623
12,支持政党なし,,合計,5025.623
