開票区名,選挙当日有権者数男,選挙当日有権者数女,選挙当日有権者数計,投票者数男,投票者数女,投票者数計,棄権者数男,棄権者数女,棄権者数計,投票率男,投票率女,投票率平均,投票率順位,前回投票率男,前回投票率女,前回投票率平均
渋谷区,86428,96518,182946,46392,50421,96813,40036,46097,86133,53.68,52.24,52.92,54,61.09,60.21,60.63
中野区,135226,133920,269146,71662,71643,143305,63564,62277,125841,52.99,53.50,53.24,49,60.66,62.10,61.38
杉並区,221036,243848,464884,122680,131225,253905,98356,112623,210979,55.50,53.81,54.62,41,64.21,63.70,63.94
豊島区,112863,111152,224015,59532,59055,118587,53331,52097,105428,52.75,53.13,52.94,53,59.53,60.62,60.07
北区,138013,141032,279045,80422,81876,162298,57591,59156,116747,58.27,58.05,58.16,17,64.43,65.53,64.98
荒川区,81135,81940,163075,43901,43716,87617,37234,38224,75458,54.11,53.35,53.73,46,59.84,59.26,59.55
板橋区,220509,226046,446555,118221,120819,239040,102288,105227,207515,53.61,53.45,53.53,47,60.03,60.31,60.17
練馬区計,283619,299947,583566,157424,162078,319502,126195,137869,264064,55.51,54.04,54.75,-,63.59,63.27,63.43
練馬９区,219167,232925,452092,121449,126255,247704,97718,106670,204388,55.41,54.20,54.79,40,63.62,63.32,63.47
練馬１０区,64452,67022,131474,35975,35823,71798,28477,31199,59676,55.82,53.45,54.61,42,63.51,63.10,63.30
足立区計,271667,269508,541175,136027,135575,271602,135640,133933,269573,50.07,50.30,50.19,-,57.08,57.91,57.49
足立１２区,59857,59303,119160,30093,30692,60785,29764,28611,58375,50.27,51.75,51.01,63,57.28,59.20,58.24
足立１３区,211810,210205,422015,105934,104883,210817,105876,105322,211198,50.01,49.90,49.95,64,57.02,57.54,57.28
葛飾区,181694,182365,364059,93768,93990,187758,87926,88375,176301,51.61,51.54,51.57,60,58.60,59.22,58.91
江戸川区計,270094,262845,532939,133593,129597,263190,136501,133248,269749,49.46,49.31,49.38,-,57.32,58.21,57.76
江戸川１６区,231230,223988,455218,113463,109755,223218,117767,114233,232000,49.07,49.00,49.04,65,57.02,58.04,57.52
江戸川１７区,38864,38857,77721,20130,19842,39972,18734,19015,37749,51.80,51.06,51.43,61,59.06,59.22,59.14
☆市部計,1645417,1694200,3339617,925851,932353,1858204,719566,761847,1481413,56.27,55.03,55.64,-,63.59,63.40,63.50
八王子市,227632,228425,456057,127036,125562,252598,100596,102863,203459,55.81,54.97,55.39,35,62.23,62.21,62.22
立川市,72445,73288,145733,39039,38415,77454,33406,34873,68279,53.89,52.42,53.15,51,61.68,60.86,61.27
武蔵野市,56258,62595,118853,34242,36695,70937,22016,25900,47916,60.87,58.62,59.68,12,67.46,66.77,67.10
三鷹市,72540,76492,149032,41770,42662,84432,30770,33830,64600,57.58,55.77,56.65,24,64.67,63.75,64.20
青梅市,56158,56362,112520,30171,29337,59508,25987,27025,53012,53.73,52.05,52.89,55,60.35,59.48,59.92
府中市,103596,101323,204919,58019,56585,114604,45577,44738,90315,56.01,55.85,55.93,29,63.38,64.11,63.74
昭島市,45587,45855,91442,24601,24248,48849,20986,21607,42593,53.96,52.88,53.42,48,59.79,59.23,59.51
調布市,89727,94181,183908,50262,51318,101580,39465,42863,82328,56.02,54.49,55.23,38,64.36,64.41,64.39
町田市,167798,176564,344362,94874,96647,191521,72924,79917,152841,56.54,54.74,55.62,32,64.11,63.63,63.87
小金井市,47488,49044,96532,27787,27982,55769,19701,21062,40763,58.51,57.05,57.77,19,65.38,64.95,65.16
小平市,73274,76547,149821,42218,43152,85370,31056,33395,64451,57.62,56.37,56.98,22,64.62,64.88,64.75
日野市,73484,72930,146414,41568,40295,81863,31916,32635,64551,56.57,55.25,55.91,30,64.65,64.32,64.48
東村山市,60167,63319,123486,33680,34833,68513,26487,28486,54973,55.98,55.01,55.48,33,63.73,63.74,63.74
国分寺市,48209,50024,98233,28936,29251,58187,19273,20773,40046,60.02,58.47,59.23,14,66.82,66.19,66.50
国立市,29775,31257,61032,17822,18295,36117,11953,12962,24915,59.86,58.53,59.18,15,67.51,67.17,67.34
福生市,23564,23522,47086,12354,12032,24386,11210,11490,22700,52.43,51.15,51.79,58,60.30,59.55,59.93
狛江市,31800,34033,65833,18314,19060,37374,13486,14973,28459,57.59,56.00,56.77,23,64.05,63.76,63.90
東大和市,34203,35219,69422,18752,19127,37879,15451,16092,31543,54.83,54.31,54.56,43,63.09,63.68,63.39
清瀬市,28897,31506,60403,16553,17495,34048,12344,14011,26355,57.28,55.53,56.37,26,64.66,63.97,64.30
東久留米市,46278,48676,94954,25748,26576,52324,20530,22100,42630,55.64,54.60,55.10,39,64.16,64.35,64.26
武蔵村山市,28414,28270,56684,13873,13912,27785,14541,14358,28899,48.82,49.21,49.02,66,57.53,59.35,58.44
多摩市,59689,62348,122037,34584,35266,69850,25105,27082,52187,57.94,56.56,57.24,20,65.64,65.51,65.57
稲城市,34250,33746,67996,19539,18828,38367,14711,14918,29629,57.05,55.79,56.43,25,65.70,65.48,65.59
羽村市,23009,22167,45176,11925,11309,23234,11084,10858,21942,51.83,51.02,51.43,61,59.77,60.12,59.94
あきる野市,32750,33233,65983,17679,17430,35109,15071,15803,30874,53.98,52.45,53.21,50,60.72,59.02,59.87
西東京市,78425,83274,161699,44505,46041,90546,33920,37233,71153,56.75,55.29,56.00,28,64.22,63.90,64.06
☆西多摩郡計,24046,24066,48112,12763,12544,25307,11283,11522,22805,53.08,52.12,52.60,-,60.26,59.72,59.99
瑞穂町,13773,13410,27183,6616,6460,13076,7157,6950,14107,48.04,48.17,48.10,67,55.42,56.14,55.77
日の出町,6761,7065,13826,3945,3961,7906,2816,3104,5920,58.35,56.07,57.18,21,65.97,63.18,64.55
檜原村,1070,1060,2130,716,649,1365,354,411,765,66.92,61.23,64.08,4,70.92,67.29,69.12
奥多摩町,2442,2531,4973,1486,1474,2960,956,1057,2013,60.85,58.24,59.52,13,66.45,65.22,65.82
☆島部計,11474,11148,22622,7221,6924,14145,4253,4224,8477,62.93,62.11,62.53,-,68.68,67.77,68.23
大島支庁,5498,5658,11156,3503,3511,7014,1995,2147,4142,63.71,62.05,62.87,-,70.32,67.96,69.11
大島町,3375,3462,6837,2104,2154,4258,1271,1308,2579,62.34,62.22,62.28,7,68.49,66.86,67.66
利島村,134,121,255,123,106,229,11,15,26,91.79,87.60,89.80,1,89.93,88.71,89.35
新島村,1186,1301,2487,784,788,1572,402,513,915,66.10,60.57,63.21,5,72.35,68.29,70.23
神津島村,803,774,1577,492,463,955,311,311,622,61.27,59.82,60.56,10,71.65,69.12,70.39
三宅支庁,1419,1203,2622,872,732,1604,547,471,1018,61.45,60.85,61.17,-,65.91,66.91,66.37
三宅村,1292,1091,2383,770,640,1410,522,451,973,59.60,58.66,59.17,16,64.45,64.79,64.60
御蔵島村,127,112,239,102,92,194,25,20,45,80.31,82.14,81.17,2,80.77,86.67,83.60
八丈支庁,3416,3409,6825,2125,2147,4272,1291,1262,2553,62.21,62.98,62.59,-,67.73,67.92,67.83
八丈町,3331,3351,6682,2062,2105,4167,1269,1246,2515,61.90,62.82,62.36,6,67.29,67.71,67.50
青ヶ島村,85,58,143,63,42,105,22,16,38,74.12,72.41,73.43,3,85.88,80.00,83.45
小笠原支庁,1141,878,2019,721,534,1255,420,344,764,63.19,60.82,62.16,-,67.13,67.16,67.14
小笠原村,1141,878,2019,721,534,1255,420,344,764,63.19,60.82,62.16,8,67.13,67.16,67.14
