開票区名,区分,１／高橋　しょうご／無所属,２／谷山　ゆうじろう／無所属,３／桜井　誠／無所属,４／鳥越　俊太郎／無所属,５／増田　ひろや／無所属,６／マック赤坂／無所属,７／山口　敏夫／国民主権の会,８／やまなか　まさあき／未来（みらい）創造経営実践党,９／後藤　輝樹／無所属,１０／岸本　雅吉／無所属,１１／小池　ゆりこ／無所属,１２／上杉　隆／無所属,１３／七海　ひろこ／幸福実現党,１４／中川　ちょうぞう／無所属,１５／せきくち　安弘／無所属,１６／立花　孝志／ＮＨＫから国民を守る党,１７／宮崎　正弘／無所属,１８／今尾　貞夫／無所属,１９／望月　義彦／無所属,２０／武井　直子／無所属,２１／ないとう　ひさお／無所属,定数１人合計,定数１人残票数,定数１人開票率,定数１人受信時刻,法定得票数,供託物没収点
品川区,確,467.000,363.000,3497.000,35498.000,50475.000,1695.000,508.000,70.000,176.000,299.000,87115.000,5572.868,1043.000,557.000,22.000,845.131,152.000,45.000,109.000,101.000,84.000,188693.000,0,100.00,00:06,-,-
目黒区,確,311.000,231.000,2053.000,26989.000,35553.000,1156.000,434.000,44.000,112.000,240.000,61766.000,4945.000,528.000,322.000,15.000,444.000,51.000,85.000,48.000,71.000,27.000,135425.000,0,100.00,00:40,-,-
大田区,確,748.000,430.000,6603.000,66010.000,97580.000,2655.000,769.000,270.000,346.000,617.000,152594.000,9002.872,1645.000,997.000,86.000,1320.127,195.000,110.000,138.000,316.000,105.000,342536.999,0,100.00,00:49,-,-
世田谷区,確,1178.000,638.000,7020.000,94304.000,118394.000,4211.000,1231.000,191.000,429.000,721.000,200438.000,15885.000,1666.000,1183.000,67.000,1703.000,218.000,251.000,406.000,282.000,138.000,450554.000,0,100.00,00:37,-,-
渋谷区,確,263.000,152.000,1804.000,21983.000,26139.000,1175.000,267.000,41.000,122.000,152.000,48954.000,4126.000,369.000,264.000,12.000,411.000,52.000,62.000,53.000,76.000,29.000,106506.000,0,100.00,01:05,-,-
中野区,確,557.000,179.000,3417.000,33878.000,40664.000,1422.000,353.000,70.000,186.000,260.000,69090.000,5384.000,605.000,414.000,15.000,744.000,97.000,48.000,73.000,114.000,44.000,157614.000,0,100.00,23:57,-,-
杉並区,確,1025.000,293.000,5214.000,63298.000,73182.000,2636.000,692.000,137.000,501.000,360.000,122484.000,10108.000,1105.000,836.000,45.000,1276.000,225.000,123.000,147.000,263.000,104.000,284054.000,0,100.00,23:34,-,-
豊島区,確,385.000,115.000,2610.000,24819.000,28116.000,1087.000,270.000,56.000,149.000,192.000,71194.000,3595.872,530.000,323.000,17.000,527.127,69.000,86.000,53.000,87.000,88.000,134368.999,0,100.00,23:38,-,-
北区,確,475.000,157.000,3153.000,37507.000,46961.000,1383.000,393.000,100.000,163.000,201.000,74722.000,4506.000,781.000,412.000,99.000,714.000,56.000,69.000,78.000,98.000,103.000,172131.000,0,100.00,23:18,-,-
荒川区,確,272.000,66.000,1802.000,18668.000,27341.000,724.000,237.000,57.000,144.000,118.000,44480.000,2585.000,480.000,302.000,24.000,327.000,33.000,45.000,34.000,43.000,41.000,97823.000,0,100.00,00:16,-,-
板橋区,確,752.000,207.000,5115.000,54427.000,72153.000,2006.000,670.000,149.000,234.000,299.000,119106.000,6962.000,1305.000,644.000,60.000,1125.000,125.000,218.000,120.000,174.000,151.000,266002.000,0,100.00,23:19,-,-
練馬区,確,998.000,317.000,5908.000,72706.000,90505.000,2595.000,832.000,129.000,328.000,532.000,171226.000,9791.863,1426.000,879.000,54.000,1542.136,148.000,142.000,206.000,216.000,171.000,360651.999,0,100.00,23:59,-,-
足立区,確,637.000,175.000,5570.000,57456.000,87863.000,2011.000,781.000,148.000,305.000,260.000,137460.000,6782.000,1444.000,606.000,41.000,1340.000,135.000,115.000,96.000,246.000,120.000,303591.000,0,100.00,23:46,-,-
葛飾区,確,490.000,134.000,3984.000,39357.000,61001.000,1464.000,518.000,101.000,203.000,239.000,94019.000,5119.843,1030.000,620.000,44.000,952.156,114.000,80.000,65.000,134.000,68.000,209736.999,0,100.00,00:11,-,-
江戸川区,確,693.000,281.000,5783.000,50888.000,89454.000,2275.000,605.000,203.000,352.000,448.000,137502.000,6767.000,1601.000,729.000,64.000,1388.000,224.000,215.000,180.000,197.000,149.000,299998.000,0,100.00,23:54,-,-
☆市部計,確,5248.000,1778.000,32302.000,467157.000,581160.000,13607.000,5109.000,860.000,2172.000,1727.000,857742.000,48480.700,9085.000,4903.000,467.000,8678.298,1360.000,834.000,1094.000,1501.000,957.000,2046221.998,0,100.00,,-,-
八王子市,確,576.000,225.000,3979.000,60291.000,80671.000,1636.000,593.000,137.000,343.000,213.000,110481.000,5398.000,1201.000,611.000,84.000,1020.000,137.000,86.000,129.000,233.000,131.000,267175.000,0,100.00,23:21,-,-
立川市,確,192.000,68.000,1425.000,18540.000,25742.000,531.000,187.000,31.000,92.000,56.000,35520.000,1914.000,382.000,153.000,17.000,387.000,11.000,30.000,39.000,75.000,68.000,85562.000,0,100.00,23:16,-,-
武蔵野市,確,262.000,83.000,1277.000,18053.000,19710.000,593.000,182.000,24.000,72.000,73.000,32704.000,2235.000,263.000,201.000,8.000,366.000,32.000,34.000,43.000,61.000,24.000,76300.000,0,100.00,23:33,-,-
三鷹市,確,334.000,112.000,1602.000,22241.000,24698.000,789.000,240.000,40.000,102.000,89.000,39638.000,2778.000,387.000,247.000,17.000,377.000,39.000,39.000,34.000,121.000,43.000,93967.000,0,100.00,22:51,-,-
青梅市,確,128.000,76.000,888.000,13639.000,19685.000,386.000,148.000,34.000,75.000,44.000,28851.000,1247.000,398.000,158.000,65.000,242.000,56.000,33.000,45.000,72.000,52.000,66322.000,0,100.00,22:45,-,-
府中市,確,327.000,96.000,2277.000,27002.000,35747.000,828.000,204.000,44.000,118.000,91.000,53120.000,3382.000,562.000,318.000,15.000,621.000,48.000,35.000,71.000,90.000,59.000,125055.000,0,100.00,22:08,-,-
昭島市,確,124.000,30.000,822.000,11497.000,16189.000,293.000,127.000,20.000,62.000,42.000,22522.000,1193.000,270.000,113.000,31.000,209.000,26.000,5.000,20.000,36.000,39.000,53670.000,0,100.00,23:22,-,-
調布市,確,355.000,149.000,1971.000,24976.000,30748.000,909.000,394.000,44.000,155.000,108.000,50028.000,3329.000,509.000,323.000,11.000,518.000,85.000,35.000,85.000,84.000,71.000,114887.000,0,100.00,23:03,-,-
町田市,確,486.000,185.000,3451.000,47154.000,59283.000,1308.000,503.000,83.000,254.000,190.000,90993.000,4437.000,822.000,504.000,28.000,828.000,88.000,172.000,104.000,121.000,77.000,211071.000,0,100.00,00:11,-,-
小金井市,確,207.000,57.000,946.000,15090.000,16200.000,458.000,176.000,15.000,37.000,70.000,25106.000,1544.832,240.000,164.000,8.000,311.167,24.000,22.000,20.000,41.000,22.000,60758.999,0,100.00,23:05,-,-
小平市,確,275.000,76.000,1563.000,21758.000,27401.000,656.000,252.000,48.000,108.000,73.000,38274.000,2354.000,448.000,224.000,23.000,376.000,64.000,36.000,71.000,50.000,33.000,94163.000,0,100.00,23:51,-,-
日野市,確,252.000,70.000,1413.000,21613.000,25756.000,626.000,261.000,44.000,90.000,98.000,37623.000,2047.000,509.000,274.000,28.000,416.000,110.000,48.000,39.000,62.000,52.000,91431.000,0,100.00,23:25,-,-
東村山市,確,183.000,48.000,1157.000,18061.000,21681.000,463.000,209.000,25.000,75.000,81.000,30445.000,1709.000,328.000,199.000,25.000,382.000,45.000,22.000,45.000,76.000,30.000,75289.000,0,100.00,23:19,-,-
国分寺市,確,189.000,55.000,1072.000,14965.000,17656.000,481.000,169.000,30.000,101.000,58.000,25784.000,1689.000,236.000,155.000,13.000,296.000,34.000,39.000,35.000,38.000,43.000,63138.000,0,100.00,23:16,-,-
国立市,確,123.000,35.000,621.000,10219.000,10835.000,264.000,85.000,16.000,37.000,30.000,15690.000,1117.000,166.000,97.000,9.000,163.000,27.000,20.000,44.000,19.000,15.000,39632.000,0,100.00,23:15,-,-
福生市,確,71.000,23.000,465.000,5240.000,8134.000,176.000,70.000,9.000,20.000,24.000,11505.000,598.000,140.000,58.000,11.000,99.000,65.000,8.000,7.000,20.000,18.000,26761.000,0,100.00,22:23,-,-
狛江市,確,111.000,38.000,639.000,9487.000,11555.000,377.000,97.000,17.000,34.000,39.000,17806.000,1222.000,175.000,111.000,4.000,173.000,23.000,22.000,26.000,26.000,17.000,41999.000,0,100.00,22:32,-,-
東大和市,確,88.000,27.000,568.000,9733.000,12472.000,210.000,124.000,20.000,25.000,30.000,17498.000,931.000,187.000,81.000,7.000,148.000,32.000,12.000,29.000,20.000,22.000,42264.000,0,100.00,23:17,-,-
清瀬市,確,90.000,22.000,503.000,10063.000,10232.000,295.000,79.000,10.000,32.000,36.000,15005.000,751.000,161.000,83.000,11.000,149.000,13.000,15.000,16.000,22.000,12.000,37600.000,0,100.00,22:37,-,-
東久留米市,確,122.000,52.000,816.000,14855.000,17008.000,341.000,137.000,19.000,55.000,47.000,23800.000,1310.868,273.000,121.000,7.000,199.131,22.000,17.000,30.000,32.000,18.000,59281.999,0,100.00,23:34,-,-
武蔵村山市,確,52.000,23.000,434.000,6577.000,9918.000,148.000,66.000,5.000,38.000,12.000,12824.000,547.000,176.000,45.000,5.000,112.000,69.000,11.000,17.000,30.000,6.000,31115.000,0,100.00,22:58,-,-
多摩市,確,174.000,67.000,1182.000,19520.000,20553.000,557.000,158.000,33.000,57.000,50.000,32439.000,1994.000,309.000,184.000,11.000,367.000,50.000,26.000,32.000,47.000,19.000,77829.000,0,100.00,22:32,-,-
稲城市,確,126.000,43.000,667.000,9038.000,12239.000,292.000,88.000,24.000,49.000,30.000,19552.000,1126.000,171.000,109.000,5.000,215.000,19.000,18.000,19.000,22.000,17.000,43869.000,0,100.00,22:38,-,-
羽村市,確,77.000,22.000,377.000,5278.000,7791.000,136.000,68.000,22.000,17.000,20.000,11367.000,530.000,152.000,59.000,4.000,109.000,14.000,11.000,13.000,16.000,14.000,26097.000,0,100.00,23:39,-,-
あきる野市,確,79.000,25.000,520.000,8605.000,11963.000,196.000,87.000,13.000,30.000,31.000,16453.000,625.000,173.000,79.000,9.000,128.000,49.000,9.000,32.000,22.000,15.000,39143.000,0,100.00,22:11,-,-
西東京市,確,245.000,71.000,1667.000,23662.000,27293.000,658.000,405.000,53.000,94.000,92.000,42714.000,2472.000,447.000,232.000,11.000,467.000,76.000,29.000,49.000,65.000,40.000,100842.000,0,100.00,23:44,-,-
☆西多摩郡計,確,52.000,19.000,335.000,5307.000,9279.000,121.000,69.000,23.000,28.000,22.000,1248.000,430.000,174.000,55.000,8.000,85.000,24.000,10.000,9.000,22.000,18.000,28338.000,0,100.00,,-,-
瑞穂町,確,29.000,10.000,210.000,2596.000,4784.000,52.000,33.000,8.000,14.000,11.000,6798.000,236.000,102.000,24.000,6.000,49.000,12.000,2.000,4.000,5.000,8.000,14993.000,0,100.00,22:40,-,-
日の出町,確,18.000,8.000,83.000,1897.000,2876.000,53.000,20.000,11.000,7.000,7.000,3649.000,126.000,40.000,13.000,0.000,27.000,8.000,5.000,4.000,6.000,7.000,8865.000,0,100.00,22:43,-,-
檜原村,確,3.000,0.000,8.000,236.000,569.000,3.000,10.000,2.000,0.000,2.000,523.000,12.000,11.000,6.000,2.000,5.000,1.000,1.000,0.000,2.000,1.000,1397.000,0,100.00,20:53,-,-
奥多摩町,確,2.000,1.000,34.000,578.000,1050.000,13.000,6.000,2.000,7.000,2.000,1278.000,56.000,21.000,12.000,0.000,4.000,3.000,2.000,1.000,9.000,2.000,3083.000,0,100.00,21:05,-,-
☆島部計,確,36.000,10.000,160.000,3126.000,5099.000,95.000,38.000,13.000,21.000,15.000,5352.000,305.000,62.000,22.000,3.000,62.000,6.000,13.000,11.000,6.000,8.000,14463.000,0,100.00,,-,-
大島支庁,確,22.000,8.000,63.000,1659.000,2795.000,49.000,20.000,6.000,14.000,8.000,2442.000,128.000,25.000,12.000,2.000,20.000,3.000,9.000,6.000,4.000,6.000,7301.000,0,100.00,,-,-
大島町,確,15.000,5.000,33.000,1147.000,1658.000,26.000,15.000,3.000,11.000,6.000,1415.000,82.000,17.000,7.000,1.000,17.000,1.000,7.000,1.000,3.000,4.000,4474.000,0,100.00,22:13,-,-
利島村,確,0.000,1.000,2.000,29.000,102.000,5.000,0.000,0.000,0.000,1.000,59.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,0.000,203.000,0,100.00,20:57,-,-
新島村,確,4.000,2.000,14.000,316.000,656.000,7.000,4.000,1.000,2.000,0.000,609.000,27.000,2.000,2.000,0.000,1.000,1.000,1.000,2.000,0.000,0.000,1651.000,0,100.00,21:25,-,-
神津島村,確,3.000,0.000,14.000,167.000,379.000,11.000,1.000,2.000,1.000,1.000,359.000,18.000,6.000,3.000,1.000,1.000,1.000,1.000,2.000,0.000,2.000,973.000,0,100.00,21:01,-,-
三宅支庁,確,3.000,0.000,28.000,348.000,626.000,13.000,4.000,3.000,2.000,1.000,582.000,23.000,6.000,4.000,1.000,7.000,0.000,0.000,2.000,0.000,1.000,1654.000,0,100.00,,-,-
三宅村,確,2.000,0.000,20.000,300.000,563.000,8.000,3.000,3.000,2.000,1.000,523.000,16.000,5.000,4.000,1.000,6.000,0.000,0.000,1.000,0.000,1.000,1459.000,0,100.00,21:46,-,-
御蔵島村,確,1.000,0.000,8.000,48.000,63.000,5.000,1.000,0.000,0.000,0.000,59.000,7.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,195.000,0,100.00,21:06,-,-
八丈支庁,確,5.000,0.000,46.000,637.000,1329.000,20.000,10.000,3.000,2.000,2.000,1847.000,82.000,22.000,3.000,0.000,19.000,1.000,1.000,2.000,1.000,1.000,4233.000,0,100.00,,-,-
八丈町,確,5.000,0.000,43.000,817.000,1292.000,17.000,9.000,3.000,2.000,2.000,1803.000,79.000,22.000,3.000,0.000,19.000,1.000,1.000,2.000,1.000,1.000,4122.000,0,100.00,22:20,-,-
青ヶ島村,確,0.000,0.000,3.000,20.000,37.000,3.000,1.000,0.000,0.000,0.000,44.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,111.000,0,100.00,20:53,-,-
小笠原支庁,確,6.000,2.000,23.000,282.000,349.000,13.000,4.000,1.000,3.000,4.000,481.000,72.000,9.000,3.000,0.000,16.000,2.000,3.000,1.000,1.000,0.000,1275.000,0,100.00,,-,-
小笠原村,確,6.000,2.000,23.000,282.000,349.000,13.000,4.000,1.000,3.000,4.000,481.000,72.000,9.000,3.000,0.000,16.000,2.000,3.000,1.000,1.000,0.000,1275.000,0,100.00,22:27,-,-
