開　票　区　名,,,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15
,全党派計,全党派計,全党派計,幸福実現党,幸福実現党,幸福実現党,日本維新の会,日本維新の会,日本維新の会,れいわ新選組,れいわ新選組,れいわ新選組,公明党,公明党,公明党,ごぼうの党,ごぼうの党,ごぼうの党,立憲民主党,立憲民主党,立憲民主党,国民民主党,国民民主党,国民民主党,参政党,参政党,参政党,日本第一党,日本第一党,日本第一党,日本共産党,日本共産党,日本共産党,新党くにもり,新党くにもり,新党くにもり,自由民主党,自由民主党,自由民主党,社会民主党,社会民主党,社会民主党,ＮＨＫ党,ＮＨＫ党,ＮＨＫ党,維新政党・新風,維新政党・新風,維新政党・新風
,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数
　　豊島区,127423.994,104220.041,23203.953,288.000,252.000,36.000,17950.786,15879.000,2071.786,7959.154,7153.000,806.154,11705.000,10970.000,735.000,530.042,506.042,24.000,14909.428,11580.428,3329.000,9561.571,8436.571,1125.000,3989.013,3252.000,737.013,461.000,356.000,105.000,12290.000,11431.000,859.000,230.000,199.000,31.000,39656.000,28890.000,10766.000,3811.000,2793.000,1018.000,4028.000,2470.000,1558.000,55.000,52.000,3.000
　　北区,165162.986,133617.999,31544.987,323.000,269.000,54.000,23505.056,20857.000,2648.056,9394.812,8139.000,1255.812,20534.636,18982.000,1552.636,645.000,598.000,47.000,18013.029,12423.181,5589.848,10495.818,9010.818,1485.000,4875.912,3547.000,1328.912,590.300,425.000,165.300,18502.450,16755.000,1747.450,266.000,214.000,52.000,48664.933,36253.000,12411.933,4697.914,3313.000,1384.914,4573.126,2766.000,1807.126,81.000,66.000,15.000
　　荒川区,93286.989,79629.999,13656.990,201.000,177.000,24.000,12848.361,11806.000,1042.361,5558.449,5069.000,489.449,11306.839,10593.000,713.839,352.000,342.000,10.000,9445.518,7479.483,1966.035,6182.485,5305.516,876.969,3099.000,2381.000,718.000,335.500,263.000,72.500,9818.163,9295.000,523.163,155.000,123.000,32.000,29067.339,23300.000,5767.339,2151.285,1658.000,493.285,2734.050,1808.000,926.050,32.000,30.000,2.000
　　板橋区,253928.986,213586.022,40342.964,589.000,504.000,85.000,32348.889,29603.000,2745.889,15603.907,14192.000,1411.907,28781.698,27353.000,1428.698,972.023,923.023,49.000,30818.624,23999.624,6819.000,17099.332,14796.375,2302.957,8256.395,6288.000,1968.395,902.413,691.000,211.413,26237.636,24459.000,1778.636,391.000,334.000,57.000,77303.007,60239.000,17064.007,7014.000,5288.000,1726.000,7470.062,4793.000,2677.062,141.000,123.000,18.000
　　練馬区,338083.983,277858.015,60225.968,795.000,688.000,107.000,47087.921,41490.000,5597.921,21705.097,19261.000,2444.097,31913.004,29944.000,1969.004,1176.016,1100.016,76.000,45154.841,35547.701,9607.140,23807.245,20498.298,3308.947,11454.222,8581.000,2873.222,1168.393,887.000,281.393,31493.674,28935.000,2558.674,546.000,451.000,95.000,102383.814,77236.000,25147.814,10325.265,7588.000,2737.265,8948.491,5544.000,3404.491,125.000,107.000,18.000
　　足立区,284665.980,241800.003,42865.977,594.000,515.000,79.000,34676.995,31606.000,3070.995,18332.101,16688.000,1644.101,43105.961,40998.000,2107.961,1166.004,1122.004,44.000,29659.333,22569.251,7090.082,15910.618,13776.748,2133.870,9176.157,7011.000,2165.157,1044.307,795.000,249.307,27378.308,25711.000,1667.308,429.000,352.000,77.000,88730.380,70846.000,17884.380,5693.248,4327.000,1366.248,8621.568,5354.000,3267.568,148.000,129.000,19.000
　　葛飾区,194595.985,164920.999,29674.986,497.000,439.000,58.000,26377.349,23974.000,2403.349,12040.646,11080.000,960.646,25563.841,24200.000,1363.841,817.000,794.000,23.000,19834.821,15388.784,4446.037,11642.180,9986.215,1655.965,6247.331,4832.000,1415.331,750.230,584.000,166.230,18426.202,17044.000,1382.202,358.000,306.000,52.000,61446.380,48644.000,12802.380,4393.813,3440.000,953.813,6114.192,4130.000,1984.192,87.000,79.000,8.000
　　江戸川区,282715.981,232572.999,50142.982,794.000,635.000,159.000,39464.037,35041.000,4423.037,17795.169,15841.000,1954.169,39212.293,36312.000,2900.293,1192.000,1109.000,83.000,28229.209,21714.379,6514.830,17306.544,14529.620,2776.924,9341.589,7000.000,2341.589,1145.318,829.000,316.318,22321.161,20335.000,1986.161,464.000,372.000,92.000,90356.314,68641.000,21715.314,5822.128,4337.000,1485.128,9127.219,5762.000,3365.219,145.000,115.000,30.000
　☆市部計,1934478.802,1629783.151,304695.651,4263.000,3629.000,634.000,249197.509,226719.000,22478.509,123721.309,112300.000,11421.309,204880.928,194277.000,10603.928,6096.212,5803.177,293.035,270255.960,215936.916,54319.044,121279.143,101442.058,19837.085,62217.595,47444.000,14773.595,5855.822,4554.000,1301.822,186923.219,172939.000,13984.219,3011.000,2486.000,525.000,586147.885,462807.000,123340.885,61215.018,46976.000,14239.018,48532.202,31726.000,16806.202,882.000,744.000,138.000
　　八王子市,253828.981,214830.106,38998.875,564.000,493.000,71.000,29915.495,27281.000,2634.495,15327.179,13970.000,1357.179,37865.000,35386.000,2479.000,791.107,760.107,31.000,32956.525,26031.588,6924.937,14983.411,12275.411,2708.000,8017.514,6142.000,1875.514,844.837,695.000,149.837,23068.945,21474.000,1594.945,408.000,338.000,70.000,75433.753,59995.000,15438.753,7355.043,5833.000,1522.043,6184.172,4058.000,2126.172,114.000,98.000,16.000
