開票区名,鬼丸　かおる／×,鬼丸　かおる／なし,鬼丸　かおる／記載無効,鬼丸　かおる／計,木内　道祥／×,木内　道祥／なし,木内　道祥／記載無効,木内　道祥／計,池上　政幸／×,池上　政幸／なし,池上　政幸／記載無効,池上　政幸／計,山本　庸幸／×,山本　庸幸／なし,山本　庸幸／記載無効,山本　庸幸／計,山?　敏充／×,山?　敏充／なし,山?　敏充／記載無効,山?　敏充／計
板橋区,27256,201881,0,229137,29681,199456,0,229137,29737,199400,0,229137,25974,203163,0,229137,29617,199520,0,229137
練馬区計,35319,265575,0,300894,40351,260543,0,300894,40201,260693,0,300894,34155,266739,0,300894,40491,260403,0,300894
練馬９区,27389,205740,0,233129,31394,201735,0,233129,31238,201891,0,233129,26490,206639,0,233129,31476,201653,0,233129
練馬１０区,7930,59835,0,67765,8957,58808,0,67765,8963,58802,0,67765,7665,60100,0,67765,9015,58750,0,67765
足立区計,28607,227760,0,256367,29650,226717,0,256367,29553,226814,0,256367,26453,229914,0,256367,29258,227109,0,256367
足立１２区,5981,51093,0,57074,6009,51065,0,57074,6012,51062,0,57074,5407,51667,0,57074,5914,51160,0,57074
足立１３区,22626,176667,0,199293,23641,175652,0,199293,23541,175752,0,199293,21046,178247,0,199293,23344,175949,0,199293
葛飾区,20007,156605,0,176612,21236,155376,0,176612,21236,155376,0,176612,18926,157686,0,176612,20880,155732,0,176612
江戸川区計,25774,223694,0,249468,27483,221985,0,249468,27289,222179,0,249468,24267,225201,0,249468,27301,222167,0,249468
江戸川１６区,21796,190158,0,211954,23100,188854,0,211954,22966,188988,0,211954,20484,191470,0,211954,22953,189001,0,211954
江戸川１７区,3978,33536,0,37514,4383,33131,0,37514,4323,33191,0,37514,3783,33731,0,37514,4348,33166,0,37514
☆市部計,208152,1543322,0,1751474,236925,1514549,0,1751474,238618,1512856,0,1751474,199775,1551699,0,1751474,237103,1514371,0,1751474
八王子市,28333,210765,0,239098,31647,207451,0,239098,31707,207391,0,239098,26868,212230,0,239098,31457,207641,0,239098
立川市,8584,64166,0,72750,9438,63312,0,72750,9475,63275,0,72750,8194,64556,0,72750,9438,63312,0,72750
武蔵野市,8285,59670,0,67955,10112,57843,0,67955,10321,57634,0,67955,8288,59667,0,67955,10318,57637,0,67955
三鷹市,10040,70279,0,80319,11691,68628,0,80319,11752,68567,0,80319,9808,70511,0,80319,11806,68513,0,80319
青梅市,5657,49772,0,55429,6159,49270,0,55429,6192,49237,0,55429,5324,50105,0,55429,6128,49301,0,55429
府中市,12565,95876,0,108441,14296,94145,0,108441,14192,94249,0,108441,12130,96311,0,108441,14312,94129,0,108441
昭島市,5260,40071,0,45331,5754,39577,0,45331,5785,39546,0,45331,4890,40441,0,45331,5666,39665,0,45331
調布市,11988,84432,0,96420,13749,82671,0,96420,13743,82677,0,96420,11578,84842,0,96420,13812,82608,0,96420
町田市,20848,161255,0,182103,24102,158001,0,182103,24225,157878,0,182103,20111,161992,0,182103,24170,157933,0,182103
小金井市,6696,46063,0,52759,7914,44845,0,52759,8045,44714,0,52759,6545,46214,0,52759,7987,44772,0,52759
小平市,9500,69737,0,79237,11066,68171,0,79237,11082,68155,0,79237,9152,70085,0,79237,11047,68190,0,79237
日野市,9343,67457,0,76800,10780,66020,0,76800,10787,66013,0,76800,8985,67815,0,76800,10830,65970,0,76800
東村山市,7543,56096,0,63639,8390,55249,0,63639,8339,55300,0,63639,7199,56440,0,63639,8402,55237,0,63639
国分寺市,7081,48050,0,55131,8243,46888,0,55131,8404,46727,0,55131,6863,48268,0,55131,8324,46807,0,55131
国立市,4547,29269,0,33816,4104,29712,0,33816,4814,29002,0,33816,3939,29877,0,33816,3672,30144,0,33816
福生市,2276,20110,0,22386,2510,19876,0,22386,2507,19879,0,22386,2166,20220,0,22386,2483,19903,0,22386
狛江市,4186,30976,0,35162,4780,30382,0,35162,4872,30290,0,35162,4105,31057,0,35162,4842,30320,0,35162
東大和市,3895,30644,0,34539,4405,30134,0,34539,4407,30132,0,34539,3679,30860,0,34539,4410,30129,0,34539
清瀬市,4041,28212,0,32253,4472,27781,0,32253,4548,27705,0,32253,3825,28428,0,32253,4507,27746,0,32253
東久留米市,6027,42578,0,48605,7134,41471,0,48605,7147,41458,0,48605,5907,42698,0,48605,7137,41468,0,48605
武蔵村山市,2535,23096,0,25631,2704,22927,0,25631,2694,22937,0,25631,2323,23308,0,25631,2670,22961,0,25631
多摩市,8279,58404,0,66683,9984,56699,0,66683,10135,56548,0,66683,8222,58461,0,66683,10114,56569,0,66683
稲城市,3953,32358,0,36311,4514,31797,0,36311,4552,31759,0,36311,3770,32541,0,36311,4566,31745,0,36311
羽村市,2344,19232,0,21576,2593,18983,0,21576,2560,19016,0,21576,2182,19394,0,21576,2572,19004,0,21576
あきる野市,3463,28932,0,32395,3907,28488,0,32395,3899,28496,0,32395,3305,29090,0,32395,3858,28537,0,32395
西東京市,10883,75822,0,86705,12477,74228,0,86705,12434,74271,0,86705,10417,76288,0,86705,12575,74130,0,86705
☆西多摩郡計,1957,21788,0,23745,2159,21586,0,23745,2161,21584,0,23745,1783,21962,0,23745,2113,21632,0,23745
瑞穂町,965,11367,0,12332,1051,11281,0,12332,1042,11290,0,12332,868,11464,0,12332,1007,11325,0,12332
日の出町,696,6641,0,7337,790,6547,0,7337,807,6530,0,7337,655,6682,0,7337,802,6535,0,7337
檜原村,89,1185,0,1274,99,1175,0,1274,103,1171,0,1274,81,1193,0,1274,94,1180,0,1274
奥多摩町,207,2595,0,2802,219,2583,0,2802,209,2593,0,2802,179,2623,0,2802,210,2592,0,2802
☆島部計,1030,11591,0,12621,993,11628,0,12621,1034,11587,0,12621,966,11655,0,12621,1019,11602,0,12621
大島支庁,431,5539,0,5970,397,5573,0,5970,431,5539,0,5970,430,5540,0,5970,440,5530,0,5970
大島町,315,3621,0,3936,292,3644,0,3936,313,3623,0,3936,322,3614,0,3936,322,3614,0,3936
利島村,15,165,0,180,14,166,0,180,15,165,0,180,14,166,0,180,14,166,0,180
新島村,80,1403,0,1483,70,1413,0,1483,77,1406,0,1483,67,1416,0,1483,71,1412,0,1483
神津島村,21,350,0,371,21,350,0,371,26,345,0,371,27,344,0,371,33,338,0,371
三宅支庁,117,1401,0,1518,116,1402,0,1518,116,1402,0,1518,100,1418,0,1518,105,1413,0,1518
三宅村,100,1232,0,1332,92,1240,0,1332,93,1239,0,1332,79,1253,0,1332,85,1247,0,1332
御蔵島村,17,169,0,186,24,162,0,186,23,163,0,186,21,165,0,186,20,166,0,186
八丈支庁,357,3598,0,3955,358,3597,0,3955,361,3594,0,3955,324,3631,0,3955,344,3611,0,3955
八丈町,348,3511,0,3859,350,3509,0,3859,356,3503,0,3859,317,3542,0,3859,338,3521,0,3859
青ヶ島村,9,87,0,96,8,88,0,96,5,91,0,96,7,89,0,96,6,90,0,96
小笠原支庁,125,1053,0,1178,122,1056,0,1178,126,1052,0,1178,112,1066,0,1178,130,1048,0,1178
小笠原村,125,1053,0,1178,122,1056,0,1178,126,1052,0,1178,112,1066,0,1178,130,1048,0,1178
