開票区名,計,（１）中西さとし,（２）竹内いさお,（３）青山繁晴,（４）あぜもと将吾,（５）あだちまさし,（６）足立としゆき,（７）伊藤ようすけ,（８）今井絵理子,（９）うとたかし,（１０）大江やすひろ,（１１）小川かつみ,（１２）片山さつき,（１３）進藤かねひこ,（１４）自見はなこ,（１５）そのだ修光,（１６）たかがい恵美子,（１７）とくしげ雅之,（１８）藤井もとゆき,（１９）藤木しんや,（２０）堀内恒夫,（２１）増山としかず,（２２）水おち敏栄,（２３）宮島よしふみ,（２４）山谷えり子,（２５）山田宏
青梅市,5838.190,525.000,214.034,500.000,39.000,200.519,63.480,56.000,567.000,96.000,22.000,162.606,726.007,22.000,947.000,72.000,41.000,252.000,162.000,300.000,183.000,30.000,41.000,96.000,373.393,147.151
府中市,7321.642,361.000,79.745,1283.000,57.000,243.960,168.039,86.796,958.000,394.000,34.000,194.000,1086.589,36.000,209.000,19.000,52.000,261.000,155.000,100.000,304.000,58.000,61.000,174.000,573.000,373.513
昭島市,3671.644,321.000,59.364,475.000,39.000,105.000,54.000,41.000,475.000,168.000,15.000,100.000,617.483,21.000,79.000,19.000,25.000,130.000,66.000,95.000,163.000,18.000,15.000,130.000,289.000,151.797
調布市,7138.585,401.000,87.217,1314.000,52.000,263.589,183.410,180.789,747.000,144.000,42.000,131.562,1219.342,44.000,236.000,23.000,98.000,166.000,158.000,103.000,256.000,31.000,77.000,209.000,570.437,401.239
町田市,16698.240,1484.968,211.285,2504.000,75.000,621.598,335.401,728.505,1636.000,332.000,81.000,355.193,2955.213,104.000,647.000,53.000,236.000,435.000,357.000,289.000,532.000,98.000,173.000,353.000,1483.806,617.271
小金井市,3916.906,166.000,41.931,660.000,31.000,159.000,121.000,20.975,349.000,123.000,16.000,115.000,580.000,34.000,128.000,15.000,20.000,134.000,84.000,116.000,170.000,42.000,41.000,104.000,316.000,330.000
小平市,6226.224,329.000,71.806,941.000,53.000,192.000,161.000,62.837,653.000,277.000,16.000,169.603,900.680,31.000,157.000,30.000,51.000,254.000,129.000,162.000,194.000,51.000,65.000,193.000,392.396,689.902
日野市,6464.295,480.000,85.811,835.000,47.000,184.150,135.849,109.000,687.000,192.000,33.000,156.000,1263.719,25.000,197.000,24.000,73.000,220.000,171.000,190.000,280.000,24.000,74.000,155.000,476.000,346.766
東村山市,4903.009,365.000,87.577,637.000,64.000,199.705,83.294,45.000,607.000,176.000,36.000,139.000,833.433,23.000,141.000,21.000,61.000,190.000,127.000,104.000,179.000,36.000,45.000,151.000,347.000,205.000
国分寺市,4574.615,179.947,43.000,663.000,40.000,168.000,124.000,48.000,731.000,119.000,17.000,83.000,538.707,20.000,133.000,10.000,44.000,170.000,109.000,97.000,152.000,17.000,20.000,80.000,335.000,632.961
国立市,2767.033,118.000,27.794,465.000,14.000,104.000,77.000,28.000,297.000,44.000,11.000,43.000,420.710,3.000,96.000,8.000,16.000,117.000,57.000,54.000,98.000,16.000,28.000,66.000,192.000,366.529
福生市,2093.410,224.000,23.625,258.000,21.000,51.000,30.000,35.000,207.000,99.000,9.000,55.000,370.528,7.000,81.000,12.000,29.000,76.000,32.000,69.000,95.000,15.000,6.000,24.000,189.000,75.257
狛江市,2769.095,168.949,36.166,417.000,28.000,88.000,83.000,58.000,267.000,57.000,10.000,129.342,503.698,23.000,82.000,12.000,26.000,66.000,59.000,43.000,93.000,20.000,33.000,72.000,248.657,145.283
東大和市,2381.128,159.000,38.387,303.000,27.000,83.000,34.000,18.000,249.000,77.000,15.000,67.000,399.741,16.000,116.000,15.000,15.000,142.000,65.000,62.000,120.000,10.000,34.000,47.000,167.000,102.000
清瀬市,2224.999,110.000,28.000,351.000,14.000,70.630,41.369,13.000,242.000,60.000,14.000,57.000,418.000,7.000,113.000,14.000,30.000,81.000,66.000,45.000,79.000,15.000,24.000,54.000,167.000,111.000
東久留米市,4356.538,359.000,61.843,519.000,20.000,165.730,61.269,25.500,428.543,101.000,29.000,110.000,637.302,54.000,484.000,19.000,65.000,152.000,94.000,57.000,169.000,25.000,54.000,92.000,360.456,212.895
武蔵村山市,2095.183,200.000,40.576,212.000,42.000,52.000,21.000,11.846,235.000,173.000,10.000,45.000,313.000,6.000,64.000,9.000,23.000,127.000,36.000,70.000,73.000,10.000,57.000,43.000,133.000,88.761
多摩市,4081.482,221.000,62.142,758.000,17.000,132.000,116.000,95.855,453.000,104.000,16.000,92.000,712.000,32.000,100.000,19.000,33.000,111.000,102.000,70.000,144.000,23.000,57.000,105.000,298.000,208.485
稲城市,2668.710,150.000,27.710,457.000,18.000,76.000,111.000,61.000,269.000,65.000,8.000,50.000,455.000,24.000,56.000,14.000,30.000,58.000,65.000,119.000,98.000,17.000,50.000,71.000,208.000,111.000
羽村市,1596.826,125.000,22.968,186.000,22.000,70.516,22.483,14.000,197.000,31.000,10.000,49.304,210.860,6.000,90.000,10.000,14.000,99.000,28.000,104.000,75.000,10.000,6.000,28.000,112.695,53.000
あきる野市,2170.232,104.000,23.333,255.000,102.000,74.000,17.000,24.000,222.000,51.000,13.000,62.000,282.565,4.000,78.000,44.000,22.000,114.000,43.000,160.000,106.000,4.000,28.000,50.000,194.000,93.334
西東京市,6820.484,330.000,50.837,1012.000,41.000,215.100,175.899,36.000,589.000,293.000,16.000,155.000,1096.596,35.000,303.000,25.000,53.000,306.000,186.000,156.000,254.000,53.000,63.000,220.000,455.000,701.052
☆西多摩郡計,1775.554,142.000,28.952,162.000,9.000,58.000,41.000,19.000,173.000,59.000,6.000,49.363,235.877,5.000,45.000,36.000,22.000,168.000,35.000,150.000,68.000,5.000,34.000,27.000,139.636,57.726
瑞穂町,930.127,77.000,10.952,97.000,5.000,35.000,24.000,11.000,101.000,20.000,5.000,32.000,129.877,4.000,24.000,11.000,16.000,54.000,16.000,98.000,35.000,4.000,5.000,14.000,75.000,26.298
日の出町,560.428,55.000,12.000,52.000,4.000,18.000,3.000,7.000,57.000,36.000,1.000,8.000,80.000,1.000,13.000,24.000,6.000,21.000,14.000,32.000,30.000,0.000,18.000,11.000,33.000,24.428
檜原村,105.000,0.000,0.000,3.000,0.000,0.000,1.000,0.000,5.000,0.000,0.000,1.000,7.000,0.000,1.000,0.000,0.000,50.000,1.000,8.000,0.000,0.000,10.000,0.000,17.000,1.000
奥多摩町,179.999,10.000,6.000,10.000,0.000,5.000,13.000,1.000,10.000,3.000,0.000,8.363,19.000,0.000,7.000,1.000,0.000,43.000,4.000,12.000,3.000,1.000,1.000,2.000,14.636,6.000
☆島部計,922.713,73.000,10.714,104.000,1.000,112.000,98.000,5.000,77.710,16.000,8.000,15.000,67.000,14.000,4.000,2.000,1.000,176.000,7.000,2.000,39.000,3.000,17.000,3.000,38.289,29.000
大島支庁小計,442.000,27.000,3.000,49.000,0.000,72.000,82.000,1.000,29.000,4.000,1.000,5.000,16.000,4.000,1.000,1.000,1.000,91.000,5.000,0.000,6.000,2.000,2.000,1.000,18.000,21.000
大島町,230.000,17.000,2.000,36.000,0.000,5.000,47.000,1.000,28.000,2.000,0.000,1.000,11.000,4.000,0.000,1.000,1.000,37.000,3.000,0.000,5.000,2.000,2.000,1.000,8.000,16.000
利島村,60.000,2.000,0.000,2.000,0.000,1.000,31.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,21.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000
新島村,99.000,8.000,1.000,6.000,0.000,34.000,4.000,0.000,1.000,2.000,1.000,4.000,4.000,0.000,0.000,0.000,0.000,21.000,2.000,0.000,1.000,0.000,0.000,0.000,6.000,4.000
神津島村,53.000,0.000,0.000,5.000,0.000,32.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,12.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000
三宅支庁小計,108.000,10.000,1.000,16.000,1.000,3.000,3.000,1.000,10.000,2.000,2.000,3.000,13.000,0.000,1.000,0.000,0.000,37.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,2.000
三宅村,87.000,9.000,1.000,13.000,1.000,2.000,3.000,1.000,10.000,1.000,2.000,2.000,12.000,0.000,1.000,0.000,0.000,24.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,2.000
御蔵島村,21.000,1.000,0.000,3.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
八丈支庁小計,301.713,26.000,5.714,28.000,0.000,36.000,12.000,1.000,29.710,6.000,3.000,5.000,26.000,10.000,1.000,0.000,0.000,44.000,1.000,2.000,30.000,1.000,15.000,2.000,13.289,4.000
八丈町,289.713,25.000,5.714,28.000,0.000,35.000,11.000,1.000,27.710,4.000,3.000,5.000,26.000,10.000,1.000,0.000,0.000,42.000,1.000,2.000,30.000,1.000,15.000,2.000,11.289,3.000
青ヶ島村,12.000,1.000,0.000,0.000,0.000,1.000,1.000,0.000,2.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,1.000
小笠原支庁小計,71.000,10.000,1.000,11.000,0.000,1.000,1.000,2.000,9.000,4.000,2.000,2.000,12.000,0.000,1.000,1.000,0.000,4.000,0.000,0.000,2.000,0.000,0.000,0.000,6.000,2.000
小笠原村,71.000,10.000,1.000,11.000,0.000,1.000,1.000,2.000,9.000,4.000,2.000,2.000,12.000,0.000,1.000,1.000,0.000,4.000,0.000,0.000,2.000,0.000,0.000,0.000,6.000,2.000
