開票区名,確定,１自由民主党,２新党改革,３次世代の党,４民主党,５公明党,６社会民主党,７維新の党,８幸福実現党,９生活の党,１０日本共産党,合計,残票数,開票率,受信時刻
昭島市,確,15115.000,112.000,1373.000,9316.000,7258.000,1153.000,5326.000,131.000,1032.000,6924.000,47740.000,0,100.00,1:10
調布市,確,31168.000,270.000,5232.000,18923.000,9547.000,2887.000,13474.000,276.000,2327.000,15210.000,99314.000,0,100.00,23:50
町田市,確,57537.000,422.000,5961.000,32876.000,22842.000,4355.000,31816.000,469.000,4278.000,27369.000,187925.000,0,100.00,1:46
小金井市,確,16866.000,158.000,2091.000,12783.000,4287.000,1556.000,6980.000,155.000,1470.000,8272.000,54618.000,0,100.00,1:21
小平市,確,23851.000,189.000,4913.000,17161.000,11087.000,2002.000,9522.000,238.000,1918.000,12901.000,83782.000,0,100.00,0:58
日野市,確,24481.000,212.000,2484.000,16638.000,8723.000,1914.000,9653.000,340.000,1882.000,13704.000,80031.000,0,100.00,1:05
東村山市,確,19606.000,208.000,2088.000,11397.000,9872.000,1534.000,8452.000,204.000,1735.000,11947.000,67043.000,0,100.00,23:23
国分寺市,確,17617.000,139.000,3707.000,11650.000,5248.000,1540.000,6557.000,144.000,1463.000,9056.000,57121.000,0,100.00,1:01
国立市,確,10400.000,79.000,2117.000,6847.000,3400.000,1165.000,4030.000,94.000,933.000,6324.000,35389.000,0,100.00,23:53
福生市,確,7945.000,61.000,809.000,3493.000,4005.000,458.000,2990.000,82.000,568.000,3275.000,23686.000,0,100.00,0:19
狛江市,確,11186.000,92.000,1751.000,6505.000,3681.000,979.000,4881.000,102.000,935.000,6480.000,36592.000,0,100.00,23:29
東大和市,確,10511.000,108.000,1019.000,6505.000,6440.000,815.000,4563.000,124.000,879.000,6141.000,37105.000,0,100.00,0:45
清瀬市,確,9407.000,95.000,948.000,5833.000,4383.000,829.000,3991.000,120.000,860.000,6929.000,33395.000,0,100.00,23:19
東久留米市,確,15425.000,158.000,1698.000,8688.000,6782.000,1359.000,6226.000,154.000,1339.000,9562.000,51391.000,0,100.00,1:07
武蔵村山市,確,7828.000,77.000,722.000,3957.000,6014.000,448.000,3023.000,87.000,539.000,4322.000,27017.000,0,100.00,1:04
多摩市,確,19495.000,152.000,2232.000,12873.000,6930.000,1885.000,11182.000,173.000,1688.000,12009.000,68619.000,0,100.00,0:08
稲城市,確,11919.000,120.000,1847.000,7140.000,4113.000,898.000,5206.000,108.000,865.000,5425.000,37641.000,0,100.00,23:41
羽村市,確,7478.000,67.000,676.000,4093.000,3245.000,466.000,2680.000,62.000,447.000,3420.000,22634.000,0,100.00,23:53
あきる野市,確,11674.000,84.000,909.000,5807.000,5134.000,683.000,3802.000,107.000,716.000,5286.000,34202.000,0,100.00,23:41
西東京市,確,26076.000,200.000,5197.000,18206.000,9588.000,2142.000,10739.000,248.000,2428.000,13929.000,88753.000,0,100.00,1:40
☆西多摩郡計,確,9222.000,63.000,527.000,3795.000,4164.000,410.000,2570.000,82.000,438.000,3111.000,24382.000,0,100.00,
瑞穂町,確,4504.000,34.000,299.000,1870.000,2331.000,182.000,1513.000,51.000,251.000,1582.000,12617.000,0,100.00,23:41
日の出町,確,2910.000,17.000,172.000,1279.000,1148.000,138.000,737.000,20.000,132.000,1039.000,7592.000,0,100.00,0:27
檜原村,確,549.000,5.000,13.000,210.000,289.000,34.000,81.000,3.000,16.000,104.000,1304.000,0,100.00,22:29
奥多摩町,確,1259.000,7.000,43.000,436.000,396.000,56.000,239.000,8.000,39.000,386.000,2869.000,0,100.00,21:01
☆島部計,確,5376.000,33.000,342.000,2054.000,2302.000,249.000,1190.000,49.000,290.000,1717.000,13602.000,0,100.00,
大島支庁,確,2895.000,14.000,139.000,928.000,1042.000,112.000,549.000,25.000,100.000,924.000,6728.000,0,100.00,
大島町,確,1534.000,8.000,77.000,538.000,705.000,69.000,319.000,15.000,58.000,727.000,4050.000,0,100.00,22:48
利島村,確,143.000,0.000,3.000,22.000,18.000,4.000,10.000,0.000,4.000,15.000,219.000,0,100.00,22:11
新島村,確,809.000,5.000,33.000,205.000,130.000,24.000,145.000,5.000,26.000,141.000,1523.000,0,100.00,22:52
神津島村,確,409.000,1.000,26.000,163.000,189.000,15.000,75.000,5.000,12.000,41.000,936.000,0,100.00,22:14
三宅支庁,確,688.000,8.000,34.000,248.000,199.000,25.000,122.000,6.000,24.000,201.000,1555.000,0,100.00,
三宅村,確,618.000,7.000,29.000,208.000,190.000,19.000,98.000,5.000,21.000,170.000,1365.000,0,100.00,22:11
御蔵島村,確,70.000,1.000,5.000,40.000,9.000,6.000,24.000,1.000,3.000,31.000,190.000,0,100.00,21:19
八丈支庁,確,1390.000,8.000,96.000,714.000,916.000,83.000,347.000,11.000,131.000,412.000,4108.000,0,100.00,
八丈町,確,1342.000,8.000,90.000,701.000,894.000,83.000,344.000,11.000,131.000,404.000,4008.000,0,100.00,22:59
青ヶ島村,確,48.000,0.000,6.000,13.000,22.000,0.000,3.000,0.000,0.000,8.000,100.000,0,100.00,21:36
小笠原支庁,確,403.000,3.000,73.000,164.000,145.000,29.000,172.000,7.000,35.000,180.000,1211.000,0,100.00,
小笠原村,確,403.000,3.000,73.000,164.000,145.000,29.000,172.000,7.000,35.000,180.000,1211.000,0,100.00,0:42
