開票区名,計,（１）小林節,（２）円より子,（３）橋本べん,（４）渡辺良弘,（５）杉本志乃,（６）吉田あき子,（７）あらき大樹,（８）大西サチエ,（９）立川みつあき,（１０）平野道子
足立区,766.387,494.158,151.000,13.000,16.044,4.000,20.185,18.000,20.000,7.000,23.000
葛飾区,615.857,396.657,110.000,11.000,8.034,5.000,21.166,15.000,19.000,13.000,17.000
江戸川区,1013.656,522.292,212.000,13.000,15.091,36.000,31.273,41.000,64.000,14.000,65.000
☆市部計,7877.514,5822.370,1259.000,73.000,63.363,88.000,108.781,122.000,100.000,120.000,121.000
八王子市,898.035,642.682,141.000,12.000,10.126,20.000,15.227,10.000,13.000,16.000,18.000
立川市,264.735,161.693,57.000,4.000,4.042,8.000,0.000,4.000,3.000,21.000,2.000
武蔵野市,453.000,340.000,85.000,1.000,2.000,7.000,5.000,3.000,1.000,4.000,5.000
三鷹市,451.188,334.166,84.000,2.000,5.022,3.000,4.000,6.000,6.000,2.000,5.000
青梅市,214.495,139.495,41.000,1.000,2.000,2.000,9.000,6.000,6.000,5.000,3.000
府中市,435.137,349.099,55.000,3.000,1.003,5.000,4.035,2.000,5.000,7.000,4.000
昭島市,142.726,88.649,28.000,1.000,4.077,1.000,2.000,5.000,3.000,8.000,2.000
調布市,484.623,387.548,62.000,3.000,4.000,4.000,6.075,4.000,5.000,4.000,5.000
町田市,992.920,748.920,148.000,10.000,6.000,8.000,17.000,17.000,16.000,5.000,17.000
小金井市,273.000,212.000,41.000,1.000,3.000,3.000,2.000,4.000,3.000,2.000,2.000
小平市,372.945,278.945,60.000,1.000,1.000,3.000,0.000,11.000,4.000,5.000,9.000
日野市,371.367,270.278,60.000,5.000,2.000,2.000,8.089,6.000,2.000,11.000,5.000
東村山市,270.531,193.531,38.000,3.000,2.000,4.000,5.000,10.000,5.000,2.000,8.000
国分寺市,289.060,223.000,45.000,2.000,1.000,4.000,5.060,3.000,2.000,3.000,1.000
国立市,185.000,149.000,22.000,2.000,1.000,1.000,0.000,1.000,4.000,2.000,3.000
福生市,67.784,35.642,16.000,4.000,0.000,1.000,2.142,1.000,0.000,5.000,3.000
狛江市,200.590,156.590,35.000,0.000,0.000,0.000,1.000,0.000,2.000,1.000,5.000
東大和市,125.368,91.343,23.000,1.000,2.025,1.000,1.000,4.000,0.000,2.000,0.000
清瀬市,125.302,100.302,9.000,0.000,0.000,2.000,1.000,6.000,1.000,3.000,3.000
東久留米市,218.051,147.020,47.000,4.000,2.020,0.000,1.011,3.000,5.000,1.000,8.000
武蔵村山市,63.780,34.618,10.000,0.000,1.020,2.000,4.142,2.000,3.000,3.000,4.000
多摩市,276.546,215.537,37.000,7.000,1.009,2.000,6.000,1.000,4.000,2.000,1.000
稲城市,150.000,109.000,25.000,3.000,2.000,1.000,3.000,3.000,1.000,1.000,2.000
羽村市,67.000,46.000,15.000,0.000,2.000,0.000,0.000,0.000,1.000,2.000,1.000
あきる野市,80.312,54.312,17.000,1.000,0.000,1.000,1.000,0.000,2.000,3.000,1.000
西東京市,404.019,313.000,58.000,2.000,5.019,3.000,6.000,10.000,3.000,0.000,4.000
☆西多摩郡計,68.163,47.163,9.000,1.000,5.000,1.000,0.000,2.000,1.000,2.000,0.000
瑞穂町,31.418,18.418,4.000,1.000,5.000,0.000,0.000,2.000,0.000,1.000,0.000
日の出町,27.745,19.745,5.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,0.000
檜原村,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
奥多摩町,8.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
☆島部計,28.000,12.000,8.000,0.000,0.000,1.000,1.000,5.000,0.000,0.000,1.000
大島支庁小計,12.000,4.000,4.000,0.000,0.000,1.000,1.000,2.000,0.000,0.000,0.000
大島町,10.000,4.000,3.000,0.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000
利島村,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
新島村,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
神津島村,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
三宅支庁小計,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
三宅村,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
御蔵島村,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
八丈支庁小計,10.000,4.000,3.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000
八丈町,10.000,4.000,3.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000
青ヶ島村,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
小笠原支庁小計,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
小笠原村,4.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
