令和3年7月4日  執行,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都議会議員選挙　党派別得票率,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和3年 7月5日 2時 25分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,全党派計,全党派計,都民ファーストの会,都民ファーストの会,自由民主党,自由民主党,公明党,公明党,日本共産党,日本共産党,日本維新の会,日本維新の会,東京・生活者ネットワーク,東京・生活者ネットワーク,立憲民主党,立憲民主党,国民民主党,国民民主党,れいわ新選組,れいわ新選組,テレビ改革党,テレビ改革党,減税とうきょう,減税とうきょう,その他の党派,その他の党派,無所属,無所属
,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率,票    数,率
　　☆西多摩郡計,17203.000,100.00,6615.000,38.45,6845.000,39.79,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,3221.000,18.72,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,156.000,0.91,366.000,2.13
　　　瑞穂町,8309.000,100.00,3335.000,40.14,3442.000,41.42,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,1226.000,14.76,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,88.000,1.06,218.000,2.62
　　　日の出町,5522.000,100.00,2004.000,36.29,1845.000,33.41,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,1517.000,27.47,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,39.000,0.71,117.000,2.12
　　　檜原村,1073.000,100.00,271.000,25.26,625.000,58.25,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,155.000,14.45,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,4.000,0.37,18.000,1.68
　　　奥多摩町,2299.000,100.00,1005.000,43.71,933.000,40.58,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,323.000,14.05,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,25.000,1.09,13.000,0.57
　☆南多摩,86142.000,100.00,29233.000,33.94,24823.000,28.82,0.000,0.00,11333.000,13.16,0.000,0.00,0.000,0.00,20753.000,24.09,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　多摩市,53564.000,100.00,14829.000,27.68,16666.000,31.11,0.000,0.00,8000.000,14.94,0.000,0.00,0.000,0.00,14069.000,26.27,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　稲城市,32578.000,100.00,14404.000,44.21,8157.000,25.04,0.000,0.00,3333.000,10.23,0.000,0.00,0.000,0.00,6684.000,20.52,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　☆北多摩第一,105136.000,100.00,19994.000,19.02,19564.000,18.61,29386.000,27.95,20807.000,19.79,0.000,0.00,0.000,0.00,15385.000,14.63,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　東村山市,53421.000,100.00,9492.000,17.77,10838.000,20.29,13197.000,24.70,11145.000,20.86,0.000,0.00,0.000,0.00,8749.000,16.38,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　東大和市,29887.000,100.00,6538.000,21.88,4716.000,15.78,8628.000,28.87,5906.000,19.76,0.000,0.00,0.000,0.00,4099.000,13.71,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　武蔵村山市,21828.000,100.00,3964.000,18.16,4010.000,18.37,7561.000,34.64,3756.000,17.21,0.000,0.00,0.000,0.00,2537.000,11.62,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　☆北多摩第二,73999.000,100.00,16695.000,22.56,24037.000,32.48,0.000,0.00,0.000,0.00,0.000,0.00,25578.000,34.57,0.000,0.00,7689.000,10.39,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　国分寺市,48653.000,100.00,9950.000,20.45,16871.000,34.68,0.000,0.00,0.000,0.00,0.000,0.00,16322.000,33.55,0.000,0.00,5510.000,11.33,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　国立市,25346.000,100.00,6745.000,26.61,7166.000,28.27,0.000,0.00,0.000,0.00,0.000,0.00,9256.000,36.52,0.000,0.00,2179.000,8.60,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　☆北多摩第三,118622.000,100.00,31103.000,26.22,24060.000,20.28,21872.000,18.44,21518.000,18.14,0.000,0.00,0.000,0.00,20069.000,16.92,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　調布市,86265.000,100.00,23348.000,27.07,17491.000,20.28,15884.000,18.41,14308.000,16.59,0.000,0.00,0.000,0.00,15234.000,17.66,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　狛江市,32357.000,100.00,7755.000,23.97,6569.000,20.30,5988.000,18.51,7210.000,22.28,0.000,0.00,0.000,0.00,4835.000,14.94,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　☆北多摩第四,63034.000,100.00,19893.000,31.56,21202.000,33.64,0.000,0.00,21939.000,34.81,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　清瀬市,26218.000,100.00,6757.000,25.77,10563.000,40.29,0.000,0.00,8898.000,33.94,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　　東久留米市,36816.000,100.00,13136.000,35.68,10639.000,28.90,0.000,0.00,13041.000,35.42,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
　☆島部計,10877.000,100.00,0.000,0.00,8907.000,81.89,0.000,0.00,1970.000,18.11,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00
