令和2年7月5日  執行,,,,,,,,,,
東京都知事選挙　開票結果内訳,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,
令和2年 7月6日 2時 17分 確定,,,,,,,,,,
開  票  区  名,得  票  総  数,按 分 の 際 切捨 て た 票 数,いずれの候補者にも属さない票数,有 効 投 票 数,無 効 投 票 数,投  票  総  数,持 ち 帰 り と思 わ れ る 票 数,不 受 理 と 決定 し た 票 数,投  票  者  数,無 効 投 票 率
　　福生市,21944.000,0.000,0 ,21944 ,249 ,22193 ,0 ,0 ,22193 ,1.12
　　狛江市,40997.000,0.000,0 ,40997 ,564 ,41561 ,0 ,0 ,41561 ,1.36
　　東大和市,37469.000,0.000,0 ,37469 ,371 ,37840 ,1 ,0 ,37841 ,0.98
　　清瀬市,34244.000,0.000,0 ,34244 ,349 ,34593 ,0 ,0 ,34593 ,1.01
　　東久留米市,52381.000,0.000,0 ,52381 ,543 ,52924 ,0 ,0 ,52924 ,1.03
　　武蔵村山市,27877.000,0.000,0 ,27877 ,263 ,28140 ,0 ,0 ,28140 ,0.93
　　多摩市,70793.000,0.000,0 ,70793 ,706 ,71499 ,0 ,0 ,71499 ,0.99
　　稲城市,41927.000,0.000,0 ,41927 ,418 ,42345 ,1 ,0 ,42346 ,0.99
　　羽村市,23638.000,0.000,0 ,23638 ,272 ,23910 ,0 ,0 ,23910 ,1.14
　　あきる野市,35389.999,0.001,0 ,35390 ,397 ,35787 ,0 ,0 ,35787 ,1.11
　　西東京市,94862.999,0.001,0 ,94863 ,989 ,95852 ,3 ,0 ,95855 ,1.03
　☆西多摩郡計,24673.999,0.001,0 ,24674 ,252 ,24926 ,0 ,0 ,24926 ,1.01
　　瑞穂町,13088.000,0.000,0 ,13088 ,126 ,13214 ,0 ,0 ,13214 ,0.95
　　日の出町,7593.999,0.001,0 ,7594 ,83 ,7677 ,0 ,0 ,7677 ,1.08
　　檜原村,1231.000,0.000,0 ,1231 ,14 ,1245 ,0 ,0 ,1245 ,1.12
　　奥多摩町,2761.000,0.000,0 ,2761 ,29 ,2790 ,0 ,0 ,2790 ,1.04
　☆島部計,13188.999,0.001,0 ,13189 ,321 ,13510 ,0 ,0 ,13510 ,2.38
　　大島支庁,6559.999,0.001,0 ,6560 ,199 ,6759 ,0 ,0 ,6759 ,2.94
　　　大島町,3776.999,0.001,0 ,3777 ,160 ,3937 ,0 ,0 ,3937 ,4.06
　　　利島村,190.000,0.000,0 ,190 ,9 ,199 ,0 ,0 ,199 ,4.52
　　　新島村,1583.000,0.000,0 ,1583 ,16 ,1599 ,0 ,0 ,1599 ,1.00
　　　神津島村,1010.000,0.000,0 ,1010 ,14 ,1024 ,0 ,0 ,1024 ,1.37
　　三宅支庁,1525.000,0.000,0 ,1525 ,39 ,1564 ,0 ,0 ,1564 ,2.49
　　　三宅村,1333.000,0.000,0 ,1333 ,36 ,1369 ,0 ,0 ,1369 ,2.63
　　　御蔵島村,192.000,0.000,0 ,192 ,3 ,195 ,0 ,0 ,195 ,1.54
　　八丈支庁,3790.000,0.000,0 ,3790 ,60 ,3850 ,0 ,0 ,3850 ,1.56
　　　八丈町,3688.000,0.000,0 ,3688 ,56 ,3744 ,0 ,0 ,3744 ,1.50
　　　青ヶ島村,102.000,0.000,0 ,102 ,4 ,106 ,0 ,0 ,106 ,3.77
　　小笠原支庁,1314.000,0.000,0 ,1314 ,23 ,1337 ,0 ,0 ,1337 ,1.72
　　　小笠原村,1314.000,0.000,0 ,1314 ,23 ,1337 ,0 ,0 ,1337 ,1.72
