開　票　区　名,,,,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13
,全党派計,全党派計,全党派計,日本共産党,日本共産党,日本共産党,自由民主党,自由民主党,自由民主党,オリーブの木,オリーブの木,オリーブの木,社会民主党,社会民主党,社会民主党,公明党,公明党,公明党,国民民主党,国民民主党,国民民主党,日本維新の会,日本維新の会,日本維新の会,幸福実現党,幸福実現党,幸福実現党,立憲民主党,立憲民主党,立憲民主党,労働の解放をめざす労働者党,労働の解放をめざす労働者党,労働の解放をめざす労働者党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,安楽死制度を考える会,安楽死制度を考える会,安楽死制度を考える会,れいわ新選組,れいわ新選組,れいわ新選組
,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数,得票総数,政党等の得票総数,名簿登載者（特定枠を除く）の得票総数
　　北区,156576.987,124237.331,32339.656,21720.984,19275.000,2445.984,48748.575,36170.000,12578.575,435.136,329.000,106.136,2803.000,2255.000,548.000,21724.824,20172.000,1552.824,6018.929,4591.000,1427.929,13985.969,11101.000,2884.969,447.000,347.000,100.000,24200.466,19563.000,4637.466,181.000,145.000,36.000,3939.000,3433.000,506.000,1370.000,1258.000,112.000,11002.104,5598.331,5403.773
　　荒川区,84252.987,69805.327,14447.660,11527.437,10723.000,804.437,27788.702,21433.000,6355.702,267.179,225.000,42.179,1322.000,1076.000,246.000,11777.063,11328.000,449.063,3580.754,2600.000,980.754,6949.978,5916.000,1033.978,287.000,239.000,48.000,11830.054,10369.000,1461.054,104.000,75.000,29.000,2124.000,1900.000,224.000,746.000,698.000,48.000,5948.820,3223.327,2725.493
　　板橋区,232921.986,190328.484,42593.502,29908.470,27459.000,2449.470,73841.640,55507.000,18334.640,820.386,652.000,168.386,4515.000,3838.000,677.000,30894.810,29294.000,1600.810,11211.247,8059.000,3152.247,18237.962,15361.000,2876.962,718.000,578.000,140.000,37753.305,33062.000,4691.305,290.484,236.484,54.000,6209.000,5480.000,729.000,2355.000,2196.000,159.000,16166.682,8606.000,7560.682
　　練馬区,309258.982,245676.479,63582.503,34333.900,31068.000,3265.900,100082.831,72541.000,27541.831,1214.420,959.000,255.420,5836.000,4873.000,963.000,34479.185,32238.000,2241.185,14902.092,10742.000,4160.092,24711.231,20621.000,4090.231,995.000,821.000,174.000,57241.496,49513.000,7728.496,391.047,301.000,90.047,7410.155,6441.000,969.155,2772.000,2528.000,244.000,24889.625,13030.479,11859.146
　　足立区,255455.983,208727.251,46728.732,32702.871,29538.000,3164.871,82952.489,63116.000,19836.489,895.854,654.000,241.854,3606.892,2984.000,622.892,43751.097,41185.000,2566.097,11454.746,7866.000,3588.746,18519.959,15720.000,2799.959,735.000,594.000,141.000,36395.608,31255.000,5140.608,322.000,244.000,78.000,5882.452,5020.000,862.452,2383.000,2203.000,180.000,15854.015,8348.251,7505.764
　　葛飾区,189039.978,157424.881,31615.097,22956.593,21222.000,1734.593,64440.273,50543.000,13897.273,709.729,570.000,139.729,2839.000,2396.000,443.000,27677.757,26454.000,1223.757,8852.553,6378.000,2474.553,14990.518,13027.000,1963.518,640.000,542.000,98.000,27124.611,23646.000,3478.611,295.551,232.500,63.051,4930.621,4162.000,768.621,1928.000,1795.000,133.000,11654.772,6457.381,5197.391
　　江戸川区,255706.983,201903.531,53803.452,26091.743,23205.000,2886.743,85507.007,61945.000,23562.007,976.334,729.000,247.334,3706.000,2946.000,760.000,41791.382,38382.000,3409.382,12046.139,7956.000,4090.139,21495.854,17664.000,3831.854,1051.000,827.000,224.000,36835.670,31207.000,5628.670,385.914,258.914,127.000,6719.000,5689.000,1030.000,2756.000,2470.000,286.000,16344.940,8624.617,7720.323
　☆市部計,1812137.782,1480807.989,331329.793,212167.776,193732.000,18435.776,563025.605,428910.148,134115.457,6743.482,5504.000,1239.482,37352.857,31750.000,5602.857,219166.730,205714.000,13452.730,92988.250,63892.000,29096.250,136851.427,118024.000,18827.427,5597.000,4544.000,1053.000,353390.349,310271.000,43119.349,2217.859,1674.859,543.000,38431.000,33621.000,4810.000,14891.000,13586.000,1305.000,129314.447,69584.982,59729.465
　　八王子市,236605.983,192868.610,43737.373,26696.698,24321.000,2375.698,70933.742,52982.000,17951.742,850.438,684.000,166.438,4530.000,3833.000,697.000,39695.940,37118.000,2577.940,11251.560,7393.000,3858.560,16166.402,13795.000,2371.402,684.000,546.000,138.000,44658.087,38414.000,6244.087,293.288,200.288,93.000,4843.000,4192.000,651.000,1899.000,1678.000,221.000,14103.828,7712.322,6391.506
　　立川市,77989.988,64298.461,13691.527,9706.301,8865.000,841.301,25465.414,19700.000,5765.414,261.177,224.000,37.177,1394.000,1216.000,178.000,10506.557,9988.000,518.557,4425.224,2844.000,1581.224,5562.807,4880.000,682.807,229.000,190.000,39.000,13111.890,11620.000,1491.890,94.000,77.000,17.000,1733.000,1502.000,231.000,572.000,520.000,52.000,4928.618,2672.461,2256.157
