令和元年7月21日  執行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
参議院（東京都選出）議員選挙　党派別得票率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和元年 7月22日 6時 10分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,全党派計,全党派計,自由民主党,自由民主党,立憲民主党,立憲民主党,公明党,公明党,オリーブの木,オリーブの木,日本共産党,日本共産党,国民民主党,国民民主党,幸福実現党,幸福実現党,社会民主党,社会民主党,日本維新の会,日本維新の会,安楽死制度を考える会,安楽死制度を考える会,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,日本無党派党,日本無党派党,れいわ新選組,れいわ新選組,無所属,無所属
　　江東区,211726.000,100.00,63650.000,30.06,38692.000,18.27,31562.000,14.91,608.000,0.29,24954.000,11.79,6209.000,2.93,1316.000,0.62,2288.000,1.08,22719.000,10.73,1767.000,0.83,5379.000,2.54,143.000,0.07,6786.000,3.21,5653.000,2.67
　　品川区,167399.999,100.00,51152.997,30.56,32039.000,19.14,20912.000,12.49,560.000,0.33,20742.000,12.39,6295.000,3.76,1296.000,0.77,2143.000,1.28,16536.000,9.88,1692.000,1.01,4281.000,2.56,72.002,0.04,5841.000,3.49,3838.000,2.29
　　目黒区,121228.000,100.00,36481.000,30.09,27393.000,22.60,12289.000,10.14,495.000,0.41,13247.000,10.93,4225.000,3.49,570.000,0.47,1427.000,1.18,12561.000,10.36,1234.000,1.02,2650.000,2.19,77.000,0.06,6000.000,4.95,2579.000,2.13
　　大田区,304219.999,100.00,92138.998,30.29,54558.000,17.93,47218.000,15.52,1398.000,0.46,36147.000,11.88,10158.000,3.34,2055.000,0.68,4569.000,1.50,30000.000,9.86,2764.000,0.91,6220.000,2.04,125.001,0.04,9759.000,3.21,7110.000,2.34
　　世田谷区,398405.000,100.00,116568.000,29.26,96808.000,24.30,38129.000,9.57,1468.000,0.37,39512.000,9.92,15022.000,3.77,2171.000,0.54,6975.000,1.75,39500.000,9.91,3892.000,0.98,7637.000,1.92,283.000,0.07,22088.000,5.54,8352.000,2.10
　　渋谷区,93558.000,100.00,28251.000,30.20,21225.000,22.69,8537.000,9.12,332.000,0.35,10353.000,11.07,3225.000,3.45,464.000,0.50,1072.000,1.15,9178.000,9.81,875.000,0.94,2332.000,2.49,53.000,0.06,5640.000,6.03,2021.000,2.16
　　中野区,139458.000,100.00,37682.000,27.02,33901.000,24.31,17072.000,12.24,428.000,0.31,17793.000,12.76,3930.000,2.82,698.000,0.50,1982.000,1.42,12002.000,8.61,1164.000,0.83,3124.000,2.24,59.000,0.04,7051.000,5.06,2572.000,1.84
　　杉並区,250637.000,100.00,69290.000,27.65,61153.000,24.40,23928.000,9.55,904.000,0.36,30815.000,12.29,8847.000,3.53,1261.000,0.50,4007.000,1.60,23329.000,9.31,2057.000,0.82,5587.000,2.23,190.000,0.08,13226.000,5.28,6043.000,2.41
　　豊島区,113780.000,100.00,32521.000,28.58,23143.000,20.34,14866.000,13.07,403.000,0.35,14002.000,12.31,4051.000,3.56,829.000,0.73,1569.000,1.38,10926.000,9.60,1057.000,0.93,2875.000,2.53,96.000,0.08,4692.000,4.12,2750.000,2.42
　　北区,156604.000,100.00,37203.000,23.76,24627.000,15.73,27417.000,17.51,314.000,0.20,21552.000,13.76,3671.000,2.34,757.000,0.48,2219.000,1.42,26687.000,17.04,1118.000,0.71,3687.000,2.35,87.000,0.06,4525.000,2.89,2740.000,1.75
　　荒川区,84095.000,100.00,24207.000,28.79,13920.000,16.55,14160.000,16.84,215.000,0.26,12149.000,14.45,2719.000,3.23,486.000,0.58,1139.000,1.35,8019.000,9.54,629.000,0.75,1976.000,2.35,29.000,0.03,2657.000,3.16,1790.000,2.13
　　板橋区,232804.000,100.00,63994.000,27.49,43917.000,18.86,36299.000,15.59,591.000,0.25,32363.000,13.90,8086.000,3.47,1290.000,0.55,3906.000,1.68,20777.000,8.92,2005.000,0.86,6368.000,2.74,134.000,0.06,7485.000,3.22,5589.000,2.40
　　練馬区,308758.999,100.00,88945.993,28.81,64556.000,20.91,41440.000,13.42,945.000,0.31,38324.000,12.41,10531.000,3.41,1900.000,0.62,5394.000,1.75,27016.000,8.75,3381.000,1.10,7661.000,2.48,189.006,0.06,11665.000,3.78,6811.000,2.21
　　足立区,255595.000,100.00,71457.000,27.96,41632.000,16.29,54368.000,21.27,647.000,0.25,35807.000,14.01,6221.000,2.43,1470.000,0.58,2673.000,1.05,19891.000,7.78,2134.000,0.83,5780.000,2.26,131.000,0.05,7553.000,2.96,5831.000,2.28
　　葛飾区,189763.000,100.00,55544.000,29.27,29775.000,15.69,37202.000,19.60,516.000,0.27,24048.000,12.67,5506.000,2.90,1351.000,0.71,2318.000,1.22,16256.000,8.57,1931.000,1.02,4960.000,2.61,150.000,0.08,5512.000,2.90,4694.000,2.47
　　江戸川区,256234.999,100.00,75221.998,29.36,43382.000,16.93,49690.000,19.39,667.000,0.26,28893.000,11.28,8258.000,3.22,1736.000,0.68,3241.000,1.26,22877.000,8.93,2392.000,0.93,6306.000,2.46,116.001,0.05,7204.000,2.81,6251.000,2.44
　☆市部計,1805682.998,100.00,505070.985,27.97,407244.000,22.55,264312.000,14.64,5439.000,0.30,230853.000,12.78,55990.000,3.10,10620.000,0.59,31049.000,1.72,144003.000,7.97,14729.000,0.82,37799.000,2.09,1123.013,0.06,60777.000,3.37,36674.000,2.03
　　八王子市,235786.000,100.00,63005.000,26.72,50350.000,21.35,46803.000,19.85,640.000,0.27,28926.000,12.27,6240.000,2.65,1304.000,0.55,3626.000,1.54,16536.000,7.01,2095.000,0.89,5038.000,2.14,117.000,0.05,6825.000,2.89,4281.000,1.82
　　立川市,77868.000,100.00,23291.000,29.91,14980.000,19.24,12675.000,16.28,191.000,0.25,10665.000,13.70,2449.000,3.15,417.000,0.54,1191.000,1.53,5689.000,7.31,569.000,0.73,1686.000,2.17,50.000,0.06,2298.000,2.95,1717.000,2.21
　　武蔵野市,68488.000,100.00,19092.000,27.88,19711.000,28.78,5780.000,8.44,211.000,0.31,7369.000,10.76,2961.000,4.32,301.000,0.44,1170.000,1.71,5797.000,8.46,568.000,0.83,1197.000,1.75,39.000,0.06,2969.000,4.34,1323.000,1.93
　　三鷹市,84116.000,100.00,23195.000,27.58,21196.000,25.20,8640.000,10.27,321.000,0.38,9814.000,11.67,3573.000,4.25,440.000,0.52,1535.000,1.82,7301.000,8.68,712.000,0.85,1839.000,2.19,31.000,0.04,3828.000,4.55,1691.000,2.01
　　青梅市,54438.000,100.00,16787.000,30.84,10491.000,19.27,9621.000,17.67,155.000,0.28,6750.000,12.40,1343.000,2.47,488.000,0.90,815.000,1.50,3752.000,6.89,416.000,0.76,1060.000,1.95,65.000,0.12,1497.000,2.75,1198.000,2.20
　　府中市,110824.000,100.00,31940.000,28.82,25733.000,23.22,14462.000,13.05,338.000,0.30,12572.000,11.34,3901.000,3.52,783.000,0.71,1862.000,1.68,9621.000,8.68,938.000,0.85,2550.000,2.30,52.000,0.05,3687.000,3.33,2385.000,2.15
　　昭島市,45909.000,100.00,13507.000,29.42,9016.000,19.64,8294.000,18.07,116.000,0.25,5782.000,12.59,1280.000,2.79,361.000,0.79,834.000,1.82,3358.000,7.31,353.000,0.77,903.000,1.97,16.000,0.03,1271.000,2.77,818.000,1.78
　　調布市,101995.000,100.00,28006.000,27.46,23905.000,23.44,12593.000,12.35,314.000,0.31,12560.000,12.31,3535.000,3.47,492.000,0.48,2117.000,2.08,9241.000,9.06,763.000,0.75,2172.000,2.13,73.000,0.07,4109.000,4.03,2115.000,2.07
　　町田市,187659.999,100.00,55235.993,29.43,42008.000,22.39,24818.000,13.22,723.000,0.39,21860.000,11.65,6585.000,3.51,974.000,0.52,2888.000,1.54,16178.000,8.62,1633.000,0.87,3910.000,2.08,119.006,0.06,6030.000,3.21,4698.000,2.50
　　小金井市,56325.000,100.00,16202.000,28.77,15089.000,26.79,5228.000,9.28,134.000,0.24,6933.000,12.31,1917.000,3.40,262.000,0.47,918.000,1.63,4821.000,8.56,492.000,0.87,1054.000,1.87,26.000,0.05,2227.000,3.95,1022.000,1.81
　　小平市,83904.000,100.00,21865.000,26.06,20762.000,24.74,13107.000,15.62,253.000,0.30,9974.000,11.89,2486.000,2.96,529.000,0.63,1395.000,1.66,6786.000,8.09,620.000,0.74,1688.000,2.01,48.000,0.06,2909.000,3.47,1482.000,1.77
　　日野市,82992.000,100.00,23556.000,28.38,18789.000,22.64,10259.000,12.36,279.000,0.34,11741.000,14.15,2359.000,2.84,683.000,0.82,1583.000,1.91,6577.000,7.92,813.000,0.98,1982.000,2.39,74.000,0.09,2619.000,3.16,1678.000,2.02
　　東村山市,65735.000,100.00,17484.000,26.60,12827.000,19.51,11274.000,17.15,202.000,0.31,10092.000,15.35,1765.000,2.69,430.000,0.65,1155.000,1.76,5104.000,7.76,562.000,0.85,1273.000,1.94,62.000,0.09,2101.000,3.20,1404.000,2.14
　　国分寺市,57431.000,100.00,16205.000,28.22,14167.000,24.67,6582.000,11.46,168.000,0.29,7011.000,12.21,1867.000,3.25,294.000,0.51,1379.000,2.40,4828.000,8.41,457.000,0.80,1141.000,1.99,41.000,0.07,2295.000,4.00,996.000,1.73
　　国立市,35342.000,100.00,9680.000,27.39,8530.000,24.14,3907.000,11.05,131.000,0.37,5083.000,14.38,1033.000,2.92,150.000,0.42,759.000,2.15,2736.000,7.74,255.000,0.72,694.000,1.96,44.000,0.12,1618.000,4.58,722.000,2.04
　　福生市,23047.000,100.00,7066.000,30.66,4180.000,18.14,4464.000,19.37,71.000,0.31,2537.000,11.01,600.000,2.60,158.000,0.69,356.000,1.54,1658.000,7.19,200.000,0.87,507.000,2.20,24.000,0.10,718.000,3.12,508.000,2.20
　　狛江市,37764.000,100.00,10792.000,28.58,8550.000,22.64,4385.000,11.61,118.000,0.31,5711.000,15.12,1116.000,2.96,193.000,0.51,627.000,1.66,2982.000,7.90,266.000,0.70,721.000,1.91,22.000,0.06,1548.000,4.10,733.000,1.94
　　東大和市,36513.000,100.00,9306.000,25.49,7193.000,19.70,7673.000,21.01,87.000,0.24,5461.000,14.96,835.000,2.29,198.000,0.54,627.000,1.72,2618.000,7.17,261.000,0.71,675.000,1.85,14.000,0.04,917.000,2.51,648.000,1.77
　　清瀬市,32682.000,100.00,8472.000,25.92,6753.000,20.66,4848.000,14.83,75.000,0.23,6029.000,18.45,980.000,3.00,185.000,0.57,465.000,1.42,2201.000,6.73,231.000,0.71,739.000,2.26,11.000,0.03,967.000,2.96,726.000,2.22
　　東久留米市,49487.000,100.00,12792.000,25.85,10165.000,20.54,7865.000,15.89,127.000,0.26,8315.000,16.80,1318.000,2.66,279.000,0.56,1208.000,2.44,3534.000,7.14,329.000,0.66,1063.000,2.15,26.000,0.05,1472.000,2.97,994.000,2.01
　　武蔵村山市,26699.999,100.00,6986.992,26.17,4533.000,16.98,6532.000,24.46,63.000,0.24,3943.000,14.77,678.000,2.54,154.000,0.58,293.000,1.10,1667.000,6.24,204.000,0.76,483.000,1.81,19.007,0.07,660.000,2.47,484.000,1.81
　　多摩市,67193.000,100.00,17840.000,26.55,16202.000,24.11,8361.000,12.44,195.000,0.29,9389.000,13.97,1721.000,2.56,333.000,0.50,1531.000,2.28,5908.000,8.79,546.000,0.81,1335.000,1.99,35.000,0.05,2459.000,3.66,1338.000,1.99
　　稲城市,39017.000,100.00,11614.000,29.77,9054.000,23.21,4894.000,12.54,114.000,0.29,4334.000,11.11,1187.000,3.04,230.000,0.59,560.000,1.44,3534.000,9.06,384.000,0.98,997.000,2.56,17.000,0.04,1255.000,3.22,843.000,2.16
　　羽村市,22018.000,100.00,6464.000,29.36,4341.000,19.72,3790.000,17.21,76.000,0.35,2863.000,13.00,775.000,3.52,146.000,0.66,339.000,1.54,1660.000,7.54,152.000,0.69,457.000,2.08,14.000,0.06,590.000,2.68,351.000,1.59
　　あきる野市,33723.000,100.00,10481.000,31.08,7028.000,20.84,5742.000,17.03,106.000,0.31,4147.000,12.30,961.000,2.85,204.000,0.60,427.000,1.27,2372.000,7.03,212.000,0.63,680.000,2.02,41.000,0.12,808.000,2.40,514.000,1.52
　　西東京市,88726.000,100.00,24206.000,27.28,21691.000,24.45,11715.000,13.20,231.000,0.26,10992.000,12.39,2525.000,2.85,632.000,0.71,1389.000,1.57,7544.000,8.50,698.000,0.79,1955.000,2.20,43.000,0.05,3100.000,3.49,2005.000,2.26
　☆西多摩郡計,22866.000,100.00,7824.000,34.22,4089.000,17.88,4558.000,19.93,43.000,0.19,2391.000,10.46,560.000,2.45,215.000,0.94,290.000,1.27,1566.000,6.85,150.000,0.66,317.000,1.39,17.000,0.07,472.000,2.06,374.000,1.64
　　瑞穂町,11937.000,100.00,3873.000,32.45,2070.000,17.34,2596.000,21.75,26.000,0.22,1209.000,10.13,336.000,2.81,123.000,1.03,147.000,1.23,869.000,7.28,64.000,0.54,183.000,1.53,8.000,0.07,231.000,1.94,202.000,1.69
　　日の出町,7239.000,100.00,2428.000,33.54,1445.000,19.96,1283.000,17.72,11.000,0.15,839.000,11.59,157.000,2.17,58.000,0.80,104.000,1.44,471.000,6.51,62.000,0.86,105.000,1.45,8.000,0.11,152.000,2.10,116.000,1.60
　　檜原村,1193.000,100.00,531.000,44.51,199.000,16.68,229.000,19.20,2.000,0.17,76.000,6.37,21.000,1.76,10.000,0.84,13.000,1.09,53.000,4.44,3.000,0.25,6.000,0.50,0.000,0.00,34.000,2.85,16.000,1.34
　　奥多摩町,2497.000,100.00,992.000,39.73,375.000,15.02,450.000,18.02,4.000,0.16,267.000,10.69,46.000,1.84,24.000,0.96,26.000,1.04,173.000,6.93,21.000,0.84,23.000,0.92,1.000,0.04,55.000,2.20,40.000,1.60
　☆島部計,12093.000,100.00,4769.000,39.44,1639.000,13.55,2143.000,17.72,44.000,0.36,1435.000,11.87,260.000,2.15,44.000,0.36,143.000,1.18,680.000,5.62,126.000,1.04,175.000,1.45,16.000,0.13,451.000,3.73,168.000,1.39
　　大島支庁小計,5789.000,100.00,2453.000,42.37,686.000,11.85,916.000,15.82,24.000,0.41,794.000,13.72,121.000,2.09,20.000,0.35,61.000,1.05,303.000,5.23,61.000,1.05,89.000,1.54,10.000,0.17,174.000,3.01,77.000,1.33
　　　大島町,3439.000,100.00,1274.000,37.05,410.000,11.92,581.000,16.89,16.000,0.47,623.000,18.12,52.000,1.51,10.000,0.29,36.000,1.05,201.000,5.84,40.000,1.16,44.000,1.28,10.000,0.29,96.000,2.79,46.000,1.34
　　　利島村,195.000,100.00,119.000,61.03,15.000,7.69,22.000,11.28,0.000,0.00,16.000,8.21,3.000,1.54,2.000,1.03,2.000,1.03,2.000,1.03,3.000,1.54,5.000,2.56,0.000,0.00,2.000,1.03,4.000,2.05
　　　新島村,1274.000,100.00,681.000,53.45,161.000,12.64,114.000,8.95,7.000,0.55,114.000,8.95,39.000,3.06,5.000,0.39,19.000,1.49,52.000,4.08,14.000,1.10,15.000,1.18,0.000,0.00,34.000,2.67,19.000,1.49
　　　神津島村,881.000,100.00,379.000,43.02,100.000,11.35,199.000,22.59,1.000,0.11,41.000,4.65,27.000,3.06,3.000,0.34,4.000,0.45,48.000,5.45,4.000,0.45,25.000,2.84,0.000,0.00,42.000,4.77,8.000,0.91
　　三宅支庁小計,1396.000,100.00,608.000,43.55,204.000,14.61,179.000,12.82,2.000,0.14,196.000,14.04,26.000,1.86,4.000,0.29,20.000,1.43,61.000,4.37,8.000,0.57,22.000,1.58,0.000,0.00,47.000,3.37,19.000,1.36
　　　三宅村,1205.000,100.00,530.000,43.98,165.000,13.69,168.000,13.94,2.000,0.17,172.000,14.27,25.000,2.07,3.000,0.25,19.000,1.58,46.000,3.82,8.000,0.66,18.000,1.49,0.000,0.00,33.000,2.74,16.000,1.33
　　　御蔵島村,191.000,100.00,78.000,40.84,39.000,20.42,11.000,5.76,0.000,0.00,24.000,12.57,1.000,0.52,1.000,0.52,1.000,0.52,15.000,7.85,0.000,0.00,4.000,2.09,0.000,0.00,14.000,7.33,3.000,1.57
　　八丈支庁小計,3518.000,100.00,1121.000,31.86,572.000,16.26,899.000,25.55,13.000,0.37,326.000,9.27,70.000,1.99,9.000,0.26,49.000,1.39,233.000,6.62,41.000,1.17,24.000,0.68,5.000,0.14,100.000,2.84,56.000,1.59
　　　八丈町,3418.000,100.00,1072.000,31.36,561.000,16.41,881.000,25.78,13.000,0.38,314.000,9.19,68.000,1.99,9.000,0.26,47.000,1.38,230.000,6.73,41.000,1.20,24.000,0.70,5.000,0.15,97.000,2.84,56.000,1.64
　　　青ヶ島村,100.000,100.00,49.000,49.00,11.000,11.00,18.000,18.00,0.000,0.00,12.000,12.00,2.000,2.00,0.000,0.00,2.000,2.00,3.000,3.00,0.000,0.00,0.000,0.00,0.000,0.00,3.000,3.00,0.000,0.00
　　小笠原支庁小計,1390.000,100.00,587.000,42.23,177.000,12.73,149.000,10.72,5.000,0.36,119.000,8.56,43.000,3.09,11.000,0.79,13.000,0.94,83.000,5.97,16.000,1.15,40.000,2.88,1.000,0.07,130.000,9.35,16.000,1.15
　　　小笠原村,1390.000,100.00,587.000,42.23,177.000,12.73,149.000,10.72,5.000,0.36,119.000,8.56,43.000,3.09,11.000,0.79,13.000,0.94,83.000,5.97,16.000,1.15,40.000,2.88,1.000,0.07,130.000,9.35,16.000,1.15
