開票区名,全党派計票数,全党派計率,自由民主党票数,自由民主党率,公明党票数,公明党率,日本共産党票数,日本共産党率,民進党票数,民進党率,社会民主党票数,社会民主党率,新党改革票数,新党改革率,日本のこころを大切にする党票数,日本のこころを大切にする党率,おおさか維新の会票数,おおさか維新の会率,維新政党・新風票数,維新政党・新風率,世界経済共同体党票数,世界経済共同体率,幸福実現党票数,幸福実現党率,支持政党なし票数,支持政党なし率,犬丸勝子と共和党票数,犬丸勝子と共和党率,チャレンジド日本票数,チャレンジド率,国民怒りの声票数,国民怒りの声率,地球平和党票数,地球平和党率,無所属票数,無所属率
豊島区,124641.999,100.00,29700.000,23.83,13861.000,11.12,13286.000,10.66,31667.000,25.41,1767.000,1.42,1240.000,0.99,2331.294,1.87,9630.000,7.73,1016.564,0.82,121.000,0.10,441.000,0.35,547.000,0.44,145.000,0.12,71.000,0.06,4951.000,3.97,58.000,0.05,13809.141,11.08
北区,164072.998,100.00,37310.000,22.74,26122.000,15.92,23040.000,14.04,36978.000,22.54,2439.000,1.49,1795.000,1.09,2979.881,1.82,11676.000,7.12,1269.505,0.77,160.000,0.10,524.000,0.32,636.907,0.39,197.000,0.12,84.000,0.05,2056.000,1.25,333.000,0.20,16472.705,10.04
荒川区,91793.998,100.00,23730.000,25.85,13618.000,14.84,11248.000,12.25,20874.000,22.74,1231.000,1.34,1037.000,1.13,1554.818,1.69,6814.000,7.42,674.524,0.73,89.000,0.10,332.000,0.36,581.602,0.63,68.000,0.07,61.000,0.07,828.000,0.90,49.000,0.05,9004.0540,9.81
板橋区,249830.998,100.00,62738.000,25.11,33904.000,13.57,30697.000,12.29,60523.000,24.23,4116.000,1.65,2585.000,1.03,4315.110,1.73,17344.000,6.94,2159.560,0.86,259.000,0.10,836.000,0.33,1051.012,0.42,192.000,0.08,208.000,0.08,3634.000,1.45,287.000,0.11,24982.316,10.00
練馬区,340152.998,100.00,80301.000,23.61,40129.000,11.80,35257.000,10.37,92978.000,27.33,5526.000,1.62,2742.000,0.81,5289.405,1.56,24712.000,7.26,2035.234,0.60,359.000,0.11,1115.000,0.33,1183.293,0.35,253.000,0.07,131.000,0.04,11095.000,3.26,246.000,0.07,36801.066,10.82
足立区,284228.997,100.00,68333.000,24.04,52446.000,18.45,33624.000,11.83,68385.000,24.06,3442.000,1.21,2498.000,0.88,4069.282,1.43,19354.000,6.81,1928.028,0.68,256.000,0.09,928.000,0.33,932.106,0.33,193.000,0.07,269.000,0.09,2497.000,0.88,232.000,0.08,24842.581,8.74
葛飾区,198570.997,100.00,52170.000,26.27,31348.000,15.79,22334.000,11.25,47982.000,24.16,2607.000,1.31,2309.000,1.16,2659.956,1.34,12753.000,6.42,1887.226,0.95,191.000,0.10,605.000,0.30,634.282,0.32,239.000,0.12,127.000,0.06,1853.000,0.93,83.000,0.04,18788.533,9.46
江戸川区,283059.998,100.00,70788.000,25.01,49693.000,17.56,26475.000,9.35,69303.000,24.48,3592.000,1.27,2775.000,0.98,4496.729,1.59,19868.000,7.02,2409.534,0.85,288.000,0.10,1189.000,0.42,965.208,0.34,294.000,0.10,135.000,0.05,2698.000,0.95,193.000,0.07,27897.527,9.86
☆市部計,1954584.953,100.00,460353.000,23.55,248875.000,12.73,215423.000,11.02,554075.000,28.35,32387.000,1.66,16618.000,0.85,28683.870,1.47,137257.000,7.02,11997.786,0.61,1628.000,0.08,6429.000,0.33,6772.949,0.35,1653.000,0.08,1036.000,0.05,20606.000,1.05,1110.000,0.06,209680.348,10.73
八王子市,255574.998,100.00,57995.000,22.69,44695.000,17.49,27061.000,10.59,69489.000,27.19,4159.000,1.63,1895.000,0.74,3163.956,1.24,17422.000,6.82,1583.481,0.62,208.000,0.08,879.000,0.34,783.324,0.31,235.000,0.09,120.000,0.05,2986.000,1.17,203.000,0.08,22697.237,8.88
立川市,81665.998,100.00,19687.000,24.11,11729.000,14.36,9275.000,11.36,23186.000,28.39,1131.000,1.38,872.000,1.07,1089.529,1.33,5320.000,6.51,424.986,0.52,73.000,0.09,260.000,0.32,307.147,0.38,72.000,0.09,39.000,0.05,726.000,0.89,28.000,0.03,7446.336,9.12
武蔵野市,74264.998,100.00,17647.000,23.76,4875.000,6.56,6718.000,9.05,22831.000,30.74,1150.000,1.55,627.000,0.84,1257.672,1.69,5627.000,7.58,456.243,0.61,67.000,0.09,171.000,0.23,303.000,0.41,54.000,0.07,34.000,0.05,867.000,1.17,33.000,0.04,11547.083,15.55
三鷹市,90825.998,100.00,20562.000,22.64,8644.000,9.52,9784.000,10.77,26312.000,28.97,1414.000,1.56,843.000,0.93,1428.669,1.57,7873.000,8.67,484.226,0.53,82.000,0.09,223.000,0.25,302.000,0.33,105.000,0.12,58.000,0.06,976.000,1.07,50.000,0.06,11685.103,12.87
青梅市,61052.998,100.00,16056.000,26.30,9247.000,15.15,6440.000,10.55,16683.000,27.33,904.000,1.48,609.000,1.00,768.628,1.26,3733.000,6.11,315.489,0.52,46.000,0.08,332.000,0.54,151.104,0.25,71.000,0.12,32.000,0.05,516.000,0.85,74.000,0.12,5074.777,8.31
府中市,118318.998,100.00,28080.000,23.73,13252.000,11.20,11697.000,9.89,32515.000,27.48,1745.000,1.47,941.000,0.80,1777.537,1.50,7855.000,6.64,660.686,0.56,101.000,0.09,399.000,0.34,309.000,0.26,85.000,0.07,63.000,0.05,1042.000,0.88,41.000,0.03,17755.775,15.01
昭島市,51561.999,100.00,12421.000,24.09,8243.000,15.99,5559.000,10.78,14407.000,27.94,903.000,1.75,463.000,0.90,687.433,1.33,3114.000,6.04,345.222,0.67,33.000,0.06,186.000,0.36,178.000,0.35,3.000,0.01,36.000,0.07,452.000,0.88,22.000,0.04,4509.344,8.75
調布市,109503.998,100.00,25903.000,23.65,10971.000,10.02,11579.000,10.57,32441.000,29.63,2037.000,1.86,1070,0.98,1825.604,1.67,7867.000,7.18,933.309,0.85,109.000,0.10,346.000,0.32,365.153,0.33,70.000,0.06,49.000,0.04,1161.000,1.06,49.000,0.04,12727.932,11.62
町田市,202539.998,100.00,49461.000,24.42,22696.000,11.21,19399.000,9.58,60227.000,29.74,3434.000,1.70,1743,0.86,3539.870,1.75,15042.000,7.43,1437.571,0.71,135.000,0.07,592.000,0.29,1068.723,0.53,147.000,0.07,96.000,0.05,2405.000,1.19,93.000,0.05,21023.834,10.38
小金井市,57789.998,100.00,13610.000,23.55,4656.000,8.06,6072.000,10.51,16457.000,28.48,1082.000,1.87,520.000,0.90,798.669,1.38,3791.000,6.56,475.995,0.82,35.000,0.06,185.000,0.32,287.315,0.50,41.000,0.07,24.000,0.04,671.000,1.16,30.000,0.05,9054.019,15.67
小平市,91196.997,100.00,20560.000,22.54,12903.000,14.15,10023.000,10.99,25982.000,28.49,1760.000,1.93,734.000,0.80,1354.603,1.49,6416.000,7.04,466.897,0.51,71.000,0.08,297.000,0.33,239.112,0.26,66.000,0.07,37.000,0.04,885.000,0.97,46.000,0.05,9356.385,10.26
日野市,87974.998,100.00,20673.000,23.50,9352.000,10.63,10776.000,12.25,26193.000,29.77,1592.000,1.81,676.000,0.77,1292.896,1.47,6809.000,7.74,509.747,0.58,140.000,0.16,391.000,0.44,254.000,0.29,113.000,0.13,53.000,0.06,831.000,0.94,61.000,0.07,8258.355,9.39
東村山市,72245.999,100.00,16691.000,23.10,11251.000,15.57,9623.000,13.32,18720.000,25.91,1070.000,1.48,601.000,0.83,1011.000,1.40,4589.000,6.35,433.000,0.60,50.000,0.07,215.000,0.30,277.140,0.38,123.000,0.17,36.000,0.05,790.000,1.09,48.000,0.07,6717.859,9.30
国分寺市,61273.998,100.00,15319.000,25.00,5963.000,9.73,6921.000,11.30,17505.000,28.57,1203.000,1.96,468.000,0.76,937.559,1.53,4104.000,6.70,444.264,0.73,59.000,0.10,130.000,0.21,195.065,0.32,36.000,0.06,55.000,0.09,665.000,1.09,22.000,0.04,7247.110,11.83
国立市,38320.000,100.00,8787.000,22.93,3785.000,9.88,4922.000,12.84,10281.000,26.83,864.000,2.25,312.000,0.81,554.000,1.45,2733.000,7.13,202.000,0.53,35.000,0.09,98.000,0.26,136.000,0.35,20.000,0.05,25.000,0.07,478.000,1.25,24.000,0.06,5064.000,13.22
福生市,25171.999,100.00,6588.000,26.17,4327.000,17.19,2301.000,9.14,6376.000,25.33,333.000,1.32,194.000,0.77,368.642,1.46,1691.000,6.72,132.230,0.53,24.000,0.10,87.000,0.35,75.000,0.30,32.000,0.13,21.000,0.08,186.000,0.74,15.000,0.06,2421.127,9.62
狛江市,38499.997,100.00,9230.000,23.97,3757.000,9.76,4952.000,12.86,10235.000,26.58,684.000,1.78,353.000,0.92,601.214,1.56,2826.000,7.34,266.538,0.69,26.000,0.07,122.000,0.32,118.080,0.31,28.000,0.07,21.000,0.05,443.000,1.15,17.000,0.04,4820.165,12.52
東大和市,40581.000,100.00,8698.000,21.43,7163.000,17.65,5077.000,12.51,11064.000,27.26,546.000,1.35,292.000,0.72,542.000,1.34,2877.000,7.09,189.000,0.47,32.000,0.08,141.000,0.35,115.000,0.28,21.000,0.05,25.000,0.06,351.000,0.86,24.000,0.06,3424.000,8.44
清瀬市,36012.999,100.00,8027.000,22.29,4776.000,13.26,5680.000,15.77,9989.000,27.74,536.000,1.49,296.000,0.82,440.640,1.22,2253.000,6.26,148.215,0.41,17.000,0.05,149.000,0.41,102.000,0.28,25.000,0.07,32.000,0.09,359.000,1.00,25.000,0.07,3158.144,8.77
東久留米市,56070.997,100.00,12602.000,22.48,7994.000,14.26,7483.000,13.35,15092.000,26.92,1066.000,1.90,505.000,0.90,805.652,1.44,4033.000,7.19,290.235,0.52,39.000,0.07,210.000,0.37,153.097,0.27,42.000,0.07,43.000,0.08,655.000,1.17,30.000,0.05,5028.013,8.97
武蔵村山市,29689.998,100.00,6809.000,22.93,6633.000,22.34,3686.000,12.41,7161.000,24.12,318.000,1.07,245.000,0.83,368.696,1.24,1530.000,5.15,126.928,0.43,22.000,0.07,126.000,0.42,161.192,0.54,44.000,0.15,19.000,0.06,227.000,0.76,20.000,0.07,2193.182,7.39
多摩市,74186.997,100.00,16569.000,22.33,7830.000,10.55,9422.000,12.70,21758.000,29.33,1489.000,2.01,635.000,0.86,1133.276,1.53,5476.000,7.38,427.481,0.58,60.000,0.08,199.000,0.27,254.100,0.34,62.000,0.08,30.000,0.04,830.000,1.12,42.000,0.06,7970.140,10.74
稲城市,41692.999,100.00,10025.000,24.04,4596.000,11.02,4293.000,10.30,12160.000,29.17,639.000,1.53,344.000,0.83,742.000,1.78,3302.000,7.92,241.000,0.58,36.000,0.09,126.000,0.30,125.127,0.30,33.000,0.08,19.000,0.05,463.000,1.11,25.000,0.06,4523.872,10.85
羽村市,25278.998,100.00,6029.000,23.85,3693.000,14.61,2631.000,10.41,7678.000,30.37,330.000,1.31,163.000,0.64,340.033,1.35,1479.000,5.85,226.689,0.90,15.000,0.06,101.000,0.40,101.118,0.40,19.000,0.08,7.000,0.03,195.000,0.77,18.000,0.07,2253.158,8.91
あきる野市,36084.998,100.00,9109.000,25.24,5242.000,14.53,3816.000,10.58,10669.000,29.57,466.000,1.29,346.000,0.96,452.163,1.25,2127.000,5.89,239.616,0.66,32.000,0.09,128.000,0.35,104.000,0.29,39.000,0.11,19.000,0.05,267.000,0.74,31.000,0.09,2998.219,8.31
西東京市,97201.998,100.00,23215.000,23.88,10602.000,10.91,10233.000,10.53,28664.000,29.49,1532.000,1.58,871.000,0.90,1401.929,1.44,7368.000,7.58,536.738,0.55,81.000,0.08,336.000,0.35,308.152,0.32,67.000,0.07,43.000,0.04,1179.000,1.21,39.000,0.04,10725.179,11.03
☆西多摩郡計,25829.992,100.00,7461.000,28.89,4439.000,17.19,2223.000,8.61,6876.000,26.62,275.000,1.06,258.000,1.00,231.310,0.90,1445.000,5.59,140.658,0.54,18.000,0.07,100.000,0.39,90.720,0.35,37.000,0.14,13.000,0.05,198.000,0.77,25.000,0.10,1999.304,7.74
瑞穂町,13661.998,100.00,3636.000,26.61,2558.000,18.72,1094.000,8.01,3724.000,27.26,152.000,1.11,137.000,1.00,111.428,0.82,814.000,5.96,90.155,0.66,10.000,0.07,59.000,0.43,42.000,0.31,28.000,0.20,6.000,0.04,110.000,0.81,9.000,0.07,1081.415,7.92
日の出町,8051.997,100.00,2416.000,30.00,1215.000,15.09,788.000,9.79,2115.000,26.27,84.000,1.04,81.000,1.01,104.597,1.30,446.000,5.54,38.218,0.47,5.000,0.06,23.000,0.29,23.105,0.29,7.000,0.09,5.000,0.06,53.000,0.66,12.000,0.15,636.077,7.90
檜原村,1343.000,100.00,475.000,35.37,257.000,19.14,79.000,5.88,324.000,24.13,14.000,1.04,14.000,1.04,9.000,0.67,63.000,4.69,6.000,0.45,1.000,0.07,5.000,0.37,6.000,0.45,2.000,0.15,0.000,0.00,12.000,0.89,2.000,0.15,74.000,5.51
奥多摩町,2772.997,100.00,934.000,33.68,409.000,14.75,262.000,9.45,713.000,25.71,25.000,0.90,26.000,0.94,6.285,0.23,122.000,4.40,6.285,0.23,2.000,0.07,13.000,0.47,19.615,0.71,0.000,0.00,2.000,0.07,23.000,0.83,2.000,0.07,207.812,7.49
☆島部計,12995.998,100.00,4351.000,33.48,2260.000,17.39,1267.000,9.75,2821.000,21.71,134.000,1.03,150.000,1.15,115.021,0.89,403.000,3.10,73.765,0.57,14.000,0.11,47.000,0.36,38.000,0.29,14.000,0.11,8.000,0.06,117.000,0.90,20.000,0.15,1163.212,8.95
大島支庁小計,6381.998,100.00,2417.000,37.87,977.000,15.31,750.000,11.75,1284.000,20.12,51.000,0.80,76.000,1.19,43.021,0.67,176.000,2.76,25.765,0.40,4.000,0.06,16.000,0.25,20.000,0.31,11.000,0.17,7.000,0.11,54.000,0.85,10.000,0.16,460.212,7.21
大島町,3859.998,100.00,1251.000,32.41,693.000,17.95,618.000,16.01,690.000,17.88,30.000,0.78,52.000,1.35,25.021,0.65,118.000,3.06,18.765,0.49,4.000,0.10,13.000,0.34,16.000,0.41,7.000,0.18,6.000,0.16,35.000,0.91,9.000,0.23,274.212,7.10
利島村,199.000,100.00,115.000,57.79,24.000,12.06,16.000,8.04,24.000,12.06,0.000,0.00,0.000,0.00,0.000,0.00,4.000,2.01,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,1.000,0.50,0.000,0.00,15.000,7.54
新島村,1421.000,100.00,618.000,43.49,107.000,7.53,93.000,6.54,375.000,26.39,18.000,1.27,18.000,1.27,11.000,0.77,37.000,2.60,5.000,0.35,0.000,0.00,3.000,0.21,1.000,0.07,2.000,0.14,0.000,0.00,13.000,0.91,0.000,0.00,120.000,8.44
神津島村,902.000,100.00,433.000,48.00,153.000,16.96,23.000,2.55,195.000,21.62,3.000,0.33,6.000,0.67,7.000,0.78,17.000,1.88,2.000,0.22,0.000,0.00,0.000,0.00,3.000,0.33,2.000,0.22,1.000,0.11,5.000,0.55,1.000,0.11,51.000,5.65
三宅支庁小計,1432.000,100.00,513.000,35.82,201.000,14.04,158.000,11.03,345.000,24.09,16.000,1.12,8.000,0.56,13.000,0.91,47.000,3.28,3.000,0.21,2.000,0.14,2.000,0.14,4.000,0.28,0.000,0.00,0.000,0.00,6.000,0.42,1.000,0.07,113.000,7.89
三宅村,1245.000,100.00,449.000,36.06,189.000,15.18,143.000,11.49,294.000,23.61,14.000,1.12,3.000,0.24,12.000,0.96,40.000,3.21,2.000,0.16,2.000,0.16,2.000,0.16,3.000,0.24,0.000,0.00,0.000,0.00,5.000,0.40,1.000,0.08,86.000,6.91
御蔵島村,187.000,100.00,64.000,34.22,12.000,6.42,15.000,8.02,51.000,27.27,2.000,1.07,5.000,2.67,1.000,0.53,7.000,3.74,1.000,0.53,0.000,0.00,0.000,0.00,1.000,0.53,0.000,0.00,0.000,0.00,1.000,0.53,0.000,0.00,27.000,14.44
八丈支庁小計,3996.000,100.00,1086.000,27.18,981.000,24.55,281.000,7.03,942.000,23.57,53.000,1.33,51.000,1.28,45.000,1.13,116.000,2.90,28.000,0.70,4.000,0.10,23.000,0.58,9.000,0.23,1.000,0.03,0.000,0.00,42.000,1.05,8.000,0.20,326.000,8.16
八丈町,3900.000,100.00,1051.000,26.95,965.000,24.74,276.000,7.08,923.000,23.67,51.000,1.31,48.000,1.23,43.000,1.10,111.000,2.85,28.000,0.72,4.000,0.10,23.000,0.59,9.000,0.23,1.000,0.03,0.000,0.00,39.000,1.00,8.000,0.21,320.000,8.21
青ヶ島村,96.000,100.00,35.000,36.46,16.000,16.67,5.000,5.21,19.000,19.79,2.000,2.08,3.000,3.13,2.000,2.08,5.000,5.21,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,0.000,0.00,3.000,3.13,0.000,0.00,6.000,6.25
小笠原支庁小計,1186.000,100.00,335.000,28.25,101.000,8.52,78.000,6.58,250.000,21.08,14.000,1.18,15.000,1.26,14.000,1.18,64.000,5.40,17.000,1.43,4.000,0.34,6.000,0.51,5.000,0.42,2.000,0.17,1.000,0.08,15.000,1.26,1.000,0.08,264.000,22.26
小笠原村,1186.000,100.00,335.000,28.25,101.000,8.52,78.000,6.58,250.000,21.08,14.000,1.18,15.000,1.26,14.000,1.18,64.000,5.40,17.000,1.43,4.000,0.34,6.000,0.51,5.000,0.42,2.000,0.17,1.000,0.08,15.000,1.26,1.000,0.08,264.000,22.26
