令和4年7月10日  執行,,,,,,,,,,
参議院（東京都選出）議員選挙　開票結果内訳,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,
令和4年 7月11日 14時 24分 確定,,,,,,,,,,
開  票  区  名,得  票  総  数,按 分 の 際 切捨 て た 票 数,いずれの候補者にも属さない票数,有 効 投 票 数,無 効 投 票 数,投  票  総  数,持 ち 帰 り と思われる票数,不 受 理 と 決定 し た 票 数,投  票  者  数,無 効 投 票 率
　　西東京市,97556.000,0.000,0 ,97556 ,2426 ,99982 ,1 ,0 ,99983 ,2.43
　☆西多摩郡計,23303.998,0.002,0 ,23304 ,993 ,24297 ,0 ,0 ,24297 ,4.09
　　瑞穂町,12737.999,0.001,0 ,12738 ,426 ,13164 ,0 ,0 ,13164 ,3.24
　　日の出町,7139.999,0.001,0 ,7140 ,317 ,7457 ,0 ,0 ,7457 ,4.25
　　檜原村,1080.000,0.000,0 ,1080 ,80 ,1160 ,0 ,0 ,1160 ,6.90
　　奥多摩町,2346.000,0.000,0 ,2346 ,170 ,2516 ,0 ,0 ,2516 ,6.76
　☆島部計,11358.000,0.000,2 ,11360 ,759 ,12119 ,0 ,0 ,12119 ,6.26
　　大島支庁小計,5557.000,0.000,0 ,5557 ,425 ,5982 ,0 ,0 ,5982 ,7.10
　　　大島町,3296.000,0.000,0 ,3296 ,305 ,3601 ,0 ,0 ,3601 ,8.47
　　　利島村,198.000,0.000,0 ,198 ,8 ,206 ,0 ,0 ,206 ,3.88
　　　新島村,1169.000,0.000,0 ,1169 ,74 ,1243 ,0 ,0 ,1243 ,5.95
　　　神津島村,894.000,0.000,0 ,894 ,38 ,932 ,0 ,0 ,932 ,4.08
　　三宅支庁小計,1258.000,0.000,2 ,1260 ,74 ,1334 ,0 ,0 ,1334 ,5.55
　　　三宅村,1084.000,0.000,2 ,1086 ,68 ,1154 ,0 ,0 ,1154 ,5.89
　　　御蔵島村,174.000,0.000,0 ,174 ,6 ,180 ,0 ,0 ,180 ,3.33
　　八丈支庁小計,3440.000,0.000,0 ,3440 ,175 ,3615 ,0 ,0 ,3615 ,4.84
　　　八丈町,3346.000,0.000,0 ,3346 ,166 ,3512 ,0 ,0 ,3512 ,4.73
　　　青ヶ島村,94.000,0.000,0 ,94 ,9 ,103 ,0 ,0 ,103 ,8.74
　　小笠原支庁小計,1103.000,0.000,0 ,1103 ,85 ,1188 ,0 ,0 ,1188 ,7.15
　　　小笠原村,1103.000,0.000,0 ,1103 ,85 ,1188 ,0 ,0 ,1188 ,7.15
