令和元年7月21日  執行,,,,,,,,,,,,,,,,,,
参議院（比例代表選出）議員選挙　名簿登載者の得票総数　開票区別一覧,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,
公明党,,,,,,,,,,,,,,,,,,
令和元年 7月22日 13時 25分 確定,,,,,,,,,,,,,,,,,,
開  票  区  名,計,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
　　渋谷区,508.069,89.000,42.000,35.000,95.031,115.038,36.000,64.000,3.000,4.000,1.000,4.000,3.000,4.000,1.000,1.000,4.000,7.000
　　中野区,922.180,175.000,114.000,75.000,156.087,166.093,64.000,118.000,7.000,4.000,2.000,2.000,11.000,2.000,8.000,2.000,4.000,12.000
　　杉並区,1324.218,278.000,120.000,98.000,298.122,235.096,104.000,113.000,9.000,8.000,2.000,7.000,7.000,7.000,10.000,3.000,11.000,14.000
　　豊島区,837.119,185.000,81.000,67.000,146.056,164.063,46.000,84.000,9.000,2.000,7.000,3.000,8.000,12.000,5.000,2.000,7.000,9.000
　　北区,1552.824,420.000,168.000,72.000,252.380,294.444,60.000,169.000,21.000,13.000,9.000,6.000,11.000,11.000,15.000,12.000,7.000,12.000
　　荒川区,449.063,105.000,59.000,31.000,85.029,99.034,29.000,17.000,3.000,0.000,0.000,3.000,4.000,2.000,5.000,1.000,1.000,5.000
　　板橋区,1600.810,391.000,148.000,109.000,296.248,370.562,93.000,79.000,14.000,6.000,7.000,4.000,12.000,6.000,16.000,24.000,8.000,17.000
　　練馬区,2241.185,482.000,207.000,91.000,436.974,505.126,143.000,174.000,19.000,15.000,16.000,9.085,29.000,12.000,23.000,18.000,28.000,33.000
　　足立区,2566.097,601.000,224.000,98.000,455.848,583.085,112.000,304.000,20.000,8.000,13.000,12.164,14.000,6.000,38.000,14.000,40.000,23.000
　　葛飾区,1223.757,298.000,151.000,45.000,258.392,255.365,62.000,66.000,8.000,8.000,7.000,5.000,4.000,8.000,5.000,8.000,5.000,30.000
　　江戸川区,3409.382,777.000,338.000,117.000,708.686,724.230,128.000,335.000,30.000,13.000,18.000,24.466,26.000,18.000,55.000,18.000,21.000,58.000
　☆市部計,13452.730,3396.000,1132.000,666.000,2313.120,2521.077,750.000,1649.000,103.000,106.080,123.000,59.453,87.000,96.000,117.000,58.000,87.000,189.000
　　八王子市,2577.940,576.000,238.000,158.000,500.913,558.027,253.000,97.000,18.000,14.000,26.000,15.000,19.000,12.000,15.000,10.000,32.000,36.000
　　立川市,518.557,127.000,71.000,21.000,89.213,110.264,30.000,33.000,2.000,5.080,1.000,4.000,4.000,3.000,7.000,1.000,2.000,8.000
　　武蔵野市,328.172,75.000,28.000,17.000,73.086,73.086,24.000,13.000,2.000,1.000,3.000,1.000,5.000,4.000,2.000,0.000,1.000,6.000
　　三鷹市,455.046,118.000,33.000,27.000,86.020,113.026,17.000,31.000,3.000,3.000,6.000,1.000,1.000,4.000,3.000,1.000,2.000,6.000
　　青梅市,328.783,90.000,21.000,12.000,72.400,69.383,19.000,14.000,4.000,2.000,2.000,0.000,1.000,1.000,6.000,1.000,1.000,13.000
　　府中市,541.510,129.000,47.000,33.000,98.259,95.251,38.000,65.000,1.000,3.000,5.000,1.000,3.000,6.000,2.000,1.000,8.000,6.000
　　昭島市,357.263,72.000,33.000,11.000,76.539,102.724,18.000,18.000,2.000,0.000,6.000,2.000,1.000,5.000,3.000,1.000,3.000,3.000
　　調布市,1341.104,114.000,50.000,47.000,112.054,102.050,39.000,821.000,2.000,13.000,7.000,0.000,5.000,6.000,11.000,4.000,2.000,6.000
　　町田市,1638.850,466.000,127.000,85.000,311.281,361.569,74.000,80.000,13.000,6.000,18.000,8.000,13.000,5.000,19.000,13.000,10.000,29.000
　　小金井市,191.065,40.000,17.000,16.000,35.029,43.036,13.000,17.000,3.000,0.000,1.000,0.000,0.000,0.000,2.000,1.000,0.000,3.000
　　小平市,527.115,122.000,64.000,31.000,77.051,97.064,30.000,27.000,5.000,27.000,5.000,4.000,6.000,12.000,3.000,3.000,3.000,11.000
　　日野市,453.000,102.000,41.000,27.000,99.000,86.000,27.000,20.000,6.000,2.000,20.000,4.000,4.000,3.000,3.000,4.000,1.000,4.000
　　東村山市,442.231,104.000,49.000,27.000,91.121,83.110,15.000,36.000,4.000,5.000,3.000,2.000,4.000,6.000,7.000,1.000,0.000,5.000
　　国分寺市,271.032,76.000,42.000,23.000,43.018,34.014,11.000,16.000,1.000,1.000,1.000,0.000,1.000,9.000,2.000,2.000,5.000,4.000
　　国立市,127.032,25.000,10.000,4.000,30.016,30.016,11.000,10.000,0.000,0.000,1.000,0.000,0.000,1.000,2.000,0.000,0.000,3.000
　　福生市,151.000,39.000,14.000,8.000,29.000,41.000,7.000,2.000,1.000,1.000,1.000,0.000,0.000,2.000,1.000,0.000,2.000,3.000
　　狛江市,459.000,44.000,18.000,14.000,51.000,50.000,12.000,245.000,3.000,2.000,2.000,1.000,2.000,0.000,6.000,2.000,4.000,3.000
　　東大和市,272.095,81.000,34.000,10.000,44.043,54.052,12.000,13.000,3.000,4.000,2.000,1.000,1.000,1.000,2.000,0.000,2.000,8.000
　　清瀬市,153.000,26.000,16.000,10.000,25.000,36.000,9.000,8.000,3.000,0.000,1.000,0.000,6.000,1.000,4.000,1.000,4.000,3.000
　　東久留米市,455.631,125.000,34.000,13.000,91.211,103.239,24.000,21.000,12.000,3.000,2.000,2.181,4.000,5.000,6.000,1.000,1.000,8.000
　　武蔵村山市,229.151,63.000,25.000,5.000,46.067,57.084,6.000,7.000,5.000,3.000,1.000,1.000,1.000,2.000,3.000,0.000,1.000,3.000
　　多摩市,337.061,58.000,53.000,21.000,71.030,73.031,21.000,21.000,2.000,2.000,3.000,2.000,1.000,1.000,1.000,0.000,2.000,5.000
　　稲城市,150.272,45.000,9.000,9.000,33.000,21.000,8.000,11.000,3.000,1.000,0.000,3.272,0.000,3.000,1.000,2.000,0.000,1.000
　　羽村市,109.073,26.000,15.000,3.000,27.042,20.031,8.000,3.000,2.000,0.000,2.000,0.000,1.000,0.000,0.000,1.000,0.000,1.000
　　あきる野市,129.240,35.000,6.000,9.000,21.101,29.139,5.000,8.000,0.000,0.000,2.000,4.000,0.000,2.000,2.000,4.000,0.000,2.000
　　西東京市,908.507,618.000,37.000,25.000,79.626,77.881,19.000,12.000,3.000,8.000,2.000,3.000,4.000,2.000,4.000,4.000,1.000,9.000
　☆西多摩郡計,106.310,26.000,10.000,2.000,24.130,27.180,2.000,9.000,0.000,1.000,0.000,2.000,0.000,1.000,1.000,1.000,0.000,0.000
　　瑞穂町,64.000,18.000,4.000,2.000,15.000,14.000,1.000,9.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
　　日の出町,31.196,7.000,5.000,0.000,8.092,9.104,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
　　檜原村,4.000,0.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
　　奥多摩町,7.114,1.000,0.000,0.000,1.038,2.076,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.000,0.000,0.000
　☆島部計,63.000,11.000,12.000,1.000,13.000,16.000,2.000,3.000,0.000,2.000,0.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000
　　大島支庁小計,26.000,4.000,4.000,1.000,4.000,7.000,1.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
　　　大島町,20.000,2.000,4.000,1.000,3.000,6.000,1.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
　　　利島村,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　　新島村,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　　神津島村,5.000,1.000,0.000,0.000,1.000,1.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　三宅支庁小計,7.000,0.000,4.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　　三宅村,4.000,0.000,1.000,0.000,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　　御蔵島村,3.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　八丈支庁小計,21.000,6.000,1.000,0.000,6.000,6.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
　　　八丈町,20.000,6.000,1.000,0.000,6.000,5.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
　　　青ヶ島村,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　小笠原支庁小計,9.000,1.000,3.000,0.000,1.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
　　　小笠原村,9.000,1.000,3.000,0.000,1.000,2.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
