令和元年7月21日  執行,,,,,,,,,,,,,,,
参議院（比例代表選出）議員選挙　名簿登載者の得票総数　開票区別一覧,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,
国民民主党,,,,,,,,,,,,,,,
令和元年 7月22日 13時 25分 確定,,,,,,,,,,,,,,,
開  票  区  名,計,1,2,3,4,5,6,7,8,9,10,11,12,13,14
　　　新島村,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000
　　　神津島村,15.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,7.000,0.000,0.000,0.000,6.000
　　三宅支庁小計,16.000,1.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,1.000,0.000,0.000,0.000
　　　三宅村,16.000,1.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,1.000,0.000,0.000,0.000
　　　御蔵島村,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　八丈支庁小計,64.000,2.000,1.000,28.000,1.000,0.000,0.000,2.000,3.000,0.000,16.000,0.000,0.000,0.000,11.000
　　　八丈町,64.000,2.000,1.000,28.000,1.000,0.000,0.000,2.000,3.000,0.000,16.000,0.000,0.000,0.000,11.000
　　　青ヶ島村,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
　　小笠原支庁小計,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,1.000,0.000,0.000,0.000
　　　小笠原村,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,1.000,0.000,0.000,0.000
