令和4年7月10日  執行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
参議院（東京都選出）議員選挙　党派別得票率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都選挙管理委員会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和4年 7月11日 14時 24分 確定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,全党派計,全党派計,自由民主党,自由民主党,公明党,公明党,日本共産党,日本共産党,立憲民主党,立憲民主党,日本維新の会,日本維新の会,ＮＨＫ党,ＮＨＫ党,社会民主党,社会民主党,れいわ新選組,れいわ新選組,日本第一党,日本第一党,沖縄の米軍基地を東京へ引き取る党,沖縄の米軍基地を東京へ引き取る党,新党くにもり,新党くにもり,ファーストの会,ファーストの会,日本改革党,日本改革党,核融合党,核融合党,天命党,天命党,（略称）メタバース党,（略称）メタバース党,スマイル党,スマイル党,幸福実現党,幸福実現党,（略称）自由共和党,（略称）自由共和党,こどもの党,こどもの党,維新政党・新風,維新政党・新風,共和党,共和党,平和党,平和党,参政党,参政党,無所属,無所属
　　江東区,239506.999,100.00,59423.000,24.81,28785.000,12.02,23234.000,9.70,38641.000,16.13,22306.000,9.31,4518.000,1.89,2006.000,0.84,18428.000,7.69,836.000,0.35,106.175,0.04,720.000,0.30,10367.000,4.33,1842.000,0.77,76.000,0.03,150.000,0.06,762.000,0.32,228.000,0.10,898.000,0.37,476.000,0.20,2084.000,0.87,1922.000,0.80,1176.000,0.49,210.000,0.09,4760.000,1.99,15552.824,6.49
　　品川区,191361.998,100.00,45653.000,23.86,20360.000,10.64,20553.000,10.74,30262.000,15.81,19340.000,10.11,3382.469,1.77,1604.000,0.84,15704.000,8.21,494.000,0.26,204.591,0.11,628.000,0.33,8070.000,4.22,1566.000,0.82,63.000,0.03,89.000,0.05,577.000,0.30,207.000,0.11,1067.000,0.56,531.000,0.28,1988.000,1.04,379.530,0.20,1067.000,0.56,100.000,0.05,4210.000,2.20,13262.408,6.93
　　目黒区,134598.998,100.00,32199.000,23.92,12336.000,9.17,14912.000,11.08,23657.000,17.58,12419.000,9.23,2107.537,1.57,1097.000,0.82,12273.000,9.12,317.000,0.24,62.333,0.05,470.000,0.35,5461.000,4.06,834.000,0.62,36.000,0.03,81.000,0.06,243.000,0.18,115.000,0.09,540.000,0.40,426.000,0.32,1425.000,1.06,359.462,0.27,581.000,0.43,66.000,0.05,3255.000,2.42,9326.666,6.93
　　大田区,335192.998,100.00,81030.000,24.17,44283.000,13.21,34164.000,10.19,54313.000,16.20,32469.000,9.69,5690.172,1.70,2481.000,0.74,28287.000,8.44,930.000,0.28,131.761,0.04,1173.000,0.35,13217.000,3.94,2401.000,0.72,103.000,0.03,157.000,0.05,1010.000,0.30,277.000,0.08,1426.000,0.43,793.000,0.24,2551.000,0.76,2244.827,0.67,1246.000,0.37,138.000,0.04,7238.000,2.16,17439.238,5.20
　　世田谷区,448654.999,100.00,109725.000,24.46,35131.000,7.83,49126.000,10.95,78354.000,17.46,41791.000,9.31,6690.000,1.49,5168.000,1.15,45768.000,10.20,1015.000,0.23,215.585,0.05,1566.000,0.35,18655.000,4.16,2782.000,0.62,146.000,0.03,281.000,0.06,1034.000,0.23,406.000,0.09,1986.000,0.44,848.000,0.19,4512.000,1.01,1633.000,0.36,2197.000,0.49,240.000,0.05,10243.000,2.28,29142.414,6.50
　　渋谷区,105748.000,100.00,25049.000,23.69,7334.000,6.94,12171.000,11.51,18410.000,17.41,9125.000,8.63,1909.000,1.81,909.000,0.86,10077.000,9.53,268.000,0.25,57.000,0.05,346.000,0.33,4289.000,4.06,714.000,0.68,24.000,0.02,67.000,0.06,253.000,0.24,198.000,0.19,526.000,0.50,240.000,0.23,1038.000,0.98,400.000,0.38,481.000,0.45,43.000,0.04,2797.000,2.64,9023.000,8.53
　　中野区,152618.998,100.00,31661.000,20.75,15608.000,10.23,18499.000,12.12,25606.000,16.78,11248.000,7.37,2356.478,1.54,1255.000,0.82,13585.000,8.90,454.000,0.30,69.494,0.05,524.000,0.34,15006.000,9.83,1224.000,0.80,41.000,0.03,85.000,0.06,572.000,0.37,153.000,0.10,604.000,0.40,290.000,0.19,1197.000,0.78,296.521,0.19,582.000,0.38,76.000,0.05,3490.000,2.29,8136.505,5.33
　　杉並区,276313.999,100.00,62160.000,22.50,20690.000,7.49,37124.000,13.44,48375.000,17.51,24863.000,9.00,4016.000,1.45,2914.000,1.05,27984.000,10.13,720.000,0.26,120.297,0.04,1059.000,0.38,13647.000,4.94,2062.000,0.75,77.000,0.03,133.000,0.05,984.000,0.36,257.000,0.09,1091.000,0.39,504.000,0.18,2422.000,0.88,490.000,0.18,1461.000,0.53,142.000,0.05,5620.000,2.03,17398.702,6.30
　　豊島区,127230.999,100.00,29186.000,22.94,13923.000,10.94,14817.000,11.65,18872.000,14.83,10772.000,8.47,2265.000,1.78,1151.000,0.90,10834.000,8.52,348.000,0.27,80.501,0.06,497.000,0.39,9040.000,7.11,1703.000,1.34,33.000,0.03,57.000,0.04,402.000,0.32,89.000,0.07,522.000,0.41,490.000,0.39,954.000,0.75,264.000,0.21,651.000,0.51,85.000,0.07,2844.000,2.24,7351.498,5.78
　　北区,163320.998,100.00,36410.000,22.29,26686.000,16.34,20256.000,12.40,22963.000,14.06,15760.000,9.65,2660.000,1.63,1787.000,1.09,13226.000,8.10,444.000,0.27,78.871,0.05,509.752,0.31,6365.000,3.90,1273.000,0.78,99.000,0.06,57.000,0.03,561.000,0.34,167.247,0.10,545.000,0.33,263.000,0.16,1177.000,0.72,532.000,0.33,610.000,0.37,75.000,0.05,3180.000,1.95,7636.128,4.68
　　荒川区,93235.999,100.00,22279.000,23.90,13672.000,14.66,10941.000,11.73,12611.000,13.53,7644.000,8.20,1844.000,1.98,692.000,0.74,8452.000,9.07,259.000,0.28,40.754,0.04,344.000,0.37,4392.000,4.71,755.000,0.81,39.000,0.04,41.000,0.04,341.000,0.37,64.000,0.07,321.000,0.34,285.000,0.31,692.000,0.74,176.000,0.19,398.000,0.43,58.000,0.06,2001.000,2.15,4894.245,5.25
　　板橋区,254226.998,100.00,59618.000,23.45,33022.000,12.99,30341.000,11.93,42030.000,16.53,18584.000,7.31,4070.156,1.60,2499.000,0.98,22801.000,8.97,785.000,0.31,69.857,0.03,719.000,0.28,10827.000,4.26,2174.000,0.86,140.000,0.06,140.000,0.06,808.000,0.32,218.000,0.09,900.000,0.35,1274.000,0.50,2095.000,0.82,1739.843,0.68,1169.000,0.46,166.000,0.07,5683.000,2.24,12354.142,4.86
　　練馬区,338265.999,100.00,82916.000,24.51,37251.000,11.01,38251.000,11.31,55225.000,16.33,28169.000,8.33,4902.000,1.45,3174.000,0.94,31799.000,9.40,909.000,0.27,159.280,0.05,1152.000,0.34,18626.000,5.51,2603.000,0.77,94.000,0.03,160.000,0.05,1114.000,0.33,249.000,0.07,1395.000,0.41,588.000,0.17,2606.000,0.77,592.000,0.18,1535.000,0.45,253.000,0.07,7704.000,2.28,16839.719,4.98
　　足立区,285240.999,100.00,66878.000,23.45,51820.000,18.17,29856.000,10.47,41062.000,14.40,18858.000,6.61,4725.000,1.66,2015.000,0.71,25490.000,8.94,818.000,0.29,134.146,0.05,851.000,0.30,12597.000,4.42,2160.000,0.76,63.000,0.02,131.000,0.05,1015.000,0.36,218.000,0.08,871.000,0.31,715.000,0.25,1882.000,0.66,1614.000,0.57,1079.000,0.38,110.000,0.04,6233.000,2.19,14045.853,4.92
　　葛飾区,194808.999,100.00,46891.000,24.07,29563.000,15.18,20235.000,10.39,27458.000,14.09,15672.000,8.04,4197.000,2.15,1705.000,0.88,17951.000,9.21,574.000,0.29,89.697,0.05,664.000,0.34,8502.000,4.36,1646.000,0.84,45.000,0.02,81.000,0.04,1106.000,0.57,171.000,0.09,746.000,0.38,562.000,0.29,1324.000,0.68,1172.000,0.60,778.000,0.40,109.000,0.06,4088.000,2.10,9479.302,4.87
　　江戸川区,283441.999,100.00,70398.000,24.84,46038.000,16.24,25178.000,8.88,39764.000,14.03,23669.000,8.35,6409.000,2.26,1986.000,0.70,25104.000,8.86,807.000,0.28,151.109,0.05,791.000,0.28,12830.000,4.53,2263.000,0.80,73.000,0.03,126.000,0.04,997.000,0.35,248.000,0.09,1231.000,0.43,584.000,0.21,2271.000,0.80,514.000,0.18,1085.000,0.38,157.000,0.06,6287.000,2.22,14480.890,5.11
　☆市部計,1930192.985,100.00,482451.000,24.99,237721.000,12.32,210389.000,10.90,347485.000,18.00,145444.000,7.54,30215.223,1.57,20630.000,1.07,173980.000,9.01,5081.000,0.26,870.329,0.05,5965.552,0.31,78054.000,4.04,12906.000,0.67,490.000,0.03,1032.000,0.05,5245.000,0.27,1509.447,0.08,7251.000,0.38,4092.000,0.21,13704.614,0.71,6068.160,0.31,7911.000,0.41,1169.000,0.06,40753.000,2.11,89775.660,4.65
　　八王子市,253620.998,100.00,62862.000,24.79,43293.000,17.07,24810.000,9.78,42211.000,16.64,18262.000,7.20,4435.326,1.75,2631.000,1.04,22041.000,8.69,700.000,0.28,131.274,0.05,704.000,0.28,8800.000,3.47,1608.000,0.63,54.000,0.02,141.000,0.06,790.000,0.31,177.000,0.07,930.000,0.37,633.000,0.25,1541.000,0.61,739.673,0.29,827.000,0.33,159.000,0.06,5352.000,2.11,9788.725,3.86
　　立川市,79979.000,100.00,20740.000,25.93,10514.000,13.15,8767.000,10.96,13501.000,16.88,5850.000,7.31,1293.000,1.62,765.000,0.96,6956.000,8.70,229.000,0.29,37.000,0.05,268.000,0.34,3129.000,3.91,604.000,0.76,28.000,0.04,32.000,0.04,213.000,0.27,78.000,0.10,285.000,0.36,181.000,0.23,569.000,0.71,271.000,0.34,394.000,0.49,36.000,0.05,1779.000,2.22,3460.000,4.33
　　武蔵野市,75199.999,100.00,18918.000,25.16,4641.000,6.17,8556.000,11.38,16753.000,22.28,5773.000,7.68,1025.000,1.36,739.000,0.98,6536.000,8.69,160.000,0.21,23.280,0.03,292.000,0.39,3173.000,4.22,545.000,0.72,19.000,0.03,46.000,0.06,165.000,0.22,42.000,0.06,316.000,0.42,167.000,0.22,629.000,0.84,295.000,0.39,395.000,0.53,40.000,0.05,1505.000,2.00,4446.719,5.91
　　三鷹市,93715.999,100.00,22952.000,24.49,7815.000,8.34,10766.000,11.49,17588.000,18.77,7409.000,7.91,1339.000,1.43,1110.000,1.18,9447.000,10.08,212.000,0.23,37.575,0.04,336.000,0.36,3654.000,3.90,649.000,0.69,25.000,0.03,52.000,0.06,226.000,0.24,76.000,0.08,323.000,0.34,174.000,0.19,702.000,0.75,224.000,0.24,437.000,0.47,49.000,0.05,1955.000,2.09,6158.424,6.57
　　青梅市,56632.000,100.00,15402.000,27.20,8102.000,14.31,5211.000,9.20,9398.000,16.59,3387.000,5.98,799.000,1.41,537.000,0.95,5026.000,8.87,127.000,0.22,38.850,0.07,165.000,0.29,3703.000,6.54,326.000,0.58,16.000,0.03,28.000,0.05,196.000,0.35,40.000,0.07,192.000,0.34,113.000,0.20,380.000,0.67,87.000,0.15,186.000,0.33,29.000,0.05,1179.000,2.08,1964.150,3.47
　　府中市,121251.999,100.00,30375.000,25.05,12916.000,10.65,11227.000,9.26,23596.000,19.46,9697.000,8.00,1961.000,1.62,1304.000,1.08,11260.000,9.29,371.000,0.31,63.330,0.05,408.000,0.34,5120.000,4.22,891.000,0.73,29.000,0.02,80.000,0.07,343.000,0.28,92.000,0.08,429.000,0.35,359.000,0.30,986.000,0.81,193.000,0.16,597.000,0.49,77.000,0.06,2509.000,2.07,6368.669,5.25
　　昭島市,50050.000,100.00,13230.000,26.43,7277.000,14.54,4772.000,9.53,8558.000,17.10,3171.000,6.34,744.000,1.49,605.000,1.21,4464.000,8.92,145.000,0.29,22.000,0.04,174.000,0.35,2402.000,4.80,332.000,0.66,8.000,0.02,20.000,0.04,139.000,0.28,31.000,0.06,190.000,0.38,123.000,0.25,320.000,0.64,149.000,0.30,163.000,0.33,46.000,0.09,1078.000,2.15,1887.000,3.77
　　調布市,111006.999,100.00,27252.000,24.55,11610.000,10.46,13210.000,11.90,19008.000,17.12,8964.000,8.08,1548.512,1.39,1068.000,0.96,10656.000,9.60,263.000,0.24,33.000,0.03,343.000,0.31,4478.000,4.03,702.000,0.63,33.000,0.03,60.000,0.05,285.000,0.26,81.000,0.07,407.000,0.37,264.000,0.24,816.000,0.74,118.487,0.11,390.000,0.35,54.000,0.05,2365.000,2.13,6998.000,6.30
　　町田市,193435.997,100.00,49402.000,25.54,22390.000,11.57,18590.000,9.61,34832.000,18.01,17474.000,9.03,3058.385,1.58,2040.000,1.05,18174.000,9.40,521.000,0.27,59.065,0.03,618.752,0.32,7245.000,3.75,1397.000,0.72,29.000,0.01,130.000,0.07,583.000,0.30,203.247,0.11,779.000,0.40,330.000,0.17,1175.614,0.61,453.000,0.23,815.000,0.42,126.000,0.07,4543.000,2.35,8467.934,4.38
　　小金井市,61118.000,100.00,16349.000,26.75,4955.000,8.11,7436.000,12.17,11971.000,19.59,4336.000,7.09,835.000,1.37,652.000,1.07,5319.000,8.70,161.000,0.26,37.000,0.06,193.000,0.32,2406.000,3.94,399.000,0.65,13.000,0.02,25.000,0.04,148.000,0.24,57.000,0.09,222.000,0.36,120.000,0.20,576.000,0.94,110.000,0.18,323.000,0.53,34.000,0.06,1224.000,2.00,3217.000,5.26
　　小平市,91584.999,100.00,21502.000,23.48,12309.000,13.44,9426.000,10.29,18227.000,19.90,7433.000,8.12,1335.000,1.46,1109.000,1.21,7613.000,8.31,225.000,0.25,55.575,0.06,307.000,0.34,3129.000,3.42,667.000,0.73,25.000,0.03,45.000,0.05,218.000,0.24,61.000,0.07,348.000,0.38,174.000,0.19,767.000,0.84,173.000,0.19,398.000,0.43,76.000,0.08,1865.000,2.04,4097.424,4.47
　　日野市,85023.999,100.00,21012.000,24.71,8768.000,10.31,10633.000,12.51,14331.000,16.86,6946.000,8.17,1586.000,1.87,912.000,1.07,7403.000,8.71,261.000,0.31,61.757,0.07,264.000,0.31,4131.000,4.86,596.000,0.70,41.000,0.05,53.000,0.06,285.000,0.34,81.000,0.10,378.000,0.44,164.000,0.19,678.000,0.80,556.000,0.65,378.000,0.44,70.000,0.08,1743.000,2.05,3692.242,4.34
　　東村山市,70205.999,100.00,16672.000,23.75,10861.000,15.47,8688.000,12.38,11687.000,16.65,4576.000,6.52,1099.000,1.57,679.000,0.97,6688.000,9.53,179.000,0.25,32.260,0.05,203.000,0.29,2430.000,3.46,439.000,0.63,17.000,0.02,37.000,0.05,168.000,0.24,51.000,0.07,253.000,0.36,92.000,0.13,465.000,0.66,372.000,0.53,295.000,0.42,49.000,0.07,1337.000,1.90,2836.739,4.04
　　国分寺市,63738.999,100.00,16538.000,25.95,5771.000,9.05,7482.000,11.74,12178.000,19.11,5301.000,8.32,931.000,1.46,749.000,1.18,5651.000,8.87,146.000,0.23,34.478,0.05,187.000,0.29,2421.000,3.80,390.000,0.61,19.000,0.03,29.000,0.05,139.000,0.22,39.000,0.06,266.000,0.42,104.000,0.16,492.000,0.77,116.000,0.18,309.000,0.48,22.000,0.03,1280.000,2.01,3144.521,4.93
　　国立市,37862.000,100.00,9662.000,25.52,3474.000,9.18,4896.000,12.93,6565.000,17.34,2960.000,7.82,668.000,1.76,590.000,1.56,3460.000,9.14,95.000,0.25,22.000,0.06,107.000,0.28,1505.000,3.97,219.000,0.58,12.000,0.03,19.000,0.05,105.000,0.28,27.000,0.07,120.000,0.32,92.000,0.24,277.000,0.73,183.000,0.48,166.000,0.44,18.000,0.05,784.000,2.07,1836.000,4.85
　　福生市,23845.000,100.00,6428.000,26.96,3923.000,16.45,1994.000,8.36,3771.000,15.81,1543.000,6.47,393.000,1.65,228.000,0.96,2093.000,8.78,68.000,0.29,7.000,0.03,69.000,0.29,1037.000,4.35,164.000,0.69,13.000,0.05,7.000,0.03,76.000,0.32,22.000,0.09,77.000,0.32,54.000,0.23,165.000,0.69,44.000,0.18,93.000,0.39,25.000,0.10,604.000,2.53,947.000,3.97
　　狛江市,39418.000,100.00,9910.000,25.14,4042.000,10.25,5475.000,13.89,6691.000,16.97,2815.000,7.14,556.000,1.41,397.000,1.01,3826.000,9.71,84.000,0.21,13.000,0.03,145.000,0.37,1646.000,4.18,222.000,0.56,15.000,0.04,15.000,0.04,89.000,0.23,25.000,0.06,156.000,0.40,98.000,0.25,275.000,0.70,96.000,0.24,139.000,0.35,30.000,0.08,814.000,2.07,1844.000,4.68
　　東大和市,38473.000,100.00,9015.000,23.43,7488.000,19.46,4293.000,11.16,6263.000,16.28,2304.000,5.99,587.000,1.53,452.000,1.17,3032.000,7.88,109.000,0.28,15.000,0.04,95.000,0.25,1320.000,3.43,272.000,0.71,9.000,0.02,9.000,0.02,94.000,0.24,32.000,0.08,149.000,0.39,43.000,0.11,256.000,0.67,343.000,0.89,100.000,0.26,27.000,0.07,734.000,1.91,1432.000,3.72
　　清瀬市,34289.000,100.00,8364.000,24.39,4198.000,12.24,5197.000,15.16,5827.000,16.99,2113.000,6.16,552.000,1.61,328.000,0.96,2978.000,8.69,89.000,0.26,17.000,0.05,90.000,0.26,1280.000,3.73,194.000,0.57,7.000,0.02,29.000,0.08,101.000,0.29,19.000,0.06,101.000,0.29,47.000,0.14,229.000,0.67,221.000,0.64,156.000,0.45,25.000,0.07,721.000,2.10,1406.000,4.10
　　東久留米市,52867.999,100.00,13134.000,24.84,6950.000,13.15,7301.000,13.81,8893.000,16.82,3232.000,6.11,777.000,1.47,608.000,1.15,4773.000,9.03,145.000,0.27,19.148,0.04,146.000,0.28,2192.000,4.15,328.000,0.62,10.000,0.02,26.000,0.05,139.000,0.26,44.000,0.08,225.000,0.43,58.000,0.11,320.000,0.61,265.000,0.50,212.000,0.40,28.000,0.05,1003.000,1.90,2039.851,3.86
　　武蔵村山市,28363.000,100.00,6843.000,24.13,6394.000,22.54,2997.000,10.57,4093.000,14.43,1491.000,5.26,472.000,1.66,190.000,0.67,2527.000,8.91,103.000,0.36,9.400,0.03,61.000,0.22,865.000,3.05,178.000,0.63,4.000,0.01,13.000,0.05,73.000,0.26,25.000,0.09,112.000,0.39,44.000,0.16,133.000,0.47,76.000,0.27,108.000,0.38,11.000,0.04,570.000,2.01,970.600,3.42
　　多摩市,70135.000,100.00,16029.000,22.85,6745.000,9.62,8549.000,12.19,14327.000,20.43,5685.000,8.11,1086.000,1.55,836.000,1.19,6556.000,9.35,104.000,0.15,26.000,0.04,215.000,0.31,3042.000,4.34,454.000,0.65,17.000,0.02,43.000,0.06,152.000,0.22,52.000,0.07,273.000,0.39,143.000,0.20,473.000,0.67,150.000,0.21,235.000,0.34,39.000,0.06,1563.000,2.23,3341.000,4.76
　　稲城市,43555.999,100.00,11501.000,26.41,4430.000,10.17,3939.000,9.04,8039.000,18.46,3953.000,9.08,699.000,1.60,459.000,1.05,3758.000,8.63,137.000,0.31,26.337,0.06,114.000,0.26,2073.000,4.76,261.000,0.60,13.000,0.03,22.000,0.05,128.000,0.29,45.000,0.10,151.000,0.35,77.000,0.18,373.000,0.86,64.000,0.15,200.000,0.46,23.000,0.05,919.000,2.11,2151.662,4.94
　　羽村市,23216.000,100.00,6062.000,26.11,3314.000,14.27,2201.000,9.48,4217.000,18.16,1390.000,5.99,362.000,1.56,265.000,1.14,2059.000,8.87,68.000,0.29,11.000,0.05,68.800,0.30,1183.000,5.10,140.000,0.60,6.000,0.03,7.000,0.03,72.000,0.31,17.200,0.07,67.000,0.29,33.000,0.14,157.000,0.68,67.000,0.29,67.000,0.29,9.000,0.04,539.000,2.32,834.000,3.59
　　あきる野市,34047.000,100.00,9055.000,26.60,5279.000,15.51,3193.000,9.38,6009.000,17.65,1997.000,5.87,512.000,1.50,313.000,0.92,2881.000,8.46,95.000,0.28,10.000,0.03,97.000,0.28,1674.000,4.92,214.000,0.63,2.000,0.01,23.000,0.07,92.000,0.27,26.000,0.08,114.000,0.33,97.000,0.28,193.000,0.57,79.000,0.23,94.000,0.28,24.000,0.07,747.000,2.19,1227.000,3.60
　　西東京市,97556.000,100.00,23242.000,23.82,10262.000,10.52,10780.000,11.05,18951.000,19.43,7382.000,7.57,1562.000,1.60,1064.000,1.09,8803.000,9.02,284.000,0.29,28.000,0.03,295.000,0.30,4016.000,4.12,715.000,0.73,26.000,0.03,41.000,0.04,226.000,0.23,66.000,0.07,388.000,0.40,308.000,0.32,757.000,0.78,623.000,0.64,434.000,0.44,43.000,0.04,2041.000,2.09,5219.000,5.35
　☆西多摩郡計,23303.998,100.00,7159.000,30.72,4073.000,17.48,1695.000,7.27,3747.000,16.08,1142.000,4.90,327.000,1.40,192.000,0.82,1941.000,8.33,48.000,0.21,13.734,0.06,39.000,0.17,1111.000,4.77,124.000,0.53,2.000,0.01,15.000,0.06,55.000,0.24,13.000,0.06,90.000,0.39,46.000,0.20,116.000,0.50,65.000,0.28,98.000,0.42,11.000,0.05,424.000,1.82,757.264,3.25
　　瑞穂町,12737.999,100.00,3782.000,29.69,2328.000,18.28,846.000,6.64,2089.000,16.40,685.000,5.38,198.000,1.55,75.000,0.59,1106.000,8.68,36.000,0.28,7.318,0.06,21.000,0.16,520.000,4.08,67.000,0.53,2.000,0.02,5.000,0.04,38.000,0.30,12.000,0.09,51.000,0.40,29.000,0.23,64.000,0.50,18.000,0.14,71.000,0.56,4.000,0.03,257.000,2.02,426.681,3.35
　　日の出町,7139.999,100.00,2187.000,30.63,1193.000,16.71,604.000,8.46,1198.000,16.78,354.000,4.96,91.000,1.27,88.000,1.23,541.000,7.58,9.000,0.13,5.416,0.08,12.000,0.17,299.000,4.19,41.000,0.57,0.000,0.00,3.000,0.04,10.000,0.14,0.000,0.00,28.000,0.39,12.000,0.17,37.000,0.52,36.000,0.50,23.000,0.32,1.000,0.01,135.000,1.89,232.583,3.26
