開票区名,計,（１）有田芳生,（２）石橋みちひろ,（３）えさきたかし,（４）大河原まさこ,（５）小野次郎,（６）かまたに一也,（７）かわいたかのり,（８）小林正夫,（９）しばた巧,（１０）たしろかおる,（１１）田中なおき,（１２）とどろき利治,（１３）なたにや正義,（１４）なんば奨二,（１５）西村まさみ,（１６）白しんくん,（１７）はまぐち誠,（１８）藤川しんいち,（１９）ふじすえ健三,（２０）前田たけし,（２１）もりやたかし,（２２）矢田わか子
品川区,6388.933,827.000,448.000,88.000,649.000,182.000,28.000,475.000,521.910,57.000,515.000,161.958,94.000,82.000,345.000,156.065,728.000,155.000,85.000,120.000,72.000,153.000,446.000
目黒区,3853.417,822.000,198.000,93.000,423.000,177.000,14.000,156.000,245.854,31.000,97.000,103.000,44.000,41.000,140.000,115.563,531.000,80.000,51.000,104.000,36.000,102.000,249.000
大田区,11833.935,1577.000,831.000,244.000,1069.000,282.000,56.000,600.000,1005.641,119.000,685.000,337.294,160.000,2.000,502.000,336.000,1790.000,287.000,228.000,170.000,104.000,482.000,967.000
世田谷区,20225.765,3751.000,865.000,225.000,6563.000,627.000,59.000,574.000,1159.886,194.000,379.000,440.727,166.000,161.000,521.000,501.152,1703.000,294.000,208.000,353.000,187.000,468.000,826.000
渋谷区,3345.603,950.000,145.000,62.000,272.000,135.000,16.000,97.000,207.603,30.000,83.000,166.000,18.000,25.000,116.000,105.000,499.000,42.000,37.000,107.000,35.000,71.000,127.000
中野区,5820.663,1130.000,290.000,96.000,619.000,167.000,29.000,191.000,335.504,37.000,181.000,226.859,46.000,57.000,293.000,416.300,1099.000,94.000,34.000,105.000,27.000,130.000,217.000
杉並区,10360.541,1906.000,550.000,156.000,1792.000,315.000,33.000,473.000,671.318,77.000,309.000,260.845,98.000,97.378,294.000,325.000,1813.000,182.000,65.000,214.000,84.000,228.000,417.000
豊島区,4208.991,769.000,256.000,88.000,546.000,124.000,12.000,146.000,302.615,47.000,314.000,161.839,45.000,33.000,170.000,122.537,522.000,97.000,30.000,60.000,35.000,103.000,225.000
北区,5699.577,865.000,390.000,147.000,356.000,131.000,14.000,252.000,362.790,45.000,584.000,141.787,78.000,29.000,361.000,112.000,1057.000,100.000,40.000,67.000,156.000,160.000,251.000
荒川区,2854.885,369.000,213.000,71.000,84.000,62.000,8.000,345.000,259.643,23.000,185.000,64.818,23.000,28.000,152.000,57.441,531.000,60.983,21.000,32.000,23.000,101.000,141.000
板橋区,10832.001,3412.000,549.000,159.000,447.000,222.000,31.000,760.000,622.374,77.000,487.000,253.627,99.000,53.000,544.000,145.000,1736.000,273.000,78.000,152.000,86.000,260.000,386.000
練馬区,14169.194,3044.000,729.000,271.128,2555.000,371.000,39.000,598.000,1073.523,147.000,418.000,437.671,157.000,104.000,401.000,314.583,1715.000,454.000,125.131,209.000,111.000,333.158,562.000
足立区,9424.294,1102.000,533.000,322.239,323.000,231.000,23.000,633.000,926.799,90.000,596.000,307.348,78.000,82.479,667.000,140.000,1943.000,232.000,66.000,115.000,53.000,577.429,383.000
葛飾区,7094.765,894.000,479.000,238.000,251.000,146.000,19.000,513.000,560.342,67.000,320.000,196.891,85.000,58.000,519.000,116.532,1606.000,116.000,74.000,71.000,46.000,410.000,309.000
江戸川区,11019.997,1429.000,655.000,437.000,1082.000,316.000,43.000,734.000,933.674,122.000,502.000,369.283,147.000,97.000,636.000,167.040,1795.000,212.000,138.000,107.000,75.000,412.000,611.000
☆市部計,92918.378,10332.000,4651.000,2602.000,16975.000,2275.000,241.000,4518.000,5893.443,550.000,4378.000,1804.919,1528.000,934.532,3060.000,1234.484,11024.000,4276.000,1908.000,1073.000,434.000,6521.000,6705.000
八王子市,13226.790,1191.000,678.000,747.000,1931.000,333.000,26.000,536.000,1093.265,68.000,656.000,203.458,99.000,159.000,449.000,127.067,1368.000,519.000,230.000,143.000,45.000,1772.000,853.000
立川市,3907.640,369.000,189.000,155.000,580.000,128.000,11.000,171.000,303.301,17.000,220.000,65.779,77.000,30.000,114.000,51.560,514.000,182.000,154.000,40.000,15.000,230.000,291.000
武蔵野市,4174.987,536.000,215.000,64.000,1366.000,84.000,7.000,137.000,233.000,25.000,431.000,82.987,39.000,26.000,93.000,81.000,336.000,104.000,32.000,48.000,12.000,77.000,146.000
三鷹市,3522.394,637.000,208.000,85.000,366.000,124.000,13.000,198.000,238.833,22.000,189.000,88.000,44.000,17.000,161.000,68.561,485.000,113.000,45.000,68.000,34.000,115.000,203.000
青梅市,3654.013,315.000,144.000,156.000,203.000,42.000,9.000,95.000,232.493,29.000,133.000,74.520,299.000,46.000,93.000,33.000,353.000,398.000,134.000,26.000,9.000,484.000,346.000
府中市,5753.853,506.000,205.000,118.000,1159.000,129.000,16.000,293.000,311.875,46.000,227.000,91.978,33.000,42.000,190.000,77.000,697.000,200.000,64.000,50.000,23.000,301.000,974.000
昭島市,2744.231,242.000,109.000,67.000,457.000,61.000,6.000,177.000,181.328,4.000,159.000,60.903,89.000,28.000,72.000,18.000,297.000,120.000,207.000,20.000,9.000,178.000,182.000
調布市,4228.353,624.000,260.000,84.000,675.000,103.000,12.000,211.000,316.448,28.000,123.000,102.905,25.000,25.000,293.000,65.000,573.000,105.000,53.000,62.000,17.000,233.000,238.000
町田市,9090.680,1318.000,440.000,284.000,1357.000,259.000,43.000,469.000,516.079,82.000,246.000,260.888,72.000,223.532,276.000,151.181,1091.000,529.000,149.000,147.000,73.000,427.000,677.000
小金井市,3052.491,316.000,102.000,51.000,1325.000,47.000,11.000,149.000,139.000,15.000,134.000,43.955,31.000,26.000,92.000,44.536,182.000,60.000,37.000,28.000,16.000,44.000,159.000
小平市,4368.997,452.000,261.000,67.000,1037.000,83.000,9.000,287.000,311.054,24.000,149.000,70.943,87.000,10.000,100.000,49.000,716.000,95.000,53.000,46.000,17.000,96.000,349.000
日野市,4831.435,479.000,202.000,112.000,470.000,112.000,11.000,342.000,363.721,22.000,373.000,70.714,28.000,36.000,127.000,55.000,551.000,508.000,76.000,57.000,15.000,259.000,562.000
東村山市,2915.454,378.000,238.000,70.000,532.000,64.000,5.000,190.000,165.454,23.000,104.000,60.000,45.000,21.000,115.000,49.000,418.000,102.000,34.000,35.000,15.000,119.000,133.000
国分寺市,3280.959,354.000,153.000,37.000,906.000,80.000,8.000,125.000,175.000,19.000,285.000,49.959,29.000,19.000,119.000,37.000,367.000,68.000,43.000,35.000,10.000,94.000,268.000
国立市,1927.000,191.000,87.000,29.000,512.000,119.000,3.000,63.000,102.000,6.000,119.000,30.000,18.000,21.000,42.000,33.000,239.000,40.000,17.000,22.000,7.000,63.000,164.000
福生市,1262.299,104.000,50.000,33.000,123.000,19.000,3.000,62.000,74.339,6.000,75.000,24.960,47.000,16.000,32.000,14.000,178.000,119.000,70.000,14.000,4.000,114.000,80.000
狛江市,1832.579,307.000,85.000,24.000,626.000,46.000,3.000,85.000,107.405,15.000,34.000,33.657,3.000,24.000,40.000,30.517,188.000,34.000,17.000,17.000,10.000,51.000,52.000
東大和市,1647.567,197.000,141.000,42.000,224.000,21.000,4.000,116.000,112.656,7.000,80.000,44.911,29.000,12.000,59.000,20.000,232.000,66.000,39.000,15.000,20.000,90.000,76.000
清瀬市,1140.697,198.000,93.000,21.000,166.000,29.000,5.000,51.000,53.697,9.000,59.000,28.000,24.000,6.000,63.000,20.000,157.000,52.000,11.000,20.000,5.000,35.000,35.000
東久留米市,1992.170,314.000,159.000,55.000,166.000,47.000,10.000,98.000,138.965,14.000,86.000,56.593,49.000,5.000,92.000,49.612,327.000,84.000,22.000,28.000,19.000,88.000,84.000
武蔵村山市,1214.329,110.000,65.000,20.000,46.000,25.000,2.000,53.000,77.381,10.000,49.000,37.948,51.000,11.000,43.000,11.000,245.000,93.000,61.000,9.000,5.000,109.000,81.000
多摩市,2730.410,305.000,107.000,67.000,659.000,60.000,6.000,151.000,185.462,20.000,71.000,59.948,21.000,23.000,94.000,34.000,286.000,69.000,67.000,43.000,20.000,205.000,177.000
稲城市,1645.450,192.000,58.000,37.000,175.000,87.000,5.000,160.000,86.000,9.000,67.000,39.000,21.000,40.000,82.000,23.450,150.000,62.000,30.000,19.000,9.000,86.000,208.000
羽村市,1418.000,92.000,57.000,40.000,43.000,11.000,0.000,44.000,76.000,9.000,55.000,13.000,94.000,20.000,30.000,10.000,171.000,305.000,84.000,3.000,2.000,102.000,157.000
あきる野市,2423.687,104.000,78.000,66.000,99.000,26.000,0.000,55.000,119.687,2.000,98.000,20.000,67.000,20.000,52.000,17.000,198.000,140.000,130.000,13.000,4.000,1026.000,89.000
西東京市,4931.913,501.000,267.000,71.000,1772.000,136.000,13.000,200.000,179.000,19.000,156.000,89.913,107.000,28.000,137.000,65.000,705.000,109.000,49.000,65.000,19.000,123.000,121.000
☆西多摩郡計,1725.795,77.000,44.000,44.004,66.000,13.000,2.000,27.000,67.796,4.000,65.000,14.000,93.000,13.000,29.000,7.000,157.000,157.000,46.000,14.000,3.000,716.995,66.000
瑞穂町,666.581,39.000,30.000,18.000,18.000,5.000,1.000,21.000,25.581,2.000,36.000,11.000,72.000,7.000,19.000,5.000,88.000,121.000,24.000,10.000,1.000,74.000,39.000
日の出町,493.215,31.000,7.000,19.000,45.000,5.000,1.000,6.000,32.215,1.000,25.000,2.000,11.000,3.000,7.000,1.000,43.000,31.000,19.000,4.000,2.000,179.000,19.000
檜原村,443.999,2.000,0.000,2.004,3.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000,6.000,2.000,2.000,0.000,0.000,423.995,0.000
奥多摩町,122.000,5.000,7.000,5.000,0.000,3.000,0.000,0.000,10.000,1.000,2.000,1.000,10.000,3.000,3.000,0.000,20.000,3.000,1.000,0.000,0.000,40.000,8.000
☆島部計,484.000,29.000,68.000,5.000,13.000,7.000,0.000,62.000,94.000,1.000,6.000,3.000,0.000,7.000,48.000,3.000,116.000,0.000,3.000,4.000,3.000,3.000,9.000
大島支庁小計,179.000,7.000,20.000,0.000,5.000,5.000,0.000,35.000,42.000,0.000,2.000,2.000,0.000,5.000,32.000,0.000,15.000,0.000,1.000,4.000,1.000,1.000,2.000
大島町,118.000,6.000,18.000,0.000,5.000,5.000,0.000,11.000,26.000,0.000,0.000,1.000,0.000,5.000,21.000,0.000,12.000,0.000,1.000,3.000,1.000,1.000,2.000
利島村,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
新島村,48.000,1.000,2.000,0.000,0.000,0.000,0.000,20.000,11.000,0.000,0.000,1.000,0.000,0.000,9.000,0.000,3.000,0.000,0.000,1.000,0.000,0.000,0.000
神津島村,13.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,5.000,0.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
三宅支庁小計,56.000,4.000,14.000,2.000,1.000,0.000,0.000,3.000,12.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,11.000,0.000,0.000,0.000,0.000,1.000,2.000
三宅村,51.000,2.000,13.000,2.000,0.000,0.000,0.000,3.000,11.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,11.000,0.000,0.000,0.000,0.000,1.000,2.000
御蔵島村,5.000,2.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
八丈支庁小計,214.000,15.000,31.000,3.000,5.000,2.000,0.000,20.000,31.000,1.000,1.000,1.000,0.000,2.000,10.000,1.000,84.000,0.000,2.000,0.000,1.000,1.000,3.000
八丈町,213.000,15.000,31.000,3.000,5.000,2.000,0.000,20.000,30.000,1.000,1.000,1.000,0.000,2.000,10.000,1.000,84.000,0.000,2.000,0.000,1.000,1.000,3.000
青ヶ島村,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
小笠原支庁小計,35.000,3.000,3.000,0.000,2.000,0.000,0.000,4.000,9.000,0.000,3.000,0.000,0.000,0.000,0.000,2.000,6.000,0.000,0.000,0.000,1.000,0.000,2.000
小笠原村,35.000,3.000,3.000,0.000,2.000,0.000,0.000,4.000,9.000,0.000,3.000,0.000,0.000,0.000,0.000,2.000,6.000,0.000,0.000,0.000,1.000,0.000,2.000
