開票区名,得票総数,按分の際切捨てた票数,いずれの候補者にも属さない票数,有効投票数,無効投票数,投票総数,持ち帰りと思われる票数,不受理と決定した票数,投票者数,無効投票率
府中市,112000.000,0.000,0,112000,2600,114600,4,0,114604,2.27
昭島市,47740.000,0.000,0,47740,1105,48845,4,0,48849,2.26
調布市,99314.000,0.000,0,99314,2252,101566,14,0,101580,2.22
町田市,187925.000,0.000,0,187925,3590,191515,6,0,191521,1.87
小金井市,54618.000,0.000,0,54618,1151,55769,0,0,55769,2.06
小平市,83782.000,0.000,0,83782,1584,85366,4,0,85370,1.86
日野市,80031.000,0.000,0,80031,1806,81837,26,0,81863,2.21
東村山市,67043.000,0.000,0,67043,1465,68508,5,0,68513,2.14
国分寺市,57121.000,0.000,0,57121,1064,58185,2,0,58187,1.83
国立市,35389.000,0.000,0,35389,728,36117,0,0,36117,2.02
福生市,23686.000,0.000,0,23686,700,24386,0,0,24386,2.87
狛江市,36592.000,0.000,0,36592,777,37369,5,0,37374,2.08
東大和市,37105.000,0.000,0,37105,769,37874,5,0,37879,2.03
清瀬市,33395.000,0.000,0,33395,649,34044,4,0,34048,1.91
東久留米市,51391.000,0.000,0,51391,931,52322,2,0,52324,1.78
武蔵村山市,27017.000,0.000,0,27017,765,27782,2,1,27785,2.75
多摩市,68619.000,0.000,0,68619,1228,69847,3,0,69850,1.76
稲城市,37641.000,0.000,0,37641,726,38367,0,0,38367,1.89
羽村市,22634.000,0.000,0,22634,599,23233,1,0,23234,2.58
あきる野市,34202.000,0.000,0,34202,906,35108,1,0,35109,2.58
西東京市,88753.000,0.000,0,88753,1793,90546,0,0,90546,1.98
☆西多摩郡計,24382.000,0.000,0,24382,925,25307,0,0,25307,3.66
瑞穂町,12617.000,0.000,0,12617,459,13076,0,0,13076,3.51
日の出町,7592.000,0.000,0,7592,314,7906,0,0,7906,3.97
檜原村,1304.000,0.000,0,1304,61,1365,0,0,1365,4.47
奥多摩町,2869.000,0.000,0,2869,91,2960,0,0,2960,3.07
☆島部計,13602.000,0.000,0,13602,543,14145,0,0,14145,3.84
大島支庁,6728.000,0.000,0,6728,286,7014,0,0,7014,4.08
大島町,4050.000,0.000,0,4050,208,4258,0,0,4258,4.88
利島村,219.000,0.000,0,219,10,229,0,0,229,4.37
新島村,1523.000,0.000,0,1523,49,1572,0,0,1572,3.12
神津島村,936.000,0.000,0,936,19,955,0,0,955,1.99
三宅支庁,1555.000,0.000,0,1555,49,1604,0,0,1604,3.05
三宅村,1365.000,0.000,0,1365,45,1410,0,0,1410,3.19
御蔵島村,190.000,0.000,0,190,4,194,0,0,194,2.06
八丈支庁,4108.000,0.000,0,4108,164,4272,0,0,4272,3.84
八丈町,4008.000,0.000,0,4008,159,4167,0,0,4167,3.82
青ヶ島村,100.000,0.000,0,100,5,105,0,0,105,4.76
小笠原支庁,1211.000,0.000,0,1211,44,1255,0,0,1255,3.51
小笠原村,1211.000,0.000,0,1211,44,1255,0,0,1255,3.51
