開票区名,選挙当日有権者数男,選挙当日有権者数女,選挙当日有権者数計,投票者数男,投票者数女,投票者数計,棄権者数男,棄権者数女,棄権者数計,投票率男,投票率女,投票率平均,投票率順位,前回投票率男,前回投票率女,前回投票率平均
大島支庁,5455,5498,10953,3689,3785,7474,1766,1713,3479,67.63,68.84,68.24,-,62.68,62.45,62.56
大島町,3376,3362,6738,2262,2344,4606,1114,1018,2132,67.00,69.72,68.36,5,62.11,63.60,62.87
利島村,134,122,256,116,92,208,18,30,48,86.57,75.41,81.25,2,85.00,79.83,82.63
新島村,1159,1250,2409,815,851,1666,344,399,743,70.32,68.08,69.16,4,64.02,59.47,61.63
神津島村,786,764,1550,496,498,994,290,266,556,63.10,65.18,64.13,12,59.17,59.63,59.40
三宅支庁,1374,1164,2538,892,783,1675,482,381,863,64.92,67.27,66.00,-,57.78,58.22,57.98
三宅村,1242,1052,2294,789,685,1474,453,367,820,63.53,65.11,64.25,11,55.83,55.57,55.71
御蔵島村,132,112,244,103,98,201,29,14,43,78.03,87.50,82.38,1,77.52,83.05,80.16
八丈支庁,3357,3353,6710,2097,2185,4282,1260,1168,2428,62.47,65.17,63.82,-,58.01,61.16,59.59
八丈町,3268,3296,6564,2030,2140,4170,1238,1156,2394,62.12,64.93,63.53,17,57.61,60.94,59.28
青ヶ島村,89,57,146,67,45,112,22,12,34,75.28,78.95,76.71,3,75.00,75.00,75.00
小笠原支庁,1069,835,1904,718,574,1292,351,261,612,67.17,68.74,67.86,-,58.52,60.85,59.53
小笠原村,1069,835,1904,718,574,1292,351,261,612,67.17,68.74,67.86,6,58.52,60.85,59.53
