三鷹市 固定資産台帳（平成28年度末）,,,,,,,,,,（単位：円）
会計区分,資産区分,資産名称,取得年月日,取得価額等,減価償却累計額,現在価額,"耐用
年数",用途,数量,"単位
呼称"
一般会計,事業用資産/土地,市民センター(東京都調布市深大寺東町七丁目50-95),1972/1/8,"378,818,000",0,"378,818,000",,庁舎,"1,474.00",㎡
一般会計,事業用資産/土地,市民センター(東京都調布市深大寺東町七丁目50-56),1972/2/29,"162,167,000",0,"162,167,000",,庁舎,631.00,㎡
一般会計,事業用資産/土地,第一分庁舎(新川六丁目732-3),1960/3/22,"302,780,800",0,"302,780,800",,庁舎,"1,235.84",㎡
一般会計,事業用資産/土地,第一分庁舎(新川六丁目754-12),1973/3/30,"5,145,000",0,"5,145,000",,庁舎,21.00,㎡
一般会計,事業用資産/土地,第二分庁舎(上連雀八丁目6-5),1984/3/27,"183,623,580",0,"183,623,580",,庁舎,842.31,㎡
一般会計,事業用資産/建物,市民センター(庁舎棟),1965/11/1,"1,462,878,000","1,462,877,999",1,50,庁舎,"8,127.10",㎡
一般会計,事業用資産/建物,市民センター(議場棟),1965/11/1,"251,215,200","251,215,199",1,50,庁舎,"1,395.64",㎡
一般会計,事業用資産/建物,市民センター(議場棟図書室),1978/9/28,"1,111,500","1,111,499",1,24,庁舎,11.70,㎡
一般会計,事業用資産/建物,市民センター(庁舎棟増築分),1978/12/8,"4,816,800","3,660,768","1,156,032",50,庁舎,26.76,㎡
一般会計,事業用資産/建物,市民センター(庁舎棟増築分),1999/2/17,"48,165,730","17,339,652","30,826,078",50,庁舎,252.92,㎡
一般会計,事業用資産/建物,市民センター(休日夜間受付窓口),1992/12/11,"5,150,000","4,202,400","947,600",30,庁舎,3.54,㎡
一般会計,事業用資産/建物,市民センター(非常発電機室),1980/3/31,"9,539,400","9,529,831","9,569",38,庁舎,73.38,㎡
一般会計,事業用資産/建物,市民センター(第三庁舎),1963/4/1,"43,934,400","43,934,399",1,38,庁舎,488.16,㎡
一般会計,事業用資産/建物,市民センター(バス乗降待合場),1990/3/31,"8,935,000","7,961,085","973,915",31,庁舎,45.00,㎡
一般会計,事業用資産/建物,市民センター(第二庁舎),1990/10/8,"700,548,000","491,784,696","208,763,304",38,庁舎,"2,701.46",㎡
一般会計,事業用資産/建物,市民センター(公会堂別館南側倉庫),1991/2/18,"6,441,000","5,526,378","914,622",31,庁舎,45.44,㎡
一般会計,事業用資産/建物,市民センター(身障者用駐車場),1991/2/18,"3,981,000","3,415,698","565,302",31,庁舎,54.00,㎡
一般会計,事業用資産/建物,市民センター(土木課・互助会倉庫),1991/3/29,"6,283,000","5,390,814","892,186",31,庁舎,66.70,㎡
一般会計,事業用資産/建物,市民センター(ミニグラウンド入口),1992/3/31,"1,431,000","1,180,575","250,425",31,庁舎,21.26,㎡
一般会計,事業用資産/建物,市民センター(公会堂西側駐輪場),1992/3/31,"770,000","635,250","134,750",31,庁舎,15.00,㎡
一般会計,事業用資産/建物,市民センター(公会堂西側駐輪場),1992/3/31,"770,000","635,250","134,750",31,庁舎,15.00,㎡
一般会計,事業用資産/建物,市民センター(公会堂西側駐輪場),1992/3/31,"429,000","353,925","75,075",31,庁舎,7.26,㎡
一般会計,事業用資産/建物,市民センター(雑木林南側駐輪場),1992/3/31,"2,785,000","2,297,625","487,375",31,庁舎,52.26,㎡
一般会計,事業用資産/建物,市民センター(庁舎東側駐輪場),1992/3/31,"1,068,000","881,100","186,900",31,庁舎,21.20,㎡
一般会計,事業用資産/建物,市民センター(庁舎東側駐輪場),1992/3/31,"1,068,000","881,100","186,900",31,庁舎,21.20,㎡
一般会計,事業用資産/建物,市民センター(庁舎東側駐輪場),1992/3/31,"1,068,000","881,100","186,900",31,庁舎,21.20,㎡
一般会計,事業用資産/建物,市民センター(変電室),1994/2/23,"22,000,000","16,698,000","5,302,000",31,庁舎,23.06,㎡
一般会計,事業用資産/建物,市民センター(バス北側乗降待合場),1993/12/1,"4,195,000","3,184,005","1,010,995",31,庁舎,20.00,㎡
一般会計,事業用資産/建物,市民センター(駐輪場・体育館北),2004/8/17,"960,750","380,448","580,302",31,庁舎,64.42,㎡
一般会計,事業用資産/建物,市民センター(駐輪場・体育館北)No.2,2004/8/31,"960,750","380,448","580,302",31,庁舎,86.84,㎡
一般会計,事業用資産/建物,市民センター(市民センター内ゴミ置場(粗大ゴミ)),2006/11/13,"3,721,540","1,563,040","2,158,500",24,庁舎,38.88,㎡
一般会計,事業用資産/建物,市民センター(市民センター内ゴミ置場),2006/11/13,"885,150","371,760","513,390",24,庁舎,5.24,㎡
一般会計,事業用資産/建物,市民センター(市民センター内ガス緊急遮断弁倉庫),2006/11/13,"743,400","312,220","431,180",24,庁舎,4.32,㎡
一般会計,事業用資産/建物,市民センター(公衆便所),2013/3/15,"6,027,000","650,916","5,376,084",38,庁舎,9.04,㎡
一般会計,事業用資産/建物,三鷹市庁舎3階議会委員会室設置等工事,1992/3/31,"29,921,500","14,960,750","14,960,750",50,庁舎,1.00,式
一般会計,事業用資産/建物,三鷹市庁舎事務室等OA床化工事1,1991/3/31,"49,676,900","25,831,988","23,844,912",50,庁舎,1.00,式
一般会計,事業用資産/建物,三鷹市庁舎事務室等OA床化工事２,1992/3/31,"24,720,000","12,360,000","12,360,000",50,庁舎,1.00,式
一般会計,事業用資産/建物,三鷹市庁舎市民課総合窓口改修工事,1999/3/31,"30,922,500","11,132,100","19,790,400",50,庁舎,1.00,式
一般会計,事業用資産/建物,三鷹市庁舎等外壁塗装補修工事,1990/3/31,"95,790,000","51,726,600","44,063,400",50,庁舎,1.00,式
一般会計,事業用資産/建物,三鷹市本庁舎・議場棟耐震補強工事,1998/3/31,"399,000,000","151,620,000","247,380,000",50,庁舎,1.00,式
一般会計,事業用資産/建物,三鷹市本庁舎屋上防水等改修工事,2009/3/31,"15,676,500","2,508,240","13,168,260",50,庁舎,1.00,式
一般会計,事業用資産/建物,三鷹市民センター構内駐輪場新設等工事,1993/3/31,"21,012,000","13,615,776","7,396,224",38,庁舎,1.00,式
一般会計,事業用資産/建物,三鷹市第二庁舎1階改修等工事,1996/3/31,"81,121,900","45,996,111","35,125,789",38,庁舎,1.00,式
一般会計,事業用資産/建物,三鷹市議会全員協議会等改修工事,1993/3/31,"15,965,000","7,663,200","8,301,800",50,庁舎,1.00,式
一般会計,事業用資産/建物,庁舎棟・議場棟耐震補強工事,2012/3/31,"20,947,500","2,094,750","18,852,750",50,庁舎,1.00,式
一般会計,事業用資産/建物,本庁舎複層ガラス化等整備工事,2010/3/31,"84,997,500","11,899,650","73,097,850",50,庁舎,1.00,式
一般会計,事業用資産/建物,第三庁舎棟改修工事,2000/3/31,"27,090,000","12,434,310","14,655,690",38,庁舎,1.00,式
一般会計,事業用資産/建物,第二庁舎外壁塗装工事,2015/3/31,"29,376,000","1,586,304","27,789,696",38,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(Ｌ３コアスイッチ入替工事),2011/3/31,"24,255,000","14,553,000","9,702,000",10,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(高圧受配電盤改造工事),2005/3/31,"37,800,000","29,975,400","7,824,600",15,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(庁舎防火引戸改修工事),2001/3/31,"15,750,000","15,749,999",1,15,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(非常用自家発電設備更新工事),2005/3/31,"97,650,000","97,649,999",1,6,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(三鷹市議場棟便所改修工事),1996/3/31,"17,098,000","17,097,999",1,15,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(三鷹市庁舎5階便所改修工事),1997/3/31,"15,038,000","15,037,999",1,15,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(三鷹市庁舎エレベーター設備改修工事),1994/3/31,"87,550,000","87,549,999",1,17,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(三鷹市庁舎地下便所改修工事),1995/3/31,"15,192,500","15,192,499",1,15,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(三鷹市庁舎内間仕切等改修工事),1991/3/31,"17,098,000","17,097,999",1,15,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(三鷹市庁舎無停電装置設置及び電算室等改修工事),1991/3/31,"86,520,000","86,519,999",1,6,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(三鷹市民センター電話交換設備等改修工事),1992/3/31,"116,905,000","116,904,999",1,10,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(三鷹市民センター内変電設備改修工事),1994/3/31,"264,710,000","264,709,999",1,15,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(三鷹市第二庁舎照明器具取替工事),2011/3/31,"15,750,000","6,331,500","9,418,500",15,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(三鷹市民センター受配電用保護継電器取替等工事),2013/3/31,"19,005,000","5,093,340","13,911,660",15,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(庁舎空調設備熱源改修工事),2013/3/31,"127,260,000","39,196,080","88,063,920",13,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(本庁舎照明LED化工事),2015/3/31,"41,904,000","5,615,136","36,288,864",15,庁舎,1.00,式
一般会計,事業用資産/建物,市民センター(本庁舎電話交換機設備更新工事),2011/3/31,"24,990,000","14,994,000","9,996,000",10,庁舎,1.00,式
一般会計,事業用資産/建物,車庫棟1,2013/2/13,"3,719,100","490,920","3,228,180",31,庁舎,48.00,㎡
一般会計,事業用資産/建物,車庫棟2,2013/2/13,"3,270,750","431,736","2,839,014",31,庁舎,48.00,㎡
一般会計,事業用資産/建物,車庫棟用物置,2013/2/13,"957,600","126,400","831,200",31,庁舎,12.73,㎡
一般会計,事業用資産/建物,車庫棟脇自転車置場,2013/2/13,"523,950","69,160","454,790",31,庁舎,12.32,㎡
一般会計,事業用資産/建物,三鷹市民センター内車庫棟屋根等改修工事,1991/3/31,"20,806,000","17,851,548","2,954,452",31,庁舎,1.00,式
一般会計,事業用資産/建物,三鷹市車庫棟仮庁舎改修工事,1999/3/31,"35,385,000","21,018,690","14,366,310",31,庁舎,1.00,式
一般会計,事業用資産/建物,第一分庁舎(庁舎),2005/2/10,"115,500,000","47,124,000","68,376,000",30,庁舎,"1,075.68",㎡
一般会計,事業用資産/建物,第一分庁舎(倉庫),2005/2/10,"1,446,900","572,964","873,936",31,庁舎,29.98,㎡
一般会計,事業用資産/建物,第一分庁舎(駐輪場),2005/2/10,"760,200","383,136","377,064",24,庁舎,29.02,㎡
一般会計,事業用資産/建物,第二分庁舎(倉庫),2004/11/12,"9,156,485","3,625,968","5,530,517",31,庁舎,173.25,㎡
一般会計,事業用資産/建物,第二庁舎２・３階エレベーターホール空調機設置工事,2016/8/3,"2,030,400",0,"2,030,400",13,庁舎,1.00,式
一般会計,事業用資産/建物,本庁舎非常用電源設備蓄電池及び直流電源装置部品交換工事,2016/10/7,"4,147,200",0,"4,147,200",6,庁舎,1.00,式
一般会計,事業用資産/建物,本庁舎等防火シャッター危害防止装置設置工事,2016/10/20,"11,016,000",0,"11,016,000",15,庁舎,1.00,式
一般会計,事業用資産/建物,本庁舎外壁補修工事,2016/7/29,"24,818,400",0,"24,818,400",10,庁舎,1.00,式
一般会計,事業用資産/建物,三鷹市上連雀分庁舎,2016/6/28,"514,294,900",0,"514,294,900",38,庁舎,965.93,㎡
一般会計,事業用資産/工作物,照明設備（市民センター）,1990/3/31,"133,308,000","71,986,320","61,321,680",50,庁舎,1.00,式
一般会計,事業用資産/工作物,時計塔（市民センター）,1990/3/31,"2,927,000","1,580,580","1,346,420",50,庁舎,1.00,式
一般会計,事業用資産/工作物,市民センター(三鷹市庁舎電気引込幹線改修工事),1991/3/31,"43,569,000","43,568,999",1,20,庁舎,1.00,式
一般会計,事業用資産/工作物,市民センター(三鷹市民センター前景観整備工事),1990/3/31,"149,350,000","149,349,999",1,20,庁舎,1.00,式
一般会計,事業用資産/工作物,市民センター(三鷹市庁舎増築・高圧受変電設備設置工事),1990/3/31,"950,690,000","950,689,999",1,17,庁舎,1.00,式
一般会計,事業用資産/建設仮勘定,市民センター駐車場及び和洋弓場等設計業務（建設仮勘定）,2017/3/31,"37,479,400",0,"37,479,400",,庁舎,1.00,式
一般会計,有形固定資産/物品/物品,軽貨物 スバル　サンバーバン 2WD 3AT　TV1N5HB-WYC,2011/9/21,"871,500","871,499",1,5,,1.00,式
一般会計,有形固定資産/物品/物品,軽貨物 スバル・GBD-S321B VBクリーン DOHC 2WD 4AT　 型式記号：ＴＬ1Ｂ5ＢＤ　 ＯＰコード　ＥＸＣ　塗色：ホワイト,2015/6/23,"912,600","182,520","730,080",5,,1.00,式
一般会計,有形固定資産/物品/物品,軽乗用車 スバル　ﾌﾟﾚｵﾌﾟﾗｽ　DBA-LA300F　車種Ｆ 2WD CVT　型式記号：RE1B5BA、OPコード：BXH、塗色　ホワイト,2016/6/27,"745,200",0,"745,200",4,,1.00,式
一般会計,事業用資産/土地,第十分団詰所(大沢二丁目1007-17),2007/6/1,"30,844,692",0,"30,844,692",,消防施設,63.00,㎡
一般会計,事業用資産/土地,第十分団詰所(大沢五丁目1009-15),2007/6/1,"19,466,428",0,"19,466,428",,消防施設,189.68,㎡
一般会計,事業用資産/土地,第十分団詰所(大沢五丁目1009-16),2007/6/1,"16,935,205",0,"16,935,205",,消防施設,34.59,㎡
一般会計,事業用資産/土地,第十分団詰所(大沢五丁目1009-17),2007/6/1,"32,024,623",0,"32,024,623",,消防施設,65.41,㎡
一般会計,事業用資産/土地,第一分団詰所(新川五丁目447-4),2009/6/1,"42,189,725",0,"42,189,725",,消防施設,170.57,㎡
一般会計,事業用資産/土地,第二分団詰所(新川二丁目1010-26),2002/6/11,"62,889,000",0,"62,889,000",,消防施設,209.00,㎡
一般会計,事業用資産/土地,第二分団詰所(新川二丁目1010-29),2002/6/11,"16,683,000",0,"16,683,000",,消防施設,55.00,㎡
一般会計,事業用資産/土地,第三分団詰所(牟礼二丁目1068-5),1988/3/14,"94,433,362",0,"94,433,362",,消防施設,92.58,㎡
一般会計,事業用資産/土地,第四分団詰所(井の頭四丁目908-16),1991/9/25,"155,950,060",0,"155,950,060",,消防施設,140.46,㎡
一般会計,事業用資産/土地,第六分団詰所(下連雀八丁目484-1),2004/9/1,"82,715,617",0,"82,715,617",,消防施設,219.00,㎡
一般会計,事業用資産/土地,第七分団詰所(上連雀七丁目258-3),2006/6/1,"117,240,800",0,"117,240,800",,消防施設,290.20,㎡
一般会計,事業用資産/土地,第七分団詰所(上連雀七丁目258-7),2006/6/1,"9,033,394",0,"9,033,394",,消防施設,21.00,㎡
一般会計,事業用資産/土地,第八分団詰所(深大寺一丁目3937-14),1989/7/14,"70,760,000",0,"70,760,000",,消防施設,116.00,㎡
一般会計,事業用資産/土地,第九分団詰所(野崎二丁目144-2),1995/3/10,"88,393,904",0,"88,393,904",,消防施設,150.00,㎡
一般会計,事業用資産/土地,災害対策用倉庫（旧第十分団詰所）(大沢三丁目1385-46),1979/2/1,"1,102,564",0,"1,102,564",,災害対策用施設,9.22,㎡
一般会計,事業用資産/土地,災害対策用倉庫（旧第十分団詰所）(大沢三丁目1385-47),1979/2/1,"4,305,024",0,"4,305,024",,災害対策用施設,36.00,㎡
一般会計,事業用資産/土地,防災行政用無線同報系屋外拡声子局（中原一丁目局）用地(中原一丁目983-7),2014/1/28,"1,259,220",0,"1,259,220",,災害対策用施設,10.53,㎡
一般会計,事業用資産/土地,災害対策用倉庫（三鷹駅南口西側）(下連雀三丁目307-24),2007/1/29,"1,724,420",0,"1,724,420",,災害対策用施設,3.02,㎡
一般会計,事業用資産/建物,第十分団詰所,2008/1/30,"49,770,000","9,854,460","39,915,540",47,消防施設,106.31,㎡
一般会計,事業用資産/建物,災害対策用倉庫(上連雀一丁目),2014/3/31,"851,760","84,324","767,436",31,災害対策用施設,2.82,㎡
一般会計,事業用資産/建物,下連雀被災者一時宿泊施設,2005/2/28,"6,064,879","2,698,865","3,366,014",27,災害対策用施設,44.75,㎡
一般会計,事業用資産/建物,災害対策用倉庫(新川),1983/6/8,"12,655,500","11,276,034","1,379,466",38,災害対策用施設,97.35,㎡
一般会計,事業用資産/建物,第一分団詰所,2010/3/26,"50,012,550","7,701,932","42,310,618",47,消防施設,106.31,㎡
一般会計,事業用資産/建物,第二分団詰所,2003/2/28,"27,614,000","8,505,112","19,108,888",47,消防施設,92.67,㎡
一般会計,事業用資産/建物,災害対策用倉庫(大沢),2007/6/21,"2,900,000","1,096,200","1,803,800",24,災害対策用施設,10.17,㎡
一般会計,事業用資産/建物,第三分団詰所,1989/8/11,"24,365,000","14,472,810","9,892,190",47,消防施設,89.93,㎡
一般会計,事業用資産/建物,第四分団詰所,1993/10/13,"45,011,000","22,775,566","22,235,434",47,消防施設,83.59,㎡
一般会計,事業用資産/建物,第五分団詰所,1990/11/22,"26,555,000","15,189,460","11,365,540",47,消防施設,87.99,㎡
一般会計,事業用資産/建物,第六分団詰所,2005/2/28,"31,041,654","8,194,992","22,846,662",47,消防施設,93.82,㎡
一般会計,事業用資産/建物,第七分団詰所,2007/2/23,"36,121,000","7,946,620","28,174,380",47,消防施設,95.71,㎡
一般会計,事業用資産/建物,第八分団詰所,1991/12/5,"28,784,000","15,831,200","12,952,800",47,消防施設,83.59,㎡
一般会計,事業用資産/建物,第九分団詰所,1996/2/13,"41,715,000","19,272,330","22,442,670",47,消防施設,86.47,㎡
一般会計,事業用資産/建物,災害対策用倉庫(中原四丁目),2014/1/16,"12,201,000","1,207,899","10,993,101",31,災害対策用施設,134.41,㎡
一般会計,事業用資産/建物,災害対策用備蓄倉庫(国際基督教大学),2010/3/30,"2,625,000","606,375","2,018,625",31,災害対策用施設,15.93,㎡
一般会計,事業用資産/建物,災害対策用備蓄倉庫(新川あおやぎ公園),2010/3/12,"2,625,000","606,375","2,018,625",31,災害対策用施設,15.93,㎡
一般会計,事業用資産/建物,災害対策用備蓄倉庫(牟礼コミュニティ・センター),2009/3/30,"2,546,250","672,208","1,874,042",31,災害対策用施設,15.93,㎡
一般会計,事業用資産/建物,災害対策用備蓄倉庫(牟礼複合施設),2016/3/17,"43,421,400","1,172,377","42,249,023",38,災害対策用施設,102.40,㎡
一般会計,事業用資産/建物,災害対策用倉庫(旧第十分団詰所),1979/3/31,"4,536,000","4,535,999",1,34,災害対策用施設,64.80,㎡
一般会計,事業用資産/建物,災害対策用倉庫(井口),1982/3/25,"13,104,000","12,383,280","720,720",38,災害対策用施設,100.80,㎡
一般会計,事業用資産/建物,災害対策用倉庫(井の頭),1985/3/1,"12,740,000","11,007,360","1,732,640",38,災害対策用施設,98.00,㎡
一般会計,事業用資産/建物,災害対策用倉庫(下連雀),2005/2/28,"6,064,882","2,183,352","3,881,530",34,災害対策用施設,47.99,㎡
一般会計,事業用資産/建物,災害対策用倉庫(下連雀きたうら児童公園),2016/2/5,"1,242,000","40,986","1,201,014",31,災害対策用施設,5.81,㎡
一般会計,事業用資産/建物,災害対策用倉庫(下連雀六丁目),1976/3/31,"3,284,400","3,284,399",1,34,災害対策用施設,46.92,㎡
一般会計,事業用資産/建物,災害対策用倉庫(下連雀六丁目防災広場),2014/3/31,"2,451,750","242,721","2,209,029",31,災害対策用施設,5.47,㎡
一般会計,事業用資産/建物,災害対策用倉庫(三鷹駅南口西側),2007/11/29,"11,970,000","2,908,710","9,061,290",38,災害対策用施設,18.27,㎡
一般会計,事業用資産/建物,災害対策用倉庫(三鷹台児童公園),2015/3/2,"799,740","52,782","746,958",31,災害対策用施設,5.66,㎡
一般会計,事業用資産/建物,災害対策用倉庫(市民センター),1979/3/31,"17,290,000","17,289,999",1,38,災害対策用施設,133.00,㎡
一般会計,事業用資産/建物,災害対策用倉庫(上連雀),1999/3/31,"3,250,000","1,579,500","1,670,500",38,災害対策用施設,13.00,㎡
