令和５年12月１日現在,,,
年齢,男,女　,合計
55,1515 ,1515 ,3030 
56,1490 ,1472 ,2962 
57,1165 ,1188 ,2353 
58,1507 ,1396 ,2903 
59,1426 ,1215 ,2641 
60,1228 ,1219 ,2447 
61,1183 ,1193 ,2376 
62,1091 ,1044 ,2135 
63,995 ,1056 ,2051 
64,1064 ,993 ,2057 
65,928 ,946 ,1874 
66,849 ,901 ,1750 
67,840 ,879 ,1719 
68,778 ,838 ,1616 
69,842 ,864 ,1706 
70,826 ,888 ,1714 
71,826 ,875 ,1701 
72,919 ,953 ,1872 
73,935 ,1052 ,1987 
74,1021 ,1175 ,2196 
75,998 ,1233 ,2231 
76,907 ,1180 ,2087 
77,588 ,722 ,1310 
78,583 ,764 ,1347 
79,691 ,924 ,1615 
80,641 ,885 ,1526 
81,632 ,903 ,1535 
82,597 ,858 ,1455 
83,504 ,775 ,1279 
84,378 ,692 ,1070 
85,415 ,666 ,1081 
86,375 ,670 ,1045 
87,329 ,678 ,1007 
88,300 ,563 ,863 
89,254 ,524 ,778 
90,232 ,445 ,677 
91,185 ,466 ,651 
92,165 ,385 ,550 
93,136 ,303 ,439 
94,86 ,252 ,338 
95,60 ,195 ,255 
96,58 ,148 ,206 
97,30 ,124 ,154 
98,25 ,89 ,114 
99,13 ,60 ,73 
100,6 ,45 ,51 
101,4 ,24 ,28 
102,3 ,23 ,26 
103,1 ,9 ,10 
104,1 ,2 ,3 
105,0 ,4 ,4 
106,0 ,1 ,1 
107,0 ,1 ,1 
108,0 ,0 ,0 
109,0 ,0 ,0 
110,0 ,0 ,0 
111,0 ,0 ,0 
112,0 ,0 ,0 
113,0 ,0 ,0 
114以上,0 ,0 ,0 
計,92614 ,97580 ,190194 
令和５年10月１日現在,,,
年齢,男,女　,合計
0,569 ,574 ,1143 
1,638 ,609 ,1247 
2,688 ,656 ,1344 
3,720 ,681 ,1401 
4,784 ,702 ,1486 
5,841 ,773 ,1614 
6,815 ,799 ,1614 
7,915 ,834 ,1749 
8,871 ,815 ,1686 
9,895 ,874 ,1769 
10,863 ,821 ,1684 
11,834 ,808 ,1642 
12,908 ,797 ,1705 
13,828 ,892 ,1720 
14,855 ,799 ,1654 
15,840 ,781 ,1621 
16,814 ,770 ,1584 
17,802 ,810 ,1612 
18,845 ,787 ,1632 
19,922 ,887 ,1809 
20,920 ,933 ,1853 
21,996 ,1011 ,2007 
22,1034 ,1099 ,2133 
23,1138 ,1134 ,2272 
24,1191 ,1218 ,2409 
25,1230 ,1197 ,2427 
26,1158 ,1166 ,2324 
27,1137 ,1141 ,2278 
28,1139 ,1131 ,2270 
29,1129 ,1081 ,2210 
30,1089 ,1099 ,2188 
31,1143 ,1127 ,2270 
32,1100 ,1065 ,2165 
33,1107 ,1071 ,2178 
34,1133 ,1133 ,2266 
35,1217 ,1239 ,2456 
36,1186 ,1157 ,2343 
37,1304 ,1255 ,2559 
38,1313 ,1368 ,2681 
39,1391 ,1375 ,2766 
40,1394 ,1319 ,2713 
41,1410 ,1378 ,2788 
42,1385 ,1375 ,2760 
43,1484 ,1400 ,2884 
44,1450 ,1527 ,2977 
45,1495 ,1512 ,3007 
46,1475 ,1525 ,3000 
47,1474 ,1555 ,3029 
48,1520 ,1488 ,3008 
49,1593 ,1669 ,3262 
50,1654 ,1592 ,3246 
51,1635 ,1651 ,3286 
52,1593 ,1645 ,3238 
53,1568 ,1599 ,3167 
54,1581 ,1594 ,3175 
55,1501 ,1485 ,2986 
56,1461 ,1478 ,2939 
57,1221 ,1199 ,2420 
58,1487 ,1364 ,2851 
59,1426 ,1245 ,2671 
60,1223 ,1210 ,2433 
61,1172 ,1166 ,2338 
62,1085 ,1033 ,2118 
63,1015 ,1065 ,2080 
64,1053 ,1002 ,2055 
65,911 ,921 ,1832 
66,864 ,898 ,1762 
67,843 ,882 ,1725 
68,779 ,844 ,1623 
69,839 ,872 ,1711 
70,828 ,875 ,1703 
71,836 ,871 ,1707 
72,923 ,969 ,1892 
73,945 ,1067 ,2012 
74,1016 ,1192 ,2208 
75,1014 ,1226 ,2240 
76,877 ,1162 ,2039 
77,562 ,696 ,1258 
78,606 ,780 ,1386 
79,700 ,936 ,1636 
80,623 ,898 ,1521 
81,642 ,886 ,1528 
82,597 ,870 ,1467 
83,489 ,769 ,1258 
84,377 ,676 ,1053 
85,426 ,694 ,1120 
86,363 ,660 ,1023 
87,336 ,686 ,1022 
88,301 ,558 ,859 
89,264 ,512 ,776 
90,219 ,450 ,669 
91,189 ,466 ,655 
92,167 ,394 ,561 
93,140 ,281 ,421 
94,86 ,253 ,339 
95,62 ,199 ,261 
96,56 ,142 ,198 
97,29 ,128 ,157 
98,27 ,88 ,115 
99,12 ,61 ,73 
100,7 ,43 ,50 
101,3 ,28 ,31 
102,3 ,20 ,23 
103,1 ,9 ,10 
104,1 ,2 ,3 
105,0 ,4 ,4 
106,0 ,1 ,1 
107,0 ,1 ,1 
108,0 ,0 ,0 
109,0 ,0 ,0 
110,0 ,0 ,0 
111,0 ,0 ,0 
112,0 ,0 ,0 
113,0 ,0 ,0 
114以上,0 ,0 ,0 
計,92620 ,97515 ,190135 
令和５年９月１日現在,,,
年齢,男,女　,合計
0,594 ,600 ,1194 
1,648 ,616 ,1264 
2,674 ,654 ,1328 
3,720 ,676 ,1396 
4,796 ,702 ,1498 
5,832 ,781 ,1613 
6,827 ,786 ,1613 
7,913 ,852 ,1765 
8,888 ,814 ,1702 
9,903 ,866 ,1769 
10,828 ,815 ,1643 
11,857 ,818 ,1675 
12,920 ,790 ,1710 
13,809 ,900 ,1709 
14,853 ,796 ,1649 
15,832 ,779 ,1611 
16,816 ,771 ,1587 
17,809 ,803 ,1612 
18,830 ,782 ,1612 
19,908 ,887 ,1795 
20,908 ,920 ,1828 
21,985 ,996 ,1981 
22,1043 ,1103 ,2146 
23,1103 ,1123 ,2226 
24,1224 ,1216 ,2440 
25,1208 ,1199 ,2407 
26,1180 ,1155 ,2335 
27,1132 ,1149 ,2281 
28,1148 ,1127 ,2275 
29,1123 ,1083 ,2206 
30,1111 ,1112 ,2223 
31,1138 ,1109 ,2247 
32,1077 ,1061 ,2138 
33,1119 ,1075 ,2194 
34,1143 ,1153 ,2296 
35,1206 ,1227 ,2433 
36,1203 ,1171 ,2374 
37,1325 ,1264 ,2589 
38,1294 ,1376 ,2670 
39,1403 ,1347 ,2750 
40,1388 ,1333 ,2721 
41,1414 ,1368 ,2782 
42,1376 ,1367 ,2743 
43,1473 ,1445 ,2918 
44,1471 ,1496 ,2967 
45,1507 ,1549 ,3056 
46,1482 ,1501 ,2983 
47,1465 ,1542 ,3007 
48,1535 ,1510 ,3045 
49,1577 ,1657 ,3234 
50,1667 ,1599 ,3266 
51,1629 ,1641 ,3270 
52,1580 ,1648 ,3228 
53,1578 ,1593 ,3171 
54,1574 ,1586 ,3160 
55,1488 ,1485 ,2973 
56,1425 ,1443 ,2868 
57,1289 ,1236 ,2525 
58,1472 ,1364 ,2836 
59,1382 ,1230 ,2612 
60,1238 ,1211 ,2449 
61,1162 ,1145 ,2307 
62,1081 ,1052 ,2133 
63,1023 ,1037 ,2060 
64,1021 ,999 ,2020 
65,925 ,916 ,1841 
66,854 ,906 ,1760 
67,838 ,873 ,1711 
68,790 ,852 ,1642 
69,846 ,873 ,1719 
70,826 ,879 ,1705 
71,826 ,873 ,1699 
72,940 ,996 ,1936 
73,958 ,1062 ,2020 
74,1001 ,1206 ,2207 
75,1021 ,1213 ,2234 
76,869 ,1134 ,2003 
77,543 ,677 ,1220 
78,617 ,810 ,1427 
79,706 ,928 ,1634 
80,622 ,879 ,1501 
81,645 ,919 ,1564 
82,592 ,848 ,1440 
83,488 ,763 ,1251 
84,371 ,667 ,1038 
85,431 ,706 ,1137 
86,355 ,667 ,1022 
87,336 ,674 ,1010 
88,301 ,555 ,856 
89,260 ,510 ,770 
90,223 ,447 ,670 
91,196 ,468 ,664 
92,165 ,395 ,560 
93,132 ,281 ,413 
94,92 ,261 ,353 
95,60 ,185 ,245 
96,57 ,139 ,196 
97,32 ,132 ,164 
98,22 ,81 ,103 
99,11 ,61 ,72 
100,7 ,47 ,54 
101,2 ,23 ,25 
102,4 ,22 ,26 
103,1 ,7 ,8 
104,1 ,4 ,5 
105,0 ,2 ,2 
106,0 ,1 ,1 
107,0 ,1 ,1 
108,0 ,0 ,0 
109,0 ,0 ,0 
110,0 ,0 ,0 
111,0 ,0 ,0 
112,0 ,0 ,0 
113,0 ,0 ,0 
114以上,0 ,0 ,0 
計,92593 ,97434 ,190027 
令和５年８月１日現在,,,
年齢,男,女　,合計
0,592 ,603 ,1195 
1,662 ,609 ,1271 
2,680 ,663 ,1343 
3,716 ,664 ,1380 
4,813 ,710 ,1523 
5,816 ,777 ,1593 
6,833 ,788 ,1621 
7,913 ,874 ,1787 
8,885 ,812 ,1697 
9,906 ,855 ,1761 
10,830 ,815 ,1645 
11,866 ,826 ,1692 
12,897 ,782 ,1679 
13,824 ,882 ,1706 
14,850 ,809 ,1659 
15,811 ,775 ,1586 
16,825 ,779 ,1604 
17,807 ,802 ,1609 
18,814 ,775 ,1589 
19,927 ,874 ,1801 
20,902 ,922 ,1824 
21,986 ,1022 ,2008 
22,1080 ,1115 ,2195 
23,1119 ,1149 ,2268 
24,1216 ,1206 ,2422 
25,1224 ,1181 ,2405 
26,1163 ,1190 ,2353 
27,1142 ,1116 ,2258 
28,1150 ,1125 ,2275 
29,1134 ,1095 ,2229 
30,1118 ,1089 ,2207 
31,1122 ,1128 ,2250 
32,1076 ,1056 ,2132 
33,1125 ,1074 ,2199 
34,1182 ,1163 ,2345 
35,1184 ,1218 ,2402 
36,1199 ,1162 ,2361 
37,1337 ,1269 ,2606 
38,1298 ,1380 ,2678 
39,1405 ,1348 ,2753 
40,1376 ,1338 ,2714 
41,1420 ,1395 ,2815 
42,1361 ,1334 ,2695 
43,1503 ,1449 ,2952 
44,1462 ,1521 ,2983 
45,1499 ,1567 ,3066 
46,1483 ,1483 ,2966 
47,1482 ,1525 ,3007 
48,1556 ,1526 ,3082 
49,1586 ,1662 ,3248 
50,1657 ,1581 ,3238 
51,1603 ,1661 ,3264 
52,1583 ,1635 ,3218 
53,1586 ,1583 ,3169 
54,1580 ,1577 ,3157 
55,1473 ,1490 ,2963 
56,1395 ,1422 ,2817 
57,1342 ,1248 ,2590 
58,1447 ,1351 ,2798 
59,1367 ,1229 ,2596 
60,1234 ,1219 ,2453 
61,1149 ,1138 ,2287 
62,1074 ,1027 ,2101 
63,1037 ,1054 ,2091 
64,1010 ,979 ,1989 
65,925 ,922 ,1847 
66,845 ,907 ,1752 
67,829 ,847 ,1676 
68,798 ,880 ,1678 
69,846 ,871 ,1717 
70,833 ,886 ,1719 
71,830 ,875 ,1705 
72,938 ,1025 ,1963 
73,983 ,1053 ,2036 
74,991 ,1208 ,2199 
75,1036 ,1213 ,2249 
76,836 ,1116 ,1952 
77,548 ,670 ,1218 
78,617 ,816 ,1433 
79,712 ,933 ,1645 
80,625 ,853 ,1478 
81,641 ,931 ,1572 
82,589 ,852 ,1441 
83,481 ,757 ,1238 
84,364 ,658 ,1022 
85,446 ,712 ,1158 
86,354 ,657 ,1011 
87,336 ,674 ,1010 
88,296 ,569 ,865 
89,264 ,508 ,772 
90,215 ,452 ,667 
91,210 ,461 ,671 
92,158 ,392 ,550 
93,129 ,283 ,412 
94,98 ,258 ,356 
95,64 ,194 ,258 
96,53 ,133 ,186 
97,34 ,129 ,163 
98,23 ,78 ,101 
99,10 ,61 ,71 
100,7 ,48 ,55 
101,3 ,19 ,22 
102,4 ,24 ,28 
103,1 ,6 ,7 
104,1 ,5 ,6 
105,0 ,2 ,2 
106,0 ,1 ,1 
107,0 ,1 ,1 
108,0 ,0 ,0 
109,0 ,0 ,0 
110,0 ,0 ,0 
111,0 ,0 ,0 
112,0 ,0 ,0 
113,0 ,0 ,0 
114以上,0 ,0 ,0 
計,92667 ,97416 ,190083 
令和５年７月１日現在,,,
年齢,男,女　,合計
0,606 ,591 ,1197 
1,678 ,614 ,1292 
2,642 ,689 ,1331 
3,737 ,679 ,1416 
4,814 ,697 ,1511 
5,814 ,784 ,1598 
6,845 ,795 ,1640 
7,894 ,857 ,1751 
8,894 ,831 ,1725 
9,902 ,846 ,1748 
10,848 ,808 ,1656 
11,853 ,835 ,1688 
12,900 ,778 ,1678 
13,812 ,892 ,1704 
14,862 ,806 ,1668 
15,827 ,773 ,1600 
16,809 ,782 ,1591 
17,803 ,793 ,1596 
18,832 ,784 ,1616 
19,931 ,876 ,1807 
20,923 ,945 ,1868 
21,966 ,1017 ,1983 
22,1099 ,1169 ,2268 
23,1118 ,1138 ,2256 
24,1222 ,1235 ,2457 
25,1215 ,1173 ,2388 
26,1176 ,1190 ,2366 
27,1128 ,1108 ,2236 
28,1166 ,1127 ,2293 
29,1127 ,1102 ,2229 
30,1139 ,1088 ,2227 
31,1091 ,1152 ,2243 
32,1069 ,1058 ,2127 
33,1164 ,1073 ,2237 
34,1177 ,1180 ,2357 
35,1196 ,1195 ,2391 
36,1199 ,1189 ,2388 
37,1369 ,1286 ,2655 
38,1304 ,1375 ,2679 
39,1392 ,1345 ,2737 
40,1375 ,1376 ,2751 
41,1416 ,1388 ,2804 
42,1348 ,1323 ,2671 
43,1485 ,1475 ,2960 
44,1505 ,1507 ,3012 
45,1496 ,1569 ,3065 
46,1480 ,1472 ,2952 
47,1496 ,1533 ,3029 
48,1557 ,1533 ,3090 
49,1595 ,1676 ,3271 
50,1649 ,1615 ,3264 
51,1601 ,1644 ,3245 
52,1600 ,1610 ,3210 
53,1605 ,1575 ,3180 
54,1549 ,1570 ,3119 
55,1463 ,1475 ,2938 
56,1368 ,1403 ,2771 
57,1383 ,1259 ,2642 
58,1431 ,1356 ,2787 
59,1370 ,1207 ,2577 
60,1213 ,1233 ,2446 
61,1163 ,1120 ,2283 
62,1059 ,1040 ,2099 
63,1023 ,1047 ,2070 
64,1019 ,982 ,2001 
65,910 ,909 ,1819 
66,849 ,910 ,1759 
67,814 ,846 ,1660 
68,800 ,869 ,1669 
69,856 ,874 ,1730 
70,823 ,876 ,1699 
71,844 ,895 ,1739 
72,945 ,1010 ,1955 
73,987 ,1092 ,2079 
74,979 ,1213 ,2192 
75,1042 ,1182 ,2224 
76,814 ,1095 ,1909 
77,546 ,672 ,1218 
78,620 ,819 ,1439 
79,705 ,951 ,1656 
80,625 ,841 ,1466 
81,645 ,934 ,1579 
82,581 ,836 ,1417 
83,476 ,747 ,1223 
84,353 ,662 ,1015 
85,469 ,724 ,1193 
86,355 ,666 ,1021 
87,337 ,663 ,1000 
88,294 ,567 ,861 
89,260 ,491 ,751 
90,217 ,470 ,687 
91,211 ,455 ,666 
92,164 ,387 ,551 
93,123 ,282 ,405 
94,95 ,255 ,350 
95,69 ,197 ,266 
96,50 ,134 ,184 
97,35 ,134 ,169 
98,23 ,78 ,101 
99,11 ,61 ,72 
100,7 ,44 ,51 
101,3 ,21 ,24 
102,3 ,26 ,29 
103,1 ,5 ,6 
104,1 ,5 ,6 
105,0 ,2 ,2 
106,0 ,1 ,1 
107,0 ,1 ,1 
108,0 ,0 ,0 
109,0 ,0 ,0 
110,0 ,0 ,0 
111,0 ,0 ,0 
112,0 ,0 ,0 
113,0 ,0 ,0 
114以上,0 ,0 ,0 
計,92734 ,97545 ,190279 
令和５年６月１日現在,,,
年齢,男,女　,合計
0,608 ,610 ,1218 
1,686 ,611 ,1297 
2,647 ,672 ,1319 
3,734 ,683 ,1417 
4,820 ,706 ,1526 
5,810 ,776 ,1586 
6,844 ,798 ,1642 
7,889 ,855 ,1744 
8,915 ,838 ,1753 
9,903 ,832 ,1735 
10,820 ,813 ,1633 
11,860 ,835 ,1695 
12,888 ,781 ,1669 
13,815 ,888 ,1703 
14,850 ,791 ,1641 
15,831 ,786 ,1617 
16,810 ,763 ,1573 
17,798 ,798 ,1596 
18,841 ,795 ,1636 
19,918 ,879 ,1797 
20,970 ,956 ,1926 
21,940 ,1035 ,1975 
22,1113 ,1185 ,2298 
23,1146 ,1152 ,2298 
24,1198 ,1231 ,2429 
25,1237 ,1173 ,2410 
26,1160 ,1192 ,2352 
27,1139 ,1100 ,2239 
28,1167 ,1119 ,2286 
29,1123 ,1104 ,2227 
30,1120 ,1115 ,2235 
31,1119 ,1143 ,2262 
32,1049 ,1051 ,2100 
33,1153 ,1102 ,2255 
34,1194 ,1175 ,2369 
35,1203 ,1178 ,2381 
36,1200 ,1217 ,2417 
37,1362 ,1293 ,2655 
38,1307 ,1383 ,2690 
39,1388 ,1320 ,2708 
40,1400 ,1385 ,2785 
41,1405 ,1377 ,2782 
42,1360 ,1321 ,2681 
43,1493 ,1488 ,2981 
44,1504 ,1527 ,3031 
45,1495 ,1551 ,3046 
46,1463 ,1474 ,2937 
47,1495 ,1546 ,3041 
48,1565 ,1540 ,3105 
49,1598 ,1659 ,3257 
50,1658 ,1621 ,3279 
51,1598 ,1645 ,3243 
52,1575 ,1613 ,3188 
53,1606 ,1575 ,3181 
54,1553 ,1554 ,3107 
55,1447 ,1492 ,2939 
56,1353 ,1383 ,2736 
57,1385 ,1261 ,2646 
58,1456 ,1329 ,2785 
59,1342 ,1211 ,2553 
60,1225 ,1242 ,2467 
61,1148 ,1122 ,2270 
62,1040 ,1030 ,2070 
63,1017 ,1052 ,2069 
64,1022 ,960 ,1982 
65,907 ,919 ,1826 
66,844 ,900 ,1744 
67,815 ,834 ,1649 
68,807 ,884 ,1691 
69,854 ,875 ,1729 
70,828 ,870 ,1698 
71,860 ,900 ,1760 
72,926 ,1027 ,1953 
73,1008 ,1101 ,2109 
74,989 ,1210 ,2199 
75,1042 ,1190 ,2232 
76,803 ,1057 ,1860 
77,532 ,664 ,1196 
78,638 ,835 ,1473 
79,696 ,939 ,1635 
80,618 ,846 ,1464 
81,640 ,945 ,1585 
82,572 ,822 ,1394 
83,469 ,742 ,1211 
84,359 ,655 ,1014 
85,462 ,728 ,1190 
86,362 ,685 ,1047 
87,346 ,641 ,987 
88,299 ,580 ,879 
89,258 ,476 ,734 
90,224 ,475 ,699 
91,205 ,444 ,649 
92,168 ,383 ,551 
93,122 ,287 ,409 
94,94 ,254 ,348 
95,66 ,195 ,261 
96,52 ,134 ,186 
97,40 ,134 ,174 
98,20 ,73 ,93 
99,12 ,64 ,76 
100,6 ,45 ,51 
101,3 ,21 ,24 
102,3 ,27 ,30 
103,1 ,5 ,6 
104,1 ,7 ,8 
105,0 ,2 ,2 
106,0 ,0 ,0 
107,0 ,2 ,2 
108,0 ,0 ,0 
109,0 ,0 ,0 
110,0 ,0 ,0 
111,0 ,0 ,0 
112,0 ,0 ,0 
113,0 ,0 ,0 
114以上,0 ,0 ,0 
計,92729 ,97569 ,190298 
令和５年５月１日現在,,,
年齢,男,女　,合計
0,616 ,609 ,1225 
1,700 ,616 ,1316 
2,640 ,674 ,1314 
3,740 ,700 ,1440 
4,828 ,707 ,1535 
5,818 ,779 ,1597 
6,839 ,810 ,1649 
7,890 ,842 ,1732 
8,911 ,831 ,1742 
9,905 ,837 ,1742 
10,823 ,799 ,1622 
11,866 ,825 ,1691 
12,865 ,800 ,1665 
13,824 ,874 ,1698 
14,855 ,798 ,1653 
15,827 ,791 ,1618 
16,818 ,776 ,1594 
17,781 ,771 ,1552 
18,870 ,811 ,1681 
19,901 ,870 ,1771 
20,975 ,971 ,1946 
21,942 ,1064 ,2006 
22,1123 ,1156 ,2279 
23,1157 ,1169 ,2326 
24,1201 ,1239 ,2440 
25,1251 ,1185 ,2436 
26,1176 ,1191 ,2367 
27,1111 ,1099 ,2210 
28,1175 ,1106 ,2281 
29,1118 ,1111 ,2229 
30,1137 ,1125 ,2262 
31,1111 ,1114 ,2225 
32,1050 ,1044 ,2094 
33,1146 ,1111 ,2257 
34,1217 ,1190 ,2407 
35,1199 ,1160 ,2359 
36,1205 ,1210 ,2415 
37,1372 ,1327 ,2699 
38,1305 ,1381 ,2686 
39,1406 ,1329 ,2735 
40,1421 ,1379 ,2800 
41,1396 ,1381 ,2777 
42,1360 ,1344 ,2704 
43,1501 ,1494 ,2995 
44,1485 ,1504 ,2989 
45,1508 ,1556 ,3064 
46,1463 ,1486 ,2949 
47,1485 ,1535 ,3020 
48,1562 ,1552 ,3114 
49,1622 ,1648 ,3270 
50,1639 ,1659 ,3298 
51,1607 ,1611 ,3218 
52,1563 ,1600 ,3163 
53,1621 ,1593 ,3214 
54,1555 ,1532 ,3087 
55,1448 ,1494 ,2942 
56,1304 ,1347 ,2651 
57,1421 ,1306 ,2727 
58,1451 ,1327 ,2778 
59,1326 ,1179 ,2505 
60,1217 ,1234 ,2451 
61,1152 ,1128 ,2280 
62,1030 ,1046 ,2076 
63,1045 ,1018 ,2063 
64,985 ,981 ,1966 
65,907 ,916 ,1823 
66,848 ,903 ,1751 
67,802 ,825 ,1627 
68,821 ,870 ,1691 
69,866 ,891 ,1757 
70,805 ,866 ,1671 
71,879 ,918 ,1797 
72,943 ,1009 ,1952 
73,989 ,1128 ,2117 
74,982 ,1201 ,2183 
75,1059 ,1227 ,2286 
76,748 ,994 ,1742 
77,551 ,669 ,1220 
78,639 ,856 ,1495 
79,694 ,918 ,1612 
80,614 ,867 ,1481 
81,647 ,928 ,1575 
82,568 ,830 ,1398 
83,463 ,732 ,1195 
84,371 ,666 ,1037 
85,450 ,730 ,1180 
86,371 ,689 ,1060 
87,343 ,633 ,976 
88,308 ,569 ,877 
89,256 ,492 ,748 
90,228 ,472 ,700 
91,204 ,448 ,652 
92,158 ,375 ,533 
93,127 ,300 ,427 
94,95 ,252 ,347 
95,68 ,200 ,268 
96,53 ,129 ,182 
97,36 ,135 ,171 
98,22 ,71 ,93 
99,9 ,69 ,78 
100,7 ,44 ,51 
101,4 ,23 ,27 
102,3 ,26 ,29 
103,0 ,5 ,5 
104,1 ,8 ,9 
105,0 ,2 ,2 
106,0 ,1 ,1 
107,0 ,1 ,1 
108,0 ,0 ,0 
109,0 ,0 ,0 
110,0 ,0 ,0 
111,0 ,0 ,0 
112,0 ,0 ,0 
113,0 ,0 ,0 
114以上,0 ,0 ,0 
計,92800 ,97624 ,190424 
令和５年４月１日現在,,,
年齢,男,女　,合計
0,626 ,608 ,1234 
1,708 ,617 ,1325 
2,637 ,695 ,1332 
3,738 ,685 ,1423 
4,847 ,698 ,1545 
5,807 ,803 ,1610 
6,861 ,814 ,1675 
7,878 ,825 ,1703 
8,910 ,846 ,1756 
9,890 ,824 ,1714 
10,808 ,796 ,1604 
11,892 ,824 ,1716 
12,848 ,804 ,1652 
13,850 ,855 ,1705 
