令和５年12月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
北野２丁目,1067 ,1099 ,2166 ,978 
北野３丁目,1062 ,1024 ,2086 ,976 
北野４丁目,1021 ,1027 ,2048 ,1085 
小計,3908 ,3954 ,7862 ,3779 
新川１丁目,1070 ,1086 ,2156 ,1049 
新川２丁目,743 ,797 ,1540 ,755 
新川３丁目,1043 ,1065 ,2108 ,1081 
新川４丁目,1549 ,1689 ,3238 ,1646 
新川５丁目,1256 ,1336 ,2592 ,1401 
新川６丁目,2188 ,2121 ,4309 ,2564 
小計,7849 ,8094 ,15943 ,8496 
上連雀１丁目,1573 ,1563 ,3136 ,1843 
上連雀２丁目,1166 ,1215 ,2381 ,1406 
上連雀３丁目,947 ,924 ,1871 ,1095 
上連雀４丁目,1594 ,1581 ,3175 ,1695 
上連雀５丁目,1395 ,1395 ,2790 ,1475 
上連雀６丁目,1412 ,1591 ,3003 ,1589 
上連雀７丁目,1425 ,1508 ,2933 ,1454 
上連雀８丁目,1671 ,1766 ,3437 ,1618 
上連雀９丁目,1483 ,1584 ,3067 ,1476 
小計,12666 ,13127 ,25793 ,13651 
井口１丁目,1887 ,1889 ,3776 ,1816 
井口２丁目,1201 ,1318 ,2519 ,1148 
井口３丁目,1067 ,1221 ,2288 ,1098 
井口４丁目,1586 ,1626 ,3212 ,1572 
井口５丁目,441 ,495 ,936 ,483 
小計,6182 ,6549 ,12731 ,6117 
深大寺１丁目,930 ,985 ,1915 ,875 
深大寺２丁目,2171 ,1889 ,4060 ,2092 
深大寺３丁目,1106 ,1015 ,2121 ,1103 
小計,4207 ,3889 ,8096 ,4070 
野崎１丁目,479 ,507 ,986 ,510 
野崎２丁目,1210 ,1235 ,2445 ,1229 
野崎３丁目,1181 ,1192 ,2373 ,1048 
野崎４丁目,342 ,295 ,637 ,279 
小計,3212 ,3229 ,6441 ,3066 
大沢１丁目,1396 ,1411 ,2807 ,1273 
大沢２丁目,942 ,931 ,1873 ,931 
大沢３丁目,877 ,969 ,1846 ,1046 
大沢４丁目,1432 ,1561 ,2993 ,1416 
大沢５丁目,1033 ,1038 ,2071 ,902 
大沢６丁目,750 ,752 ,1502 ,786 
小計,6430 ,6662 ,13092 ,6354 
合計,92614 ,97580 ,190194 ,96886 
令和５年10月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1455 ,1530 ,2985 ,1629 
下連雀２丁目,1673 ,1756 ,3429 ,1848 
下連雀３丁目,4861 ,5435 ,10296 ,6389 
下連雀４丁目,3016 ,3293 ,6309 ,3472 
下連雀５丁目,2721 ,3247 ,5968 ,2555 
下連雀６丁目,2175 ,2334 ,4509 ,2242 
下連雀７丁目,2426 ,2733 ,5159 ,2464 
下連雀８丁目,1685 ,1861 ,3546 ,1567 
下連雀９丁目,2301 ,2462 ,4763 ,2001 
小計,22313 ,24651 ,46964 ,24167 
牟礼１丁目,1045 ,1143 ,2188 ,1175 
牟礼２丁目,1819 ,2022 ,3841 ,2032 
牟礼３丁目,1186 ,1144 ,2330 ,1085 
牟礼４丁目,1584 ,1710 ,3294 ,1575 
牟礼５丁目,1359 ,1328 ,2687 ,1349 
牟礼６丁目,3075 ,3311 ,6386 ,2898 
牟礼７丁目,947 ,918 ,1865 ,915 
小計,11015 ,11576 ,22591 ,11029 
井の頭１丁目,2364 ,2538 ,4902 ,2819 
井の頭２丁目,1577 ,1719 ,3296 ,2017 
井の頭３丁目,1089 ,1219 ,2308 ,1245 
井の頭４丁目,1064 ,1078 ,2142 ,1161 
井の頭５丁目,1627 ,1651 ,3278 ,1731 
小計,7721 ,8205 ,15926 ,8973 
中原１丁目,2016 ,2233 ,4249 ,2195 
中原２丁目,1538 ,1616 ,3154 ,1481 
中原３丁目,1569 ,1672 ,3241 ,1573 
中原４丁目,2000 ,2111 ,4111 ,1946 
小計,7123 ,7632 ,14755 ,7195 
北野１丁目,760 ,805 ,1565 ,743 
北野２丁目,1071 ,1098 ,2169 ,984 
北野３丁目,1063 ,1025 ,2088 ,976 
北野４丁目,1019 ,1024 ,2043 ,1084 
小計,3913 ,3952 ,7865 ,3787 
新川１丁目,1069 ,1080 ,2149 ,1047 
新川２丁目,747 ,797 ,1544 ,757 
新川３丁目,1044 ,1055 ,2099 ,1073 
新川４丁目,1554 ,1682 ,3236 ,1638 
新川５丁目,1251 ,1330 ,2581 ,1391 
新川６丁目,2170 ,2099 ,4269 ,2516 
小計,7835 ,8043 ,15878 ,8422 
上連雀１丁目,1572 ,1567 ,3139 ,1845 
上連雀２丁目,1170 ,1209 ,2379 ,1406 
上連雀３丁目,941 ,917 ,1858 ,1086 
上連雀４丁目,1594 ,1579 ,3173 ,1698 
上連雀５丁目,1397 ,1397 ,2794 ,1481 
上連雀６丁目,1414 ,1594 ,3008 ,1591 
上連雀７丁目,1429 ,1515 ,2944 ,1457 
上連雀８丁目,1668 ,1768 ,3436 ,1620 
上連雀９丁目,1481 ,1587 ,3068 ,1477 
小計,12666 ,13133 ,25799 ,13661 
井口１丁目,1879 ,1875 ,3754 ,1803 
井口２丁目,1207 ,1322 ,2529 ,1153 
井口３丁目,1070 ,1218 ,2288 ,1095 
井口４丁目,1582 ,1614 ,3196 ,1559 
井口５丁目,438 ,496 ,934 ,485 
小計,6176 ,6525 ,12701 ,6095 
深大寺１丁目,928 ,987 ,1915 ,877 
深大寺２丁目,2178 ,1893 ,4071 ,2094 
深大寺３丁目,1104 ,1015 ,2119 ,1105 
小計,4210 ,3895 ,8105 ,4076 
野崎１丁目,483 ,509 ,992 ,513 
野崎２丁目,1212 ,1235 ,2447 ,1230 
野崎３丁目,1179 ,1194 ,2373 ,1046 
野崎４丁目,343 ,294 ,637 ,279 
小計,3217 ,3232 ,6449 ,3068 
大沢１丁目,1398 ,1409 ,2807 ,1271 
大沢２丁目,938 ,939 ,1877 ,932 
大沢３丁目,881 ,970 ,1851 ,1048 
大沢４丁目,1432 ,1560 ,2992 ,1417 
大沢５丁目,1031 ,1044 ,2075 ,900 
大沢６丁目,751 ,749 ,1500 ,784 
小計,6431 ,6671 ,13102 ,6352 
合計,92620 ,97515 ,190135 ,96825 
令和５年９月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1454 ,1533 ,2987 ,1625 
下連雀２丁目,1676 ,1751 ,3427 ,1846 
下連雀３丁目,4863 ,5434 ,10297 ,6391 
下連雀４丁目,3018 ,3293 ,6311 ,3472 
下連雀５丁目,2705 ,3232 ,5937 ,2541 
下連雀６丁目,2183 ,2341 ,4524 ,2250 
下連雀７丁目,2430 ,2728 ,5158 ,2466 
下連雀８丁目,1689 ,1866 ,3555 ,1574 
下連雀９丁目,2304 ,2469 ,4773 ,1999 
小計,22322 ,24647 ,46969 ,24164 
牟礼１丁目,1043 ,1144 ,2187 ,1177 
牟礼２丁目,1818 ,2028 ,3846 ,2028 
牟礼３丁目,1180 ,1137 ,2317 ,1077 
牟礼４丁目,1570 ,1691 ,3261 ,1546 
牟礼５丁目,1357 ,1327 ,2684 ,1348 
牟礼６丁目,3076 ,3316 ,6392 ,2898 
牟礼７丁目,949 ,916 ,1865 ,915 
小計,10993 ,11559 ,22552 ,10989 
井の頭１丁目,2360 ,2537 ,4897 ,2807 
井の頭２丁目,1576 ,1719 ,3295 ,2015 
井の頭３丁目,1088 ,1222 ,2310 ,1249 
井の頭４丁目,1065 ,1074 ,2139 ,1163 
井の頭５丁目,1628 ,1645 ,3273 ,1728 
小計,7717 ,8197 ,15914 ,8962 
中原１丁目,2026 ,2238 ,4264 ,2196 
中原２丁目,1539 ,1614 ,3153 ,1480 
中原３丁目,1555 ,1657 ,3212 ,1561 
中原４丁目,2000 ,2114 ,4114 ,1947 
小計,7120 ,7623 ,14743 ,7184 
北野１丁目,762 ,805 ,1567 ,743 
北野２丁目,1064 ,1094 ,2158 ,979 
北野３丁目,1063 ,1019 ,2082 ,969 
北野４丁目,1022 ,1022 ,2044 ,1084 
小計,3911 ,3940 ,7851 ,3775 
新川１丁目,1069 ,1079 ,2148 ,1048 
新川２丁目,752 ,801 ,1553 ,758 
新川３丁目,1046 ,1042 ,2088 ,1062 
新川４丁目,1558 ,1698 ,3256 ,1655 
新川５丁目,1252 ,1331 ,2583 ,1394 
新川６丁目,2182 ,2117 ,4299 ,2540 
小計,7859 ,8068 ,15927 ,8457 
上連雀１丁目,1579 ,1561 ,3140 ,1850 
上連雀２丁目,1173 ,1212 ,2385 ,1414 
上連雀３丁目,948 ,917 ,1865 ,1094 
上連雀４丁目,1573 ,1571 ,3144 ,1683 
上連雀５丁目,1402 ,1403 ,2805 ,1487 
上連雀６丁目,1417 ,1603 ,3020 ,1601 
上連雀７丁目,1432 ,1513 ,2945 ,1455 
上連雀８丁目,1676 ,1768 ,3444 ,1620 
上連雀９丁目,1480 ,1590 ,3070 ,1475 
小計,12680 ,13138 ,25818 ,13679 
井口１丁目,1878 ,1875 ,3753 ,1806 
井口２丁目,1208 ,1323 ,2531 ,1153 
井口３丁目,1065 ,1220 ,2285 ,1097 
井口４丁目,1572 ,1618 ,3190 ,1551 
井口５丁目,434 ,492 ,926 ,481 
小計,6157 ,6528 ,12685 ,6088 
深大寺１丁目,931 ,984 ,1915 ,880 
深大寺２丁目,2188 ,1897 ,4085 ,2098 
深大寺３丁目,1104 ,1013 ,2117 ,1103 
小計,4223 ,3894 ,8117 ,4081 
野崎１丁目,481 ,505 ,986 ,511 
野崎２丁目,1212 ,1235 ,2447 ,1232 
野崎３丁目,1179 ,1192 ,2371 ,1043 
野崎４丁目,344 ,296 ,640 ,283 
小計,3216 ,3228 ,6444 ,3069 
大沢１丁目,1403 ,1406 ,2809 ,1273 
大沢２丁目,939 ,938 ,1877 ,926 
大沢３丁目,832 ,915 ,1747 ,945 
大沢４丁目,1432 ,1561 ,2993 ,1419 
大沢５丁目,1038 ,1043 ,2081 ,901 
大沢６丁目,751 ,749 ,1500 ,784 
小計,6395 ,6612 ,13007 ,6248 
合計,92593 ,97434 ,190027 ,96696 
令和５年８月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1451 ,1529 ,2980 ,1618 
下連雀２丁目,1682 ,1752 ,3434 ,1855 
下連雀３丁目,4896 ,5475 ,10371 ,6436 
下連雀４丁目,3014 ,3300 ,6314 ,3472 
下連雀５丁目,2694 ,3226 ,5920 ,2535 
下連雀６丁目,2182 ,2344 ,4526 ,2251 
下連雀７丁目,2438 ,2740 ,5178 ,2473 
下連雀８丁目,1687 ,1867 ,3554 ,1576 
下連雀９丁目,2303 ,2464 ,4767 ,2002 
小計,22347 ,24697 ,47044 ,24218 
牟礼１丁目,1051 ,1139 ,2190 ,1177 
牟礼２丁目,1819 ,2027 ,3846 ,2029 
牟礼３丁目,1182 ,1135 ,2317 ,1079 
牟礼４丁目,1596 ,1703 ,3299 ,1582 
牟礼５丁目,1361 ,1329 ,2690 ,1351 
牟礼６丁目,3070 ,3304 ,6374 ,2884 
牟礼７丁目,952 ,914 ,1866 ,914 
小計,11031 ,11551 ,22582 ,11016 
井の頭１丁目,2369 ,2538 ,4907 ,2821 
井の頭２丁目,1584 ,1716 ,3300 ,2015 
井の頭３丁目,1088 ,1227 ,2315 ,1250 
井の頭４丁目,1061 ,1066 ,2127 ,1156 
井の頭５丁目,1639 ,1653 ,3292 ,1739 
小計,7741 ,8200 ,15941 ,8981 
中原１丁目,2036 ,2243 ,4279 ,2207 
中原２丁目,1543 ,1607 ,3150 ,1479 
中原３丁目,1559 ,1654 ,3213 ,1561 
中原４丁目,2004 ,2120 ,4124 ,1948 
小計,7142 ,7624 ,14766 ,7195 
北野１丁目,764 ,804 ,1568 ,743 
北野２丁目,1062 ,1096 ,2158 ,980 
北野３丁目,1067 ,1021 ,2088 ,969 
北野４丁目,1020 ,1019 ,2039 ,1076 
小計,3913 ,3940 ,7853 ,3768 
新川１丁目,1063 ,1078 ,2141 ,1046 
新川２丁目,749 ,802 ,1551 ,757 
新川３丁目,1044 ,1041 ,2085 ,1063 
新川４丁目,1568 ,1700 ,3268 ,1656 
新川５丁目,1250 ,1328 ,2578 ,1396 
新川６丁目,2185 ,2120 ,4305 ,2551 
小計,7859 ,8069 ,15928 ,8469 
上連雀１丁目,1579 ,1567 ,3146 ,1845 
上連雀２丁目,1171 ,1203 ,2374 ,1409 
上連雀３丁目,940 ,904 ,1844 ,1084 
上連雀４丁目,1582 ,1575 ,3157 ,1686 
上連雀５丁目,1405 ,1405 ,2810 ,1497 
上連雀６丁目,1406 ,1594 ,3000 ,1587 
上連雀７丁目,1433 ,1510 ,2943 ,1450 
上連雀８丁目,1676 ,1766 ,3442 ,1616 
上連雀９丁目,1482 ,1601 ,3083 ,1480 
小計,12674 ,13125 ,25799 ,13654 
井口１丁目,1884 ,1869 ,3753 ,1812 
井口２丁目,1204 ,1316 ,2520 ,1147 
井口３丁目,1059 ,1212 ,2271 ,1091 
井口４丁目,1569 ,1611 ,3180 ,1543 
井口５丁目,434 ,492 ,926 ,482 
小計,6150 ,6500 ,12650 ,6075 
深大寺１丁目,927 ,980 ,1907 ,877 
深大寺２丁目,2181 ,1892 ,4073 ,2092 
深大寺３丁目,1099 ,1005 ,2104 ,1094 
小計,4207 ,3877 ,8084 ,4063 
野崎１丁目,483 ,506 ,989 ,515 
野崎２丁目,1212 ,1241 ,2453 ,1236 
野崎３丁目,1181 ,1197 ,2378 ,1048 
野崎４丁目,348 ,302 ,650 ,287 
小計,3224 ,3246 ,6470 ,3086 
大沢１丁目,1399 ,1397 ,2796 ,1271 
大沢２丁目,941 ,933 ,1874 ,923 
大沢３丁目,816 ,898 ,1714 ,918 
大沢４丁目,1433 ,1560 ,2993 ,1422 
大沢５丁目,1039 ,1049 ,2088 ,905 
大沢６丁目,751 ,750 ,1501 ,787 
小計,6379 ,6587 ,12966 ,6226 
合計,92667 ,97416 ,190083 ,96751 
令和５年７月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1449 ,1524 ,2973 ,1615 
下連雀２丁目,1685 ,1750 ,3435 ,1858 
下連雀３丁目,4873 ,5477 ,10350 ,6414 
下連雀４丁目,3008 ,3304 ,6312 ,3470 
下連雀５丁目,2695 ,3225 ,5920 ,2533 
下連雀６丁目,2189 ,2346 ,4535 ,2252 
下連雀７丁目,2441 ,2731 ,5172 ,2466 
下連雀８丁目,1688 ,1874 ,3562 ,1580 
下連雀９丁目,2311 ,2467 ,4778 ,2004 
小計,22339 ,24698 ,47037 ,24192 
牟礼１丁目,1047 ,1138 ,2185 ,1175 
牟礼２丁目,1822 ,2036 ,3858 ,2037 
牟礼３丁目,1178 ,1128 ,2306 ,1071 
牟礼４丁目,1600 ,1704 ,3304 ,1589 
牟礼５丁目,1363 ,1327 ,2690 ,1351 
牟礼６丁目,3073 ,3305 ,6378 ,2888 
牟礼７丁目,953 ,917 ,1870 ,916 
小計,11036 ,11555 ,22591 ,11027 
井の頭１丁目,2364 ,2543 ,4907 ,2824 
井の頭２丁目,1587 ,1722 ,3309 ,2028 
井の頭３丁目,1077 ,1227 ,2304 ,1240 
井の頭４丁目,1060 ,1068 ,2128 ,1156 
井の頭５丁目,1649 ,1663 ,3312 ,1750 
小計,7737 ,8223 ,15960 ,8998 
中原１丁目,2040 ,2251 ,4291 ,2216 
中原２丁目,1546 ,1608 ,3154 ,1483 
中原３丁目,1559 ,1658 ,3217 ,1561 
中原４丁目,2015 ,2126 ,4141 ,1957 
小計,7160 ,7643 ,14803 ,7217 
北野１丁目,765 ,805 ,1570 ,746 
北野２丁目,1061 ,1089 ,2150 ,976 
北野３丁目,1070 ,1026 ,2096 ,970 
北野４丁目,1019 ,1021 ,2040 ,1079 
小計,3915 ,3941 ,7856 ,3771 
新川１丁目,1059 ,1074 ,2133 ,1042 
新川２丁目,747 ,805 ,1552 ,757 
新川３丁目,1046 ,1042 ,2088 ,1068 
新川４丁目,1568 ,1709 ,3277 ,1659 
新川５丁目,1259 ,1325 ,2584 ,1403 
新川６丁目,2188 ,2139 ,4327 ,2569 
小計,7867 ,8094 ,15961 ,8498 
上連雀１丁目,1585 ,1571 ,3156 ,1854 
上連雀２丁目,1175 ,1198 ,2373 ,1407 
上連雀３丁目,941 ,905 ,1846 ,1085 
上連雀４丁目,1586 ,1577 ,3163 ,1686 
上連雀５丁目,1389 ,1395 ,2784 ,1486 
上連雀６丁目,1401 ,1595 ,2996 ,1586 
上連雀７丁目,1432 ,1503 ,2935 ,1445 
上連雀８丁目,1677 ,1777 ,3454 ,1619 
上連雀９丁目,1486 ,1603 ,3089 ,1482 
小計,12672 ,13124 ,25796 ,13650 
井口１丁目,1896 ,1872 ,3768 ,1821 
井口２丁目,1208 ,1316 ,2524 ,1149 
井口３丁目,1065 ,1219 ,2284 ,1101 
井口４丁目,1567 ,1613 ,3180 ,1544 
井口５丁目,434 ,494 ,928 ,482 
小計,6170 ,6514 ,12684 ,6097 
深大寺１丁目,924 ,974 ,1898 ,874 
深大寺２丁目,2197 ,1900 ,4097 ,2104 
深大寺３丁目,1098 ,1002 ,2100 ,1089 
小計,4219 ,3876 ,8095 ,4067 
野崎１丁目,482 ,510 ,992 ,518 
野崎２丁目,1221 ,1245 ,2466 ,1243 
野崎３丁目,1177 ,1201 ,2378 ,1049 
野崎４丁目,345 ,301 ,646 ,285 
小計,3225 ,3257 ,6482 ,3095 
大沢１丁目,1396 ,1397 ,2793 ,1271 
大沢２丁目,943 ,933 ,1876 ,922 
大沢３丁目,827 ,926 ,1753 ,952 
大沢４丁目,1440 ,1562 ,3002 ,1425 
大沢５丁目,1038 ,1052 ,2090 ,902 
大沢６丁目,750 ,750 ,1500 ,785 
小計,6394 ,6620 ,13014 ,6257 
合計,92734 ,97545 ,190279 ,96869 
令和５年６月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1454 ,1524 ,2978 ,1620 
下連雀２丁目,1678 ,1747 ,3425 ,1853 
下連雀３丁目,4843 ,5459 ,10302 ,6390 
下連雀４丁目,3001 ,3301 ,6302 ,3466 
下連雀５丁目,2700 ,3212 ,5912 ,2530 
下連雀６丁目,2194 ,2347 ,4541 ,2257 
下連雀７丁目,2438 ,2739 ,5177 ,2464 
下連雀８丁目,1695 ,1871 ,3566 ,1578 
下連雀９丁目,2314 ,2468 ,4782 ,2003 
小計,22317 ,24668 ,46985 ,24161 
牟礼１丁目,1035 ,1127 ,2162 ,1167 
牟礼２丁目,1830 ,2046 ,3876 ,2046 
牟礼３丁目,1184 ,1121 ,2305 ,1078 
牟礼４丁目,1605 ,1700 ,3305 ,1592 
牟礼５丁目,1360 ,1327 ,2687 ,1349 
牟礼６丁目,3071 ,3314 ,6385 ,2887 
牟礼７丁目,950 ,918 ,1868 ,913 
小計,11035 ,11553 ,22588 ,11032 
井の頭１丁目,2346 ,2537 ,4883 ,2804 
井の頭２丁目,1583 ,1724 ,3307 ,2029 
井の頭３丁目,1077 ,1225 ,2302 ,1240 
井の頭４丁目,1058 ,1066 ,2124 ,1154 
井の頭５丁目,1649 ,1671 ,3320 ,1760 
小計,7713 ,8223 ,15936 ,8987 
中原１丁目,2044 ,2248 ,4292 ,2221 
中原２丁目,1546 ,1609 ,3155 ,1484 
中原３丁目,1560 ,1657 ,3217 ,1567 
中原４丁目,2025 ,2133 ,4158 ,1963 
小計,7175 ,7647 ,14822 ,7235 
北野１丁目,765 ,806 ,1571 ,750 
北野２丁目,1068 ,1094 ,2162 ,980 
北野３丁目,1068 ,1021 ,2089 ,967 
北野４丁目,1017 ,1018 ,2035 ,1074 
小計,3918 ,3939 ,7857 ,3771 
新川１丁目,1061 ,1080 ,2141 ,1045 
新川２丁目,745 ,804 ,1549 ,757 
新川３丁目,1043 ,1045 ,2088 ,1070 
新川４丁目,1568 ,1712 ,3280 ,1661 
新川５丁目,1252 ,1317 ,2569 ,1398 
新川６丁目,2183 ,2134 ,4317 ,2564 
小計,7852 ,8092 ,15944 ,8495 
上連雀１丁目,1582 ,1571 ,3153 ,1849 
上連雀２丁目,1169 ,1192 ,2361 ,1403 
上連雀３丁目,947 ,913 ,1860 ,1099 
上連雀４丁目,1587 ,1584 ,3171 ,1695 
上連雀５丁目,1376 ,1389 ,2765 ,1477 
上連雀６丁目,1404 ,1596 ,3000 ,1586 
上連雀７丁目,1436 ,1502 ,2938 ,1447 
上連雀８丁目,1681 ,1787 ,3468 ,1622 
上連雀９丁目,1485 ,1597 ,3082 ,1483 
小計,12667 ,13131 ,25798 ,13661 
井口１丁目,1903 ,1879 ,3782 ,1832 
井口２丁目,1211 ,1316 ,2527 ,1151 
井口３丁目,1058 ,1219 ,2277 ,1101 
井口４丁目,1565 ,1610 ,3175 ,1537 
井口５丁目,433 ,495 ,928 ,482 
小計,6170 ,6519 ,12689 ,6103 
深大寺１丁目,923 ,976 ,1899 ,876 
深大寺２丁目,2195 ,1904 ,4099 ,2110 
深大寺３丁目,1097 ,998 ,2095 ,1087 
小計,4215 ,3878 ,8093 ,4073 
野崎１丁目,482 ,514 ,996 ,521 
野崎２丁目,1220 ,1238 ,2458 ,1239 
野崎３丁目,1174 ,1200 ,2374 ,1046 
野崎４丁目,349 ,302 ,651 ,289 
小計,3225 ,3254 ,6479 ,3095 
大沢１丁目,1394 ,1397 ,2791 ,1270 
大沢２丁目,948 ,929 ,1877 ,922 
大沢３丁目,855 ,969 ,1824 ,1022 
大沢４丁目,1445 ,1564 ,3009 ,1425 
大沢５丁目,1044 ,1053 ,2097 ,902 
大沢６丁目,756 ,753 ,1509 ,789 
小計,6442 ,6665 ,13107 ,6330 
合計,92729 ,97569 ,190298 ,96943 
令和５年５月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1465 ,1525 ,2990 ,1626 
下連雀２丁目,1682 ,1745 ,3427 ,1852 
下連雀３丁目,4869 ,5444 ,10313 ,6391 
下連雀４丁目,3007 ,3290 ,6297 ,3464 
下連雀５丁目,2702 ,3211 ,5913 ,2533 
