令和４年12月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
小計,12689 ,13116 ,25805 ,13583 
井口１丁目,1912 ,1878 ,3790 ,1812 
井口２丁目,1209 ,1319 ,2528 ,1149 
井口３丁目,1059 ,1208 ,2267 ,1104 
井口４丁目,1569 ,1586 ,3155 ,1515 
井口５丁目,441 ,495 ,936 ,491 
小計,6190 ,6486 ,12676 ,6071 
深大寺１丁目,926 ,977 ,1903 ,878 
深大寺２丁目,2154 ,1905 ,4059 ,2062 
深大寺３丁目,1110 ,998 ,2108 ,1100 
小計,4190 ,3880 ,8070 ,4040 
野崎１丁目,487 ,528 ,1015 ,522 
野崎２丁目,1214 ,1241 ,2455 ,1219 
野崎３丁目,1176 ,1206 ,2382 ,1047 
野崎４丁目,348 ,308 ,656 ,292 
小計,3225 ,3283 ,6508 ,3080 
大沢１丁目,1401 ,1389 ,2790 ,1261 
大沢２丁目,951 ,935 ,1886 ,928 
大沢３丁目,855 ,966 ,1821 ,1005 
大沢４丁目,1464 ,1576 ,3040 ,1438 
大沢５丁目,1052 ,1066 ,2118 ,906 
大沢６丁目,766 ,752 ,1518 ,786 
小計,6489 ,6684 ,13173 ,6324 
合計,92736 ,97412 ,190148 ,96389 
令和４年11月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1462 ,1532 ,2994 ,1614 
下連雀２丁目,1662 ,1737 ,3399 ,1822 
下連雀３丁目,4908 ,5472 ,10380 ,6383 
下連雀４丁目,2973 ,3241 ,6214 ,3419 
下連雀５丁目,2715 ,3225 ,5940 ,2546 
下連雀６丁目,2175 ,2338 ,4513 ,2234 
下連雀７丁目,2411 ,2716 ,5127 ,2418 
下連雀８丁目,1712 ,1892 ,3604 ,1579 
下連雀９丁目,2310 ,2434 ,4744 ,1983 
小計,22328 ,24587 ,46915 ,23998 
牟礼１丁目,1042 ,1124 ,2166 ,1167 
牟礼２丁目,1832 ,2020 ,3852 ,2034 
牟礼３丁目,1210 ,1146 ,2356 ,1104 
牟礼４丁目,1605 ,1674 ,3279 ,1563 
牟礼５丁目,1376 ,1345 ,2721 ,1363 
牟礼６丁目,3059 ,3298 ,6357 ,2854 
牟礼７丁目,950 ,916 ,1866 ,898 
小計,11074 ,11523 ,22597 ,10983 
井の頭１丁目,2347 ,2538 ,4885 ,2823 
井の頭２丁目,1575 ,1715 ,3290 ,1999 
井の頭３丁目,1055 ,1218 ,2273 ,1224 
井の頭４丁目,1064 ,1066 ,2130 ,1155 
井の頭５丁目,1652 ,1695 ,3347 ,1759 
小計,7693 ,8232 ,15925 ,8960 
中原１丁目,2030 ,2219 ,4249 ,2191 
中原２丁目,1554 ,1613 ,3167 ,1480 
中原３丁目,1520 ,1641 ,3161 ,1545 
中原４丁目,2000 ,2135 ,4135 ,1943 
小計,7104 ,7608 ,14712 ,7159 
北野１丁目,769 ,822 ,1591 ,758 
北野２丁目,1067 ,1086 ,2153 ,969 
北野３丁目,1058 ,1025 ,2083 ,959 
北野４丁目,1001 ,1007 ,2008 ,1057 
小計,3895 ,3940 ,7835 ,3743 
新川１丁目,1057 ,1077 ,2134 ,1034 
新川２丁目,756 ,799 ,1555 ,763 
新川３丁目,1050 ,1057 ,2107 ,1069 
新川４丁目,1585 ,1710 ,3295 ,1656 
新川５丁目,1233 ,1318 ,2551 ,1384 
新川６丁目,2226 ,2131 ,4357 ,2584 
小計,7907 ,8092 ,15999 ,8490 
上連雀１丁目,1583 ,1580 ,3163 ,1851 
上連雀２丁目,1159 ,1195 ,2354 ,1373 
上連雀３丁目,946 ,917 ,1863 ,1091 
上連雀４丁目,1611 ,1596 ,3207 ,1695 
上連雀５丁目,1373 ,1377 ,2750 ,1472 
上連雀６丁目,1399 ,1569 ,2968 ,1547 
上連雀７丁目,1437 ,1496 ,2933 ,1440 
上連雀８丁目,1696 ,1797 ,3493 ,1639 
上連雀９丁目,1491 ,1587 ,3078 ,1479 
小計,12695 ,13114 ,25809 ,13587 
井口１丁目,1914 ,1886 ,3800 ,1816 
井口２丁目,1205 ,1318 ,2523 ,1149 
井口３丁目,1060 ,1206 ,2266 ,1103 
井口４丁目,1575 ,1588 ,3163 ,1516 
井口５丁目,438 ,496 ,934 ,488 
小計,6192 ,6494 ,12686 ,6072 
深大寺１丁目,925 ,974 ,1899 ,874 
深大寺２丁目,2163 ,1909 ,4072 ,2065 
深大寺３丁目,1116 ,1000 ,2116 ,1105 
小計,4204 ,3883 ,8087 ,4044 
野崎１丁目,489 ,522 ,1011 ,520 
野崎２丁目,1213 ,1241 ,2454 ,1218 
野崎３丁目,1172 ,1206 ,2378 ,1043 
野崎４丁目,343 ,310 ,653 ,290 
小計,3217 ,3279 ,6496 ,3071 
大沢１丁目,1405 ,1392 ,2797 ,1269 
大沢２丁目,964 ,942 ,1906 ,935 
大沢３丁目,864 ,980 ,1844 ,1026 
大沢４丁目,1466 ,1574 ,3040 ,1437 
大沢５丁目,1046 ,1064 ,2110 ,903 
大沢６丁目,765 ,757 ,1522 ,788 
小計,6510 ,6709 ,13219 ,6358 
合計,92819 ,97461 ,190280 ,96465 
令和４年10月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1457 ,1537 ,2994 ,1616 
下連雀２丁目,1670 ,1744 ,3414 ,1828 
下連雀３丁目,4909 ,5473 ,10382 ,6380 
下連雀４丁目,2984 ,3253 ,6237 ,3426 
下連雀５丁目,2723 ,3234 ,5957 ,2559 
下連雀６丁目,2177 ,2334 ,4511 ,2233 
下連雀７丁目,2420 ,2717 ,5137 ,2423 
下連雀８丁目,1713 ,1896 ,3609 ,1581 
下連雀９丁目,2310 ,2430 ,4740 ,1979 
小計,22363 ,24618 ,46981 ,24025 
牟礼１丁目,1037 ,1131 ,2168 ,1167 
牟礼２丁目,1835 ,2024 ,3859 ,2040 
牟礼３丁目,1208 ,1144 ,2352 ,1101 
牟礼４丁目,1610 ,1675 ,3285 ,1566 
牟礼５丁目,1384 ,1342 ,2726 ,1367 
牟礼６丁目,3067 ,3301 ,6368 ,2859 
牟礼７丁目,948 ,916 ,1864 ,897 
小計,11089 ,11533 ,22622 ,10997 
井の頭１丁目,2340 ,2532 ,4872 ,2812 
井の頭２丁目,1592 ,1726 ,3318 ,2019 
井の頭３丁目,1055 ,1215 ,2270 ,1222 
井の頭４丁目,1064 ,1071 ,2135 ,1155 
井の頭５丁目,1654 ,1693 ,3347 ,1757 
小計,7705 ,8237 ,15942 ,8965 
中原１丁目,2024 ,2216 ,4240 ,2179 
中原２丁目,1562 ,1614 ,3176 ,1486 
中原３丁目,1513 ,1640 ,3153 ,1540 
中原４丁目,1989 ,2140 ,4129 ,1944 
小計,7088 ,7610 ,14698 ,7149 
北野１丁目,768 ,819 ,1587 ,754 
北野２丁目,1062 ,1076 ,2138 ,964 
北野３丁目,1051 ,1022 ,2073 ,956 
北野４丁目,1003 ,1016 ,2019 ,1060 
小計,3884 ,3933 ,7817 ,3734 
新川１丁目,1056 ,1077 ,2133 ,1033 
新川２丁目,761 ,805 ,1566 ,764 
新川３丁目,1045 ,1050 ,2095 ,1057 
新川４丁目,1585 ,1726 ,3311 ,1661 
新川５丁目,1232 ,1304 ,2536 ,1370 
新川６丁目,2213 ,2115 ,4328 ,2545 
小計,7892 ,8077 ,15969 ,8430 
上連雀１丁目,1587 ,1587 ,3174 ,1866 
上連雀２丁目,1160 ,1198 ,2358 ,1382 
上連雀３丁目,943 ,914 ,1857 ,1086 
上連雀４丁目,1611 ,1596 ,3207 ,1698 
上連雀５丁目,1365 ,1368 ,2733 ,1463 
上連雀６丁目,1404 ,1571 ,2975 ,1553 
上連雀７丁目,1438 ,1500 ,2938 ,1444 
上連雀８丁目,1695 ,1793 ,3488 ,1634 
上連雀９丁目,1505 ,1593 ,3098 ,1491 
小計,12708 ,13120 ,25828 ,13617 
井口１丁目,1915 ,1883 ,3798 ,1815 
井口２丁目,1214 ,1318 ,2532 ,1151 
井口３丁目,1059 ,1198 ,2257 ,1094 
井口４丁目,1579 ,1594 ,3173 ,1531 
井口５丁目,439 ,495 ,934 ,490 
小計,6206 ,6488 ,12694 ,6081 
深大寺１丁目,922 ,969 ,1891 ,872 
深大寺２丁目,2159 ,1910 ,4069 ,2065 
深大寺３丁目,1118 ,1001 ,2119 ,1109 
小計,4199 ,3880 ,8079 ,4046 
野崎１丁目,487 ,526 ,1013 ,525 
野崎２丁目,1214 ,1240 ,2454 ,1222 
野崎３丁目,1174 ,1206 ,2380 ,1043 
野崎４丁目,340 ,308 ,648 ,287 
小計,3215 ,3280 ,6495 ,3077 
大沢１丁目,1407 ,1390 ,2797 ,1272 
大沢２丁目,978 ,948 ,1926 ,945 
大沢３丁目,857 ,973 ,1830 ,1019 
大沢４丁目,1471 ,1576 ,3047 ,1437 
大沢５丁目,1045 ,1067 ,2112 ,905 
大沢６丁目,765 ,759 ,1524 ,787 
小計,6523 ,6713 ,13236 ,6365 
合計,92872 ,97489 ,190361 ,96486 
令和４年９月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1456 ,1532 ,2988 ,1611 
下連雀２丁目,1674 ,1752 ,3426 ,1831 
下連雀３丁目,4904 ,5486 ,10390 ,6374 
下連雀４丁目,2992 ,3257 ,6249 ,3433 
下連雀５丁目,2715 ,3230 ,5945 ,2553 
下連雀６丁目,2173 ,2340 ,4513 ,2236 
下連雀７丁目,2430 ,2722 ,5152 ,2426 
下連雀８丁目,1722 ,1903 ,3625 ,1585 
下連雀９丁目,2303 ,2433 ,4736 ,1980 
小計,22369 ,24655 ,47024 ,24029 
牟礼１丁目,1044 ,1131 ,2175 ,1176 
牟礼２丁目,1830 ,2016 ,3846 ,2042 
牟礼３丁目,1211 ,1142 ,2353 ,1102 
牟礼４丁目,1592 ,1658 ,3250 ,1530 
牟礼５丁目,1379 ,1335 ,2714 ,1361 
牟礼６丁目,3071 ,3294 ,6365 ,2858 
牟礼７丁目,955 ,922 ,1877 ,903 
小計,11082 ,11498 ,22580 ,10972 
井の頭１丁目,2344 ,2541 ,4885 ,2805 
井の頭２丁目,1595 ,1731 ,3326 ,2025 
井の頭３丁目,1057 ,1210 ,2267 ,1221 
井の頭４丁目,1073 ,1072 ,2145 ,1158 
井の頭５丁目,1647 ,1692 ,3339 ,1753 
小計,7716 ,8246 ,15962 ,8962 
中原１丁目,2019 ,2221 ,4240 ,2175 
中原２丁目,1564 ,1615 ,3179 ,1487 
中原３丁目,1515 ,1646 ,3161 ,1545 
中原４丁目,1998 ,2138 ,4136 ,1949 
小計,7096 ,7620 ,14716 ,7156 
北野１丁目,769 ,821 ,1590 ,749 
北野２丁目,1053 ,1069 ,2122 ,958 
北野３丁目,1047 ,1021 ,2068 ,953 
北野４丁目,1008 ,1020 ,2028 ,1068 
小計,3877 ,3931 ,7808 ,3728 
新川１丁目,1055 ,1076 ,2131 ,1033 
新川２丁目,758 ,805 ,1563 ,761 
新川３丁目,1042 ,1035 ,2077 ,1044 
新川４丁目,1588 ,1722 ,3310 ,1657 
新川５丁目,1230 ,1299 ,2529 ,1370 
新川６丁目,2228 ,2136 ,4364 ,2579 
小計,7901 ,8073 ,15974 ,8444 
上連雀１丁目,1592 ,1597 ,3189 ,1874 
上連雀２丁目,1166 ,1203 ,2369 ,1396 
上連雀３丁目,940 ,907 ,1847 ,1077 
上連雀４丁目,1614 ,1595 ,3209 ,1695 
上連雀５丁目,1366 ,1367 ,2733 ,1465 
上連雀６丁目,1404 ,1576 ,2980 ,1549 
上連雀７丁目,1438 ,1497 ,2935 ,1443 
上連雀８丁目,1695 ,1792 ,3487 ,1633 
上連雀９丁目,1512 ,1599 ,3111 ,1497 
小計,12727 ,13133 ,25860 ,13629 
井口１丁目,1917 ,1886 ,3803 ,1815 
井口２丁目,1216 ,1318 ,2534 ,1148 
井口３丁目,1064 ,1195 ,2259 ,1089 
井口４丁目,1575 ,1584 ,3159 ,1523 
井口５丁目,441 ,494 ,935 ,493 
小計,6213 ,6477 ,12690 ,6068 
深大寺１丁目,927 ,967 ,1894 ,874 
深大寺２丁目,2159 ,1902 ,4061 ,2066 
深大寺３丁目,1106 ,1001 ,2107 ,1106 
小計,4192 ,3870 ,8062 ,4046 
野崎１丁目,488 ,528 ,1016 ,528 
野崎２丁目,1219 ,1238 ,2457 ,1220 
野崎３丁目,1176 ,1206 ,2382 ,1044 
野崎４丁目,339 ,308 ,647 ,286 
小計,3222 ,3280 ,6502 ,3078 
大沢１丁目,1411 ,1391 ,2802 ,1274 
大沢２丁目,979 ,950 ,1929 ,944 
大沢３丁目,830 ,915 ,1745 ,931 
大沢４丁目,1475 ,1575 ,3050 ,1439 
大沢５丁目,1046 ,1065 ,2111 ,906 
大沢６丁目,767 ,756 ,1523 ,785 
小計,6508 ,6652 ,13160 ,6279 
合計,92903 ,97435 ,190338 ,96391 
令和４年８月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1460 ,1531 ,2991 ,1615 
下連雀２丁目,1682 ,1754 ,3436 ,1839 
下連雀３丁目,4901 ,5495 ,10396 ,6374 
下連雀４丁目,3005 ,3274 ,6279 ,3452 
下連雀５丁目,2712 ,3218 ,5930 ,2549 
下連雀６丁目,2175 ,2345 ,4520 ,2238 
下連雀７丁目,2444 ,2740 ,5184 ,2436 
下連雀８丁目,1718 ,1896 ,3614 ,1580 
下連雀９丁目,2298 ,2430 ,4728 ,1977 
小計,22395 ,24683 ,47078 ,24060 
牟礼１丁目,1044 ,1128 ,2172 ,1171 
牟礼２丁目,1827 ,2016 ,3843 ,2048 
牟礼３丁目,1210 ,1141 ,2351 ,1099 
牟礼４丁目,1608 ,1678 ,3286 ,1561 
牟礼５丁目,1383 ,1341 ,2724 ,1360 
牟礼６丁目,3086 ,3309 ,6395 ,2870 
牟礼７丁目,954 ,927 ,1881 ,899 
小計,11112 ,11540 ,22652 ,11008 
井の頭１丁目,2340 ,2530 ,4870 ,2797 
井の頭２丁目,1585 ,1731 ,3316 ,2015 
井の頭３丁目,1059 ,1217 ,2276 ,1222 
井の頭４丁目,1079 ,1073 ,2152 ,1163 
井の頭５丁目,1651 ,1691 ,3342 ,1753 
小計,7714 ,8242 ,15956 ,8950 
中原１丁目,2018 ,2233 ,4251 ,2175 
中原２丁目,1563 ,1614 ,3177 ,1488 
中原３丁目,1517 ,1642 ,3159 ,1551 
中原４丁目,2002 ,2137 ,4139 ,1951 
小計,7100 ,7626 ,14726 ,7165 
北野１丁目,770 ,818 ,1588 ,745 
北野２丁目,1044 ,1054 ,2098 ,946 
北野３丁目,1046 ,1022 ,2068 ,956 
北野４丁目,1000 ,1010 ,2010 ,1060 
小計,3860 ,3904 ,7764 ,3707 
新川１丁目,1054 ,1068 ,2122 ,1030 
新川２丁目,754 ,811 ,1565 ,760 
新川３丁目,1039 ,1037 ,2076 ,1045 
新川４丁目,1581 ,1716 ,3297 ,1651 
新川５丁目,1231 ,1305 ,2536 ,1373 
新川６丁目,2236 ,2158 ,4394 ,2608 
小計,7895 ,8095 ,15990 ,8467 
上連雀１丁目,1597 ,1595 ,3192 ,1880 
上連雀２丁目,1168 ,1196 ,2364 ,1389 
上連雀３丁目,942 ,903 ,1845 ,1077 
上連雀４丁目,1611 ,1591 ,3202 ,1688 
上連雀５丁目,1363 ,1364 ,2727 ,1462 
上連雀６丁目,1414 ,1581 ,2995 ,1550 
上連雀７丁目,1437 ,1507 ,2944 ,1448 
上連雀８丁目,1686 ,1791 ,3477 ,1633 
上連雀９丁目,1514 ,1597 ,3111 ,1497 
小計,12732 ,13125 ,25857 ,13624 
井口１丁目,1931 ,1886 ,3817 ,1826 
井口２丁目,1219 ,1312 ,2531 ,1149 
井口３丁目,1060 ,1192 ,2252 ,1083 
井口４丁目,1577 ,1580 ,3157 ,1518 
井口５丁目,442 ,495 ,937 ,495 
小計,6229 ,6465 ,12694 ,6071 
深大寺１丁目,929 ,967 ,1896 ,875 
深大寺２丁目,2156 ,1892 ,4048 ,2065 
深大寺３丁目,1104 ,1001 ,2105 ,1110 
小計,4189 ,3860 ,8049 ,4050 
野崎１丁目,487 ,530 ,1017 ,529 
野崎２丁目,1209 ,1235 ,2444 ,1216 
野崎３丁目,1178 ,1212 ,2390 ,1042 
野崎４丁目,336 ,304 ,640 ,286 
小計,3210 ,3281 ,6491 ,3073 
大沢１丁目,1412 ,1395 ,2807 ,1272 
大沢２丁目,977 ,954 ,1931 ,945 
大沢３丁目,824 ,909 ,1733 ,924 
大沢４丁目,1481 ,1579 ,3060 ,1441 
大沢５丁目,1051 ,1064 ,2115 ,908 
大沢６丁目,763 ,755 ,1518 ,781 
小計,6508 ,6656 ,13164 ,6271 
合計,92944 ,97477 ,190421 ,96446 
令和４年７月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1462 ,1532 ,2994 ,1618 
下連雀２丁目,1680 ,1755 ,3435 ,1844 
下連雀３丁目,4899 ,5486 ,10385 ,6380 
下連雀４丁目,2997 ,3268 ,6265 ,3450 
下連雀５丁目,2706 ,3213 ,5919 ,2541 
下連雀６丁目,2178 ,2347 ,4525 ,2242 
下連雀７丁目,2446 ,2741 ,5187 ,2437 
下連雀８丁目,1727 ,1906 ,3633 ,1590 
下連雀９丁目,2307 ,2431 ,4738 ,1981 
小計,22402 ,24679 ,47081 ,24083 
牟礼１丁目,1049 ,1122 ,2171 ,1171 
牟礼２丁目,1834 ,2027 ,3861 ,2061 
牟礼３丁目,1207 ,1133 ,2340 ,1095 
牟礼４丁目,1620 ,1693 ,3313 ,1575 
牟礼５丁目,1387 ,1341 ,2728 ,1363 
牟礼６丁目,3096 ,3313 ,6409 ,2880 
牟礼７丁目,947 ,923 ,1870 ,895 
小計,11140 ,11552 ,22692 ,11040 
井の頭１丁目,2339 ,2540 ,4879 ,2793 
井の頭２丁目,1589 ,1731 ,3320 ,2018 
井の頭３丁目,1064 ,1217 ,2281 ,1227 
井の頭４丁目,1081 ,1074 ,2155 ,1161 
井の頭５丁目,1656 ,1695 ,3351 ,1754 
小計,7729 ,8257 ,15986 ,8953 
中原１丁目,2021 ,2234 ,4255 ,2177 
中原２丁目,1563 ,1619 ,3182 ,1493 
中原３丁目,1516 ,1639 ,3155 ,1547 
中原４丁目,2005 ,2134 ,4139 ,1950 
小計,7105 ,7626 ,14731 ,7167 
北野１丁目,773 ,820 ,1593 ,746 
北野２丁目,1027 ,1037 ,2064 ,934 
北野３丁目,1046 ,1020 ,2066 ,956 
北野４丁目,993 ,1006 ,1999 ,1055 
小計,3839 ,3883 ,7722 ,3691 
新川１丁目,1051 ,1065 ,2116 ,1031 
新川２丁目,758 ,812 ,1570 ,761 
新川３丁目,1042 ,1037 ,2079 ,1044 
新川４丁目,1577 ,1718 ,3295 ,1651 
新川５丁目,1226 ,1308 ,2534 ,1368 
新川６丁目,2244 ,2158 ,4402 ,2613 
小計,7898 ,8098 ,15996 ,8468 
上連雀１丁目,1592 ,1595 ,3187 ,1878 
上連雀２丁目,1177 ,1211 ,2388 ,1403 
上連雀３丁目,943 ,904 ,1847 ,1080 
上連雀４丁目,1608 ,1591 ,3199 ,1693 
上連雀５丁目,1361 ,1354 ,2715 ,1459 
上連雀６丁目,1424 ,1586 ,3010 ,1558 
上連雀７丁目,1436 ,1511 ,2947 ,1450 
上連雀８丁目,1687 ,1800 ,3487 ,1632 
上連雀９丁目,1515 ,1599 ,3114 ,1494 
小計,12743 ,13151 ,25894 ,13647 
井口１丁目,1940 ,1886 ,3826 ,1835 
井口２丁目,1221 ,1319 ,2540 ,1150 
井口３丁目,1065 ,1193 ,2258 ,1088 
井口４丁目,1587 ,1590 ,3177 ,1528 
井口５丁目,443 ,495 ,938 ,494 
小計,6256 ,6483 ,12739 ,6095 
深大寺１丁目,929 ,962 ,1891 ,876 
深大寺２丁目,2158 ,1899 ,4057 ,2071 
深大寺３丁目,1106 ,1003 ,2109 ,1115 
小計,4193 ,3864 ,8057 ,4062 
野崎１丁目,491 ,531 ,1022 ,530 
野崎２丁目,1211 ,1237 ,2448 ,1217 
野崎３丁目,1181 ,1215 ,2396 ,1045 
野崎４丁目,336 ,304 ,640 ,286 
小計,3219 ,3287 ,6506 ,3078 
大沢１丁目,1426 ,1399 ,2825 ,1277 
大沢２丁目,981 ,955 ,1936 ,946 
大沢３丁目,832 ,928 ,1760 ,951 
大沢４丁目,1479 ,1579 ,3058 ,1441 
大沢５丁目,1048 ,1062 ,2110 ,905 
大沢６丁目,762 ,757 ,1519 ,779 
小計,6528 ,6680 ,13208 ,6299 
合計,93052 ,97560 ,190612 ,96583 
令和４年６月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1467 ,1535 ,3002 ,1618 
下連雀２丁目,1678 ,1747 ,3425 ,1842 
下連雀３丁目,4911 ,5499 ,10410 ,6398 
下連雀４丁目,2977 ,3263 ,6240 ,3434 
下連雀５丁目,2703 ,3209 ,5912 ,2537 
下連雀６丁目,2178 ,2346 ,4524 ,2248 
下連雀７丁目,2443 ,2745 ,5188 ,2438 
下連雀８丁目,1731 ,1907 ,3638 ,1594 
下連雀９丁目,2311 ,2439 ,4750 ,1986 
小計,22399 ,24690 ,47089 ,24095 
牟礼１丁目,1051 ,1116 ,2167 ,1169 
牟礼２丁目,1833 ,2020 ,3853 ,2061 
牟礼３丁目,1207 ,1132 ,2339 ,1096 
牟礼４丁目,1616 ,1699 ,3315 ,1578 
牟礼５丁目,1375 ,1341 ,2716 ,1354 
牟礼６丁目,3095 ,3304 ,6399 ,2878 
牟礼７丁目,934 ,911 ,1845 ,880 
小計,11111 ,11523 ,22634 ,11016 
井の頭１丁目,2333 ,2539 ,4872 ,2784 
井の頭２丁目,1578 ,1728 ,3306 ,2008 
井の頭３丁目,1067 ,1217 ,2284 ,1226 
井の頭４丁目,1085 ,1075 ,2160 ,1165 
井の頭５丁目,1650 ,1691 ,3341 ,1746 
小計,7713 ,8250 ,15963 ,8929 
中原１丁目,2026 ,2233 ,4259 ,2183 
中原２丁目,1568 ,1620 ,3188 ,1496 
中原３丁目,1514 ,1640 ,3154 ,1543 
中原４丁目,2016 ,2140 ,4156 ,1952 
小計,7124 ,7633 ,14757 ,7174 
北野１丁目,768 ,823 ,1591 ,746 
北野２丁目,1025 ,1036 ,2061 ,933 
北野３丁目,1043 ,1020 ,2063 ,949 
北野４丁目,991 ,1005 ,1996 ,1061 
小計,3827 ,3884 ,7711 ,3689 
新川１丁目,1051 ,1070 ,2121 ,1028 
新川２丁目,756 ,815 ,1571 ,760 
新川３丁目,1044 ,1042 ,2086 ,1049 
新川４丁目,1575 ,1711 ,3286 ,1651 
新川５丁目,1230 ,1311 ,2541 ,1371 
新川６丁目,2236 ,2141 ,4377 ,2586 
小計,7892 ,8090 ,15982 ,8445 
上連雀１丁目,1597 ,1591 ,3188 ,1875 
上連雀２丁目,1183 ,1209 ,2392 ,1401 
上連雀３丁目,942 ,900 ,1842 ,1075 
上連雀４丁目,1628 ,1601 ,3229 ,1709 
上連雀５丁目,1352 ,1348 ,2700 ,1452 
上連雀６丁目,1428 ,1590 ,3018 ,1566 
上連雀７丁目,1433 ,1512 ,2945 ,1451 
上連雀８丁目,1681 ,1799 ,3480 ,1627 
上連雀９丁目,1508 ,1595 ,3103 ,1490 
小計,12752 ,13145 ,25897 ,13646 
井口１丁目,1943 ,1886 ,3829 ,1833 
井口２丁目,1227 ,1320 ,2547 ,1151 
井口３丁目,1063 ,1189 ,2252 ,1083 
井口４丁目,1588 ,1589 ,3177 ,1527 
井口５丁目,442 ,496 ,938 ,495 
小計,6263 ,6480 ,12743 ,6089 
深大寺１丁目,928 ,963 ,1891 ,877 
深大寺２丁目,2168 ,1896 ,4064 ,2081 
深大寺３丁目,1106 ,1007 ,2113 ,1119 
小計,4202 ,3866 ,8068 ,4077 
野崎１丁目,489 ,527 ,1016 ,525 
野崎２丁目,1220 ,1241 ,2461 ,1220 
野崎３丁目,1181 ,1213 ,2394 ,1046 
野崎４丁目,331 ,304 ,635 ,285 
小計,3221 ,3285 ,6506 ,3076 
大沢１丁目,1428 ,1405 ,2833 ,1280 
大沢２丁目,985 ,957 ,1942 ,950 
大沢３丁目,841 ,930 ,1771 ,967 
大沢４丁目,1476 ,1575 ,3051 ,1438 
大沢５丁目,1046 ,1061 ,2107 ,901 
大沢６丁目,768 ,769 ,1537 ,789 
小計,6544 ,6697 ,13241 ,6325 
合計,93048 ,97543 ,190591 ,96561 
令和４年５月１日現在,,,,
地域別（町丁目）,人口（男）,人口（女）,人口（合計）,世帯数
下連雀１丁目,1464 ,1540 ,3004 ,1625 
下連雀２丁目,1682 ,1751 ,3433 ,1844 
下連雀３丁目,4921 ,5510 ,10431 ,6403 
下連雀４丁目,2991 ,3260 ,6251 ,3433 
下連雀５丁目,2712 ,3220 ,5932 ,2551 
