区分１,区分２,度数計,割合計,メール機能_度数,メール機能_割合,子供の所在地を検索できる機能_度数,子供の所在地を検索できる機能_割合,緊急時に位置情報を知らせてくることができる機能_度数,緊急時に位置情報を知らせてくることができる機能_割合,迷惑メール防止機能_度数,迷惑メール防止機能_割合,料金上限設定機能_度数,料金上限設定機能_割合,非常ブザー等防犯機能_度数,非常ブザー等防犯機能_割合,利用時間制限機能_度数,利用時間制限機能_割合,通話相手の制限設定機能_度数,通話相手の制限設定機能_割合,メール相手の制限設定機能_度数,メール相手の制限設定機能_割合,ＳＮＳ監視機能_度数,ＳＮＳ監視機能_割合,インターネット機能_度数,インターネット機能_割合,その他_度数,その他_割合
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,59,35.3,94,56.3,100,59.9,96,57.5,76,45.5,50,29.9,68,40.7,40,24,42,25.1,63,37.7,28,16.8,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,99,28.2,156,44.4,182,51.9,136,38.7,141,40.2,74,21.1,87,24.8,40,11.4,41,11.7,74,21.1,54,15.4,8,2.3
利用制限サービスの加入状況別,わからない,87,100,27,31,35,40.2,38,43.7,35,40.2,35,40.2,17,19.5,18,20.7,12,13.8,11,12.6,24,27.6,9,10.3,1,1.1
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,254,46.2,348,63.3,321,58.4,267,48.5,226,41.1,187,34,178,32.4,141,25.6,148,26.9,176,32,101,18.4,3,0.5
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,220,34.4,335,52.4,371,58.1,314,49.1,298,46.6,178,27.9,226,35.4,128,20,125,19.6,203,31.8,98,15.3,2,0.3
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,61,29.3,90,43.3,95,45.7,97,46.6,89,42.8,44,21.2,62,29.8,41,19.7,45,21.6,64,30.8,32,15.4,5,2.4
利用状況の管理状態別,子供の利用状況に関心がない,98,100,26,26.5,24,24.5,23,23.5,23,23.5,16,16.3,13,13.3,9,9.2,8,8.2,6,6.1,10,10.2,29,29.6,3,3.1
利用状況の管理状態別,その他,5,100,2,40,2,40,2,40,2,40,2,40,1,20,1,20,1,20,1,20,2,40,2,40,1,20
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,218,46.3,300,63.7,304,64.5,245,52,236,50.1,169,35.9,180,38.2,122,25.9,120,25.5,176,37.4,83,17.6,1,0.2
説明・学習経験別,インターネットで調べた,482,100,210,43.6,287,59.5,285,59.1,242,50.2,221,45.9,150,31.1,183,38,126,26.1,131,27.2,158,32.8,78,16.2,1,0.2
説明・学習経験別,学校から配布される資料等を読んだ,537,100,205,38.2,334,62.2,356,66.3,311,57.9,273,50.8,193,35.9,224,41.7,149,27.7,152,28.3,209,38.9,104,19.4,5,0.9
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,330,100,127,38.5,195,59.1,229,69.4,201,60.9,172,52.1,135,40.9,151,45.8,95,28.8,88,26.7,129,39.1,65,19.7,4,1.2
説明・学習経験別,知識のある知人から説明を受けた,74,100,28,37.8,42,56.8,46,62.2,45,60.8,42,56.8,28,37.8,30,40.5,19,25.7,20,27,20,27,13,17.6,0,0
説明・学習経験別,販売店等から詳しく説明をうけた,113,100,47,41.6,70,61.9,71,62.8,67,59.3,73,64.6,46,40.7,53,46.9,37,32.7,40,35.4,46,40.7,24,21.2,0,0
説明・学習経験別,公共施設などで開催された講座に参加した,37,100,15,40.5,19,51.4,18,48.6,22,59.5,20,54.1,16,43.2,14,37.8,14,37.8,13,35.1,19,51.4,10,27,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,340,100,103,30.3,145,42.6,137,40.3,121,35.6,110,32.4,66,19.4,73,21.5,62,18.2,59,17.4,86,25.3,74,21.8,9,2.6
説明・学習経験別,その他,9,100,3,33.3,4,44.4,5,55.6,4,44.4,5,55.6,3,33.3,4,44.4,3,33.3,3,33.3,4,44.4,2,22.2,0,0
