区分１,区分２,度数計,割合計,子供の所在地がわかるようにするため_度数,子供の所在地がわかるようにするため_割合,子供にせがまれたため仕方なく持たせた_度数,子供にせがまれたため仕方なく持たせた_割合,持たせた方がメディアリテラシーや情報処理能力がつくと思ったため_度数,持たせた方がメディアリテラシーや情報処理能力がつくと思ったため_割合,子供の要望ではないが、友達が持っており、仲間はずれにされないか心配なため_度数,子供の要望ではないが、友達が持っており、仲間はずれにされないか心配なため_割合,お祝い等で、親戚等からもらったため_度数,お祝い等で、親戚等からもらったため_割合,子供の疾病等があり、大切なコミュニケーション手段として活用するため_度数,子供の疾病等があり、大切なコミュニケーション手段として活用するため_割合,保護者自身がスマートフォンにしたため_度数,保護者自身がスマートフォンにしたため_割合,パソコンの代わり_度数,パソコンの代わり_割合,ゲーム機の代わり_度数,ゲーム機の代わり_割合,携帯電話にはない便利なアプリ等を使用するため_度数,携帯電話にはない便利なアプリ等を使用するため_割合,学校の授業、宿題等で必要なため_度数,学校の授業、宿題等で必要なため_割合,習い事や塾等で必要なため_度数,習い事や塾等で必要なため_割合,店員に勧められた_度数,店員に勧められた_割合,その他_度数,その他_割合
児童・生徒×子供の性別,高校生男子,249,100,50,20.1,81,32.5,34,13.7,33,13.3,6,2.4,6,2.4,30,12,15,6,2,0.8,22,8.8,24,9.6,30,12,1,0.4,22,8.8
児童・生徒×子供の性別,高校生女子,221,100,42,19,94,42.5,25,11.3,33,14.9,3,1.4,0,0,19,8.6,8,3.6,3,1.4,22,10,22,10,33,14.9,0,0,11,5
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,651,100,209,32.1,221,33.9,94,14.4,93,14.3,16,2.5,15,2.3,70,10.8,41,6.3,15,2.3,74,11.4,49,7.5,89,13.7,5,0.8,37,5.7
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,69,100,23,33.3,20,29,15,21.7,12,17.4,1,1.4,3,4.3,6,8.7,7,10.1,2,2.9,9,13,6,8.7,11,15.9,2,2.9,2,2.9
携帯電話の購入所別,家電量販店,222,100,60,27,82,36.9,32,14.4,24,10.8,5,2.3,3,1.4,16,7.2,18,8.1,12,5.4,21,9.5,9,4.1,27,12.2,4,1.8,20,9
携帯電話の購入所別,インターネット販売,104,100,31,29.8,27,26,18,17.3,7,6.7,1,1,0,0,13,12.5,7,6.7,5,4.8,15,14.4,9,8.7,22,21.2,0,0,7,6.7
携帯電話の購入所別,その他,34,100,12,35.3,7,20.6,3,8.8,3,8.8,0,0,3,8.8,1,2.9,4,11.8,4,11.8,1,2.9,0,0,5,14.7,0,0,3,8.8
携帯電話の購入所別,わからない,24,100,5,20.8,8,33.3,2,8.3,1,4.2,0,0,0,0,3,12.5,0,0,1,4.2,1,4.2,0,0,2,8.3,3,12.5,1,4.2
フィルタリングサービスの加入状況別,加入している,454,100,162,35.7,144,31.7,75,16.5,64,14.1,11,2.4,11,2.4,40,8.8,27,5.9,10,2.2,58,12.8,32,7,62,13.7,5,1.1,31,6.8
フィルタリングサービスの加入状況別,加入している,429,100,121,28.2,150,35,68,15.9,51,11.9,8,1.9,9,2.1,42,9.8,36,8.4,24,5.6,46,10.7,29,6.8,66,15.4,6,1.4,28,6.5
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,25,100,7,28,4,16,0,0,4,16,2,8,1,4,3,12,2,8,2,8,0,0,1,4,7,28,0,0,1,4
フィルタリングサービスの加入状況別,わからない,196,100,50,25.5,67,34.2,21,10.7,21,10.7,2,1,3,1.5,24,12.2,12,6.1,3,1.5,17,8.7,11,5.6,21,10.7,3,1.5,10,5.1
利用制限サービスの加入状況別,加入している,366,100,136,37.2,121,33.1,66,18,51,13.9,9,2.5,9,2.5,32,8.7,27,7.4,9,2.5,54,14.8,29,7.9,49,13.4,5,1.4,27,7.4
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,61,36.5,55,32.9,35,21,21,12.6,4,2.4,3,1.8,21,12.6,14,8.4,7,4.2,24,14.4,15,9,35,21,3,1.8,9,5.4
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,89,25.4,127,36.2,43,12.3,53,15.1,7,2,6,1.7,28,8,22,6.3,18,5.1,36,10.3,18,5.1,49,14,2,0.6,24,6.8
利用制限サービスの加入状況別,わからない,87,100,17,19.5,30,34.5,10,11.5,8,9.2,1,1.1,2,2.3,13,14.9,7,8,2,2.3,6,6.9,4,4.6,8,9.2,1,1.1,4,4.6
利用状況の管理状態別,利用状況の把握及び監督もできている,334,100,129,38.6,85,25.4,62,18.6,36,10.8,6,1.8,11,3.3,42,12.6,31,9.3,17,5.1,57,17.1,17,5.1,61,18.3,7,2.1,20,6
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,520,100,145,27.9,186,35.8,74,14.2,81,15.6,13,2.5,10,1.9,47,9,36,6.9,17,3.3,51,9.8,40,7.7,67,12.9,5,1,37,7.1
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,176,100,42,23.9,73,41.5,19,10.8,20,11.4,4,2.3,2,1.1,13,7.4,5,2.8,4,2.3,11,6.3,9,5.1,24,13.6,1,0.6,9,5.1
利用状況の管理状態別,子供の利用状況に関心がない,70,100,22,31.4,21,30,8,11.4,3,4.3,0,0,1,1.4,6,8.6,5,7.1,1,1.4,2,2.9,7,10,4,5.7,1,1.4,3,4.3
利用状況の管理状態別,その他,4,100,2,50,0,0,1,25,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,25
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,330,100,114,34.5,125,37.9,71,21.5,51,15.5,5,1.5,10,3,43,13,33,10,20,6.1,59,17.9,32,9.7,48,14.5,6,1.8,21,6.4
説明・学習経験別,インターネットで調べた,366,100,135,36.9,121,33.1,84,23,60,16.4,12,3.3,13,3.6,37,10.1,32,8.7,17,4.6,50,13.7,34,9.3,55,15,3,0.8,16,4.4
説明・学習経験別,学校から配布される資料等を読んだ,401,100,132,32.9,124,30.9,67,16.7,43,10.7,14,3.5,8,2,40,10,30,7.5,16,4,65,16.2,31,7.7,71,17.7,6,1.5,29,7.2
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,262,100,95,36.3,79,30.2,51,19.5,31,11.8,8,3.1,4,1.5,31,11.8,23,8.8,13,5,49,18.7,17,6.5,49,18.7,4,1.5,21,8
説明・学習経験別,知識のある知人から説明を受けた,58,100,28,48.3,24,41.4,15,25.9,12,20.7,3,5.2,3,5.2,13,22.4,9,15.5,6,10.3,14,24.1,9,15.5,9,15.5,2,3.4,3,5.2
説明・学習経験別,販売店等から詳しく説明をうけた,90,100,42,46.7,22,24.4,18,20,17,18.9,4,4.4,2,2.2,9,10,12,13.3,4,4.4,15,16.7,8,8.9,17,18.9,2,2.2,7,7.8
説明・学習経験別,公共施設などで開催された講座に参加した,28,100,10,35.7,10,35.7,9,32.1,5,17.9,3,10.7,4,14.3,8,28.6,6,21.4,5,17.9,6,21.4,7,25,7,25,3,10.7,0,0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,249,100,55,22.1,89,35.7,29,11.6,26,10.4,2,0.8,5,2,17,6.8,17,6.8,7,2.8,11,4.4,13,5.2,26,10.4,3,1.2,18,7.2
説明・学習経験別,その他,5,100,0,0,1,20,1,20,2,40,0,0,1,20,2,40,1,20,0,0,0,0,0,0,1,20,0,0,1,20
