区_度数分１,区_度数分２,度数計,割合計,千代田区_度数,千代田区_割合,中央区_度数,中央区_割合,港区_度数,港区_割合,新宿区_度数,新宿区_割合,文京区_度数,文京区_割合,台東区_度数,台東区_割合,墨田区_度数,墨田区_割合,江東区_度数,江東区_割合,品川区_度数,品川区_割合,目黒区_度数,目黒区_割合,大田区_度数,大田区_割合,世田谷区_度数,世田谷区_割合,渋谷区_度数,渋谷区_割合,中野区_度数,中野区_割合,杉並区_度数,杉並区_割合,豊島区_度数,豊島区_割合,北区_度数,北区_割合,荒川区_度数,荒川区_割合,板橋区_度数,板橋区_割合,練馬区_度数,練馬区_割合,足立区_度数,足立区_割合,葛飾区_度数,葛飾区_割合,江戸川区_度数,江戸川区_割合,八王子市_度数,八王子市_割合,立川市_度数,立川市_割合,武蔵野市_度数,武蔵野市_割合,三鷹市_度数,三鷹市_割合,青梅市_度数,青梅市_割合,府中市_度数,府中市_割合,昭島市_度数,昭島市_割合,調布市_度数,調布市_割合,町田市_度数,町田市_割合,小金井市_度数,小金井市_割合,小平市_度数,小平市_割合,日野市_度数,日野市_割合,東村山市_度数,東村山市_割合,国分寺市_度数,国分寺市_割合,国立市_度数,国立市_割合,福生市_度数,福生市_割合,狛江市_度数,狛江市_割合,東大和市_度数,東大和市_割合,清瀬市_度数,清瀬市_割合,東久留米市_度数,東久留米市_割合,武蔵村山市_度数,武蔵村山市_割合,多摩市_度数,多摩市_割合,稲城市_度数,稲城市_割合,羽村市_度数,羽村市_割合,あきる野市_度数,あきる野市_割合,西東京市_度数,西東京市_割合,西多摩郡瑞穂町_度数,西多摩郡瑞穂町_割合,西多摩郡日の出町_度数,西多摩郡日の出町_割合,西多摩郡檜原村_度数,西多摩郡檜原村_割合,西多摩郡奥多摩町_度数,西多摩郡奥多摩町_割合,大島町_度数,大島町_割合,利島村_度数,利島村_割合,新島村_度数,新島村_割合,神津島村_度数,神津島村_割合,三宅島三宅村_度数,三宅島三宅村_割合,御蔵島村_度数,御蔵島村_割合,八丈島八丈町_度数,八丈島八丈町_割合,青ヶ島村_度数,青ヶ島村_割合,小笠原村_度数,小笠原村_割合
児童・生徒×子供の性別,高校生男子,265,100,1,0.4,3,1.1,4,1.5,7,2.6,6,2.3,2,0.8,9,3.4,10,3.8,6,2.3,7,2.6,18,6.8,13,4.9,1,0.4,8,3,14,5.3,6,2.3,3,1.1,4,1.5,8,3,11,4.2,10,3.8,8,3,17,6.4,13,4.9,3,1.1,1,0.4,5,1.9,1,0.4,7,2.6,3,1.1,6,2.3,9,3.4,1,0.4,6,2.3,3,1.1,4,1.5,4,1.5,4,1.5,2,0.8,1,0.4,0,0,2,0.8,1,0.4,0,0,3,1.1,3,1.1,0,0,1,0.4,5,1.9,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
児童・生徒×子供の性別,高校生女子,235,100,0,0,3,1.3,1,0.4,3,1.3,2,0.9,1,0.4,5,2.1,9,3.8,7,3,4,1.7,11,4.7,19,8.1,2,0.9,8,3.4,7,3,1,0.4,12,5.1,5,2.1,13,5.5,17,7.2,12,5.1,7,3,11,4.7,12,5.1,2,0.9,1,0.4,1,0.4,1,0.4,8,3.4,2,0.9,7,3,9,3.8,1,0.4,1,0.4,4,1.7,2,0.9,1,0.4,1,0.4,0,0,2,0.9,0,0,1,0.4,2,0.9,3,1.3,2,0.9,2,0.9,3,1.3,1,0.4,5,2.1,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,953,100,7,0.7,9,0.9,15,1.6,21,2.2,18,1.9,11,1.2,17,1.8,43,4.5,22,2.3,16,1.7,60,6.3,68,7.1,14,1.5,19,2,39,4.1,11,1.2,24,2.5,19,2,41,4.3,60,6.3,52,5.5,31,3.3,51,5.4,37,3.9,9,0.9,6,0.6,14,1.5,8,0.8,18,1.9,9,0.9,20,2.1,36,3.8,6,0.6,10,1,11,1.2,13,1.4,11,1.2,6,0.6,2,0.2,3,0.3,2,0.2,4,0.4,11,1.2,7,0.7,10,1,6,0.6,4,0.4,2,0.2,19,2,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,84,100,1,1.2,0,0,0,0,2,2.4,2,2.4,2,2.4,3,3.6,2,2.4,4,4.8,2,2.4,6,7.1,5,6,2,2.4,4,4.8,1,1.2,0,0,1,1.2,1,1.2,6,7.1,3,3.6,5,6,3,3.6,4,4.8,3,3.6,2,2.4,2,2.4,0,0,0,0,0,0,1,1.2,4,4.8,3,3.6,0,0,3,3.6,1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.4,1,1.2,1,1.2,2,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
携帯電話の購入所別,家電量販店,282,100,2,0.7,7,2.5,5,1.8,7,2.5,2,0.7,5,1.8,3,1.1,15,5.3,11,3.9,5,1.8,16,5.7,16,5.7,2,0.7,9,3.2,13,4.6,6,2.1,7,2.5,3,1.1,10,3.5,6,2.1,13,4.6,10,3.5,19,6.7,9,3.2,6,2.1,3,1.1,3,1.1,2,0.7,10,3.5,2,0.7,7,2.5,9,3.2,2,0.7,6,2.1,8,2.8,4,1.4,0,0,1,0.4,2,0.7,0,0,1,0.4,0,0,0,0,0,0,1,0.4,5,1.8,1,0.4,2,0.7,3,1.1,0,0,3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
携帯電話の購入所別,インターネット販売,109,100,0,0,4,3.7,1,0.9,1,0.9,2,1.8,0,0,0,0,4,3.7,1,0.9,3,2.8,3,2.8,6,5.5,0,0,3,2.8,3,2.8,1,0.9,2,1.8,1,0.9,5,4.6,8,7.3,7,6.4,1,0.9,9,8.3,7,6.4,1,0.9,0,0,2,1.8,0,0,4,3.7,2,1.8,3,2.8,8,7.3,0,0,2,1.8,3,2.8,1,0.9,0,0,2,1.8,1,0.9,0,0,0,0,1,0.9,1,0.9,0,0,0,0,3,2.8,0,0,1,0.9,2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
携帯電話の購入所別,その他,43,100,0,0,0,0,0,0,0,0,1,2.3,0,0,0,0,3,7,5,11.6,2,4.7,2,4.7,2,4.7,0,0,1,2.3,2,4.7,0,0,3,7,1,2.3,2,4.7,4,9.3,0,0,2,4.7,3,7,2,4.7,1,2.3,0,0,0,0,0,0,0,0,1,2.3,0,0,1,2.3,1,2.3,0,0,0,0,0,0,0,0,1,2.3,0,0,1,2.3,0,0,0,0,0,0,0,0,1,2.3,0,0,0,0,0,0,1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
携帯電話の購入所別,わからない,29,100,1,3.4,1,3.4,1,3.4,1,3.4,0,0,0,0,0,0,0,0,1,3.4,0,0,0,0,2,6.9,0,0,0,0,1,3.4,0,0,1,3.4,1,3.4,1,3.4,0,0,5,17.2,0,0,2,6.9,2,6.9,0,0,2,6.9,1,3.4,0,0,0,0,1,3.4,0,0,1,3.4,0,0,0,0,1,3.4,0,0,0,0,0,0,0,0,0,0,1,3.4,1,3.4,0,0,0,0,0,0,1,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,加入している,539,100,6,1.1,7,1.3,9,1.7,13,2.4,10,1.9,6,1.1,5,0.9,31,5.8,22,4.1,10,1.9,27,5,34,6.3,7,1.3,19,3.5,27,5,3,0.6,9,1.7,7,1.3,23,4.3,29,5.4,31,5.8,22,4.1,29,5.4,23,4.3,4,0.7,4,0.7,1,0.2,1,0.2,8,1.5,5,0.9,15,2.8,22,4.1,2,0.4,6,1.1,8,1.5,6,1.1,2,0.4,3,0.6,1,0.2,2,0.4,1,0.2,2,0.4,6,1.1,4,0.7,7,1.3,6,1.1,2,0.4,2,0.4,8,1.5,1,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,加入している,523,100,3,0.6,8,1.5,7,1.3,11,2.1,8,1.5,7,1.3,14,2.7,14,2.7,9,1.7,8,1.5,31,5.9,32,6.1,8,1.5,11,2.1,15,2.9,11,2.1,15,2.9,12,2.3,21,4,30,5.7,26,5,14,2.7,39,7.5,23,4.4,10,1.9,6,1.1,9,1.7,7,1.3,12,2.3,5,1,7,1.3,17,3.3,2,0.4,8,1.5,7,1.3,7,1.3,4,0.8,4,0.8,3,0.6,1,0.2,2,0.4,1,0.2,5,1,1,0.2,3,0.6,5,1,1,0.2,2,0.4,15,2.9,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,185,100,1,0.5,2,1.1,2,1.1,3,1.6,6,3.2,4,2.2,1,0.5,11,5.9,7,3.8,5,2.7,11,5.9,14,7.6,1,0.5,2,1.1,10,5.4,3,1.6,5,2.7,4,2.2,9,4.9,12,6.5,11,5.9,1,0.5,10,5.4,5,2.7,1,0.5,2,1.1,3,1.6,1,0.5,3,1.6,2,1.1,3,1.6,6,3.2,2,1.1,5,2.7,4,2.2,1,0.5,3,1.6,2,1.1,0,0,0,0,1,0.5,0,0,0,0,0,0,2,1.1,2,1.1,0,0,1,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィルタリングサービスの加入状況別,わからない,253,100,1,0.4,4,1.6,4,1.6,5,2,1,0.4,1,0.4,3,1.2,11,4.3,6,2.4,5,2,18,7.1,19,7.5,2,0.8,4,1.6,7,2.8,1,0.4,9,3.6,3,1.2,12,4.7,10,4,14,5.5,10,4,10,4,9,3.6,4,1.6,1,0.4,7,2.8,1,0.4,9,3.6,4,1.6,9,3.6,13,5.1,3,1.2,2,0.8,5,2,4,1.6,2,0.8,1,0.4,1,0.4,1,0.4,0,0,3,1.2,1,0.4,2,0.8,0,0,4,1.6,3,1.2,1,0.4,3,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利用制限サービスの加入状況別,加入している,366,100,4,1.1,6,1.6,6,1.6,10,2.7,4,1.1,4,1.1,2,0.5,15,4.1,14,3.8,8,2.2,20,5.5,23,6.3,4,1.1,8,2.2,19,5.2,3,0.8,6,1.6,5,1.4,11,3,22,6,28,7.7,21,5.7,22,6,18,4.9,4,1.1,1,0.3,1,0.3,2,0.5,6,1.6,3,0.8,11,3,14,3.8,2,0.5,3,0.8,5,1.4,4,1.1,0,0,1,0.3,1,0.3,1,0.3,1,0.3,3,0.8,2,0.5,1,0.3,6,1.6,4,1.1,0,0,2,0.5,4,1.1,0,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,167,100,1,0.6,2,1.2,3,1.8,4,2.4,5,3,4,2.4,2,1.2,11,6.6,4,2.4,1,0.6,14,8.4,13,7.8,3,1.8,7,4.2,1,0.6,0,0,3,1.8,4,2.4,7,4.2,7,4.2,11,6.6,2,1.2,7,4.2,7,4.2,3,1.8,2,1.2,5,3,1,0.6,3,1.8,2,1.2,3,1.8,4,2.4,1,0.6,1,0.6,2,1.2,2,1.2,2,1.2,1,0.6,1,0.6,1,0.6,0,0,0,0,1,0.6,2,1.2,2,1.2,1,0.6,3,1.8,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,351,100,0,0,4,1.1,4,1.1,8,2.3,4,1.1,4,1.1,10,2.8,9,2.6,5,1.4,5,1.4,19,5.4,19,5.4,4,1.1,10,2.8,16,4.6,6,1.7,10,2.8,6,1.7,14,4,20,5.7,14,4,10,2.8,31,8.8,16,4.6,7,2,2,0.6,4,1.1,2,0.6,6,1.7,2,0.6,6,1.7,18,5.1,2,0.6,8,2.3,8,2.3,3,0.9,3,0.9,3,0.9,2,0.6,0,0,1,0.3,1,0.3,3,0.9,1,0.3,2,0.6,3,0.9,2,0.6,2,0.6,10,2.8,1,0.3,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利用制限サービスの加入状況別,わからない,87,100,1,1.1,0,0,1,1.1,4,4.6,0,0,1,1.1,1,1.1,7,8,1,1.1,2,2.3,5,5.7,6,6.9,0,0,1,1.1,1,1.1,1,1.1,3,3.4,3,3.4,4,4.6,3,3.4,3,3.4,5,5.7,3,3.4,4,4.6,0,0,0,0,3,3.4,2,2.3,2,2.3,2,2.3,3,3.4,3,3.4,0,0,0,0,1,1.1,1,1.1,1,1.1,1,1.1,1,1.1,1,1.1,0,0,1,1.1,0,0,1,1.1,0,0,1,1.1,0,0,0,0,3,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利用状況の管理状態別,利用状況の把握及び監督もできている,550,100,3,0.5,5,0.9,5,0.9,14,2.5,7,1.3,8,1.5,8,1.5,24,4.4,18,3.3,10,1.8,33,6,35,6.4,9,1.6,14,2.5,19,3.5,3,0.5,13,2.4,10,1.8,29,5.3,32,5.8,34,6.2,23,4.2,35,6.4,21,3.8,10,1.8,7,1.3,4,0.7,2,0.4,13,2.4,6,1.1,14,2.5,15,2.7,4,0.7,6,1.1,8,1.5,5,0.9,3,0.5,1,0.2,3,0.5,2,0.4,3,0.5,0,0,6,1.1,2,0.4,5,0.9,9,1.6,2,0.4,0,0,8,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,639,100,5,0.8,9,1.4,15,2.3,12,1.9,14,2.2,8,1.3,8,1.3,32,5,20,3.1,11,1.7,39,6.1,43,6.7,6,0.9,16,2.5,26,4.1,12,1.9,13,2,12,1.9,21,3.3,30,4.7,35,5.5,18,2.8,35,5.5,26,4.1,7,1.1,5,0.8,10,1.6,5,0.8,13,2,6,0.9,9,1.4,29,4.5,4,0.6,9,1.4,11,1.7,9,1.4,5,0.8,5,0.8,0,0,1,0.2,1,0.2,3,0.5,3,0.5,4,0.6,7,1.1,5,0.8,2,0.3,4,0.6,13,2,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,208,100,0,0,4,1.9,2,1,6,2.9,2,1,2,1,6,2.9,3,1.4,6,2.9,4,1.9,10,4.8,16,7.7,3,1.4,5,2.4,6,2.9,2,1,8,3.8,3,1.4,6,2.9,13,6.3,8,3.8,3,1.4,13,6.3,8,3.8,2,1,1,0.5,3,1.4,3,1.4,4,1.9,3,1.4,7,3.4,11,5.3,0,0,5,2.4,4,1.9,3,1.4,3,1.4,3,1.4,1,0.5,1,0.5,0,0,3,1.4,1,0.5,1,0.5,0,0,3,1.4,2,1,1,0.5,3,1.4,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利用状況の管理状態別,子供の利用状況に関心がない,98,100,3,3.1,3,3.1,0,0,0,0,1,1,0,0,1,1,7,7.1,0,0,3,3.1,5,5.1,4,4.1,0,0,1,1,8,8.2,1,1,4,4.1,1,1,9,9.2,5,5.1,5,5.1,3,3.1,5,5.1,5,5.1,0,0,0,0,3,3.1,0,0,2,2,1,1,4,4.1,3,3.1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
利用状況の管理状態別,その他,5,100,0,0,0,0,0,0,0,0,1,20,0,0,0,0,1,20,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,471,100,6,1.3,5,1.1,5,1.1,10,2.1,5,1.1,8,1.7,7,1.5,21,4.5,17,3.6,8,1.7,25,5.3,32,6.8,11,2.3,12,2.5,21,4.5,6,1.3,7,1.5,8,1.7,12,2.5,29,6.2,16,3.4,15,3.2,25,5.3,22,4.7,7,1.5,4,0.8,7,1.5,1,0.2,8,1.7,5,1.1,14,3,22,4.7,6,1.3,5,1.1,9,1.9,9,1.9,4,0.8,2,0.4,0,0,3,0.6,1,0.2,0,0,4,0.8,2,0.4,4,0.8,5,1.1,2,0.4,1,0.2,11,2.3,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
説明・学習経験別,インターネットで調べた,482,100,5,1,8,1.7,9,1.9,14,2.9,4,0.8,5,1,8,1.7,26,5.4,12,2.5,9,1.9,28,5.8,27,5.6,9,1.9,10,2.1,20,4.1,8,1.7,12,2.5,9,1.9,19,3.9,21,4.4,28,5.8,13,2.7,24,5,26,5.4,6,1.2,6,1.2,7,1.5,4,0.8,6,1.2,5,1,8,1.7,15,3.1,4,0.8,6,1.2,10,2.1,10,2.1,3,0.6,3,0.6,2,0.4,0,0,2,0.4,2,0.4,3,0.6,2,0.4,6,1.2,6,1.2,2,0.4,1,0.2,7,1.5,1,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
