品目階層,品目,Item,平成26年 2014／数量 Quantity,平成26年 2014／金額 Value,平成27年 2015／数量 Quantity,平成27年 2015／金額 Value,平成28年 2016／数量 Quantity,平成28年 2016／金額 Value
3,かんしょ,Sweet potato,31221,6229455,30309,7403782,29054,6967364
3,たまねぎ,Onion,130646,15199933,131398,14303206,129363,13585295
3,その他,Others,31899,13608034,31182,13879594,29916,14290560
2,香辛つま物類,Spices／garnishes,13598,17592891,13358,18930407,13310,19297283
3,根しょうが,Ginger,5350,3127271,4930,3120637,5081,3309672
3,その他,Others,8248,14465620,8428,15809770,8229,15987612
2,きのこ山菜類,Mushrooms／Wild plants,42860,23776321,42927,24275862,42940,23959303
3,なましいたけ,"""Shiitake"" mushroom， fresh",7024,6957785,7034,7089425,7077,7278598
3,えのきだけ,"""Enokidake"" mushroom",13500,3378628,12893,3357922,14071,3302538
3,しめじ,"""Shimeji"" mushroom",10700,4661080,10749,4725921,10314,4338614
3,その他,Others,11636,8778828,12252,9102594,11478,9039553
2,その他野菜類,Others,6963,3140124,5932,3107332,5453,3252049
3,うめ,"""Ume"" apricot",2802,849395,2307,816338,2022,874079
3,その他,Others,4160,2290728,3625,2290994,3431,2377970
2,野菜加工品,Processed vegetables,28760,5843089,27535,5830781,26353,5705368
1,果実,Fruits,466968,163003218,447980,171386077,434623,178406506
2,みかん類,Mandarins,107017,25187216,102356,27426267,94062,29225253
2,かんきつ類,Citrus varieties,58681,15315601,56020,16517121,52700,17136389
3,いよかん,"""Iyo""tangor",7567,1319841,5922,1266786,6780,1573053
3,グレープ,Grapefruit,5494,904758,5623,1027078,5191,1049843
3,その他,Others,45620,13091001,44476,14223257,40729,14513494
2,りんご類,Apples,66404,19596217,67269,21148941,65455,21750032
2,日本なし類,Japanese pears,26021,7337028,23699,7283503,23927,7311237
2,西洋なし類,European pears,2474,901285,3294,1038190,3346,1089812
2,かき類,Japanese persimmons,22927,5706813,22865,5591235,22071,6296181
2,びわ類,Loquats,503,687619,350,576559,259,480373
2,もも類,Peaches,15880,7441678,14033,7381849,15027,7707879
2,すもも類,Plums,3207,1603899,3151,1685892,3581,1863079
2,おうとう類,Cherries,1982,3521949,1775,3482107,2331,3870878
2,あんず類,Apricots,141,71055,77,45712,97,57195
2,ぶどう類,Grapes,14801,11707911,14731,13123609,14857,14246323
2,くり類,Chestnuts,1473,664689,1084,574544,773,635694
2,いちぢく類,Figs,1371,1009328,1244,974314,1209,968775
2,いちご類,Strawberries,24316,28759226,23679,29824223,22990,30350899
2,メロン類,Melons,22545,10571172,20897,10592097,20601,10656101
2,すいか類,Watermelons,46776,8357852,43842,8922763,44705,9541418
2,その他果実,Other fruits,46839,11608850,43848,11894151,42997,11734629
2,果実加工品,Processed fruits,3610,2953831,3764,3302998,3633,3484358
1,つけ物,Pickles,12102,6630503,11374,6407054,11569,6702721
1,その他食料品,Other foods,14764,3237738,14442,3144140,13824,2983996
1,鳥卵,Poultry eggs,12056,3171794,11961,3292467,11968,3092191
,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-1  品目別農産物の入荷数量 （平成26～28年） 10-1 RECEIVED AGRICULTURAL PRODUCTS BY ITEM（ 2014-2016 ）,,,,,,,,
第10-1～10-4表は， 都中央卸売市場の卸売業者が取扱ったものである。,,,,,,,,
Tables 10-1 through 10-4 show figures for transactions by wholesalers at Tokyo Metropolitan Central Wholesale Market.,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:野菜・果実・つけ物・その他食料品・鳥卵　2:農産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen),,,,,,,,
