年次,Year,区分階層,項番Itemnumber,種類,Kind,受理Received／総数Total,受理Received／旧受Previouslyreceived,受理Received／新受Newlyreceived,既済Disposed／総数Total,既済Disposed／認容Granted,既済Disposed／却下Rejected,既済Disposed／取下Withdrawn,既済Disposed／その他Others,未済Pending
平成28,2016,2,5,離縁後の未成年後見人の選任,Appointmentofaguardianofanadoptedminorafterdissolutionofadoptiverelation,3,2,1,3,2,-,1,-,-
平成28,2016,2,6,後見人等の辞任,Resignationofaguardianofanadult，etc.,1513,72,1441,1450,1410,1,9,30,63
平成28,2016,2,7,後見人等の解任,Dismissalofaguardianofanadult，etc.,115,36,79,96,26,35,28,7,19
平成28,2016,3,,うち職権によるもの,(ofwhich)Dismissalbythefamilycourt'sauthority,51,19,32,45,24,-,19,2,6
平成28,2016,2,8,後見人の財産目録の作成の期間の伸長,Extensionoftheperiodforpreparinganinventoryofpropertybytheguardianofanadult,-,-,-,-,-,-,-,-,-
平成28,2016,2,9,後見人等の権限行使についての定め及びその取消し,Determinationoftheexerciseofauthorityofanadultguardian，etc.andrescissionofsuchdetermination,780,3,777,775,771,1,-,3,5
平成28,2016,2,10,居住用不動産の処分についての許可,Permissionfordispositionofrealpropertyusedforresidence,1552,48,1504,1518,1456,3,57,2,34
平成28,2016,2,11,特別代理人の選任（利益相反行為）,Appointmentofaspecialagent(forconflictofinterest),1202,78,1124,1102,1026,4,65,7,100
平成28,2016,2,12,後見人等に対する報酬の付与,Remunerationtoaguardianofanadult，etc.,20608,785,19823,20042,19992,4,42,4,566
平成28,2016,2,13,後見等監督処分,Supervisorydispositionofguardianship，etc.,16577,2221,14356,14739,14373,6,-,360,1838
平成28,2016,3,,うち職権によるもの,(ofwhich)Dispositionbythefamilycourt'sauthority,16530,2217,14313,14701,14342,-,-,359,1829
平成28,2016,2,14,第三者が子等に与えた財産の管理者選任等,Appointment，etc.ofamanagerofpropertyofferedtoachild，etc.byathirdparty,-,-,-,-,-,-,-,-,-
平成28,2016,2,15,後見終了に伴う管理計算の期間の伸長,Extensionoftheperiodofsettlementofaccountattheendofguardianship,6,-,6,6,6,-,-,-,-
平成28,2016,2,16,臨時保佐人等の選任（利益相反行為）,Appointmentofatemporarycurator，etc.(forconflictofinterest),17,3,14,16,13,-,2,1,1
平成28,2016,2,17,不在者の財産の管理に関する処分,Dispositionregardingtheadministrationofpropertyofanabsentee,1118,119,999,1010,800,-,75,135,108
平成28,2016,2,18,失踪の宣告及びその取消し,Adjudicationofdisappearanceandrescissionofsuchadjudication,749,308,441,470,376,6,79,9,279
平成28,2016,2,19,夫婦の財産管理者変更・共有財産の分割,ChangeofanadministratorofpropertyunderaMatrimonialPropertyContract／divisionofpropertyinco-ownership,-,-,-,-,-,-,-,-,-
平成28,2016,2,20,特別代理人の選任（嫡出否認）,Appointmentofaspecialagent(rebuttalofpresumptionofachildinwedlock),1,1,-,1,-,-,1,-,-
平成28,2016,2,21,子の氏の変更についての許可,Permissionforchangingthesurnameofachild,12482,165,12317,12329,12244,10,39,36,153
平成28,2016,2,22,養子をするについての許可,Permissionforadoption,200,39,161,147,77,3,65,2,53
平成28,2016,2,23,離縁をするについての許可,Permissionfordissolutionofadoption,280,9,271,263,256,-,6,1,17
平成28,2016,2,24,特別養子縁組の成立及びその離縁に関する処分,Dispositiononestablishmentanddissolutionofspecialadoption,134,40,94,80,69,-,11,-,54
平成28,2016,3,,うち離縁に関する処分,(ofwhich)Dispositionregardingdissolutionofspecialadoption,-,-,-,-,-,-,-,-,-
平成28,2016,2,25,親権喪失，親権停止又は管理権喪失の審判及びその取消し,Adjudicationonlossorsuspensionofparentalauthorityorlossoftherightofadministrationofproperty／rescissionofsuchadjudication,34,7,27,26,3,4,19,-,8
平成28,2016,3,,うち親権喪失の審判,(ofwhich)Adjudicationonlossofparentalauthority,10,1,9,7,-,-,7,-,3
平成28,2016,3,,うち親権停止の審判,(ofwhich)Adjudicationonsuspensionofparentalauthority,24,6,18,19,3,4,12,-,5
平成28,2016,3,,うち管理権喪失の審判,(ofwhich)Adjudicationonlossoftherightofadministrationofproperty,-,-,-,-,-,-,-,-,-
平成28,2016,2,26,親権・管理権の辞任・回復,Surrenderorrestorationofparentalauthorityortherightofadministrationofproperty,5,-,5,3,3,-,-,-,2
平成28,2016,2,27,扶養義務の設定及びその取消し,Establishmentofanobligationofsupport／rescissionofsuchestablishment,19,-,19,19,17,-,1,1,-
平成28,2016,2,28,推定相続人の廃除及びその取消し,Disinheritanceofpresumptiveheirs／rescissionofsuchdisinheritance,42,9,33,29,7,11,11,-,13
平成28,2016,2,29,推定相続人廃除等に伴う遺産の管理に関する処分,Dispositionregardingadministrationofestatesupondisinheritanceofpresumptiveheirs，etc.,1,-,1,1,-,-,1,-,-
平成28,2016,2,30,相続の承認又は放棄の期間の伸長,Extensionoftheperiodforacceptanceorrenunciationofinheritance,1022,79,943,962,884,9,59,10,60
平成28,2016,2,31,相続財産の保存又は管理に関する処分,Dispositionregardingpreservationormanagementofinheritedproperty,229,17,212,212,198,2,11,1,17
平成28,2016,2,32,相続の限定承認又は放棄の取消し,Rescissionofqualifiedacceptanceorrenunciationofinheritance,12,1,11,11,5,2,4,-,1
平成28,2016,2,33,相続の限定承認の申述受理,Acceptanceofastatementofqualifiedacceptanceofinheritance,115,8,107,103,101,-,2,-,12
平成28,2016,2,34,鑑定人の選任,Appointmentofanappraiser,9,2,7,8,8,-,-,-,1
平成28,2016,2,35,相続の放棄の申述の受理,Acceptanceofastatementofrenunciationofinheritance,20851,1624,19227,19556,19110,16,293,137,1295
平成28,2016,2,36,相続財産の分離に関する処分,Dispositionregardingseparationofinheritedproperty,1,-,1,1,-,-,1,-,-
平成28,2016,2,37,相続財産管理に関する処分（財産分離）,Dispositionregardingtheadministrationofinheritedproperty(separationofproperty),1,-,1,1,-,-,1,-,-
平成28,2016,2,38,相続財産管理人選任等（相続人不分明）,Appointmentofanadministratorofinheritedproperty，etc.(heirsunknown),2494,145,2349,2350,2258,8,61,23,144
平成28,2016,2,39,特別縁故者への相続財産の分与,Distributionofinheritedpropertytoapersonwithaspecialconnection,192,63,129,139,98,20,21,-,53
平成28,2016,2,40,遺言の確認,Confirmationofawill,27,5,22,24,19,1,4,-,3
平成28,2016,2,41,遺言書の検認,Probateofawill,3166,280,2886,2903,2883,1,12,7,263
平成28,2016,2,42,遺言執行者の選任,Appointmentofanexecutor,426,26,400,396,379,-,14,3,30
平成28,2016,2,43,遺言執行者に対する報酬の付与,Grantofremunerationtoanexecutor,67,7,60,59,57,-,2,-,8
平成28,2016,2,44,遺言執行者の解任及び辞任,Dismissalandresignationofanexecutor,44,12,32,31,18,1,12,-,13
平成28,2016,2,45,遺言の取消し,Rescissionofawill,2,-,2,2,-,1,1,-,-
平成28,2016,2,46,遺留分の放棄についての許可,Permissionforanheir'srenunciationofsaidheir'slegallyreservedportion,241,22,219,229,206,2,18,3,12
平成28,2016,2,47,任意後見契約に関する法律関係,Legalrelationshipconcerningavoluntaryguardianshipcontract,655,38,617,625,595,10,11,9,30
平成28,2016,3,,うち任意後見監督人の選任,(ofwhich)Appointmentofasupervisorforavoluntarilyappointedguardian,184,21,163,165,145,4,7,9,19
平成28,2016,3,,うち任意後見監督処分,(ofwhich)Supervisorydispositionofavoluntarilyappointedguardianship,7,1,6,6,6,-,-,-,1
平成28,2016,3,,うち任意後見監督人の辞任,(ofwhich)Resignationofthesupervisorofavoluntarilyappointedguardian,-,-,-,-,-,-,-,-,-
平成28,2016,3,,うち任意後見人等の解任,(ofwhich)Dismissalofavoluntarilyappointedguardian，etc.,7,1,6,7,-,6,1,-,-
平成28,2016,3,,うち任意後見監督人に対する報酬の付与,(ofwhich)Grantofremunerationtothesupervisorofavoluntarilyappointedguardian,455,15,440,446,443,-,3,-,9
平成28,2016,2,48,戸籍法による氏の変更についての許可,PermissionforchangeofsurnameundertheFamilyRegisterAct,1587,123,1464,1477,1273,42,158,4,110
平成28,2016,2,49,戸籍法による名の変更についての許可,PermissionforchangeoffirstnameundertheFamilyRegisterAct,1110,91,1019,1023,723,41,256,3,87
平成28,2016,2,50,就籍についての許可,Permissionfortheregistrationofanunregisteredperson,58,27,31,54,30,8,16,-,4
平成28,2016,2,51,戸籍の訂正についての許可,Permissionforcorrectionofafamilyregister,176,26,150,154,121,10,22,1,22
平成28,2016,2,52,戸籍事件についての処分に対する不服,Appealagainstthedispositionofafamilyregister-relatedcase,6,3,3,5,-,5,-,-,1
平成28,2016,2,53,性同一性障害者の性別の取扱いの特例に関する法律3条1項の事件,CasesunderArticle3，Paragraph1oftheActonSpecialCasesinHandlingGenderforPeoplewithGenderIdentityDisorder,136,10,126,115,112,-,3,-,21
平成28,2016,2,54,児童福祉法28条1項の事件,CasesunderArticle28，Paragraph1oftheChildWelfareAct,42,19,23,31,22,1,8,-,11
平成28,2016,2,55,児童福祉法28条2項の事件,CasesunderArticle28，Paragraph2oftheChildWelfareAct,22,5,17,14,14,-,-,-,8
平成28,2016,2,56,生活保護法30条3項の事件,CasesunderArticle30，Paragraph3ofthePublicAssistanceAct,-,-,-,-,-,-,-,-,-
平成28,2016,2,57,心神喪失等の状態で重大な他害行為を行った者の医療及び観察等に関する法律23条の2第2項ただし書の事件,CasesundertheprovisoofArticle23-2，Paragraph2oftheActonMedicalCareandTreatmentforPersonsWhoHaveCausedSeriousCasesUndertheConditionofInsanity,10,1,9,8,8,-,-,-,2
平成28,2016,2,58,破産法61条の事件,CasesunderArticle61oftheBankruptcyAct,-,-,-,-,-,-,-,-,-
平成28,2016,2,59,破産法238条の事件,CasesunderArticle238oftheBankruptcyAct,4,-,4,4,4,-,-,-,-
平成28,2016,2,60,中小企業における経営の承継の円滑化に関する法律8条1項の事件,CasesunderArticle8，Paragraph1oftheActonFacilitationofSuccessionofManagementofSmallandMediumSizedEnterprises,11,2,9,7,7,-,-,-,4
平成28,2016,1,,別表第二審判事件総数,TotalnumberofcasesofadjudicationofdomesticrelationsunderAppendedTable2oftheDomesticRelationsCaseProcedureAct,3417,1199,2218,2311,1108,254,388,561,1106
平成28,2016,2,1,夫婦の同居・協力扶助,Cohabitation，cooperation，andmutualassistancebetweenhusbandandwife,15,5,10,9,1,3,4,1,6
平成28,2016,2,2,婚姻費用の分担,Sharingoflivingexpensesarisingfrommarriage,628,182,446,453,285,24,46,98,175
平成28,2016,2,3,子の監護者の指定その他の処分,Designationofachildcustodianandotherdispositions,1713,681,1032,1113,409,164,258,282,600
平成28,2016,3,,うち監護者の指定,(ofwhich)Designationofachildcustodian,468,220,248,305,97,41,104,63,163
平成28,2016,3,,うち養育費請求,(ofwhich)Claimforchildsupportpayments,398,104,294,282,136,17,15,114,116
平成28,2016,3,,うち面会交流,(ofwhich)Visitationandcontacts,482,199,283,292,152,28,42,70,190
平成28,2016,3,,うち子の引渡し,(ofwhich)Surrenderofchildcustody,362,158,204,233,23,78,97,35,129
平成28,2016,2,4,財産の分与に関する処分,Dispositionregardingthedistributionofproperty,115,52,63,60,20,5,7,28,55
平成28,2016,2,5,祭祀の承継者の指定,Appointmentofasuccessorofrightsrelatingtorituals,27,5,22,19,12,1,5,1,8
平成28,2016,2,6,離縁後の親権者の指定,Designationofpersonwhoistohaveparentalauthorityupondissolutionofadoptiverelationship,-,-,-,-,-,-,-,-,-
平成28,2016,2,7,親権者の指定又は変更,Designationorchangeofpersonhavingparentalauthority,263,72,191,190,74,25,41,50,73
平成28,2016,2,8,扶養に関する処分,Dispositiononsupport,38,11,27,24,8,7,4,5,14
平成28,2016,2,9,遺産の分割に関する処分など,Dispositionondivisionofestate，etc.,306,118,188,195,107,3,11,74,111
平成28,2016,2,10,寄与分を定める処分,Dispositiontodetermineanheir'scontributingportion,83,32,51,54,8,22,9,15,29
平成28,2016,2,11,請求すべき按分割合に関する処分,Dispositionregardingtheproratasharetoberequested,228,40,188,194,184,-,3,7,34
平成28,2016,2,12,生活保護法77条2項の事件,CasesunderArticle77，Paragraph2ofthePublicAssistanceAct,-,-,-,-,-,-,-,-,-
平成28,2016,2,13,推定相続人の廃除及びその取消し（家事審判法第9条乙類）,Disinheritanceofapresumptiveheir／rescissionofsuchdisinheritance(Article9，Clause2oftheDomesticRelationsTrialAct),1,1,-,-,-,-,-,-,1
,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYOSTATISTICALYEARBOOK(2016) 20司法・警察・消防20JUSTICE，POLICE，ANDFIREFIGHTINGSERVICES,,,,,,,,,,,,,,
20-5家事審判事件の種類別件数（平成27，28年）20-5CASESOFADJUDICATIONOFDOMESTICRELATIONSBYKIND(2015and2016),,,,,,,,,,,,,,
資料：東京家庭裁判所事務局総務課Source:TokyoFamilyCourt,,,,,,,,,,,,,,
区分階層(0:総数1:区分2:区分内訳),,,,,,,,,,,,,,
