地域階層,地域コード,項番 Item number,地域,District,総数 Total／事業所数 Number of establishments,総数 Total／従業者数 Number of employees,総数 Total／年間商品販売額 Annual sales of goods,卸売業 Wholesale trade／事業所数 Number of establishments,卸売業 Wholesale trade／従業者数 Number of employees,卸売業 Wholesale trade／年間商品販売額 Annual sales of goods,小売業 Retail trade／事業所数 Number of establishments,小売業 Retail trade／従業者数 Number of employees,小売業 Retail trade／年間商品販売額 Annual sales of goods,小売業 Retail trade／売場面積 Sales floor space (m2)
2,13199,24,境界未定地域,Areas where boundaries are not fixed,120,1331,42748,9,109,16157,111,1222,26592,13216
1,13200,,市部,All shi,21452,205553,6280239,4281,37754,2958211,17171,167799,3322028,3188998
2,13201,1,八王子市,Hachioji-shi,3247,33554,1152223,809,7765,663881,2438,25789,488342,488283
2,13202,2,立川市,Tachikawa-shi,1212,13649,648758,308,3653,410667,904,9996,238092,190133
2,13203,3,武蔵野市,Musashino-shi,1353,11531,293354,174,1163,60925,1179,10368,232429,202619
2,13204,4,三鷹市,Mitaka-shi,691,6369,189016,138,1327,90033,553,5042,98984,74501
2,13205,5,青梅市,Ome-shi,816,6733,263725,141,1437,165581,675,5296,98144,128412
2,13206,6,府中市,Fuchu-shi,1248,12262,457935,321,3316,270283,927,8946,187652,176418
2,13207,7,昭島市,Akishima-shi,680,6734,244746,164,1188,129024,516,5546,115722,136104
2,13208,8,調布市,Chofu-shi,1135,11041,344222,217,1857,132869,918,9184,211353,140078
2,13209,9,町田市,Machida-shi,2124,21194,573893,369,2594,143776,1755,18600,430117,377643
2,13210,10,小金井市,Koganei-shi,447,4340,88646,85,476,26861,362,3864,61785,73555
2,13211,11,小平市,Kodaira-shi,827,7340,196762,145,1130,88245,682,6210,108517,100669
2,13212,12,日野市,Hino-shi,622,6029,156056,128,1197,74529,494,4832,81527,68812
2,13213,13,東村山市,Higashimurayama-shi,627,5408,135555,107,675,56240,520,4733,79315,84628
2,13214,14,国分寺市,Kokubunji-shi,568,4859,115177,108,567,29433,460,4292,85744,73602
2,13215,15,国立市,Kunitachi-shi,448,4292,188835,90,1214,137056,358,3078,51779,41920
2,13218,16,福生市,Fussa-shi,362,2590,66156,72,391,23557,290,2199,42599,54248
2,13219,17,狛江市,Komae-shi,359,2560,65175,73,447,28463,286,2113,36711,29804
2,13220,18,東大和市,Higashiyamato-shi,484,4448,102523,83,477,35299,401,3971,67224,74850
2,13221,19,清瀬市,Kiyose-shi,351,2507,42884,65,318,7838,286,2189,35047,29589
2,13222,20,東久留米市,Higashikurume-shi,551,5907,156599,101,964,66258,450,4943,90341,107833
2,13223,21,武蔵村山市,Musashimurayama-shi,515,4583,114579,97,792,41354,418,3791,73226,86027
2,13224,22,多摩市,Tama-shi,720,10090,290208,129,2401,142167,591,7689,148041,161815
2,13225,23,稲城市,Inagi-shi,306,3308,63727,65,351,11316,241,2957,52410,61043
2,13227,24,羽村市,Hamura-shi,327,2856,90070,68,477,48070,259,2379,42000,43185
2,13228,25,あきる野市,Akiruno-shi,499,3616,62005,69,411,10378,430,3205,51627,63361
2,13229,26,西東京市,Nishitokyo-shi,933,7753,177408,155,1166,64108,778,6587,113299,119866
1,13300,,郡部,All gun,538,4877,149215,128,1257,65383,410,3620,83833,90799
1,13350,,島部,All islands,403,1731,22400,39,169,3445,364,1562,18955,24607
,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　12  商業・サービス・貿易 12  COMMERCE，SERVICES，AND FOREIGN TRADE,,,,,,,,,,,,,,
12-1  卸売業，小売業の地域別事業所数，従業者数，年間商品販売額及び売場面積 (平成26年) 12-1 WHOLESALE AND RETAIL TRADE ESTABLISHMENTS， EMPLOYEES， ANNUAL SALES OF GOODS， AND SALES FLOOR SPACES BY DISTRICT ( 2016 ),,,,,,,,,,,,,,
この表は， 商業統計調査 によるものであり， 東京都が集計した結果である。 調査の時点は7月1日である。,,,,,,,,,,,,,,
Data are based on the Census on Commerce taken as of July 1 of the year stated， with the results tabulated by the TMG.,,,,,,,,,,,,,,
資料：都総務局統計部産業統計課 「商業統計調査報告（卸売・小売業）」，経済産業省 「平成26年商業統計表」 Source: Bureau of General Affairs， TMG; Ministry of Economy， Trade and Industry,,,,,,,,,,,,,,
地域階層 (0:東京都　1:区部・市部・郡部・島部　2:区市町村),,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,
