年度,Fiscal year,科名,Courses,入校者 Enrolled,修了者 Completed,就職状況 Placement／就職 Employed,就職状況 Placement／自営 Self Employed,就職状況 Placement／就職率 Employment Rate (%)
令和28,2016,パソコン実践,Computer operations,347,335,154,1,46.3
令和28,2016,内装施工,Interior construction work,57,54,29,2,57.4
令和28,2016,ビル管理,Building management,171,155,131,2,85.8
令和28,2016,電気設備管理,Electrical facility management,64,59,53,1,91.5
令和28,2016,電気設備管理（高年齢者向）,Electrical facility management (for elderly people),70,62,49,0,79
令和28,2016,電気設備保全,Electrical facility maintenance,55,52,40,1,78.8
令和28,2016,経営管理実務,Business management,83,70,36,0,51.4
令和28,2016,ビジネス経理,Business accounting,52,47,22,0,46.8
令和28,2016,庭園施工管理,Gardening,59,52,36,14,96.2
令和28,2016,生活支援サービス,Living support services,33,31,29,0,93.5
令和28,2016,ホテル・レストランサービス,Hotel and restaurant services,60,54,34,0,63
令和28,2016,設備保全,Facility maintenance,36,30,23,0,76.7
令和28,2016,板金溶接,Sheet metal welding,28,21,19,2,100
令和28,2016,施　設　警　備,Security services for facilities,18,14,13,-,92.9
令和28,2016,自動車運転（城東）,Vehicle driving (Joto),3,3,-,-,-
,,,,,,,,
7-2  都立職業能力開発センター(職業訓練校)修了者就職状況 (平成27，28年度) 7-2  PLACEMENT OF TRAINEES OF ＴMG VOCATIONAL SKILLS DEVELOPMENT CENTERS ( VOCATIONAL TRAINING FACILITIES ) ( Fiscal Years 2015 and 2016 ) ,,,,,,,,
この表の数字には， 2ケ月以下の訓練，障害者訓練，高年齢者向け夜間訓練及び受託訓練を含まない。 ,,,,,,,,
Figures do not include training courses of two months or less those for the disabled night courses for the elderly or courses commissioned by others. ,,,,,,,,
資料：都産業労働局雇用就業部能力開発課,,,,,,,,
Source: Bureau of Industrial and Labor Affairs， TMG,,,,,,,,
