年度,Fiscal year,系統,Line,駅,Station,マーク Mark,乗車人員 Boarding passengers／総数 Total,乗車人員 Boarding passengers／定期 Commuter Pass,乗車人員 Boarding passengers／普通 Tickets
平成28,2016,中央本線,Chuo Line,荻窪,Ogikubo,※,32225,19843,12382
平成28,2016,中央本線,Chuo Line,西荻窪,Nishi-ogikubo,※,16234,9544,6691
平成28,2016,中央本線,Chuo Line,吉祥寺,Kichijoji,,51699,29665,22034
平成28,2016,中央本線,Chuo Line,三鷹,Mitaka,,35028,23513,11515
平成28,2016,中央本線,Chuo Line,武蔵境,Musashi-sakai,,24699,16872,7826
平成28,2016,中央本線,Chuo Line,東小金井,Higashi-koganei,,11133,7730,3403
平成28,2016,中央本線,Chuo Line,武蔵小金井,Musashi-koganei,,22278,15103,7175
平成28,2016,中央本線,Chuo Line,国分寺,Kokubunji,,40763,27511,13252
平成28,2016,中央本線,Chuo Line,西国分寺,Nishi-kokubunji,,10695,5994,4701
平成28,2016,中央本線,Chuo Line,国立,Kunitachi,,19605,13019,6586
平成28,2016,中央本線,Chuo Line,立川,Tachikawa,,60461,32808,27653
平成28,2016,中央本線,Chuo Line,日野,Hino,,9969,7052,2917
平成28,2016,中央本線,Chuo Line,豊田,Toyoda,,12411,8829,3582
平成28,2016,中央本線,Chuo Line,八王子,Hachioji,,31059,17887,13172
平成28,2016,中央本線,Chuo Line,西八王子,Nishi-hachioji,,11790,8287,3504
平成28,2016,中央本線,Chuo Line,高尾,Takao,,10611,6887,3725
平成28,2016,南武線,Nambu Line,,,,44229,28340,15888
平成28,2016,南武線,Nambu Line,矢野口,Yanokuchi,,3676,2512,1164
平成28,2016,南武線,Nambu Line,稲城長沼,Inaginaganuma,,2670,1866,805
平成28,2016,南武線,Nambu Line,南多摩,Minamitama,,2572,1669,903
平成28,2016,南武線,Nambu Line,府中本町,Fuchu-hommachi,,6323,2857,3465
平成28,2016,南武線,Nambu Line,分倍河原,Bubaigawara,,14728,9555,5173
平成28,2016,南武線,Nambu Line,西府,Nishifu,,3752,2696,1055
平成28,2016,南武線,Nambu Line,谷保,Yaho,,3781,2588,1194
平成28,2016,南武線,Nambu Line,矢川,Yagawa,,2948,1954,994
平成28,2016,南武線,Nambu Line,西国立,Nishi-kunitachi,,3779,2643,1136
平成28,2016,横浜線,Yokohama Line,,,,60311,38370,21942
平成28,2016,横浜線,Yokohama Line,成瀬,Naruse,,6920,4485,2435
平成28,2016,横浜線,Yokohama Line,町田,Machida,,41043,25214,15829
平成28,2016,横浜線,Yokohama Line,相原,Aihara,,3873,2783,1090
平成28,2016,横浜線,Yokohama Line,八王子みなみ野,Hachiojiminamino,,6567,4701,1866
平成28,2016,横浜線,Yokohama Line,片倉,Katakura,,1908,1186,722
平成28,2016,青梅線,Ome Line,,,,58887,38290,20597
平成28,2016,青梅線,Ome Line,西立川,Nishi-tachikawa,,2470,1354,1116
平成28,2016,青梅線,Ome Line,東中神,Higashi-nakagami,,2593,1746,847
平成28,2016,青梅線,Ome Line,中神,Nakagami,,4088,2763,1326
平成28,2016,青梅線,Ome Line,昭島,Akishima,,9606,6136,3470
平成28,2016,青梅線,Ome Line,拝島,Haijima,,10959,7057,3902
平成28,2016,青梅線,Ome Line,牛浜,Ushihama,,1644,920,724
平成28,2016,青梅線,Ome Line,福生,Fussa,,6007,3747,2260
平成28,2016,青梅線,Ome Line,羽村,Hamura,,5095,3433,1662
平成28,2016,青梅線,Ome Line,小作,Ozaku,,6230,4291,1939
平成28,2016,青梅線,Ome Line,河辺,Kabe,,4956,3280,1675
平成28,2016,青梅線,Ome Line,東青梅,Higashi-ome,,2442,1735,706
平成28,2016,青梅線,Ome Line,青梅,Ome,,2458,1729,730
平成28,2016,青梅線,Ome Line,宮ノ平,Miyanohira,○,…,…,…
平成28,2016,青梅線,Ome Line,日向和田,Hinatawada,○,…,…,…
平成28,2016,青梅線,Ome Line,石神前,Ishigamimae,○,…,…,…
平成28,2016,青梅線,Ome Line,二俣尾,Futamatao,○,…,…,…
平成28,2016,青梅線,Ome Line,軍畑,Ikusabata,○,…,…,…
平成28,2016,青梅線,Ome Line,沢井,Sawai,○,…,…,…
平成28,2016,青梅線,Ome Line,御嶽,Mitake,○,…,…,…
平成28,2016,青梅線,Ome Line,川井,Kawai,○,…,…,…
平成28,2016,青梅線,Ome Line,古里,Kori,○,…,…,…
平成28,2016,青梅線,Ome Line,鳩ノ巣,Hatonosu,○,…,…,…
平成28,2016,青梅線,Ome Line,白丸,Shiromaru,○,…,…,…
平成28,2016,青梅線,Ome Line,奥多摩,Okutama,,339,100,239
平成28,2016,五日市線,Itsukaichi Line,,,,8159,5688,2471
平成28,2016,五日市線,Itsukaichi Line,熊川,Kumagawa,○,…,…,…
平成28,2016,五日市線,Itsukaichi Line,東秋留,Higashi-akiru,,1752,1255,496
平成28,2016,五日市線,Itsukaichi Line,秋川,Akigawa,,2636,1874,762
平成28,2016,五日市線,Itsukaichi Line,武蔵引田,Musashi-hikida,,1204,858,347
平成28,2016,五日市線,Itsukaichi Line,武蔵増戸,Musashi-masuko,,950,658,292
平成28,2016,五日市線,Itsukaichi Line,武蔵五日市,Musashi-itsukaichi,,1616,1043,573
平成28,2016,武蔵野線,Musashino Line,,,,23809,16330,7479
平成28,2016,武蔵野線,Musashino Line,北府中,Kita-fuchu,,5525,4305,1220
平成28,2016,武蔵野線,Musashino Line,新小平,Shin-kodaira,,4201,2808,1393
平成28,2016,武蔵野線,Musashino Line,新秋津,Shin-akitsu,,14083,9217,4867
平成28,2016,八高線,Hachiko Line,,,,6088,4724,1364
平成28,2016,八高線,Hachiko Line,北八王子,Kita-hachioji,,3321,2740,580
平成28,2016,八高線,Hachiko Line,小宮,Komiya,,1163,836,327
平成28,2016,八高線,Hachiko Line,東福生,Higashi-fussa,○,…,…,…
平成28,2016,八高線,Hachiko Line,箱根ケ崎,Hakonegasaki,,1604,1148,456
平成28,2016,東北本線,Tohoku Line,,,※,355817,187843,167974
平成28,2016,東北本線,Tohoku Line,秋葉原,Akihabara,,90017,41101,48916
平成28,2016,東北本線,Tohoku Line,御徒町,Okachimachi,,24446,13091,11355
平成28,2016,東北本線,Tohoku Line,上野,Ueno,,66683,31134,35549
平成28,2016,東北本線,Tohoku Line,鶯谷,Uguisudani,,8983,4076,4907
平成28,2016,東北本線,Tohoku Line,日暮里,Nippori,,40343,22331,18012
平成28,2016,東北本線,Tohoku Line,西日暮里,Nishi-nippori,,36601,22501,14100
平成28,2016,東北本線,Tohoku Line,田端,Tabata,,16878,9625,7253
平成28,2016,東北本線,Tohoku Line,上中里,Kami-nakazato,,2789,1762,1027
平成28,2016,東北本線,Tohoku Line,王子,Oji,,23247,15231,8016
平成28,2016,東北本線,Tohoku Line,東十条,Higashi-jujo,,8389,5280,3110
平成28,2016,東北本線,Tohoku Line,赤羽,Akabane,,34140,19527,14613
平成28,2016,東北本線,Tohoku Line,尾久,Oku,,3301,2185,1116
平成28,2016,山手線,Yamanote Line,,,※,1021319,564987,456332
平成28,2016,山手線,Yamanote Line,大崎,Osaki,,58699,38407,20292
平成28,2016,山手線,Yamanote Line,五反田,Gotanda,,49657,29687,19969
平成28,2016,山手線,Yamanote Line,目黒,Meguro,,40230,22342,17888
平成28,2016,山手線,Yamanote Line,恵比寿,Ebisu,,52523,27640,24883
平成28,2016,山手線,Yamanote Line,渋谷,Shibuya,,135538,70904,64633
平成28,2016,山手線,Yamanote Line,原宿,Harajuku,,27771,8515,19255
平成28,2016,山手線,Yamanote Line,新宿,Shinjuku,,280797,149040,131757
平成28,2016,山手線,Yamanote Line,新大久保,Shin-okubo,,16034,6656,9378
平成28,2016,山手線,Yamanote Line,高田馬場,Takadanobaba,,75439,46268,29171
平成28,2016,山手線,Yamanote Line,目白,Mejiro,,13848,8621,5227
平成28,2016,山手線,Yamanote Line,池袋,Ikebukuro,,204371,118241,86130
平成28,2016,山手線,Yamanote Line,大塚,Otsuka,,20697,11541,9155
平成28,2016,山手線,Yamanote Line,巣鴨,Sugamo,,28160,16709,11451
平成28,2016,山手線,Yamanote Line,駒込,Komagome,,17554,10414,7140
平成28,2016,埼京線,Saikyo Line,,,※,40263,26821,13442
平成28,2016,埼京線,Saikyo Line,板橋,Itabashi,,12236,7372,4864
平成28,2016,埼京線,Saikyo Line,十条,Jujo,,13357,9310,4046
平成28,2016,埼京線,Saikyo Line,北赤羽,Kita-akabane,,6880,4799,2081
平成28,2016,埼京線,Saikyo Line,浮間舟渡,Ukimafunado,,7790,5339,2451
平成28,2016,常磐線,Joban Line,,,※,127483,90116,37367
平成28,2016,常磐線,Joban Line,三河島,Mikawashima,,4049,2760,1289
平成28,2016,常磐線,Joban Line,南千住,Minami-senju,,6114,4042,2072
平成28,2016,常磐線,Joban Line,北千住,Kita-senju,,78228,57344,20884
平成28,2016,常磐線,Joban Line,綾瀬,Ayase,,5344,3537,1807
平成28,2016,常磐線,Joban Line,亀有,Kameari,,15185,9733,5452
平成28,2016,常磐線,Joban Line,金町,Kanamachi,,18564,12701,5863
平成28,2016,総武線,Sobu Line,,,※,173211,108726,64485
平成28,2016,総武線,Sobu Line,両国,Ryogoku,,14564,8377,6187
平成28,2016,総武線,Sobu Line,浅草橋,Asakusabashi,,19736,11952,7784
平成28,2016,総武線,Sobu Line,新日本橋,Shin-nihombashi,,6682,4836,1846
平成28,2016,総武線,Sobu Line,馬喰町,Bakurocho,,9225,6373,2853
平成28,2016,総武線,Sobu Line,錦糸町,Kinshicho,,38771,21324,17447
平成28,2016,総武線,Sobu Line,亀戸,Kameido,,20965,13534,7431
平成28,2016,総武線,Sobu Line,平井,Hirai,,11950,8048,3901
平成28,2016,総武線,Sobu Line,新小岩,Shin-koiwa,,27517,18590,8927
平成28,2016,総武線,Sobu Line,小岩,Koiwa,,23800,15691,8109
平成28,2016,京葉線,Keiyo Line,,,※,51363,31154,20209
平成28,2016,京葉線,Keiyo Line,八丁堀,Hatchobori,,12108,7278,4830
平成28,2016,京葉線,Keiyo Line,越中島,Etchujima,,1909,1259,650
平成28,2016,京葉線,Keiyo Line,潮見,Shiomi,,4823,3307,1516
平成28,2016,京葉線,Keiyo Line,新木場,Shin-kiba,,27648,16610,11038
平成28,2016,京葉線,Keiyo Line,葛西臨海公園,Kasairinkaikoen,,4875,2699,2176
,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 ) 4　運輸 4　TRANSPORT ,,,,,,,,,
4-8　JRの駅別乗車人員 (平成24～28年度) 4-8  NUMBER OF PASSENGERS OF EAST JAPAN RAILWAY COMPANY TRAINS BY STATION ( Fiscal Years 2012-2016 ),,,,,,,,,
各駅はJRの基準により配列した。 またJR内の乗り継ぎを除く。 乗り換え駅は主線に載せた。,,,,,,,,,
Stations are listed according to JR standards. Figures exclude transfers between JR lines. Transit stations are listed under their main line.,,,,,,,,,
注 1) ※印は区部にある駅 （線） を示す。,,,,,,,,,
2) ○印の駅は無人駅のため，資料元において非公開としているので各々の計にも含まない。,,,,,,,,,
Note: 1) Lines and stations marked with  a ※ refer to those located in the ku area.,,,,,,,,,
2) Stations marked with a ○ are unmanned stations and are not included in the respective totals as figures are not disclosed by the data source.,,,,,,,,,
資料：東日本旅客鉄道株式会社東京支社総務部企画室 Source: East Japan Railway Company,,,,,,,,,
（単位　千人） (In thousands),,,,,,,,,
