年度,Fiscal year,組織,Form of organization,業種,Contractor classification,資本金階層別,By size of capital,企業数 Enterprises,完成工事高 Value of construction work completed／元請 Original contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／民間発注 Private contract／機械 Machinery,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／総数 Total,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／土木 Civil engineering,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／建築 Building construction,完成工事高 Value of construction work completed／元請 Original contract／公共発注 Public contract／機械 Machinery,完成工事高 Value of construction work completed／下請 Subcontract／総数 Total,完成工事高 Value of construction work completed／下請 Subcontract／土木 Civil engineering,完成工事高 Value of construction work completed／下請 Subcontract／建築 Building construction,完成工事高 Value of construction work completed／下請 Subcontract／機械 Machinery
平成27,2015,業種別（許可業者）,By contractor classification (licensed contractors),総合工事業,General construction work,舗装工事業,Paving work,298,302863,75128,62723,11957,450,227734,225978,1696,61,525324,522544,2604,176
平成27,2015,業種別（許可業者）,By contractor classification (licensed contractors),総合工事業,General construction work,しゅんせつ工事業,Dredging work,18,7713,1666,50,1,1615,6047,6047,-,-,37693,37635,1,57
平成27,2015,業種別（許可業者）,By contractor classification (licensed contractors),総合工事業,General construction work,建築工事業　　,Building work (except wooden buildings),2581,3920469,3635672,27314,3501230,107128,284797,20579,263511,708,494457,16706,453820,23931
平成27,2015,業種別（許可業者）,By contractor classification (licensed contractors),総合工事業,General construction work,木造建築工事業,Building work (wooden buildings),1090,1258644,1243971,78,1243886,7,14673,50,14623,-,32348,381,31967,-
平成27,2015,業種別（許可業者）,By contractor classification (licensed contractors),職別工事業,Construction work by specialist contractor,,,8254,941880,838526,56364,742836,39327,103353,39314,57212,6827,2490352,407027,2027824,55500
平成27,2015,業種別（許可業者）,By contractor classification (licensed contractors),設備工事業,Equipment installation work,,,6348,5026522,3971511,626397,1637696,1707415,1055011,66189,403632,585191,3213855,101100,2371106,741648
平成27,2015,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数,Total,,,15873,16047413,12144856,1696280,9610127,838449,3902558,2488773,1309047,104737,5655061,1364687,3814389,475985
平成27,2015,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／個人,Total／Sole proprietorship,,,643,7269,7218,18,7200,-,51,-,51,-,11003,272,10731,-
平成27,2015,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,,,15230,16040144,12137638,1696262,9602927,838449,3902507,2488773,1308996,104737,5644057,1364414,3803658,475985
平成27,2015,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,200万円未満,Under2millionyen,458,76458,76458,114,76344,-,-,-,-,-,49192,41846,6586,760
平成27,2015,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,200万円～500万円未満,2-5millionyen,3710,83450,71442,2797,65712,2934,12008,5084,6006,918,207087,24293,180273,2522
平成27,2015,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,500万円～1000万円未満,5-10millionyen,2188,91034,85773,3201,77636,4935,5261,3008,2044,209,174301,45323,113114,15864
平成27,2015,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,1000万円～3000万円未満,10-30millionyen,6990,616244,408089,32462,325504,50123,208155,90889,108116,9149,1207404,240815,827088,139501
平成27,2015,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,3000万円～5000万円未満,30-50millionyen,982,655499,513607,29177,460909,23521,141892,91532,46416,3944,479779,122043,304052,53684
平成27,2015,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,5000万円～1億円未満,50-100millionyen,588,668684,522394,80055,413603,28736,146290,73806,68593,3891,689613,232686,398100,58827
平成27,2015,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,1億円～10億円未満,100millionyento1billionyen,231,1534521,1306365,149327,987091,169947,228156,143857,80926,3373,1122911,258101,822386,42424
平成27,2015,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,10億円～50億円未満,1-5billionyen,42,1510591,1166050,202122,848794,115134,344541,198663,132358,13520,652679,116287,449736,86656
平成27,2015,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,50億円以上,5billionyenormore,41,10803663,7987460,1197007,6347334,443119,2816203,1881933,864537,69733,1061091,283020,702324,75747
平成27,2015,（再掲）建設業専業会社,(Relisted) Companies exclusively engaged in construction,総数／法人,Total／Corporation,都内元請完成工事高及び施工企業数,Value of original contracts and number of enterprises completing construction work within Tokyo-to ,14456,7749663,6185345,555660,5326835,302850,1564318,669606,738383,156329,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　3  建設・住居 3  CONSTRUCTION AND HOUSING,,,,,,,,,,,,,,,,,,,,,
3-6  経営組織，業種別による企業数，完成工事高（平成23～27年度） 3-6  ENTERPRISES， VALUE OF CONSTRUCTION WORK COMPLETED BY FORM OF ORGANIZATION AND CONTRACTOR CLASSIFICATION ( Fiscal Year 2011-2015 ）,,,,,,,,,,,,,,,,,,,,,
資料：国土交通省 「建設工事施工統計調査報告」 Source: Ministry of Land， Infrastructure， Transport and Tourism,,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,,
