年度,Fiscal year,地域コード,項番 Item number,地域,District,総額 Total,特別区税 Ku taxes,地方譲与税 Local transfer tax,利子割交付金 Interest grants,配当割交付金等 Dividend grants,地方消費税交付金 Local consumption tax allocations,ゴルフ場利用税交付金 Golf facilities tax allocations,自動車取得税交付金 Automobile acquisition tax allocations,地方特例交付金 Special local grants,特別区財政調整交付金 Finance adjustment grants for ku,交通安全対策特別交付金 Special grants for traffic safety measures,分担金及び負担金 Beneficiary contribution,使用料 Facility use charges,手数料 Fees,国庫支出金 National treasury disbursements,都支出金 Metropolitan disbursements,財産収入 Revenue from property,寄附金 Contributions,繰入金 Funds transferred,繰越金 Balance brought forward,諸収入 Miscellaneous,地方債 Municipal bonds
平成28,2016,13118,18,荒川区,Arakawa-ku,99878,16725,272,59,303,4296,-,124,143,38828,18,1192,1930,332,18936,6230,266,25,1051,4725,2451,1972
平成28,2016,13119,19,板橋区,Itabashi-ku,204807,44973,779,162,837,11235,4,355,357,67729,56,3059,3747,774,45107,13083,162,52,2837,4165,2348,2984
平成28,2016,13120,20,練馬区,Nerima-ku,262201,64893,999,244,1259,13944,-,453,353,83027,69,1466,3998,828,49191,18530,353,180,5197,3232,6610,7376
平成28,2016,13121,21,足立区,Adachi-ku,287025,47203,1001,163,846,13650,2,456,551,103666,80,2672,4314,829,64867,19102,1022,88,17776,4350,2407,1980
平成28,2016,13122,22,葛飾区,Katsushika-ku,195786,33003,648,117,603,8806,-,295,357,73389,48,1685,2561,505,38148,13332,404,18,3911,11108,6051,795
平成28,2016,13123,23,江戸川区,Edogawa-ku,257506,52542,1029,188,968,13309,-,468,454,92393,68,2589,4205,775,52319,15275,653,145,4572,10334,3044,2178
,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-5  区普通会計決算額 (1) 歳入 (平成26～28年度) 21-5  SETTLEMENT OF THE ORDINARY ACCOUNTS OF KU (1) REVENUE ( Fiscal Years 2014-2016 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 配当割交付金等に株式等譲渡所得割交付金を含む。 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Dividend grants include stock etc. transfer income grants. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料：都総務局行政部区政課 Source: Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,,,,,,,,,,,,,,,,,,,,,
