会計,Account,会計階層,区分,Classification,当初予算額 Original budget,最終予算額 Final budget,決算額 Settlement
都営住宅等事業,Metropolitan public housing， etc.,1,諸収入,Miscellaneous,5105,5105,4909
都営住宅等事業,Metropolitan public housing， etc.,1,都債,Metropolitan bonds,35047,40501,27966
都営住宅等事業,Metropolitan public housing， etc.,1,繰越金,Balance brought forward,0,258,1038
都営住宅等事業,Metropolitan public housing， etc.,0,歳出,Expenditure,178360,188883,162014
都営住宅等事業,Metropolitan public housing， etc.,1,都営住宅等事業費,Metropolitan public housing， etc.,178360,188883,162014
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,0,歳入,Revenue,8140,8140,8555
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,保証金収入,Security deposits ,551,551,483
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,繰入金,Funds transferred,1120,1120,1119
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,諸収入,Miscellaneous,2,2,1
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,繰越金,Balance brought forward,6467,6467,6952
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,0,歳出,Expenditure,3095,3095,3082
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,返還金,Refunds,595,595,582
都営住宅等保証金,Metropolitan public housing， etc.， security deposits,1,繰出金,Funds transferred,2500,2500,2500
都市開発資金,Urban development funds,0,歳入,Revenue,8615,8615,7600
都市開発資金,Urban development funds,1,財産収入,Revenue from property,7598,7598,7600
都市開発資金,Urban development funds,1,繰入金,Funds transferred,16,16,-
都市開発資金,Urban development funds,1,諸収入,Miscellaneous,0,0,0
都市開発資金,Urban development funds,1,都債,Metropolitan bonds,1000,1000,-
都市開発資金,Urban development funds,1,繰越金,Balance brought forward,0,0,-
都市開発資金,Urban development funds,0,歳出,Expenditure,8615,8615,7600
都市開発資金,Urban development funds,1,用地費,Land acquisition,8615,8615,7600
用地,Land acquisition,0,歳入,Revenue,53885,17036,15752
用地,Land acquisition,1,財産収入,Revenue from property,6687,6687,7613
用地,Land acquisition,1,繰入金,Funds transferred,35953,667,347
用地,Land acquisition,1,諸収入,Miscellaneous,0,0,0
用地,Land acquisition,1,都債,Metropolitan bonds,8301,8432,227
用地,Land acquisition,1,繰越金,Balance brought forward,2944,1250,7564
用地,Land acquisition,0,歳出,Expenditure,53885,17036,8216
用地,Land acquisition,1,用地費,Land acquisition,53885,17036,8216
公債費,Debt services,0,歳入,Revenue,1330238,1330238,1306498
公債費,Debt services,1,財産収入,Revenue from property,2518,2518,2678
公債費,Debt services,1,繰入金,Funds transferred,1071863,1071863,1048239
公債費,Debt services,1,諸収入,Miscellaneous,122,122,210
公債費,Debt services,1,都債,Metropolitan bonds,255736,255736,255370
公債費,Debt services,0,歳出,Expenditure,1330238,1330238,1306498
公債費,Debt services,1,公債費,Debt services,1330238,1330238,1306498
臨海都市基盤整備事業,Waterfront urban infrastructure development,0,歳入,Revenue,10647,11529,9796
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,分担金及び負担金,Allotments and shares,0,0,37
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,使用料及手数料,Charges and fees,1,1,6
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,繰入金,Funds transferred,2446,2733,1370
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,諸収入,Miscellaneous,19,19,103
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,繰越金,Balance brought forward,8181,8775,8279
臨海都市基盤整備事業,Waterfront urban infrastructure development,0,歳出,Expenditure,8573,9455,5231
臨海都市基盤整備事業,Waterfront urban infrastructure development,1,臨海都市基盤整備費,Waterfront urban infrastructure development,8573,9455,5231
,,,,,,,
東京都統計年鑑（平成28年）TOKYO STATISTICAL YEARBOOK ( 2016 )　21  財政 21  PUBLIC FINANCE,,,,,,,
21-3  特別会計予算，決算額 (平成28年度) 21-3  BUDGETS AND SETTLEMENTS OF THE SPECIAL ACCOUNTS ( Fiscal Year 2016 ),,,,,,,
注) 最終予算額は，前年度からの繰越額を含む。 ,,,,,,,
Note: The final budget includes the balance brought forward from the previous fiscal year.  ,,,,,,,
資料：都財務局主計部財政課 Source: Bureau of Finance， TMG,,,,,,,
会計階層（0:歳入・歳出　1:会計）,,,,,,,
（単位　百万円）(In millions of yen),,,,,,,
