,,指定番号,条例種別,分類,名　　　称,員数,時代,所在地,所有者等,指定年月日
小金井市指定文化財一覧,4,第4号,有形民俗文化財,,寛政六年庚申塔,1基,1794,東京都小金井市貫井南町4-11,小金井市,昭和48.02.13
小金井市指定文化財一覧,5,第5号,有形民俗文化財,,梶家所蔵板碑群,50基,1308～,東京都小金井市前原町3-32-15,個人所有,昭和48.02.13
小金井市指定文化財一覧,6,第6号,有形民俗文化財,,梶家所蔵宝篋印塔,1基,14世紀,東京都小金井市前原町3-32-16,個人所有,昭和48.02.13
小金井市指定文化財一覧,7,第7号,有形民俗文化財,,川崎平右衛門供養塔,1基,1795,東京都小金井市関野町2-8-4,真蔵院,昭和48.11.17
小金井市指定文化財一覧,8,第11号,天然記念物,,大久保家のカキノキ,,近世～,東京都小金井市緑町5-2--31,個人所有,昭和49.02.27
小金井市指定文化財一覧,9,第13号,天然記念物,,浴恩館公園のツツジ群,,近代,東京都小金井市緑町3-2-37,小金井市,昭和49.02.27
小金井市指定文化財一覧,10,第14号,天然記念物,,金蔵院のケヤキとムクノキ,,近世～,東京都小金井市中町4-13-25,金蔵院,昭和49.06.14
小金井市指定文化財一覧,11,第15号,有形文化財,彫刻,閻魔堂木造閻魔王坐像,1体,1777,東京都小金井市貫井南町4-19,共同管理,昭和52.05.28
小金井市指定文化財一覧,12,第16号,無形民俗文化財,,貫井囃子,,,東京都小金井市貫井南町,貫井囃子保存会,昭和53.03.11
小金井市指定文化財一覧,13,第17号,無形民俗文化財,,野謡,,,東京都小金井市緑町,小金井郷土芸能保存会,昭和53.03.11
小金井市指定文化財一覧,14,第18号,史跡,,空林荘,,1930,東京都小金井市緑町3-2-37,小金井市,昭和55.06.21
小金井市指定文化財一覧,15,第19号,史跡,,旧浴恩館(青年団講習所跡）,,1929,東京都小金井市緑町3-2-37,小金井市,昭和63.03.17
小金井市指定文化財一覧,16,第20号,無形民俗文化財,,小金井囃子,,,東京都小金井市中町・東町,小金井囃子保存会,平成14.11.12
小金井市指定文化財一覧,17,第21号,無形民俗文化財,,関野町餅つき,,,東京都小金井市関野町1-7-20,関野町餅搗保存会,平成14.11.12
小金井市指定文化財一覧,18,第22号,有形文化財,歴史資料,金井観花詩歌図巻・附小金井桜樹碑拓本,1巻,1826,東京都小金井市緑町3-2-37,小金井市,平成19.08.23
小金井市指定文化財一覧,19,第23号,有形文化財,考古資料,中山谷遺跡10号住居址出土土器群,1括,縄文時代,東京都小金井市緑町3-2-37,小金井市,平成19.08.23
小金井市指定文化財一覧,20,第24号,有形文化財,考古資料,中山谷遺跡23号住居址出土土器群,1括,縄文時代,東京都小金井市緑町3-2-37,小金井市,平成19.08.23
小金井市指定文化財一覧,21,第25号,有形文化財,考古資料,野川中洲北遺跡出土旧石器時代石器群及び植物遺体,1括,旧石器時代,東京都小金井市緑町3-2-37,小金井市,平成23.04.25
小金井市指定文化財一覧,22,第26号,有形文化財,考古資料,荒牧遺跡出土旧石器時代石器群,1括,旧石器時代,東京都小金井市緑町3-2-37,小金井市,平成23.04.25
小金井市指定文化財一覧,23,第27号,有形文化財,考古資料,貫井遺跡２・３・６号住居址出土縄文時代中期土器群,1括,縄文時代,東京都小金井市緑町3-2-37,小金井市,平成23.04.25
小金井市指定文化財一覧,24,第28号,有形文化財,考古資料,中山谷遺跡29号住居址出土縄文時代中期土器群,1括,縄文時代,東京都小金井市緑町3-2-37,小金井市,平成23.04.25
小金井市指定文化財一覧,25,第29号,有形文化財,考古資料,貫井南遺跡出土縄文時代中期装身具  ,6点,縄文時代,東京都小金井市緑町3-2-37,小金井市,平成23.04.25
小金井市指定文化財一覧,26,第30号,有形文化財,考古資料,前原町３丁目出土板碑 ,2点,鎌倉・南北朝,東京都小金井市緑町3-2-37,小金井市,平成23.04.25
小金井市指定文化財一覧,27,第31号,有形文化財,古文書,鈴木英男家文書  ,1括,近世・明治,東京都小金井市緑町3-2-37,小金井市,平成23.04.25
小金井市指定文化財一覧,28,第32号,有形民俗文化財,,旧大澤家稗倉（穀櫃）,1棟,近世・明治,東京都小金井市緑町3-2-37,小金井市,平成23.04.25
小金井市指定文化財一覧,29,第33号,天然記念物,,旧谷口家のオニイタヤ,1点,,東京都小金井市中町4-16-5,東京都,平成26.04.17
小金井市指定文化財一覧,30,第34号,有形文化財,建造物,吉野家住宅,1棟,近世,東京都小金井市桜町3-7-1,東京都,平成27.04.08
小金井市指定文化財一覧,31,第35号,有形文化財,建造物,天明家住宅,1棟,近世,東京都小金井市桜町3-7-1,東京都,平成27.04.08
小金井市指定文化財一覧,32,第36号,有形文化財,建造物,奄美の高倉,1棟,近世,東京都小金井市桜町3-7-1,東京都,平成27.04.08
小金井市指定文化財一覧,33,第37号,有形民俗文化財,,宝永五年六十六部廻国供養塔,1基,近世,東京都小金井市中町4-12,小金井市,平成27.12.08
小金井市登録文化財一覧,1,第1号,有形文化財,考古資料,貫井遺跡出土片口碗形土器,1点,縄文時代,東京都小金井市緑町3-2-37,小金井市,平成23.04.25
小金井市登録文化財一覧,2,第2号,有形文化財,考古資料,前原町３丁目出土蔵骨器  ,1点,室町時代,東京都小金井市緑町3-2-37,小金井市,平成23.04.25
小金井市登録文化財一覧,3,第3号,有形文化財,歴史資料,小金井橋碑石　附小金井橋碑文　,2点,1852,東京都小金井市緑町3-2-37,小金井市,平成23.04.25
小金井市登録文化財一覧,4,第4号,有形文化財,歴史資料,陸軍技術研究所境界石杭 ,2点,1940～1942,東京都小金井市緑町3-2-37、本町5-31,小金井市、個人所有,平成23.04.25
小金井市登録文化財一覧,5,第5号,有形民俗文化財,,下山谷念仏講用具,1括,1719～,東京都小金井市緑町3-2-37,小金井市,平成23.04.25、平成30.08.23
小金井市登録文化財一覧,6,第6号,有形民俗文化財,,貫井坂下中組講椀組合什器,1括,1857,東京都小金井市緑町3-2-37,小金井市,平成23.04.25
小金井市登録文化財一覧,7,第7号,有形民俗文化財,,国産ミショー型自転車 ,1台,明治時代,東京都小金井市緑町3-2-37,小金井市,平成23.04.25
