年度,Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校  Branch schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high／senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
平成25,2013,1,国立 ,National,特別支援学校,Special needs schools,4,-,-,466,255,211,276,226,50
平成25,2013,1,国立 ,National,幼稚園,Kindergartens,2,-,-,361,178,183,41,32,9
平成25,2013,1,国立 ,National,高等学校通信制,Senior high school correspondence course,-,-,-,-,-,-,-,-,-
平成25,2013,1,国立 ,National,専修学校,Specialized training schools,2,-,-,48,12,36,104,6,98
平成25,2013,1,国立 ,National,各種学校,Miscellaneous schools,-,-,-,-,-,-,-,-,-
平成25,2013,1,公立 ,Public,総数,Total,2381,1,32,969410,502811,466599,…,63101,…
平成25,2013,1,公立 ,Public,小学校,Elementary schools,1299,-,-,555445,286737,268708,35286,30760,4526
平成25,2013,1,公立 ,Public,中学校,Junior high schools,624,1,15,233384,122641,110743,19560,15097,4463
平成25,2013,1,公立 ,Public,高等学校,Senior high schools,188,-,11,135274,67390,67884,12390,9394,2996
平成25,2013,1,公立 ,Public,中等教育学校,Secondary education schools,6,-,6,5000,2421,2579,540,399,141
平成25,2013,1,公立 ,Public,大学,Colleges and Universities,2,-,-,9553,6283,3270,834,713,121
平成25,2013,1,公立 ,Public,短期大学,Junior colleges,-,-,-,-,-,-,-,-,-
平成25,2013,1,公立 ,Public,高等専門学校,Colleges of technology,1,-,-,1591,1472,119,…,136,…
平成25,2013,1,公立 ,Public,特別支援学校,Special needs schools,61,-,-,11660,7620,4040,6019,5549,470
平成25,2013,1,公立 ,Public,幼稚園,Kindergartens,189,-,-,14055,7246,6809,1132,855,277
平成25,2013,1,公立 ,Public,高等学校通信制,Senior high school correspondence course,3,-,-,1573,771,802,87,47,40
平成25,2013,1,公立 ,Public,専修学校,Specialized training schools,8,-,-,1875,230,1645,835,151,684
平成25,2013,1,公立 ,Public,各種学校,Miscellaneous schools,-,-,-,-,-,-,-,-,-
平成25,2013,1,私立 ,Private,総数,Total,2073,-,10,1269288,643839,625449,…,75507,…
平成25,2013,1,私立 ,Private,小学校,Elementary schools,53,-,-,26015,10563,15452,1842,1404,438
平成25,2013,1,私立 ,Private,中学校,Junior high schools,188,-,5,76597,34150,42447,8931,4171,4760
平成25,2013,1,私立 ,Private,高等学校,Senior high schools,237,-,5,174003,84219,89784,17086,9407,7679
平成25,2013,1,私立 ,Private,中等教育学校,Secondary education schools,-,-,-,-,-,-,-,-,-
平成25,2013,1,私立 ,Private,大学,Colleges and Universities,125,-,-,640250,348002,292248,101494,40389,61105
平成25,2013,1,私立 ,Private,短期大学,Junior colleges,43,-,-,16737,1415,15322,3932,958,2974
平成25,2013,1,私立 ,Private,高等専門学校,Colleges of technology,1,-,-,774,645,129,…,55,…
平成25,2013,1,私立 ,Private,特別支援学校,Special needs schools,4,-,-,241,142,99,123,93,30
平成25,2013,1,私立 ,Private,幼稚園,Kindergartens,848,-,-,158051,79759,78292,11362,9908,1454
平成25,2013,1,私立 ,Private,高等学校通信制,Senior high school correspondence course,10,-,-,12169,6743,5426,987,249,738
平成25,2013,1,私立 ,Private,専修学校,Specialized training schools,403,-,-,142266,67848,74418,22767,7270,15497
平成25,2013,1,私立 ,Private,各種学校,Miscellaneous schools,161,-,-,22185,10353,11832,3178,1603,1575
,,,,,,,,,,,,,,,
東京都統計年鑑（平成25年）TOKYO STATISTICAL YEARBOOK ( 2013 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,
17-1  学校数，在学者数及び教員数 (平成23～25年度) 17-1  NUMBERS OF SCHOOLS， ENROLLED STUDENTS， AND TEACHERS ( Fiscal Years 2011～2013 ),,,,,,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本調査報告」 Source:  Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
設置階層（0：総数　1:国立・公立・私立）,,,,,,,,,,,,,,,
