地域／市場,合計,合計構成比（％）,築地市場,築地市場構成比（％）,大田市場,大田市場構成比（％）,豊島市場,豊島市場構成比（％）,淀橋市場,淀橋市場構成比（％）,板橋市場,板橋市場構成比（％）,世田谷市場,世田谷市場構成比（％）,北足立市場,北足立市場構成比（％）,多摩NT市場,多摩NT市場構成比（％）,葛西市場,葛西市場構成比（％）,備考
江戸川区,257100,2.6,23298,1.7,66397,1.5,0,0.0,10022,0.9,0,0.0,0,0.0,52658,6.1,0,0.0,104725,17.4,
多摩地区計,584201,6.0,60735,4.4,306599,7.1,5343,1.0,76590,7.0,49595,7.8,26964,10.5,22171,2.6,31628,55.3,4575,0.8,
西多摩地域,11042,0.1,858,0.1,760,0.0,0,0.0,2394,0.2,3175,0.5,2689,1.0,0,0.0,466,0.8,700,0.1,
南多摩(1)地域,49024,0.5,10908,0.8,22658,0.5,0,0.0,9296,0.8,0,0.0,0,0.0,0,0.0,6163,10.8,0,0.0,
南多摩(2)地域,143660,1.5,12526,0.9,109165,2.5,87,0.0,691,0.1,1235,0.2,0,0.0,0,0.0,19956,34.9,0,0.0,
北多摩西部(1)地域,39662,0.4,3215,0.2,29231,0.7,0,0.0,4122,0.4,200,0.0,0,0.0,464,0.1,1606,2.8,824,0.1,
北多摩西部(2)地域,80980,0.8,9561,0.7,24186,0.6,0,0.0,6979,0.6,39278,6.2,442,0.2,0,0.0,534,0.9,0,0.0,
北多摩西部(3)地域,9739,0.1,4112,0.3,0,0.0,0,0.0,3576,0.3,0,0.0,1095,0.4,0,0.0,955,1.7,0,0.0,
北多摩南部地域,159503,1.6,18303,1.3,80835,1.9,1158,0.2,23901,2.2,3223,0.5,21809,8.5,5507,0.6,1716,3.0,3051,0.5,
北多摩北部地域,88132,0.9,1253,0.1,39766,0.9,4098,0.8,23171,2.1,2483,0.4,928,0.4,16200,1.9,233,0.4,0,0.0,
島しょ部,2460,0.0,0,0.0,0,0.0,0,0.0,2460,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
都外計,4604815,47.4,562361,41.0,2290193,53.3,255693,47.4,502954,46.0,322200,50.8,112569,43.9,332486,38.8,23802,41.6,202557,33.7,
北海道,157583,1.6,1286,0.1,130019,3.0,26,0.0,15981,1.5,10262,1.6,0,0.0,10,0.0,0,0.0,0,0.0,
青森県,35180,0.4,0,0.0,15057,0.4,12460,2.3,4722,0.4,0,0.0,0,0.0,2941,0.3,0,0.0,0,0.0,
岩手県,23384,0.2,0,0.0,13755,0.3,9599,1.8,0,0.0,0,0.0,0,0.0,29,0.0,0,0.0,0,0.0,
宮城県,30422,0.3,10021,0.7,1621,0.0,2718,0.5,3164,0.3,239,0.0,0,0.0,12658,1.5,0,0.0,0,0.0,
秋田県,22058,0.2,0,0.0,6640,0.2,4428,0.8,10989,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
山形県,14075,0.1,0,0.0,4530,0.1,3850,0.7,5695,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
福島県,90491,0.9,0,0.0,23036,0.5,2407,0.4,61567,5.6,2382,0.4,0,0.0,0,0.0,0,0.0,1099,0.2,
茨城県,210554,2.2,23318,1.7,132899,3.1,28752,5.3,4042,0.4,6841,1.1,1000,0.4,0,0.0,11,0.0,13690,2.3,
栃木県,95912,1.0,5010,0.4,38746,0.9,21265,3.9,15813,1.4,13974,2.2,0,0.0,5,0.0,0,0.0,1099,0.2,
群馬県,252524,2.6,31132,2.3,38253,0.9,41697,7.7,117027,10.7,22603,3.6,0,0.0,259,0.0,0,0.0,1553,0.3,
埼玉県,1370297,14.1,97384,7.1,629832,14.6,51632,9.6,86087,7.9,198895,31.4,0,0.0,258969,30.2,3258,5.7,44240,7.4,
千葉県,894152,9.2,115023,8.4,463447,10.8,49343,9.1,51013,4.7,41048,6.5,0,0.0,46731,5.4,1032,1.8,126514,21.0,
神奈川県,1040327,10.7,225539,16.4,654642,15.2,5954,1.1,53074,4.8,7025,1.1,62106,24.2,4306,0.5,19501,34.1,8180,1.4,
新潟県,21584,0.2,0,0.0,0,0.0,26,0.0,11314,1.0,0,0.0,0,0.0,6509,0.8,0,0.0,3735,0.6,
富山県,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.0,0,0.0,0,0.0,
石川県,467,0.0,0,0.0,442,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,0.0,0,0.0,0,0.0,
福井県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
山梨県,68381,0.7,4509,0.3,34552,0.8,12962,2.4,16358,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
長野県,14360,0.1,2505,0.2,1253,0.0,0,0.0,9936,0.9,665,0.1,0,0.0,0,0.0,0,0.0,0,0.0,
岐阜県,10203,0.1,0,0.0,7198,0.2,520,0.1,2484,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
静岡県,134436,1.4,8768,0.6,69861,1.6,2983,0.6,16305,1.5,17103,2.7,19416,7.6,0,0.0,0,0.0,0,0.0,
愛知県,25137,0.3,0,0.0,5122,0.1,4835,0.9,4968,0.5,0,0.0,8830,3.4,20,0.0,0,0.0,1362,0.0,
三重県,4912,0.1,0,0.0,4912,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
京都府,24424,0.3,2505,0.2,805,0.0,0,0.0,0,0.0,1163,0.2,18865,7.4,0,0.0,0,0.0,1085,0.0,
大阪府,2917,0.0,0,0.0,559,0.0,6,0.0,0,0.0,0,0.0,2352,0.9,0,0.0,0,0.0,0,0.0,
兵庫県,3304,0.0,0,0.0,3299,0.1,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
鳥取県,9942,0.1,0,0.0,0,0.0,6,0.0,9936,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
広島県,933,0.0,0,0.0,0,0.0,0,0.0,933,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
山口県,1556,0.0,0,0.0,0,0.0,0,0.0,1547,0.1,0,0.0,0,0.0,10,0.0,0,0.0,0,0.0,
香川県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
愛媛県,38733,0.4,35360,2.6,3373,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
福岡県,442,0.0,0,0.0,442,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
長崎県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
熊本県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
大分県,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
宮崎県,6,0.0,0,0.0,0,0.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
鹿児島県,10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,0.0,0,0.0,0,0.0,
沖縄県,6108,0.1,0,0.0,5896,0.1,212,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,
不明,110192,1.1,21723,1.6,41078,1.0,2237,0.4,1182,0.1,489,0.1,0,0.0,38546,4.5,652,1.1,4284,0.7,
,,,,,,,,,,,,,,,,,,,,,（単位：kg）
